PLACEID	PLPRIDR4	PRBAFCT
202	1	0
202	2	0
202	3	1
202	4	1
202	5	1
202	6	1
202	7	0
202	8	1
202	9	1
202	10	0
202	11	1
202	12	1
202	13	0
202	14	1
202	15	1
302	1	0
302	2	0
302	3	0
302	4	0
302	5	0
302	6	0
302	7	0
302	8	2
302	9	0
302	10	0
302	11	0
302	12	2
302	13	0
302	14	0
302	15	2
304	1	0
304	2	0
304	3	1
304	4	2
304	5	0
304	6	0
304	7	0
304	8	2
304	9	0
304	10	0
304	11	0
304	12	0
304	13	0
304	14	1
304	15	2
305	1	0
305	2	0
305	3	0
305	4	0
305	5	0
305	6	0
305	7	0
305	8	2
305	9	1
305	10	0
305	11	0
305	12	2
305	13	0
305	14	1
305	15	1
309	1	0
309	2	0
309	3	0
309	4	2
309	5	0
309	6	2
309	7	0
309	8	0
309	9	0
309	10	0
309	11	0
309	12	0
309	13	0
309	14	2
309	15	88
310	1	0
310	2	0
310	3	0
310	4	0
310	5	0
310	6	0
310	7	0
310	8	2
310	9	2
310	10	0
310	11	0
310	12	2
310	13	0
310	14	0
310	15	88
311	1	0
311	2	0
311	3	0
311	4	0
311	5	0
311	6	0
311	7	0
311	8	0
311	9	2
311	10	0
311	11	0
311	12	1
311	13	0
311	14	0
311	15	88
312	1	0
312	2	0
312	3	0
312	4	0
312	5	0
312	6	0
312	7	0
312	8	2
312	9	2
312	10	0
312	11	0
312	12	2
312	13	0
312	14	0
312	15	0
313	1	0
313	2	0
313	3	0
313	4	0
313	5	0
313	6	0
313	7	0
313	8	2
313	9	2
313	10	0
313	11	0
313	12	2
313	13	0
313	14	0
313	15	88
314	1	0
314	2	0
314	3	0
314	4	2
314	5	0
314	6	0
314	7	0
314	8	1
314	9	1
314	10	0
314	11	0
314	12	1
314	13	0
314	14	1
314	15	88
401	1	0
401	2	0
401	3	0
401	4	0
401	5	0
401	6	0
401	7	0
401	8	2
401	9	2
401	10	0
401	11	0
401	12	2
401	13	0
401	14	0
401	15	88
402	1	0
402	2	0
402	3	2
402	4	2
402	5	0
402	6	2
402	7	0
402	8	2
402	9	1
402	10	0
402	11	0
402	12	0
402	13	0
402	14	1
402	15	88
404	1	0
404	2	0
404	3	0
404	4	2
404	5	0
404	6	0
404	7	0
404	8	2
404	9	0
404	10	0
404	11	0
404	12	0
404	13	0
404	14	0
404	15	88
405	1	0
405	2	0
405	3	2
405	4	2
405	5	0
405	6	0
405	7	0
405	8	2
405	9	2
405	10	0
405	11	0
405	12	0
405	13	0
405	14	1
405	15	88
406	1	0
406	2	0
406	3	0
406	4	0
406	5	0
406	6	2
406	7	0
406	8	2
406	9	2
406	10	0
406	11	0
406	12	0
406	13	0
406	14	0
406	15	0
407	1	0
407	2	0
407	3	2
407	4	2
407	5	0
407	6	2
407	7	0
407	8	2
407	9	2
407	10	0
407	11	2
407	12	2
407	13	0
407	14	1
407	15	88
408	1	0
408	2	0
408	3	2
408	4	2
408	5	0
408	6	0
408	7	0
408	8	2
408	9	2
408	10	0
408	11	2
408	12	2
408	13	0
408	14	0
408	15	88
502	1	0
502	2	0
502	3	0
502	4	0
502	5	0
502	6	0
502	7	0
502	8	0
502	9	0
502	10	0
502	11	0
502	12	1
502	13	0
502	14	1
502	15	88
503	1	0
503	2	0
503	3	0
503	4	0
503	5	0
503	6	0
503	7	0
503	8	2
503	9	1
503	10	0
503	11	0
503	12	2
503	13	0
503	14	0
503	15	88
505	1	0
505	2	0
505	3	2
505	4	0
505	5	0
505	6	0
505	7	0
505	8	1
505	9	2
505	10	0
505	11	0
505	12	0
505	13	0
505	14	0
505	15	88
506	1	0
506	2	0
506	3	0
506	4	0
506	5	0
506	6	0
506	7	0
506	8	2
506	9	1
506	10	0
506	11	0
506	12	1
506	13	0
506	14	0
506	15	88
601	1	0
601	2	0
601	3	0
601	4	0
601	5	0
601	6	0
601	7	0
601	8	2
601	9	0
601	10	0
601	11	0
601	12	2
601	13	0
601	14	1
601	15	1
701	1	0
701	2	0
701	3	0
701	4	0
