PLACEID	LCPRIDR4	ITEMPRC1	ITEMVND1	ITEMINF1
202	1	2	1	8
202	2	38	16	8
202	3	15	16	8
202	4	15	16	8
202	5	25	16	8
202	6	22	16	8
202	7	0,7	16	10
202	8	0,1	10	10
202	9	0,15	10	10
202	10	0,1	10	10
202	11	2,5	1	8
202	12	2	1	8
202	13	2	1	8
202	15	1,2	1	8
202	16	3,2	1	8
202	17	2	1	8
202	18	-88	88	88
202	19	1,5	1	8
202	20	5,5	1	8
202	21	1	1	8
202	23	0,3	1	8
202	24	2	1	8
202	25	1	1	8
202	27	10	1	8
202	28	12	1	8
202	29	8	1	8
202	30	2,5	1	8
202	32	20	1	8
202	33	8	1	8
202	34	1	1	8
202	35	1,5	1	8
202	36	4,5	1	8
202	37	0,9	16	8
202	38	-88	16	8
202	39	0,3	1	8
202	40	1	1	8
202	41	1,5	1	8
202	42	-88	16	8
202	43	1	1	7
202	44	2	1	8
202	45	-88	16	88
202	46	38	1	8
202	61	5	1	8
202	70	4	1	8
302	1	3	16	1
302	2	30	16	1
302	3	15	16	1
302	4	15	16	1
302	5	25	16	1
302	6	25	16	1
302	7	1	16	1
302	8	0,1	16	1
302	9	0,25	16	1
302	10	0,2	16	1
302	11	1,4	16	1
302	12	1,2	16	1
302	13	3,2	16	1
302	15	1,4	16	1
302	16	3,5	16	1
302	17	2,2	16	1
302	18	-88	88	88
302	19	0,4	16	1
302	20	6	16	1
302	21	1,4	16	1
302	23	0,4	16	1
302	24	1,5	16	1
302	25	5	16	1
302	27	10	16	1
302	28	12	16	1
302	29	9	16	1
302	30	2,5	16	1
302	32	10	16	1
302	33	6	16	1
302	34	1	2	1
302	35	2	16	1
302	36	3,5	1	1
302	37	1,25	16	1
302	38	-88	88	88
302	39	0,3	16	1
302	40	1,2	16	1
302	41	2,5	16	1
302	42	5	16	1
302	43	1	16	1
302	44	2,5	16	1
302	45	-88	16	1
302	46	30	16	1
302	61	5	16	1
302	70	4	16	1
304	1	2	16	6
304	2	35	16	6
304	3	12	16	6
304	4	12	16	6
304	5	28	16	6
304	6	28	16	6
304	7	0,5	16	7
304	8	0,03	16	7
304	9	0,26	16	7
304	10	0,08	16	7
304	11	1	16	6
304	12	1,3	1	6
304	13	3,2	16	6
304	15	0,8	1	6
304	16	3,2	1	6
304	17	1,8	1	6
304	18	-88	16	6
304	19	0,5	1	6
304	20	7	16	6
304	21	1	1	6
304	23	0,3	1	6
304	24	2	1	6
304	25	1	1	6
304	27	10	16	6
304	28	10	16	6
304	29	-88	16	6
304	30	2,5	16	6
304	32	10	1	6
304	33	6,5	1	6
304	34	1	1	6
304	35	1,8	16	6
304	36	4	1	6
304	37	1	16	6
304	38	-88	16	6
304	39	0,3	16	6
304	40	1,2	1	6
304	41	2	16	6
304	42	3	16	6
304	43	1,2	16	6
304	44	1,5	16	6
304	45	5	16	6
304	46	35	16	6
304	61	4,8	1	6
304	70	4	16	6
305	1	1,5	16	1
305	2	40	16	2
305	3	18	16	1
305	4	18	16	1
305	5	35	16	1
305	6	35	16	1
305	7	0,5	16	1
305	8	0,03	16	4
305	9	0,26	16	4
305	10	0,08	16	4
305	11	1,5	16	1
305	12	1,8	1	1
305	13	3,2	16	1
305	15	1	1	1
305	16	3,2	1	1
305	17	1,8	1	1
305	18	-88	16	1
305	19	0,5	1	1
305	20	6,5	16	1
305	21	1	1	1
305	23	0,2	1	1
305	24	2	1	1
305	25	1,2	1	1
305	27	9	16	1
305	28	10	16	1
305	29	8	16	1
305	30	2,8	16	1
305	32	10	1	1
305	33	6,5	1	1
305	34	1	1	1
305	35	1,5	16	1
305	36	4,5	1	1
305	37	1	16	1
305	38	1	16	1
305	39	0,3	1	1
305	40	1,5	16	1
305	41	2	16	1
305	42	5	16	1
305	43	0,8	1	1
305	44	1,5	16	1
305	45	6	16	1
305	46	40	16	1
305	61	4,8	1	1
305	70	4	16	1
309	1	1,5	16	4
309	2	33	16	4
309	3	18	16	4
309	4	18	16	4
309	5	30	16	4
309	6	30	16	4
309	7	0,6	16	5
309	8	0,02	16	5
309	9	0,11	16	5
309	10	0,4	16	5
309	11	1,5	1	4
309	12	2	1	4
309	13	3,2	16	4
309	15	1	1	4
309	16	3,2	1	4
309	17	2	1	4
309	18	-88	16	4
309	19	0,5	1	4
309	20	6,5	1	4
309	21	1	1	4
309	23	0,3	1	4
309	24	4	16	4
309	25	1	1	4
309	27	9	16	4
309	28	10	16	4
309	29	8	16	4
309	30	3	1	4
309	32	10	1	4
309	33	6,5	1	4
309	34	1	1	4
309	35	1,5	16	4
309	36	4,5	1	4
309	37	1	1	4
309	38	1	16	4
309	39	0,3	1	4
309	40	1,5	16	4
309	41	2	16	4
309	42	3	16	4
309	43	1,2	16	4
309	44	1,2	16	4
309	45	6	16	4
309	46	40	16	4
309	61	4,8	1	4
309	70	4	1	4
310	1	2	16	1
310	2	35	16	1
310	3	12	16	1
310	4	15	16	1
310	5	20	16	1
310	6	20	16	1
310	7	0,62	16	1
310	8	0,5	16	1
310	9	1	16	1
310	10	0,5	16	1
310	11	2	16	1
310	12	2	16	1
310	13	3	16	1
310	15	1,5	16	1
310	16	2,5	16	1
310	17	2,5	16	1
310	18	-88	88	88
310	19	1,2	16	1
310	20	-88	88	88
310	21	1,5	16	1
310	23	0,3	16	1
310	24	4	16	1
310	25	1,5	16	1
310	27	9,5	16	1
310	28	8	16	1
310	29	8	16	1
310	30	1,7	16	1
310	32	10	16	1
310	33	7	16	1
310	34	1	16	1
310	35	2	16	1
310	36	5	16	1
310	37	-88	16	1
310	38	-88	88	88
310	39	0,3	16	1
310	40	2	16	1
310	41	3	16	1
310	42	6	16	1
310	43	1,2	16	1
310	44	3	16	1
310	45	-88	16	1
310	46	50	16	1
310	61	5	16	1
310	70	5	16	1
311	1	2	16	2
311	2	30	16	2
311	3	18	16	2
311	4	15	16	2
311	5	25	16	2
311	6	25	16	2
311	7	0,62	16	2
311	8	0,5	16	2
311	9	0,5	16	2
311	10	0,5	16	2
311	11	1	16	2
311	12	1,5	16	2
311	13	2,8	16	2
311	15	0,5	16	2
311	16	2,5	16	2
311	17	1,8	16	2
311	18	-88	88	88
