PLACEID	PRLDIDR4	AVLNDPRC	MNLNDPRC	MXLDNPRC
202	1	55000	 	 
202	2	35000	 	 
202	3	-77	5	15
302	1	10000	 	 
302	2	5000	 	 
302	3	12	 	 
304	1	15000	 	 
304	2	12000	 	 
304	3	6,6	 	 
305	1	15000	 	 
305	2	5000	 	 
305	3	-77	10	25
309	1	15000	 	 
309	2	4000	 	 
309	3	3	 	 
310	1	30000	 	 
310	2	20000	 	 
310	3	50	 	 
311	1	8000	 	 
311	2	5000	 	 
311	3	6	 	 
312	1	3000	 	 
312	2	1000	 	 
312	3	-77	20	30
313	1	5000	 	 
313	2	2000	 	 
313	3	5	 	 
314	1	5000	 	 
314	2	2000	 	 
314	3	-77	20	30
401	1	-88	 	 
401	2	1000	 	 
401	3	5	 	 
402	1	-88	 	 
402	2	3500	 	 
402	3	10	 	 
404	1	-88	 	 
404	2	5000	 	 
404	3	2	 	 
405	1	-88	 	 
405	2	8000	 	 
405	3	40	 	 
406	1	-88	 	 
406	2	5000	 	 
406	3	10	 	 
407	1	-88	 	 
407	2	-77	4000	8000
407	3	25	 	 
408	1	-88	 	 
408	2	2000	 	 
408	3	5	 	 
502	1	-88	 	 
502	2	3000	 	 
502	3	4	 	 
503	1	-88	 	 
503	2	5000	 	 
503	3	25	 	 
505	1	-88	 	 
505	2	-77	4000	8000
505	3	10	 	 
506	1	-88	 	 
506	2	10000	 	 
506	3	100	 	 
601	1	400000	 	 
601	2	2000	 	 
601	3	33	 	 
701	1	-88	 	 
701	2	-88	 	 
701	3	300	 	 
702	1	-88	 	 
702	2	-88	 	 
702	3	800	 	 
703	1	 	 	 
703	2	 	 	 
703	3	 	 	 
707	1	-88	 	 
707	2	-88	 	 
707	3	-77	60	100
708	1	-88	 	 
708	2	-88	 	 
708	3	-77	2800	4200
709	1	-88	 	 
709	2	-88	 	 
709	3	-77	840	1120
710	1	-88	 	 
710	2	-88	 	 
710	3	300	 	 
711	1	10000	 	 
711	2	5000	 	 
711	3	-77	150	200
712	1	-88	 	 
712	2	-88	 	 
712	3	-77	800	850
713	1	-88	 	 
713	2	-88	 	 
713	3	-77	834	973
714	1	-88	 	 
714	2	-88	 	 
714	3	-77	1400	2240
715	1	-88	 	 
715	2	-88	 	 
715	3	-77	840	1400
716	1	-88	 	 
716	2	-88	 	 
716	3	1400	 	 
717	1	-88	 	 
717	2	-88	 	 
717	3	-77	1400	1500
718	1	-88	 	 
718	2	-88	 	 
718	3	100	 	 
719	1	-88	 	 
719	2	-88	 	 
719	3	800	 	 
801	1	-88	 	 
801	2	-88	 	 
801	3	200	 	 
802	1	-88	 	 
802	2	-88	 	 
802	3	-77	100	200
803	1	-88	 	 
803	2	-88	 	 
803	3	-77	560	840
804	1	-88	 	 
804	2	-88	 	 
804	3	200	 	 
901	1	100000	 	 
901	2	30000	 	 
901	3	50	 	 
1103	1	-77	3000	4000
1103	2	-77	1000	2000
1103	3	70	 	 
1201	1	-88	 	 
1201	2	-88	 	 
1201	3	330	 	 
1202	1	-88	 	 
1202	2	-88	 	 
1202	3	1000	 	 
1203	1	-88	 	 
1203	2	-88	 	 
1203	3	70	 	 
1204	1	-88	 	 
1204	2	-88	 	 
1204	3	380	 	 
1205	1	-88	 	 
1205	2	-88	 	 
1205	3	-77	810	1350
1206	1	-88	 	 
1206	2	-88	 	 
1206	3	150	 	 
1207	1	-88	 	 
1207	2	-88	 	 
1207	3	100	 	 
1208	1	-88	 	 
1208	2	-88	 	 
1208	3	100	 	 
1209	1	-88	 	 
1209	2	-88	 	 
1209	3	-77	135	216
1210	1	-88	 	 
1210	2	-88	 	 
1210	3	83	 	 
1211	1	-88	 	 
1211	2	-88	 	 
1211	3	300	 	 
1212	1	-88	 	 
1212	2	-88	 	 
1212	3	1620	 	 
1213	1	-88	 	 
1213	2	-88	 	 
1213	3	135	 	 
1215	1	-88	 	 
1215	2	-88	 	 
1215	3	1575	 	 
1216	1	-88	 	 
1216	2	-88	 	 
1216	3	-77	675	810
1217	1	-88	 	 
1217	2	-88	 	 
1217	3	540	 	 
1218	1	-88	 	 
1218	2	-88	 	 
1218	3	-77	1400	1680
1219	1	-88	 	 
1219	2	-88	 	 
1219	3	350	 	 
1220	1	-88	 	 
1220	2	-88	 	 
1220	3	150	 	 
1221	1	-88	 	 
1221	2	-88	 	 
1221	3	-77	1620	2160
1222	1	-88	 	 
1222	2	-88	 	 
1222	3	1350	 	 
1223	1	-88	 	 
1223	2	-88	 	 
1223	3	135	 	 
1224	1	-88	 	 
1224	2	-88	 	 
1224	3	360	 	 
1225	1	-88	 	 
1225	2	-88	 	 
1225	3	530	 	 
1226	1	-88	 	 
1226	2	-88	 	 
1226	3	50	 	 
1227	1	-88	 	 
1227	2	-88	 	 
1227	3	1000	 	 
1228	1	-88	 	 
1228	2	-88	 	 
1228	3	1050	 	 
1301	1	-88	 	 
1301	2	-88	 	 
1301	3	-77	400	300
1303	1	-88	 	 
1303	2	-88	 	 
1303	3	150	 	 
1304	1	-88	 	 
1304	2	-88	 	 
1304	3	-77	500	550
1305	1	-88	 	 
1305	2	-88	 	 
1305	3	150	 	 
1306	1	-88	 	 
1306	2	-88	 	 
1306	3	800	 	 
1307	1	-88	 	 
1307	2	-88	 	 
1307	3	-88	 	 
1401	1	-88	 	 
1401	2	-88	 	 
1401	3	-77	30	60
1402	1	-88	 	 
1402	2	-88	 	 
1402	3	-77	100	160
1403	1	-88	 	 
1403	2	-88	 	 
1403	3	200	 	 
1404	1	88	 	 
