PLACEID	ACWTIDR4	PLCEWAT	HRSWATER	DAYSWATER	PERWATER
202	1	1	0	2	80
202	2	0	 	 	 
202	3	0	 	 	 
202	4	0	 	 	 
202	5	0	 	 	 
202	6	0	 	 	 
202	7	0	 	 	 
202	8	1	 	 	 
302	1	1	24	7	100
302	2	0	 	 	 
302	3	0	 	 	 
302	4	0	 	 	 
302	5	0	 	 	 
302	6	0	 	 	 
302	7	0	 	 	 
302	8	0	 	 	 
304	1	1	8	7	100
304	2	0	 	 	 
304	3	0	 	 	 
304	4	0	 	 	 
304	5	0	 	 	 
304	6	0	 	 	 
304	7	1	 	 	 
304	8	0	 	 	 
305	1	1	24	7	100
305	2	0	 	 	 
305	3	0	 	 	 
305	4	0	 	 	 
305	5	0	 	 	 
305	6	0	 	 	 
305	7	0	 	 	 
305	8	0	 	 	 
309	1	1	3	7	100
309	2	0	 	 	 
309	3	0	 	 	 
309	4	0	 	 	 
309	5	0	 	 	 
309	6	0	 	 	 
309	7	0	 	 	 
309	8	0	 	 	 
310	1	1	24	7	70
310	2	0	 	 	 
310	3	0	 	 	 
310	4	0	 	 	 
310	5	0	 	 	 
310	6	0	 	 	 
310	7	1	 	 	 
310	8	1	 	 	 
311	1	1	24	7	100
311	2	0	 	 	 
311	3	0	 	 	 
311	4	0	 	 	 
311	5	0	 	 	 
311	6	0	 	 	 
311	7	0	 	 	 
311	8	0	 	 	 
312	1	1	24	7	100
312	2	0	 	 	 
312	3	0	 	 	 
312	4	0	 	 	 
312	5	0	 	 	 
312	6	0	 	 	 
312	7	0	 	 	 
312	8	0	 	 	 
313	1	1	24	6	90
313	2	0	 	 	 
313	3	0	 	 	 
313	4	0	 	 	 
313	5	0	 	 	 
313	6	0	 	 	 
313	7	1	 	 	 
313	8	0	 	 	 
314	1	1	24	7	90
314	2	0	 	 	 
314	3	0	 	 	 
314	4	0	 	 	 
314	5	0	 	 	 
314	6	0	 	 	 
314	7	1	 	 	 
314	8	0	 	 	 
401	1	1	24	7	100
401	2	0	 	 	 
401	3	0	 	 	 
401	4	0	 	 	 
401	5	0	 	 	 
401	6	0	 	 	 
401	7	0	 	 	 
401	8	0	 	 	 
402	1	1	24	7	100
402	2	0	 	 	 
402	3	0	 	 	 
402	4	0	 	 	 
402	5	0	 	 	 
402	6	0	 	 	 
402	7	0	 	 	 
402	8	0	 	 	 
404	1	1	24	7	100
404	2	0	 	 	 
404	3	0	 	 	 
404	4	0	 	 	 
404	5	0	 	 	 
404	6	0	 	 	 
404	7	0	 	 	 
404	8	0	 	 	 
405	1	1	24	7	100
405	2	0	 	 	 
405	3	0	 	 	 
405	4	0	 	 	 
405	5	0	 	 	 
405	6	0	 	 	 
405	7	0	 	 	 
405	8	0	 	 	 
406	1	1	24	7	100
406	2	0	 	 	 
406	3	0	 	 	 
406	4	0	 	 	 
