PLACEID	PRANIDR4	AVGPRCAN	MINPRCAN	MAXPRCAN
202	1	1200	 	 
202	2	1000	 	 
202	3	1200	 	 
202	4	300	 	 
202	5	2000	 	 
202	6	80	 	 
202	7	90	 	 
202	8	600	 	 
202	9	15	 	 
202	10	5	 	 
202	11	5	 	 
202	12	1000	 	 
202	13	1800	 	 
202	14	1000	 	 
302	1	2500	 	 
302	2	800	 	 
302	3	2000	 	 
302	4	600	 	 
302	5	2500	 	 
302	6	100	 	 
302	7	100	 	 
302	8	200	 	 
302	9	30	 	 
302	10	15	 	 
302	11	15	 	 
302	12	600	 	 
302	13	1000	 	 
302	14	1000	 	 
304	1	3000	 	 
304	2	1500	 	 
304	3	1500	 	 
304	4	500	 	 
304	5	2000	 	 
304	6	50	 	 
304	7	50	 	 
304	8	300	 	 
304	9	20	 	 
304	10	-88	 	 
304	11	-88	 	 
304	12	-88	 	 
304	13	1000	 	 
304	14	1200	 	 
305	1	2500	 	 
305	2	1200	 	 
305	3	2500	 	 
305	4	600	 	 
305	5	2500	 	 
305	6	100	 	 
305	7	-88	 	 
305	8	500	 	 
305	9	30	 	 
305	10	-88	 	 
305	11	-88	 	 
305	12	-88	 	 
305	13	1200	 	 
305	14	1200	 	 
309	1	2500	 	 
309	2	1000	 	 
309	3	1500	 	 
309	4	700	 	 
309	5	2500	 	 
309	6	80	 	 
309	7	-88	 	 
309	8	400	 	 
309	9	30	 	 
309	10	-88	 	 
309	11	-88	 	 
309	12	-88	 	 
309	13	1500	 	 
309	14	1000	 	 
310	1	2500	 	 
310	2	2000	 	 
310	3	2000	 	 
310	4	600	 	 
310	5	2000	 	 
310	6	100	 	 
310	7	100	 	 
310	8	200	 	 
310	9	20	 	 
310	10	30	 	 
310	11	10	 	 
310	12	1000	 	 
310	13	1500	 	 
310	14	1000	 	 
311	1	2000	 	 
311	2	1800	 	 
311	3	2000	 	 
311	4	800	 	 
311	5	500	 	 
311	6	70	 	 
311	7	60	 	 
311	8	500	 	 
311	9	30	 	 
311	10	15	 	 
311	11	15	 	 
311	12	200	 	 
311	13	1500	 	 
