PLACEID	STRTDINT	MNDPTOID	MNSENSIT	GENCHRST	POPSIZE	HOUSING	ILLOCCUP	OTHRES	AGRIC	LIVEST	FISHING	MINING	INDUST	HANDICR	RETAIL	OTHUSE	CITY	POPCITY	TIMECAP	TRANS1	TRANS2	TRANS3	PVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	OTTRANN	MAINRTE	NTRLDIST	LBRUNION	COMMKITC	MTHRCLUB	APAFA	POLTGRP	RELGGRP	SVGSCOOP	HOUSCOOP	LENDCOOP	SPRTASSC	CRMASSC	PSNTASSC	NTVASSC	AGRIASSC	PRDCRS	OTHERS1	RLOTHR1	OTHERS2	RLOTHR2	OTHERS3	RLOTHR3	OTHERS4	RLOTHR4	OTHERS5	RLOTHR5	OTHERS6	RLOTHR6	OTHERS7	RLOTHR7	OTHERS8	RLOTHR8	GLSSMILK	COMMKITC2	FOODWORK	COMPFEED	OTHFOOD1	OTHFOOD2	OTHFOOD3	CUNAMAS	WAWAWASI	PRONOEI	SCHBKFST	SCHCLTH	SCHLTEXT	LITRCY	PROMLIBR	ALTBSCED	LAPTOPCH	EDUCTN1	EDUCTN2	EDUCTN3	HLTHINSR	CREDCTRL	TUBCNTRL	MALARIA	HIVSIDA	MENTLHTH	CNTRLSTD	HLTHOTH1	HLTHOTH2	HLTHOTH3	RPRSCHL	RPRHLTH	RPRWTR	RPRSWR	RPRPIT	RPRBRDG	RPRAND	REFOREST	IRRGTN	INFROTH1	INFROTH2	INFROTH3	AGRITECH	ANIMAL	AGRINPUT	TITLING	TECHNCAL	MICROCRD	LABORENR	RECYCPRG	JUNTOPRG	PENSIONS65	FONCODES	PROJOVEN	OTHOTHR1	OTHOTHR2	OTHOTHR3	IMPCROP	PRICCROP	MINCROP	MAXCROP	PRICEEN	ENDDINT
202	29/08/2013	20	2	29/08/2013   HORA: 10:05	1500	5	5	1	2	3	5	5	5	5	4	88	1	25000	30	6	88	 	0	0	1	0	0	0	3	1	0	1	1	1	0	1	0	0	0	1	1	0	0	0	1	1	9	1	11	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	ARROZ	2	 	 	29/08/2013   HORA: 15:00	29/08/2013
302	18/09/2013	20	3	18/09/2013   HORA: 11:20	400	5	5	1	2	3	5	5	5	88	4	88	1	8000	30	1	88	 	0	0	1	1	0	0	4	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	FRIJOL	12	 	 	18/09/2013   HORA: 14:00	18/09/2013
304	17/09/2013	20	3	17/09/2013   HORA: 11:15	230	5	5	2	1	3	5	5	5	5	4	88	1	-77	10	1	88	 	0	0	1	1	0	0	4	1	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	FRIJOL BAYO	5	 	 	17/09/2013   HORA: 14:00	17/09/2013
305	22/09/2013	20	3	22/09/2013   HORA: 09:31	150	5	5	3	1	2	5	5	5	5	5	88	1	-77	20	1	88	 	0	0	1	1	0	0	3	1	0	0	1	0	1	1	0	0	0	1	1	1	0	1	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	FRIJOL BLANCO	3	 	 	22/09/2013   HORA: 12:20	22/09/2013
309	21/09/2013	20	3	21/09/2013   HORA: 12:13	150	5	5	2	1	3	5	5	5	5	4	88	1	-77	120	1	88	 	0	0	1	1	0	0	1	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	FRIJOL BLANCO	5	 	 	21/09/2013   HORA: 14:30	21/09/2013
310	12/09/2013	20	3	12/09/2013   HORA: 09:15	68	5	5	1	2	3	5	5	5	5	5	88	1	6000	180	8	1	88	0	0	0	1	0	0	4	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	PAPA	10	 	 	12/09/2013   HORA: 13:00	12/09/2013
311	13/09/2013	20	3	13/09/2013   HORA:09:30	200	5	5	1	2	3	5	5	5	5	5	5	1	7000	120	1	88	 	0	0	0	1	0	0	4	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	11	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	FRIJOL	3	 	 	13/09/2013   HORA: 13:00	13/09/2013
312	22/09/2013	20	3	22/09/2013   HORA: 07:46	150	5	5	1	2	3	5	5	5	5	5	88	1	5000	30	1	88	 	0	0	1	1	0	0	3	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	FREJOL	5	 	 	22/09/2013    HORA: 11:30	22/09/2013
313	21/09/2013	20	3	21/09/2013   HORA: 07:19	300	5	5	1	2	3	5	5	5	5	4	88	1	4000	180	1	88	 	0	0	1	1	0	0	3	1	0	0	1	1	0	1	0	0	0	1	1	1	0	1	0	1	11	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	CAFE	6	 	 	21/09/2013   HORA: 12:00	21/09/2013
314	21/09/2013	20	3	21/09/2013   HORA: 08:05	200	5	5	88	1	2	5	5	5	5	4	88	1	6000	240	1	2	9	0	0	1	1	0	0	3	1	0	0	1	1	0	1	0	0	0	1	1	1	0	0	0	0	 	0	 	0	 	0	 	0	 	0	 	0	 	0	 	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	ALVERJA	10	 	 	21/09/2013    HORA: 10:20	21/09/2013
