PLACEID	SCPRIDR4	PRBLCTLY
202	1	1
202	2	1
202	3	0
202	4	1
202	5	0
202	6	1
202	7	1
202	8	1
202	9	1
202	10	0
202	11	0
302	1	1
302	2	1
302	3	1
302	4	0
302	5	0
302	6	0
302	7	0
302	8	1
302	9	0
302	10	1
302	11	0
304	1	0
304	2	0
304	3	0
304	4	0
304	5	0
304	6	0
304	7	0
304	8	0
304	9	0
304	10	0
304	11	0
305	1	0
305	2	0
305	3	0
305	4	0
305	5	0
305	6	0
305	7	0
305	8	1
305	9	0
305	10	0
305	11	0
309	1	0
309	2	0
309	3	0
309	4	0
309	5	0
309	6	0
309	7	0
309	8	0
309	9	0
309	10	1
309	11	0
310	1	0
310	2	0
310	3	0
310	4	0
310	5	0
310	6	0
310	7	0
310	8	1
310	9	0
310	10	1
310	11	0
311	1	0
311	2	0
311	3	0
311	4	0
311	5	0
311	6	0
311	7	0
311	8	0
311	9	0
311	10	0
311	11	0
312	1	0
312	2	0
312	3	0
312	4	0
312	5	0
312	6	0
312	7	0
312	8	0
312	9	0
312	10	0
312	11	0
313	1	0
313	2	0
313	3	0
313	4	0
313	5	0
313	6	0
313	7	0
313	8	0
313	9	0
313	10	0
313	11	0
314	1	0
314	2	0
314	3	0
314	4	0
314	5	0
314	6	0
314	7	0
314	8	1
314	9	0
314	10	0
314	11	0
401	1	1
401	2	1
401	3	0
401	4	0
401	5	0
401	6	0
401	7	0
401	8	1
401	9	0
401	10	1
401	11	0
402	1	0
402	2	0
402	3	0
402	4	0
402	5	0
402	6	0
402	7	0
402	8	0
402	9	0
402	10	1
402	11	0
404	1	0
404	2	0
404	3	0
404	4	0
404	5	0
404	6	0
404	7	0
404	8	1
404	9	0
404	10	0
404	11	0
405	1	1
405	2	0
405	3	0
405	4	0
405	5	0
405	6	0
405	7	0
405	8	0
405	9	0
405	10	1
405	11	0
406	1	0
406	2	0
406	3	0
406	4	0
406	5	0
406	6	0
406	7	0
406	8	0
406	9	0
406	10	1
406	11	1
407	1	0
407	2	1
407	3	0
407	4	0
407	5	0
407	6	0
407	7	0
407	8	0
407	9	0
407	10	0
407	11	0
408	1	0
408	2	0
408	3	0
408	4	0
408	5	0
408	6	0
408	7	0
408	8	0
408	9	0
408	10	0
408	11	0
502	1	0
502	2	0
502	3	0
502	4	0
502	5	0
502	6	0
502	7	0
502	8	0
502	9	0
502	10	0
502	11	0
503	1	1
503	2	0
503	3	0
503	4	0
503	5	0
503	6	0
503	7	0
503	8	0
503	9	0
503	10	0
503	11	0
505	1	0
505	2	0
505	3	0
505	4	0
505	5	0
505	6	0
505	7	0
505	8	0
505	9	0
505	10	1
505	11	1
506	1	1
506	2	1
506	3	0
506	4	0
506	5	0
506	6	0
506	7	0
506	8	0
506	9	0
506	10	1
506	11	1
601	1	0
601	2	1
601	3	0
601	4	0
601	5	0
601	6	0
601	7	0
601	8	1
601	9	0
601	10	0
601	11	0
701	1	1
701	2	0
701	3	0
701	4	1
701	5	0
701	6	0
701	7	1
701	8	1
701	9	0
701	10	0
701	11	0
702	1	1
702	2	0
702	3	0
702	4	0
702	5	0
702	6	0
702	7	1
702	8	1
702	9	0
702	10	1
702	11	0
703	1	1
703	2	0
703	3	0
703	4	0
703	5	0
703	6	0
703	7	1
703	8	0
703	9	1
703	10	1
703	11	0
707	1	1
707	2	0
707	3	0
707	4	0
707	5	0
707	6	0
707	7	0
707	8	1
707	9	0
707	10	1
707	11	0
708	1	1
708	2	0
708	3	0
708	4	0
708	5	0
708	6	1
708	7	1
708	8	1
708	9	0
708	10	1
708	11	0
709	1	1
709	2	0
709	3	1
709	4	0
709	5	0
709	6	1
709	7	1
709	8	1
709	9	0
709	10	1
709	11	0
710	1	1
710	2	0
710	3	1
710	4	1
710	5	0
710	6	0
710	7	0
710	8	1
710	9	0
710	10	1
710	11	0
711	1	1
711	2	1
711	3	0
711	4	0
711	5	0
711	6	0
711	7	0
711	8	1
711	9	0
711	10	1
711	11	1
712	1	1
712	2	0
712	3	0
712	4	0
712	5	0
712	6	0
712	7	0
712	8	0
712	9	1
712	10	1
712	11	0
713	1	1
713	2	0
713	3	0
713	4	1
713	5	0
713	6	1
713	7	1
713	8	1
713	9	1
713	10	1
713	11	0
714	1	1
714	2	0
714	3	1
714	4	1
714	5	0
714	6	1
714	7	1
714	8	1
714	9	0
714	10	1
714	11	0
715	1	1
715	2	0
715	3	0
715	4	0
715	5	0
715	6	1
715	7	1
715	8	1
715	9	0
715	10	1
715	11	0
716	1	1
716	2	0
716	3	0
716	4	0
716	5	0
716	6	1
716	7	1
716	8	1
716	9	1
716	10	1
716	11	0
717	1	1
717	2	0
717	3	0
717	4	0
717	5	0
717	6	0
717	7	1
717	8	1
717	9	1
717	10	1
717	11	0
718	1	1
718	2	0
718	3	0
718	4	1
718	5	0
718	6	1
718	7	1
718	8	1
718	9	0
718	10	1
718	11	0
719	1	1
719	2	0
719	3	0
719	4	1
719	5	0
719	6	0
719	7	1
719	8	1
719	9	0
719	10	1
719	11	0
801	1	1
801	2	0
801	3	0
801	4	0
801	5	0
801	6	0
801	7	0
801	8	1
801	9	1
801	10	1
801	11	0
802	1	1
802	2	0
802	3	0
802	4	1
802	5	0
802	6	1
802	7	1
802	8	1
802	9	1
802	10	1
802	11	0
803	1	1
803	2	0
803	3	0
803	4	1
803	5	0
803	6	1
803	7	1
803	8	1
803	9	0
803	10	1
803	11	0
804	1	1
804	2	0
804	3	0
804	4	1
804	5	0
804	6	1
804	7	1
804	8	1
804	9	1
804	10	1
804	11	0
901	1	0
901	2	1
901	3	0
901	4	0
901	5	0
901	6	0
901	7	0
901	8	1
901	9	0
901	10	1
901	11	0
1103	1	1
1103	2	1
1103	3	0
1103	4	0
1103	5	0
1103	6	0
1103	7	0
1103	8	0
1103	9	0
1103	10	0
1103	11	0
1201	1	1
1201	2	0
1201	3	0
1201	4	0
1201	5	0
1201	6	0
1201	7	0
1201	8	0
1201	9	0
1201	10	0
