CHILDCODE	NONFODR4	PURITMR4	SPYRR4	SPNMR4
10028	26	Y	1000	1
10028	27	N	 	 
10028	28	N	 	 
10028	29	N	 	 
10028	30	N	 	 
10028	31	N	 	 
10029	1	Y	600	 
10029	2	Y	550	 
10029	3	Y	400	4
10029	4	Y	400	88
10029	5	Y	150	 
10029	6	Y	100	 
10029	7	Y	300	4
10029	8	Y	250	88
10029	9	Y	300	88
10029	10	Y	350	4
10029	11	Y	3000	88
10029	12	Y	4000	4
10029	13	N	 	 
10029	14	N	 	 
10029	15	Y	300	1
10029	16	N	 	 
10029	17	Y	100	1
10029	18	Y	2000	1
10029	19	N	 	 
10029	20	N	 	 
10029	21	Y	1700	1
10029	22	Y	300	2
10029	23	N	 	 
10029	24	N	 	 
10029	25	N	 	 
10029	26	N	 	 
10029	27	N	 	 
10029	28	N	 	 
10029	29	N	 	 
10029	30	N	 	 
10029	31	N	 	 
10030	1	Y	2000	 
10030	2	Y	1500	 
10030	3	Y	1000	88
10030	4	Y	1000	4
10030	5	Y	250	 
10030	6	Y	200	 
10030	7	Y	150	88
10030	8	Y	250	4
10030	9	N	 	 
10030	10	N	 	 
10030	11	N	 	 
10030	12	N	 	 
10030	13	N	 	 
10030	14	N	 	 
10030	15	Y	1200	3
10030	16	N	 	 
10030	17	N	 	 
10030	18	Y	500	1
10030	19	Y	300	4
10030	20	N	 	 
10030	21	Y	3000	1
10030	22	N	 	 
10030	23	N	 	 
10030	24	N	 	 
10030	25	N	 	 
10030	26	Y	300	1
10030	27	N	 	 
10030	28	N	 	 
10030	29	N	 	 
10030	30	N	 	 
10030	31	N	 	 
10031	1	Y	3000	 
10031	2	Y	5000	 
10031	3	Y	3000	1
10031	4	N	 	 
10031	5	Y	500	 
10031	6	Y	500	 
10031	7	Y	500	1
10031	8	N	 	 
10031	9	N	 	 
10031	10	Y	2000	1
10031	11	N	 	 
10031	12	N	 	 
10031	13	N	 	 
10031	14	N	 	 
10031	15	Y	500	1
10031	16	Y	9600	1
10031	17	Y	3000	0
10031	18	N	 	 
10031	19	N	 	 
10031	20	N	 	 
10031	21	Y	2040	1
10031	22	N	 	 
10031	23	N	 	 
10031	24	N	 	 
10031	25	N	 	 
10031	26	N	 	 
10031	27	N	 	 
10031	28	N	 	 
10031	29	N	 	 
10031	30	N	 	 
10031	31	N	 	 
10032	1	Y	2000	 
10032	2	Y	3000	 
10032	3	N	 	 
10032	4	Y	5000	2
10032	5	Y	800	 
10032	6	Y	600	 
10032	7	N	 	 
10032	8	Y	1000	2
10032	9	Y	1000	4
10032	10	N	 	 
10032	11	Y	525	0
10032	12	N	 	 
10032	13	N	 	 
10032	14	N	 	 
10032	15	Y	800	2
10032	16	N	 	 
10032	17	Y	500	2
10032	18	Y	600	2
10032	19	N	 	 
10032	20	N	 	 
10032	21	Y	2400	1
10032	22	N	 	 
10032	23	N	 	 
10032	24	N	 	 
10032	25	N	 	 
10032	26	N	 	 
10032	27	N	 	 
10032	28	N	 	 
10032	29	N	 	 
10032	30	N	 	 
10032	31	N	 	 
10033	1	Y	2000	 
10033	2	Y	1500	 
10033	3	Y	2000	4
10033	4	Y	1500	88
10033	5	Y	300	 
10033	6	Y	200	 
10033	7	Y	300	4
10033	8	Y	350	88
10033	9	N	 	 
10033	10	N	 	 
10033	11	N	 	 
10033	12	N	 	 
10033	13	N	 	 
10033	14	N	 	 
10033	15	Y	1500	2
10033	16	N	 	 
10033	17	Y	500	1
10033	18	Y	2000	1
10033	19	N	 	 
10033	20	N	 	 
10033	21	Y	2040	1
10033	22	N	 	 
10033	23	N	 	 
10033	24	N	 	 
10033	25	N	 	 
10033	26	Y	1000	1
10033	27	N	 	 
10033	28	N	 	 
10033	29	N	 	 
10033	30	N	 	 
10033	31	N	 	 
10034	1	Y	1500	 
10034	2	Y	1800	 
10034	3	N	 	 
10034	4	Y	2000	1
10034	5	Y	500	 
10034	6	Y	400	 
10034	7	N	 	 
10034	8	Y	500	1
10034	9	Y	1000	1
10034	10	N	 	 
10034	11	Y	32000	1
10034	12	N	 	 
10034	13	N	 	 
10034	14	N	 	 
10034	15	Y	600	1
10034	16	Y	8000	1
10034	17	Y	200	1
10034	18	Y	1000	1
10034	19	N	 	 
10034	20	N	 	 
10034	21	Y	2400	1
10034	22	N	 	 
10034	23	N	 	 
10034	24	N	 	 
10034	25	N	 	 
10034	26	N	 	 
10034	27	N	 	 
10034	28	N	 	 
10034	29	N	 	 
10034	30	N	 	 
10034	31	N	 	 
10035	1	Y	1200	 
10035	2	Y	1600	 
10035	3	Y	1300	1
10035	4	Y	800	88
10035	5	Y	200	 
10035	6	Y	400	 
10035	7	Y	200	1
10035	8	Y	150	88
10035	9	Y	600	88
10035	10	Y	1000	1
10035	11	N	 	 
10035	12	Y	5000	1
10035	13	N	 	 
10035	14	N	 	 
10035	15	Y	1000	1
10035	16	Y	500	1
10035	17	Y	1000	1
10035	18	Y	2000	1
10035	19	N	 	 
10035	20	N	 	 
10035	21	Y	2400	1
10035	22	N	 	 
10035	23	N	 	 
10035	24	N	 	 
10035	25	N	 	 
10035	26	N	 	 
10035	27	N	 	 
10035	28	N	 	 
10035	29	N	 	 
10035	30	N	 	 
10035	31	N	 	 
10036	1	Y	1500	 
10036	2	Y	6000	 
10036	3	Y	4000	2
10036	4	N	 	 
10036	5	Y	200	 
10036	6	Y	350	 
10036	7	Y	600	2
10036	8	N	 	 
10036	9	N	 	 
10036	10	Y	1500	2
10036	11	N	 	 
10036	12	N	 	 
10036	13	N	 	 
10036	14	N	 	 
10036	15	Y	5000	2
10036	16	N	 	 
10036	17	Y	4000	2
10036	18	Y	2000	2
10036	19	N	 	 
10036	20	N	 	 
10036	21	Y	2400	1
10036	22	N	 	 
10036	23	N	 	 
10036	24	N	 	 
10036	25	N	 	 
10036	26	Y	500	1
10036	27	N	 	 
10036	28	N	 	 
10036	29	N	 	 
10036	30	N	 	 
10036	31	N	 	 
10037	1	Y	2000	 
10037	2	Y	1000	 
10037	3	N	 	 
10037	4	Y	2000	1
10037	5	Y	1200	 
10037	6	Y	500	 
10037	7	N	 	 
10037	8	Y	1000	1
10037	9	Y	1000	1
10037	10	N	 	 
10037	11	N	 	 
10037	12	N	 	 
10037	13	N	 	 
10037	14	N	 	 
10037	15	Y	1000	1
10037	16	N	 	 
10037	17	N	 	 
10037	18	N	 	 
10037	19	N	 	 
10037	20	N	 	 
10037	21	Y	1800	1
10037	22	N	 	 
10037	23	N	 	 
10037	24	N	 	 
10037	25	N	 	 
10037	26	N	 	 
10037	27	N	 	 
10037	28	N	 	 
10037	29	N	 	 
10037	30	N	 	 
10037	31	N	 	 
10038	1	Y	1200	 
10038	2	Y	2000	 
10038	3	N	 	 
10038	4	Y	2000	1
10038	5	Y	500	 
10038	6	Y	500	 
10038	7	N	 	 
10038	8	Y	400	1
10038	9	Y	800	1
10038	10	N	 	 
10038	11	Y	20000	1
10038	12	N	 	 
10038	13	N	 	 
10038	14	N	 	 
10038	15	Y	500	1
10038	16	Y	6000	1
10038	17	Y	500	1
10038	18	Y	2000	1
10038	19	N	 	 
10038	20	N	 	 
10038	21	Y	1500	1
10038	22	N	 	 
10038	23	N	 	 
10038	24	N	 	 
10038	25	N	 	 
10038	26	N	 	 
10038	27	N	 	 
10038	28	N	 	 
10038	29	N	 	 
10038	30	N	 	 
10038	31	N	 	 
10039	1	Y	2000	 
10039	2	Y	1000	 
10039	3	N	 	 
10039	4	Y	1000	4
10039	5	Y	1500	 
10039	6	Y	500	 
10039	7	N	 	 
10039	8	Y	500	4
10039	9	Y	2000	4
10039	10	N	 	 
10039	11	N	 	 
10039	12	N	 	 
10039	13	N	 	 
10039	14	N	 	 
10039	15	Y	2000	4
10039	16	Y	3600	4
10039	17	N	 	 
10039	18	N	 	 
10039	19	N	 	 
10039	20	N	 	 
10039	21	Y	2040	1
10039	22	N	 	 
10039	23	N	 	 
10039	24	N	 	 
10039	25	N	 	 
10039	26	N	 	 
10039	27	N	 	 
10039	28	N	 	 
10039	29	N	 	 
10039	30	N	 	 
10039	31	N	 	 
10040	1	Y	1500	 
10040	2	Y	2000	 
10040	3	Y	1000	88
10040	4	Y	1000	4
10040	5	Y	200	 
10040	6	Y	250	 
10040	7	Y	300	88
10040	8	Y	300	4
10040	9	N	 	 
10040	10	N	 	 
10040	11	N	 	 
10040	12	N	 	 
10040	13	N	 	 
10040	14	N	 	 
10040	15	Y	2000	2
10040	16	N	 	 
10040	17	Y	500	1
10040	18	Y	600	1
10040	19	N	 	 
10040	20	N	 	 
10040	21	Y	840	1
10040	22	N	 	 
10040	23	N	 	 
10040	24	N	 	 
10040	25	N	 	 
10040	26	Y	500	2
10040	27	N	 	 
10040	28	N	 	 
10040	29	N	 	 
10040	30	N	 	 
10040	31	N	 	 
10041	1	Y	2000	 
10041	2	Y	1000	 
10041	3	Y	1000	4
10041	4	N	 	 
10041	5	Y	200	 
