CHILDCODE	CHMVIDR4	YRMOVER4	MTHSTYR4	WHRMVER4	LOCMVER4	MVEMEMR4	RSNMVR41
10004	1	2011	35	2	3	1	5
10010	1	2012	24	2	2	80	5
10044	1	2012	3	3	4	0	2
10053	1	2013	9	4	8	3	5
10054	1	2012	13	3	3	2	8
10057	1	2011	10	2	3	0	2
10069	1	2013	5	3	1	3	2
10072	1	2010	72	2	1	0	2
10080	1	2012	16	2	1	0	2
10088	1	2010	36	3	4	3	5
10089	1	2010	36	2	1	1	8
10091	1	2012	2	3	2	2	12
10092	1	2013	2	3	2	3	12
10097	1	2011	29	2	1	80	15
10098	1	2010	48	2	1	3	5
20005	1	2010	39	1	1	0	2
20008	1	2009	48	1	1	0	2
20009	1	2012	2	1	1	0	2
20010	1	2012	2	1	1	0	2
20011	1	2010	36	1	1	0	2
20014	1	2011	26	1	1	0	2
20026	1	2011	33	2	1	0	2
20028	1	2010	12	1	1	3	12
20036	1	2013	3	3	3	3	2
20037	1	2013	3	2	1	90	2
20049	1	2012	3	2	4	0	2
20050	1	2011	23	1	1	0	2
20053	1	2013	3	1	1	0	2
20054	1	2013	3	1	2	0	2
20056	1	2013	4	3	4	0	2
20057	1	2012	3	2	1	0	2
20060	1	2010	32	2	1	3	5
20060	2	2013	2	2	1	0	2
20061	1	2011	23	1	1	0	2
20063	1	2012	2	1	1	0	2
20064	1	2010	3	1	2	0	2
20066	1	2011	23	1	1	0	2
20067	1	2012	3	1	2	0	2
20071	1	2012	3	2	1	0	2
20080	1	2009	39	1	1	0	2
20084	1	2012	3	1	1	0	2
20087	1	2013	4	2	2	0	2
20089	1	2010	32	1	1	0	2
20091	1	2010	48	3	1	3	5
20092	1	2010	45	2	4	4	11
20097	1	2010	36	1	2	0	2
30007	1	2013	2	2	2	0	3
30013	1	2013	2	2	2	0	2
30054	1	2011	5	3	4	0	2
30054	2	2012	3	3	4	0	2
30054	3	2013	4	3	4	0	2
30057	1	2009	3	3	2	2	3
30100	1	2011	12	1	1	3	2
40002	1	2013	7	1	1	0	2
40003	1	2010	40	1	1	0	2
40004	1	2009	30	2	2	0	2
40005	1	2011	10	1	1	0	2
40005	2	2012	10	1	1	0	2
40005	3	2013	7	1	1	0	2
40006	1	2013	6	2	1	0	2
40006	2	2010	30	1	1	0	2
40007	1	2011	20	1	1	0	2
40009	1	2009	30	2	2	3	2
40010	1	2009	50	2	1	0	2
40012	1	2012	16	2	1	0	2
40013	1	2012	17	1	1	0	2
40014	1	2010	36	1	1	0	2
40018	1	2011	8	3	2	0	2
40018	2	2012	7	3	2	0	2
