CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	PRMCRER4	THSVILR4	CHLBRNR4	LIVHSER4	YRDIEDR4	RWHLIVR4	RSEECHR4	RCHLVER4	RLNLIVR4	RELHHR4	MRTLSTR4	MTHRHHR4	FTHRHHR4	STRT18R4	GRDE18R4	EDCH18R4	STLL18R4	HSSTRTR4	GRADER4	STILLR4	WHYNOTR4	STRYRR4	STRMTHR4	AGEGRDR4	GRDRPR4	TYPLSTR4	PERFR4	TYPATDR4	FEESR4	EXTTUTR4	BRDSCHR4	WHSCHR4	SLEEPR4	CHCARER4	HHCHRER4	NPYWRKR4	PAYWRKR4	SCHOOLR4	STUDYR4	PLAYR4	IMPAC1R4	RGJOB1R4	MONTH1R4	WEEKS1R4	DAYS1R4	HOURS1R4	SSAC11R4	SSAC12R4	SSAC13R4	SSAC14R4	OFPEN1R4	IMINC1R4	IMPAC2R4	RGJOB2R4	MONTH2R4	WEEKS2R4	DAYS2R4	HOURS2R4	SSAC21R4	SSAC22R4	SSAC23R4	SSAC24R4	OFPEN2R4	IMINC2R4	IMPAC3R4	RGJOB3R4	MONTH3R4	WEEKS3R4	DAYS3R4	HOURS3R4	SSAC31R4	SSAC32R4	SSAC33R4	SSAC34R4	OFPEN3R4	IMINC3R4	MEMCNSR4	DISABR4	MEMAFCR4	MEMLNGR4	MLNHLR41	MLNHLR42	MLNHLR43	HTSFFR41	HTSFFR42	HTSFFR43	SEEKTRR4	WHSEEKR4	MEMSMKR4	MEMTOBR4	MEMALCR4
10001	0	7	11	 	1	0	0	 	1	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	6	1	 	5	1	 	 	 	2	1	5500	1500	0	5	8	0	1	0	0	8	3	4	17	1	10	4	6	8	1	1	1	1	 	0	15	0	12	4	2	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10001	1	34	38	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	98	99	1	10	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	1	12	4	6	10	1	1	1	1	 	1	15	0	12	4	2	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10001	2	26	30	 	2	1	1	Y	 	1	1	 	 	 	 	 	1	1	98	98	1	10	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	4	7	4	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10001	3	4	8	 	2	7	7	N	 	 	1	 	 	 	 	 	2	0	2	1	 	 	 	 	1	2	1	 	5	4	 	 	 	2	1	4500	1500	0	 	9	0	0	0	0	8	2	5	17	1	10	4	6	8	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10002	0	8	12	 	1	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	7	1	 	5	3	 	 	 	1	1	10000	0	0	1	8	0	1	0	0	10	1	4	17	1	10	4	5	10	1	1	1	1	 	0	15	0	9	3	4	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	1	48	52	 	1	1	1	N	 	 	3	2013	 	 	1	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10002	2	39	43	 	2	1	1	Y	 	0	1	 	 	 	 	 	 	3	98	99	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	1	11	4	6	5	1	1	1	1	 	1	15	1	12	4	7	2	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10003	0	8	12	 	1	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	6	1	 	5	6	 	 	 	4	3	0	0	0	3	7	1	0	0	0	7	2	7	17	1	10	4	5	7	1	1	1	1	 	0	15	0	12	4	4	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10003	1	 	63	 	2	6	6	N	 	 	3	2003	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10003	2	37	41	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	99	99	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	1	12	4	6	7	1	1	1	1	 	1	15	0	12	4	3	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	1	0	1
10003	3	29	33	 	2	1	1	Y	 	1	1	 	 	 	 	 	1	1	98	99	1	6	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	4	7	4	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	1	9	88	 	1	 	 	2	4	0	0	2
10003	4	6	10	 	2	7	7	N	 	 	1	 	 	 	 	 	2	0	3	2	 	 	 	 	1	5	1	 	4	10	 	 	 	2	3	0	0	0	 	8	1	0	0	0	7	1	7	17	1	10	4	5	7	1	1	1	1	 	0	15	0	12	4	2	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10004	0	8	12	 	2	0	0	 	0	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	6	1	 	4	6	 	 	 	3	1	10000	0	0	5	8	1	2	0	0	9	2	2	17	1	10	4	6	8	1	1	1	1	 	0	15	0	6	1	2	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10004	1	42	46	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	99	99	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	13	1	12	4	6	8	1	1	1	1	0	1	15	0	12	2	4	1	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10004	2	34	38	 	2	1	1	Y	 	0	1	 	 	 	 	 	1	1	98	99	1	10	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	12	4	7	4	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10004	3	13	17	 	2	7	7	N	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10004	4	12	16	 	2	7	7	N	 	 	1	 	 	 	 	 	2	0	2	1	 	 	 	 	1	12	1	 	4	6	 	 	 	3	1	10000	0	0	 	8	1	1	0	0	9	3	2	17	1	10	4	6	9	1	1	1	1	 	0	15	0	2	3	3	1	0	0	1	0	 	0	88	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10005	0	8	12	 	2	0	0	 	1	 	1	 	 	 	 	 	2	0	 	 	 	 	 	 	1	7	1	 	4	6	 	 	 	3	3	0	0	0	3	8	1	2	0	0	9	2	2	17	0	10	4	6	8	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	1	 	77	 	1	6	6	N	 	 	3	2003	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	2	69	73	 	2	6	6	N	 	 	3	2012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10005	3	45	49	 	1	1	1	N	 	 	1	 	 	 	 	 	 	1	99	99	1	15	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	12	1	12	4	6	8	1	1	1	1	0	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
10005	4	34	38	 	2	1	1	Y	 	1	1	 	 	 	 	 	1	1	99	99	1	10	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	15	0	12	4	7	4	1	1	1	1	 	0	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	0	 	0	 	 	 	 	 	 	 	 	0	0	2
