CHILDCODE	IMEVIDR4	RKEVR4	LOSS10R4	LOSS11R4	LOSS12R4	LOSS13R4	RESEVR41	RESEVR42	RESEVR43
10001	1	88	 	 	 	 	 	 	 
10001	2	88	 	 	 	 	 	 	 
10001	3	88	 	 	 	 	 	 	 
10002	1	42	 	 	 	1	9	17	88
10002	2	47	 	 	2	 	2	88	88
10002	3	34	 	 	 	2	9	17	88
10003	1	47	 	 	 	2	2	88	88
10003	2	88	 	 	 	 	 	 	 
10003	3	88	 	 	 	 	 	 	 
10004	1	47	 	 	 	2	2	88	88
10004	2	88	 	 	 	 	 	 	 
10004	3	88	 	 	 	 	 	 	 
10005	1	36	 	 	4	 	17	9	88
10005	2	47	 	 	 	2	1	2	88
10005	3	88	 	 	 	 	 	 	 
10007	1	47	 	 	 	2	2	17	88
10007	2	42	 	 	3	 	17	9	88
10007	3	88	 	 	 	 	 	 	 
10008	1	88	 	 	 	 	 	 	 
10008	2	88	 	 	 	 	 	 	 
10008	3	88	 	 	 	 	 	 	 
10009	1	39	 	 	2	 	28	18	88
10009	2	47	 	 	 	3	2	28	6
10009	3	88	 	 	 	 	 	 	 
10010	1	47	 	 	 	2	2	88	88
10010	2	88	 	 	 	 	 	 	 
10010	3	88	 	 	 	 	 	 	 
10011	1	42	 	 	 	2	2	88	88
10011	2	47	 	 	 	2	17	2	88
10011	3	88	 	 	 	 	 	 	 
10012	1	47	 	 	2	 	2	17	88
10012	2	42	 	 	 	2	17	9	88
10012	3	88	 	 	 	 	 	 	 
10013	1	34	 	 	 	4	9	18	88
10013	2	47	 	 	 	2	2	88	88
10013	3	88	 	 	 	 	 	 	 
10014	1	39	 	 	 	2	9	8	17
10014	2	47	 	 	 	2	2	17	88
10014	3	88	 	 	 	 	 	 	 
10015	1	37	 	2	 	 	2	17	88
10015	2	47	 	 	 	2	17	9	88
10015	3	88	 	 	 	 	 	 	 
10016	1	47	 	 	 	2	17	2	88
10016	2	88	 	 	 	 	 	 	 
10016	3	88	 	 	 	 	 	 	 
10017	1	47	 	 	 	2	2	9	88
10017	2	88	 	 	 	 	 	 	 
10017	3	88	 	 	 	 	 	 	 
10018	1	47	 	 	 	2	17	88	88
10018	2	88	 	 	 	 	 	 	 
10018	3	88	 	 	 	 	 	 	 
10019	1	88	 	 	 	 	 	 	 
10019	2	88	 	 	 	 	 	 	 
10019	3	88	 	 	 	 	 	 	 
10020	1	47	 	 	 	2	2	17	88
10020	2	88	 	 	 	 	 	 	 
10020	3	88	 	 	 	 	 	 	 
10021	1	47	 	 	 	2	2	17	88
10021	2	88	 	 	 	 	 	 	 
10021	3	88	 	 	 	 	 	 	 
10023	1	47	 	 	2	 	17	88	88
10023	2	88	 	 	 	 	 	 	 
10023	3	88	 	 	 	 	 	 	 
10024	1	47	 	 	 	2	2	88	88
10024	2	39	 	 	 	2	2	17	88
10024	3	88	 	 	 	 	 	 	 
10025	1	39	 	 	 	2	17	16	88
10025	2	88	 	 	 	 	 	 	 
10025	3	88	 	 	 	 	 	 	 
10026	1	88	 	 	 	 	 	 	 
10026	2	88	 	 	 	 	 	 	 
10026	3	88	 	 	 	 	 	 	 
10027	1	47	 	 	 	2	2	9	28
10027	2	88	 	 	 	 	 	 	 
10027	3	88	 	 	 	 	 	 	 
10028	1	47	 	 	2	 	17	7	88
10028	2	42	 	 	 	2	17	88	88
10028	3	88	 	 	 	 	 	 	 
10029	1	47	 	 	 	2	2	88	88
10029	2	36	1	 	 	 	17	88	88
10029	3	88	 	 	 	 	 	 	 
10030	1	36	 	 	2	 	17	16	88
10030	2	88	 	 	 	 	 	 	 
10030	3	88	 	 	 	 	 	 	 
10031	1	29	 	 	2	 	2	9	88
10031	2	47	 	 	 	3	2	88	88
10031	3	88	 	 	 	 	 	 	 
10032	1	47	 	 	 	3	9	10	28
10032	2	88	 	 	 	 	 	 	 
10032	3	88	 	 	 	 	 	 	 
10033	1	47	 	 	 	3	28	6	2
10033	2	88	 	 	 	 	 	 	 
10033	3	88	 	 	 	 	 	 	 
10034	1	37	 	 	 	3	17	88	88
10034	2	47	 	 	 	3	17	88	88
10034	3	88	 	 	 	 	 	 	 
10035	1	37	 	 	 	2	2	17	21
10035	2	47	 	 	 	2	2	17	88
10035	3	88	 	 	 	 	 	 	 
10036	1	47	 	 	 	2	2	10	28
10036	2	88	 	 	 	 	 	 	 
10036	3	88	 	 	 	 	 	 	 
10037	1	47	 	 	 	2	2	17	88
10037	2	88	 	 	 	 	 	 	 
10037	3	88	 	 	 	 	 	 	 
10038	1	38	2	 	 	 	9	88	88
10038	2	39	 	2	 	 	9	88	88
10038	3	47	 	 	 	2	2	88	88
10039	1	42	 	 	2	 	2	9	88
10039	2	47	 	 	 	2	17	2	88
10039	3	88	 	 	 	 	 	 	 
10040	1	47	 	 	 	2	2	9	10
10040	2	88	 	 	 	 	 	 	 
10040	3	88	 	 	 	 	 	 	 
10041	1	47	 	 	 	2	2	22	88
10041	2	88	 	 	 	 	 	 	 
10041	3	88	 	 	 	 	 	 	 
10042	1	47	 	 	 	3	2	88	88
10042	2	88	 	 	 	 	 	 	 
10042	3	88	 	 	 	 	 	 	 
10043	1	47	 	 	2	 	2	9	5
10043	2	88	 	 	 	 	 	 	 
10043	3	88	 	 	 	 	 	 	 
10044	1	88	 	 	 	 	 	 	 
10044	2	88	 	 	 	 	 	 	 
10044	3	88	 	 	 	 	 	 	 
10045	1	47	 	 	2	 	2	17	88
10045	2	88	 	 	 	 	 	 	 
10045	3	88	 	 	 	 	 	 	 
10046	1	47	 	 	 	3	2	88	88
10046	2	88	 	 	 	 	 	 	 
10046	3	88	 	 	 	 	 	 	 
10047	1	88	 	 	 	 	 	 	 
10047	2	88	 	 	 	 	 	 	 
10047	3	88	 	 	 	 	 	 	 
10048	1	47	 	 	 	3	17	2	88
10048	2	88	 	 	 	 	 	 	 
10048	3	88	 	 	 	 	 	 	 
10049	1	47	 	 	 	2	2	88	88
10049	2	88	 	 	 	 	 	 	 
10049	3	88	 	 	 	 	 	 	 
10050	1	47	 	 	 	2	2	17	88
10050	2	88	 	 	 	 	 	 	 
10050	3	88	 	 	 	 	 	 	 
10051	1	28	 	 	2	 	9	12	18
10051	2	38	 	3	 	 	17	88	88
10051	3	47	 	 	 	3	2	88	88
10052	1	47	 	 	 	2	17	88	88
10052	2	29	 	2	 	 	7	88	88
10052	3	88	 	 	 	 	 	 	 
10053	1	88	 	 	 	 	 	 	 
10053	2	88	 	 	 	 	 	 	 
10053	3	88	 	 	 	 	 	 	 
10054	1	40	 	 	1	 	7	88	88
10054	2	88	 	 	 	 	 	 	 
10054	3	88	 	 	 	 	 	 	 
10055	1	47	 	 	2	 	17	2	88
10055	2	88	 	 	 	 	 	 	 
10055	3	88	 	 	 	 	 	 	 
