CHILDCODE	GRPIDR4	HHMEMR4	GROUPR4	LEADMR4	BENFTR41	BENFTR42	BENFTR43
10003	1	3	6	0	3	88	 
10008	1	2	6	0	3	88	 
10009	1	4	6	0	1	3	4
10013	1	2	6	0	3	4	88
10014	1	3	6	1	3	1	88
10016	1	3	6	1	3	1	2
10021	1	2	6	1	3	1	2
10023	1	3	6	0	3	2	6
10024	1	1	6	0	3	1	88
10025	1	4	19	1	8	88	 
10025	2	1	18	1	8	88	 
10030	1	3	6	0	3	88	 
10033	1	3	6	0	3	1	4
10035	1	2	6	1	3	88	 
10036	1	4	6	0	2	3	1
10038	1	4	6	1	3	2	88
10038	2	7	6	1	3	2	88
10039	1	3	6	0	3	4	5
10040	1	2	6	0	1	3	2
10041	1	2	6	0	3	2	88
10042	1	2	6	0	3	1	88
10043	1	2	6	0	3	4	1
10043	2	1	22	0	6	88	 
10044	1	2	6	1	3	4	88
10048	1	2	6	1	1	3	6
10050	1	2	6	0	3	1	2
10052	1	6	6	0	3	88	 
10054	1	3	6	0	3	88	 
10057	1	2	6	0	3	1	2
10059	1	4	6	1	3	88	 
10060	1	3	6	0	3	88	 
10063	1	4	6	1	1	3	2
10065	1	2	6	0	2	1	3
10066	1	4	6	1	3	2	4
10068	1	2	6	0	3	88	 
10069	1	2	6	0	3	88	 
10072	1	2	6	0	1	3	6
10073	1	4	6	1	3	1	88
10076	1	2	6	1	3	1	2
10077	1	4	6	1	3	88	 
10079	1	9	6	0	3	88	 
10080	1	2	6	1	1	3	2
10081	1	3	6	0	3	4	1
10082	1	2	6	0	3	88	 
10085	1	2	6	0	3	4	2
10087	1	8	6	0	3	2	4
10087	2	7	18	0	4	6	88
10087	3	0	18	1	4	6	88
10087	4	13	18	0	4	6	88
10090	1	5	6	1	3	88	 
10095	1	3	6	0	3	4	88
10096	1	2	6	0	3	2	1
10097	1	8	6	1	3	2	88
10100	1	4	6	0	2	1	3
20004	1	2	6	1	2	1	4
20005	1	2	6	1	1	2	3
20008	1	2	29	0	5	88	 
20014	1	2	29	0	4	5	88
20017	1	3	6	0	3	88	 
20020	1	2	6	0	1	88	 
20021	1	2	6	0	3	1	4
20024	1	2	6	0	3	1	88
20025	1	2	6	1	3	4	88
20025	2	1	28	1	2	88	 
20027	1	 	 	 	 	 	 
20030	1	2	6	1	3	2	4
20031	1	3	6	0	3	88	 
20032	1	2	29	0	4	88	 
20033	1	2	6	0	3	1	2
20034	1	2	6	1	3	1	4
20034	2	2	29	0	4	2	88
20035	1	2	6	0	3	1	88
20036	1	2	6	0	3	88	 
20039	1	3	6	0	1	3	2
20040	1	2	6	0	3	88	 
20041	1	2	6	0	1	3	5
20042	1	2	6	0	3	1	5
20043	1	8	6	0	3	88	 
20043	2	3	6	0	3	88	 
20043	3	11	6	0	3	88	 
20046	1	2	6	1	1	2	88
20048	1	2	23	1	3	88	 
20049	1	2	6	0	3	88	 
20051	1	3	6	0	3	1	88
20055	1	4	6	0	3	4	88
20056	1	2	6	1	3	4	88
20057	1	4	6	1	3	4	88
20058	1	2	33	0	3	5	88
20063	1	2	6	0	3	5	4
20065	1	2	6	1	3	4	88
20066	1	2	6	1	3	1	2
20067	1	2	6	0	3	1	88
20068	1	2	6	0	3	88	 
20069	1	2	6	0	3	1	88
20070	1	2	6	0	1	3	2
20073	1	5	6	1	3	2	1
20073	2	2	6	0	3	2	4
20074	1	2	6	0	3	1	4
20076	1	3	9	1	3	88	 
20079	1	3	6	0	3	1	88
20080	1	2	6	0	1	3	4
20082	1	3	6	0	3	88	 
20083	1	2	6	0	3	1	88
20084	1	2	6	1	3	88	 
20085	1	2	6	1	1	3	2
20087	1	2	6	0	3	4	88
20087	2	2	29	0	4	88	 
20090	1	1	6	0	1	3	88
20092	1	8	6	1	1	3	4
