CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPRIDR4	SUPEXPR4	SUPIMR401	SUPIMR402
20090	2	16	44	2009	99	1	28	4	1	6
20092	1	12	36	2009	99	1	0	4	6	1
20092	2	12	36	2009	99	1	4	4	6	2
20093	1	19	36	2011	2012	6	2	4	5	88
20093	2	12	36	2010	99	6	0	4	6	88
20094	1	12	36	2011	99	6	0	4	6	4
20095	1	12	36	2013	99	6	0	4	4	88
20097	1	16	36	2010	99	6	0	4	1	6
20097	2	16	36	2011	99	6	6	4	88	88
20098	1	16	44	2009	99	1	0	4	6	1
20098	2	16	44	2009	99	1	28	4	6	4
20099	1	12	36	2010	99	6	0	4	6	5
30001	1	5	45	2010	99	6	2	5	4	1
30001	2	5	45	2010	99	6	4	5	4	1
30004	1	5	45	2010	99	7	4	2	9	88
30005	1	5	45	2010	99	6	3	3	1	88
30006	1	5	36	2011	99	6	3	3	8	88
30013	1	5	36	2009	99	4	3	3	2	88
30019	1	5	45	2011	99	7	5	2	5	2
30021	1	5	45	2009	99	6	3	3	1	4
30035	1	5	45	2011	99	6	4	4	5	88
30040	1	5	45	2009	99	6	4	3	2	4
30043	1	5	45	2010	99	6	3	4	4	1
30043	2	5	45	2010	99	6	5	4	5	1
30048	1	5	45	2012	99	7	5	4	5	88
30055	1	5	45	2012	99	6	80	4	4	5
30058	1	5	45	2010	2011	6	2	4	1	4
30058	2	5	45	2010	2011	6	4	4	1	88
30061	1	5	36	2009	99	4	2	3	4	88
30066	1	5	36	2010	99	4	2	3	2	88
30067	1	5	45	2010	99	6	3	4	4	1
30072	1	5	36	2009	99	4	2	3	4	88
30073	1	5	36	2009	99	4	2	4	4	88
30075	1	5	45	2012	99	7	3	4	6	4
30080	1	5	45	2010	99	6	3	4	5	1
30087	1	5	36	2013	99	88	2	3	4	88
30092	1	5	36	2011	99	4	6	4	4	88
30094	1	5	36	2009	99	6	4	4	4	88
30097	1	19	36	2013	99	8	4	4	5	88
30098	1	5	45	2009	99	6	31	4	1	88
30100	1	5	45	2010	99	6	8	3	1	88
40001	1	16	36	2012	99	6	5	4	4	88
40002	1	16	36	2013	99	1	0	5	6	4
40003	1	16	36	2010	99	1	0	4	4	6
40003	2	16	36	2010	99	1	5	4	4	6
40004	1	19	36	2012	99	4	3	3	5	88
40004	2	16	36	2009	99	1	0	4	6	4
40004	3	16	36	2009	99	1	4	4	6	4
40004	4	16	36	2012	99	1	5	4	6	4
40005	1	12	36	2012	99	1	0	4	4	6
40005	2	12	36	2010	99	1	5	4	6	4
40006	1	16	36	2010	99	1	0	3	4	6
40006	2	16	36	2010	99	1	5	4	2	6
40007	1	16	36	2013	99	1	0	4	2	4
40007	2	16	36	2009	99	1	5	4	6	4
40008	1	16	36	2011	99	1	3	4	4	1
40008	2	16	36	2013	99	1	5	4	6	4
40009	1	12	36	2009	99	1	0	3	4	6
