CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	SMESCHR4	TYSCR4	DSSCR4	NMSCWDR4	LNGINSR4
10038	11	1	4	 	1	5	2104	75
10038	12	1	5	 	1	5	2104	75
10038	13	1	6	 	1	5	2104	75
10039	10	1	4	 	1	5	845	75
10039	11	1	5	 	1	5	845	75
10039	12	1	6	 	1	5	1573	75
10039	13	1	7	 	1	5	1573	75
10040	10	1	3	 	1	5	108	75
10040	11	1	4	 	1	5	2245	75
10040	12	1	5	 	1	5	2245	75
10040	13	1	6	 	1	5	2245	75
10041	10	1	4	 	1	5	2104	75
10041	11	1	5	 	1	5	2104	75
10041	12	1	6	 	1	5	2104	75
10041	13	1	7	 	1	5	2104	75
10042	10	1	4	 	1	5	2247	72
10042	11	1	5	 	8	5	2248	72
10042	12	1	6	 	8	5	2248	72
10042	13	1	7	 	8	5	2248	72
10043	10	1	4	 	1	5	2250	75
10043	11	1	5	 	1	5	2251	75
10043	12	1	6	 	1	5	2251	75
10043	13	1	7	 	1	5	2251	75
10044	10	1	4	 	3	5	2252	72
10044	11	1	5	 	3	3	2253	75
10044	12	1	6	 	3	3	2253	75
10044	13	1	7	 	3	3	2253	75
10045	10	1	3	 	3	5	2255	72
10045	11	1	4	 	3	5	2255	72
10045	12	1	5	 	3	5	2255	72
10045	13	1	6	 	3	5	2255	72
10046	10	1	4	 	1	5	2033	75
10046	11	1	5	 	1	5	2033	75
10046	12	1	6	 	1	5	2033	75
10046	13	1	7	 	1	5	1775	75
10047	10	1	4	 	1	5	108	75
10047	11	1	5	 	1	5	108	75
10047	12	1	6	 	1	5	1909	75
10047	13	1	7	 	1	5	1909	75
10048	10	1	5	 	1	5	136	75
10048	11	1	6	 	1	5	2257	72
10048	12	1	7	 	1	5	2257	75
10048	13	1	8	 	1	5	2257	75
10049	10	1	3	 	1	5	846	75
10049	11	1	4	 	1	5	846	75
10049	12	1	5	 	1	5	846	75
10049	13	1	6	 	1	5	846	75
10050	10	1	4	 	8	5	851	72
10050	11	1	5	 	8	5	851	72
10050	12	1	6	 	8	5	851	72
10050	13	1	7	 	8	5	851	72
10051	10	1	5	 	3	9	1454	72
10051	11	1	6	 	3	9	1454	75
10051	12	1	7	 	3	9	1454	75
10051	13	1	8	 	3	9	1454	75
10052	10	1	4	 	1	5	1896	75
10052	11	1	5	 	1	5	1896	75
10052	12	1	6	 	1	5	1896	75
10052	13	1	7	 	1	5	1896	75
10053	10	1	4	 	1	5	2101	75
10053	11	1	5	 	1	5	2101	75
10053	12	1	6	 	1	4	2101	75
10053	13	1	7	 	1	98	2101	75
10054	10	1	3	 	8	5	93	75
10054	11	1	4	 	8	5	93	75
10054	12	1	5	 	8	5	93	75
10054	13	1	6	 	1	6	1662	75
10055	10	1	5	 	3	5	1424	72
10055	11	1	6	 	3	5	850	72
10055	12	1	7	 	3	5	850	72
10055	13	1	8	 	3	5	850	72
10056	10	1	2	 	1	5	2403	75
10056	11	1	3	 	1	5	2403	75
10056	12	1	4	 	1	5	1377	75
10056	13	1	5	 	1	5	2403	75
10057	10	1	5	 	1	5	122	75
10057	11	1	6	 	1	5	1373	75
10057	12	1	7	 	1	5	1373	75
10057	13	1	8	 	1	5	1373	75
10058	10	1	3	 	3	4	594	72
10058	11	1	1	 	3	4	2261	72
10058	12	1	2	 	3	4	2261	72
10058	13	1	3	 	3	4	2261	72
10059	10	1	4	 	8	5	96	72
10059	11	1	5	 	8	5	96	72
10059	12	1	6	 	8	5	96	72
10059	13	1	7	 	8	5	96	72
10060	10	1	3	 	3	5	1788	72
10060	11	1	4	 	3	5	1788	72
10060	12	1	5	 	3	5	1788	72
10060	13	1	1	 	3	5	1788	72
10062	10	1	4	 	3	5	113	72
10062	11	1	5	 	3	5	113	72
10062	12	1	6	 	3	5	1265	72
10062	13	1	7	 	3	5	1265	72
10063	10	1	4	 	1	5	2262	75
10063	11	1	5	 	1	5	2262	75
10063	12	1	6	 	1	5	2262	75
10063	13	1	7	 	1	5	2262	75
10064	10	1	4	 	1	6	2112	75
10064	11	1	5	 	1	6	2112	75
10064	12	1	6	 	1	6	1384	75
10064	13	1	7	 	1	6	1384	75
10065	10	1	4	 	3	5	849	75
10065	11	1	5	 	1	5	849	75
10065	12	1	6	 	3	5	857	75
10065	13	1	7	 	3	5	96	75
10066	10	1	4	 	3	5	118	73
10066	11	1	5	 	3	5	118	73
10066	12	1	6	 	3	5	118	73
10066	13	1	7	 	3	5	118	73
10067	10	1	2	 	3	5	2030	72
10067	11	1	3	 	3	5	2030	72
10067	12	1	4	 	3	5	2030	72
10067	13	1	5	 	3	5	2030	72
10068	10	1	5	 	3	5	111	72
10068	11	1	6	 	3	5	848	72
10068	12	1	7	 	3	5	848	72
10068	13	1	8	 	3	5	848	72
10069	10	1	5	 	3	5	139	72
10069	11	1	6	 	3	6	2183	72
10069	12	1	7	 	3	6	2183	72
10069	13	1	8	 	3	6	2183	72
10070	10	1	4	 	1	5	1905	75
10070	11	1	5	 	1	5	1905	75
10070	12	1	6	 	1	5	1905	75
10070	13	1	7	 	1	5	1905	75
10071	10	1	4	 	3	5	2087	72
10071	11	1	5	 	3	5	2087	72
10071	12	1	6	 	3	5	858	72
10071	13	1	7	 	3	5	858	72
10072	10	1	1	 	2	5	1660	73
10072	11	1	2	 	2	5	1660	73
10072	12	1	3	 	2	5	1660	73
10072	13	1	4	 	2	5	1660	73
10073	10	1	3	 	1	5	117	75
10073	11	1	4	 	1	5	117	75
10073	12	1	5	 	1	5	117	75
10073	13	1	6	 	1	5	117	75
10075	10	1	5	 	1	5	1378	75
10075	11	1	6	 	1	5	1989	75
10075	12	1	7	 	1	5	1989	75
10075	13	1	8	 	1	5	1989	75
10076	10	1	4	 	1	5	108	75
10076	11	1	5	 	1	5	108	75
10076	12	1	6	 	1	5	854	75
10076	13	1	7	 	1	5	854	75
10077	10	0	 	 	 	 	 	 
10077	11	1	1	 	1	5	857	75
10077	12	1	2	 	1	5	857	75
10077	13	1	3	 	1	5	857	75
10079	10	1	4	 	3	5	1586	72
10079	11	1	5	 	3	5	1586	72
10079	12	1	6	 	3	5	1865	72
10079	13	1	7	 	3	5	1865	72
10080	10	1	2	 	1	5	1367	75
10080	11	1	4	 	1	5	1367	75
10080	12	1	4	 	2	5	1660	73
10080	13	1	5	 	2	5	1660	73
10081	10	1	4	 	1	5	1910	72
10081	11	1	5	 	1	5	1910	75
10081	12	1	6	 	1	5	1910	75
10081	13	1	7	 	1	5	1910	75
10082	10	1	4	 	1	5	1506	75
10082	11	1	5	 	1	5	1506	75
10082	12	1	6	 	8	5	1506	72
10082	13	1	7	 	8	5	1506	72
