CHILDCODE	EDCHSTR4	ATSCR4	GRDER4	SMESCHR4	TYSCR4	DSSCR4	NMSCWDR4	LNGINSR4
50076	13	1	8	 	3	6	2139	75
50077	10	1	3	 	1	1	43	72
50077	11	1	4	 	1	1	43	72
50077	12	1	5	 	1	1	43	72
50077	13	1	6	 	1	1	43	72
50078	10	1	4	 	3	1	64	72
50078	11	1	5	 	3	1	64	72
50078	12	1	6	 	3	1	952	72
50078	13	1	7	 	3	1	952	72
50079	10	1	4	 	1	1	934	72
50079	11	1	5	 	1	1	934	72
50079	12	1	6	 	3	1	952	72
50079	13	1	7	 	3	1	952	72
50080	10	1	2	 	8	23	1271	75
50080	11	1	3	 	8	23	1271	75
50080	12	1	4	 	8	1	43	75
50080	13	1	5	 	8	1	43	75
50081	10	1	5	 	3	1	64	72
50081	11	1	6	 	3	1	952	72
50081	12	1	7	 	3	1	952	72
50081	13	1	8	 	3	1	952	72
50082	10	1	4	 	3	1	64	72
50082	11	1	5	 	3	1	64	72
50082	12	1	6	 	3	1	952	72
50082	13	1	7	 	3	1	1527	72
50083	10	1	5	 	3	1	64	72
50083	11	1	6	 	3	1	952	72
50083	12	1	7	 	3	1	952	72
50083	13	1	8	 	3	1	952	72
50084	10	1	4	 	3	1	64	72
50084	11	1	5	 	3	1	64	72
50084	12	1	6	 	3	1	1527	72
50084	13	1	7	 	3	1	1527	72
50085	10	1	3	 	3	1	952	72
50085	11	1	4	 	3	1	952	72
50085	12	1	5	 	3	1	952	72
50085	13	1	6	 	3	1	952	72
50086	10	1	4	 	3	1	1675	72
50086	11	1	5	 	3	1	1853	75
50086	12	1	6	 	3	1	1853	75
50086	13	1	7	 	3	1	1853	75
50087	10	1	5	 	3	1	69	72
50087	11	1	6	 	3	1	959	72
50087	12	1	7	 	3	1	959	72
50087	13	1	8	 	3	1	959	72
50088	10	1	4	 	8	1	2114	75
50088	11	1	5	 	8	1	2114	75
50088	12	1	6	 	8	1	15	75
50088	13	1	7	 	8	1	15	75
50089	10	1	4	 	3	1	69	72
50089	11	1	5	 	3	1	69	72
50089	12	1	6	 	3	1	959	72
50089	13	1	7	 	3	1	959	72
50090	10	1	4	 	3	5	1673	72
50090	11	1	5	 	3	5	1673	72
50090	12	1	6	 	3	1	2191	72
50090	13	1	7	 	3	1	2191	72
50091	10	1	4	 	3	98	1650	72
50091	11	1	5	 	3	98	1372	72
50091	12	1	6	 	3	98	1648	72
50091	13	1	7	 	3	98	1648	72
50092	10	1	4	 	3	1	69	72
50092	11	1	4	 	1	1	1981	72
50092	12	1	5	 	3	1	69	72
50092	13	1	6	 	3	1	960	72
50093	10	1	3	 	3	1	69	72
50093	11	1	4	 	3	1	69	72
50093	12	1	5	 	3	1	69	72
50093	13	1	6	 	3	1	959	72
50094	10	1	3	 	1	1	961	75
50094	11	1	4	 	1	1	961	75
50094	12	1	5	 	1	1	961	75
50094	13	1	6	 	1	1	1940	75
50095	10	1	2	 	3	1	69	72
50095	11	0	 	 	 	 	 	 
50095	12	0	 	 	 	 	 	 
50095	13	0	 	 	 	 	 	 
50097	10	1	4	 	1	6	1369	72
50097	11	1	5	 	1	6	1369	72
50097	12	1	6	 	3	6	1380	72
50097	13	1	7	 	3	6	1380	72
50098	10	1	5	 	3	1	69	72
50098	11	1	6	 	3	1	69	72
50098	12	1	7	 	3	1	960	72
50098	13	1	8	 	3	1	960	72
50099	10	1	4	 	3	1	69	72
50099	11	1	5	 	3	1	69	72
50099	12	1	6	 	3	1	959	72
50099	13	1	7	 	3	1	959	72
50100	10	1	4	 	3	1	69	72
50100	11	1	5	 	3	1	69	72
50100	12	1	6	 	3	1	959	72
50100	13	1	7	 	3	1	959	72
60001	10	1	5	 	3	1	392	72
60001	11	1	6	 	3	1	392	72
60001	12	1	7	 	3	1	392	72
60001	13	1	8	 	3	1	963	72
60002	10	1	4	 	1	1	400	75
60002	11	1	5	 	1	1	400	75
60002	12	1	6	 	1	1	400	75
60002	13	1	7	 	1	1	400	75
60003	10	1	3	 	3	1	392	72
60003	11	1	4	 	3	1	392	72
60003	12	1	5	 	3	1	677	72
60003	13	1	6	 	3	1	393	72
60004	10	1	4	 	3	1	392	72
60004	11	1	5	 	3	1	392	72
60004	12	1	6	 	3	1	392	72
60004	13	1	7	 	3	1	392	72
60005	10	1	4	 	3	1	392	72
60005	11	1	5	 	3	1	392	72
60005	12	1	6	 	3	1	392	72
60005	13	1	7	 	3	1	392	72
60006	10	1	5	 	3	1	392	72
60006	11	1	6	 	3	1	392	72
60006	12	1	7	 	3	1	392	72
60006	13	1	8	 	3	1	963	72
60007	10	1	3	 	8	1	400	72
60007	11	1	4	 	8	1	400	72
60007	12	1	5	 	8	1	400	72
60007	13	1	6	 	8	1	400	72
60008	10	1	3	 	1	1	967	72
60008	11	1	4	 	1	1	967	72
60008	12	1	5	 	1	1	967	72
60008	13	1	6	 	3	1	963	72
60009	10	1	4	 	3	1	392	72
60009	11	1	5	 	3	1	392	72
60009	12	1	6	 	3	1	963	72
60009	13	1	7	 	3	1	963	72
60010	10	1	4	 	3	1	392	72
60010	11	1	4	 	3	1	1596	72
60010	12	1	5	 	3	1	1596	72
60010	13	1	6	 	3	1	963	72
60012	10	1	2	 	1	1	967	75
60012	11	1	3	 	1	1	967	75
60012	12	1	4	 	1	1	967	75
60012	13	1	5	 	1	1	967	75
60013	10	1	4	1	3	1	394	72
60013	11	1	5	0	1	1	967	72
60013	12	1	6	0	3	1	394	72
60013	13	1	7	1	3	1	394	72
60014	10	1	4	1	3	1	394	72
60014	11	1	5	1	3	1	394	72
60014	12	1	6	1	3	1	394	72
60014	13	1	7	1	3	1	394	72
60015	10	1	5	1	3	1	394	72
60015	11	1	6	1	3	1	394	72
60015	12	1	7	1	3	1	394	72
60015	13	1	8	0	3	1	966	72
60016	10	1	5	 	3	1	394	72
60016	11	1	6	 	3	1	394	72
60016	12	1	7	 	3	1	394	72
60016	13	1	8	 	3	1	966	72
60017	10	1	5	 	3	1	394	72
60017	11	1	6	 	3	1	394	72
60017	12	1	7	 	3	1	394	72
60017	13	1	8	 	3	1	1490	72
60018	10	1	3	1	3	1	394	72
60018	11	1	4	1	3	1	394	72
60018	12	1	4	0	3	1	394	72
60018	13	1	5	1	3	1	394	72
60019	10	1	4	1	3	1	394	72
60019	11	1	5	1	3	1	394	72
60019	12	1	6	0	3	1	981	72
60019	13	1	7	1	3	1	981	72
60020	10	1	4	 	3	1	394	72
60020	11	1	5	 	3	1	394	72
60020	12	1	6	 	3	1	394	72
60020	13	1	7	 	3	1	394	72
60021	10	1	5	 	8	1	973	72
60021	11	1	6	 	8	1	973	72
60021	12	1	7	 	3	1	966	72
60021	13	1	8	 	3	1	966	72
60022	10	1	4	 	1	1	973	75
60022	11	1	5	 	1	1	973	72
60022	12	1	6	 	1	1	2084	75
60022	13	1	7	 	3	1	966	72
60023	10	1	3	 	1	1	400	72
60023	11	1	4	 	1	1	400	72
60023	12	1	5	 	3	1	959	72
60023	13	1	6	 	3	1	959	72
60024	10	1	4	 	3	1	400	72
60024	11	1	5	 	3	1	1291	75
60024	12	1	6	 	3	1	1291	75
60024	13	1	7	 	3	1	1291	75
60025	10	1	4	 	3	1	1592	72
60025	11	1	5	 	3	1	1592	72
60025	12	1	6	 	3	1	1443	75
60025	13	1	7	 	3	1	1443	75
60026	10	1	4	 	3	1	386	72
60026	11	1	5	 	3	1	386	72
60026	12	1	6	 	3	1	1451	75
60026	13	1	7	 	3	1	1451	75
60027	10	1	4	 	3	1	386	72
60027	11	1	5	 	3	1	386	72
60027	12	1	5	 	1	1	400	75
60027	13	1	6	 	1	1	400	75
60028	10	1	4	 	1	1	967	72
60028	11	1	4	 	1	1	967	72
60028	12	1	5	 	1	1	967	72
60028	13	1	6	 	1	1	967	72
60029	10	1	4	 	3	1	396	72
60029	11	1	5	 	3	1	396	72
60029	12	1	6	 	3	1	396	72
60029	13	1	7	 	1	1	2116	75
60030	10	1	4	1	3	1	396	72
60030	11	1	5	1	3	1	396	72
60030	12	1	6	1	3	1	396	72
60030	13	1	7	1	3	1	396	72
60031	10	1	4	1	3	1	396	72
60031	11	1	5	1	3	1	396	72
60031	12	1	6	1	3	1	396	72
60031	13	1	7	1	3	1	396	72
60032	10	1	5	1	3	1	396	72
60032	11	1	6	1	3	1	396	72
60032	12	1	7	1	3	1	396	72
60032	13	1	8	0	3	1	2156	72
60033	10	1	3	 	3	1	396	72
60033	11	1	4	 	3	1	1595	72
60033	12	1	5	 	3	1	1595	72
60033	13	1	6	 	3	1	2165	72
60034	10	1	5	 	3	1	396	72
60034	11	1	6	 	3	1	396	72
60034	12	1	7	 	3	1	396	72
60034	13	1	8	 	1	8	1341	72
60035	10	1	3	1	3	1	396	72
60035	11	1	4	1	3	1	396	72
60035	12	1	5	1	3	1	396	72
60035	13	1	6	1	3	1	396	72
60036	10	1	4	1	1	3	1327	75
60036	11	1	5	0	1	1	1771	75
60036	12	1	6	1	1	1	1771	75
60036	13	1	7	1	1	1	1771	75
60037	10	1	4	1	3	1	396	72
60037	11	1	5	1	3	1	396	72
60037	12	1	6	1	3	1	396	72
60037	13	1	7	1	3	1	396	72
60038	10	1	4	1	3	1	396	72
60038	11	1	5	1	3	1	396	72
60038	12	1	6	1	3	1	396	72
60038	13	1	7	1	3	1	396	72
60039	10	1	5	1	3	1	396	72
60039	11	1	6	1	3	1	396	72
60039	12	1	7	1	3	1	396	72
60039	13	1	8	0	1	1	2116	75
60040	10	1	4	 	8	1	395	75
60040	11	1	5	 	8	1	395	75
60040	12	1	6	 	8	1	395	75
60040	13	1	7	 	8	1	2084	75
60041	10	1	3	1	3	1	396	72
60041	11	1	4	1	3	1	396	72
60041	12	1	5	1	3	1	396	72
60041	13	1	6	1	3	1	396	72
60042	10	1	4	1	3	1	396	72
60042	11	1	5	1	3	1	396	72
60042	12	1	5	0	3	1	1285	75
60042	13	1	6	1	3	1	1285	75
60043	10	1	5	1	3	1	1606	72
60043	11	1	6	0	3	1	2172	72
60043	12	1	7	1	3	1	2172	72
60043	13	1	8	1	3	1	2172	72
60044	10	1	4	 	3	4	594	72
60044	11	1	5	 	3	4	594	72
60044	12	1	6	 	3	4	2224	72
60044	13	1	5	 	1	4	1280	75
60045	10	1	4	 	3	1	2106	72
60045	11	1	5	 	3	1	2106	72
60045	12	1	6	 	8	1	2106	75
60045	13	1	7	 	8	1	2106	75
60046	10	1	4	 	3	1	388	72
60046	11	1	5	 	3	1	388	72
60046	12	1	6	 	3	1	971	72
60046	13	1	7	 	3	1	971	72
60047	10	1	4	 	3	1	388	72
60047	11	1	5	 	3	1	388	72
60047	12	1	6	 	3	1	2145	72
60047	13	1	7	 	3	1	2145	72
60048	10	1	5	 	3	1	388	72
60048	11	1	6	 	3	1	2145	75
60048	12	1	7	 	3	1	2145	75
60048	13	1	8	 	3	1	2145	75
60049	10	1	5	 	3	1	388	72
60049	11	1	6	 	3	1	2145	75
60049	12	1	7	 	3	1	2145	75
60049	13	1	8	 	3	1	2145	75
60050	10	1	4	 	1	1	1882	75
60050	11	1	5	 	1	1	1882	75
60050	12	1	6	 	1	1	1882	75
60050	13	1	7	 	1	1	2106	75
60051	10	1	3	 	3	1	388	72
60051	11	1	4	 	3	1	388	72
60051	12	1	5	 	3	1	388	72
60051	13	1	6	 	3	1	2145	72
60052	10	1	5	 	3	1	388	72
60052	11	1	6	 	3	1	2145	72
60052	12	1	7	 	3	1	2145	72
60052	13	1	8	 	3	1	2145	72
60053	10	1	3	 	2	6	1368	72
60053	11	1	4	 	2	6	1368	72
60053	12	1	5	 	2	6	1368	72
60053	13	1	6	 	3	6	1809	72
60054	10	1	4	 	1	1	1689	72
60054	11	1	5	 	3	1	1689	72
60054	12	1	6	 	1	1	886	75
60054	13	1	7	 	1	1	886	75
60055	10	1	3	 	3	1	388	72
60055	11	1	4	 	3	1	388	72
60055	12	1	5	 	3	1	388	72
60055	13	1	6	 	3	1	959	72
60056	10	1	5	 	3	1	388	72
60056	11	1	6	 	3	1	959	72
60056	12	1	7	 	3	1	959	72
60056	13	1	8	 	3	1	959	72
60057	10	1	5	 	3	1	910	72
60057	11	1	6	 	1	1	2106	72
60057	12	1	7	 	1	1	2106	72
60057	13	1	8	 	1	1	2106	72
60058	10	1	4	 	3	1	1580	72
60058	11	1	5	 	3	1	1580	72
60058	12	1	6	 	3	1	1580	72
60058	13	1	7	 	3	1	2203	72
60059	10	1	2	 	1	1	380	75
60059	11	1	3	 	1	1	380	75
60059	12	1	4	 	1	1	380	75
60059	13	1	5	 	1	1	380	75
60060	10	1	5	 	3	1	1596	72
60060	11	1	6	 	3	1	963	72
60060	12	1	7	 	3	1	963	72
60060	13	1	8	 	3	1	963	72
60061	10	1	4	 	1	1	969	75
60061	11	1	5	 	3	1	1284	75
60061	12	1	6	 	1	1	886	75
60061	13	1	7	 	1	1	886	75
60062	10	1	2	 	1	1	969	75
60062	11	1	3	 	1	1	969	75
60062	12	1	4	 	1	1	969	75
60062	13	1	5	 	1	1	886	75
60063	10	1	4	 	1	1	1823	75
60063	11	1	5	 	1	1	1823	75
60063	12	1	6	 	1	1	1823	75
60063	13	1	7	 	1	1	1823	75
60064	10	1	3	 	1	1	969	75
60064	11	1	4	 	1	1	969	75
60064	12	1	5	 	1	1	1404	75
60064	13	1	6	 	1	1	1404	75
60065	10	1	5	 	3	1	1605	72
60065	11	1	6	 	3	1	976	72
60065	12	1	7	 	3	1	976	72
60065	13	1	8	 	3	1	2203	72
60066	10	1	4	 	3	1	1605	72
60066	11	1	5	 	3	1	1605	72
60066	12	1	6	 	3	1	976	72
60066	13	1	7	 	3	3	2143	75
60067	10	1	5	 	3	1	1605	72
60067	11	1	6	 	3	1	2171	72
60067	12	1	7	 	3	1	2171	72
60067	13	1	8	 	3	1	2171	72
60068	10	1	5	 	3	1	1605	72
60068	11	1	6	 	8	1	382	72
60068	12	1	7	 	8	1	382	72
60068	13	1	8	 	8	1	382	72
60069	10	1	5	 	3	1	1605	72
60069	11	1	6	 	8	1	382	72
60069	12	1	7	 	8	1	382	72
60069	13	1	8	 	8	1	382	72
60070	10	1	3	 	1	1	1605	72
60070	11	1	4	 	1	1	382	72
60070	12	1	5	 	1	1	382	72
60070	13	1	6	 	1	1	382	72
60071	10	1	3	 	3	1	976	72
60071	11	1	4	 	8	1	380	72
60071	12	1	5	 	8	1	380	72
60071	13	1	6	 	8	1	380	72
60072	10	1	4	 	8	1	380	72
60072	11	1	5	 	8	1	380	72
60072	12	1	6	 	8	1	380	72
60072	13	1	7	 	8	1	380	72
60073	10	1	3	 	1	1	1651	75
60073	11	1	4	 	1	1	1651	75
60073	12	1	5	 	1	1	1651	75
60073	13	1	6	 	1	1	1651	75
60074	10	1	2	 	1	1	380	75
60074	11	1	3	 	3	1	1697	72
60074	12	1	4	 	3	1	1697	72
60074	13	1	5	 	3	1	1697	72
60075	10	1	2	 	1	1	400	75
60075	11	1	3	 	1	1	400	75
60075	12	1	4	 	1	1	400	75
60075	13	1	5	 	1	1	400	75
60076	10	1	3	 	3	1	393	72
60076	11	1	4	 	3	1	393	72
60076	12	1	5	 	1	1	2106	72
60076	13	1	6	 	3	1	393	72
60077	10	1	4	 	3	1	393	72
60077	11	1	5	 	3	1	393	72
60077	12	1	6	 	3	1	393	72
60077	13	1	7	 	3	1	393	72
60078	10	1	5	 	3	1	393	72
60078	11	1	6	 	3	1	393	72
60078	12	1	7	 	3	1	393	72
60078	13	1	8	 	3	1	968	72
60079	10	1	5	 	3	1	393	72
60079	11	1	6	 	1	1	2106	75
60079	12	1	7	 	1	1	2106	75
60079	13	1	8	 	1	1	398	75
60080	10	1	4	 	8	1	393	72
60080	11	1	4	 	8	1	978	72
60080	12	1	5	 	8	1	978	72
60080	13	1	6	 	8	1	398	72
60081	10	1	4	 	3	1	393	72
60081	11	1	5	 	3	98	2069	72
60081	12	1	6	 	3	98	2069	72
60081	13	1	7	 	3	98	2069	72
60082	10	1	3	 	3	1	1602	72
60082	11	1	4	 	3	1	1602	72
60082	12	1	5	 	3	1	1602	72
60082	13	1	6	 	3	1	393	72
60083	10	1	4	 	3	1	408	72
60083	11	1	5	 	3	1	408	72
60083	12	1	6	 	3	1	2172	72
60083	13	1	7	 	3	1	2172	72
60084	10	1	5	 	3	1	393	72
60084	11	1	6	 	3	1	2196	72
60084	12	1	7	 	3	1	2196	72
60084	13	1	8	 	3	1	2196	72
60085	10	1	3	 	3	3	1739	72
60085	11	1	4	 	3	2	1737	72
60085	12	1	5	 	3	2	1737	72
60085	13	1	6	 	3	2	1737	72
60086	10	1	4	 	3	1	983	72
60086	11	1	5	 	3	1	983	72
60086	12	1	6	 	3	1	980	72
60086	13	1	7	 	3	1	980	72
60089	10	1	5	 	3	1	983	72
60089	11	1	6	 	3	1	2186	72
60089	12	1	7	 	3	1	2186	72
60089	13	1	8	 	3	1	2186	72
60090	10	1	4	 	3	1	984	72
60090	11	1	5	 	3	1	984	72
60090	12	1	6	 	3	1	1322	72
60090	13	1	7	 	3	1	1322	72
60091	10	1	3	 	3	1	984	72
60091	11	1	4	 	3	1	984	72
60091	12	1	5	 	3	1	984	72
60091	13	1	6	 	3	1	979	72
60092	10	1	3	 	1	1	398	75
60092	11	1	4	 	1	1	398	75
60092	12	1	5	 	3	1	1284	75
60092	13	1	6	 	3	1	1284	75
60093	10	1	2	 	8	1	398	75
60093	11	1	3	 	8	1	398	75
60093	12	1	4	 	8	1	398	75
60093	13	1	5	 	3	1	1284	75
60094	10	1	4	 	3	1	1758	72
60094	11	1	5	 	3	1	1758	72
60094	12	1	6	 	3	1	980	72
60094	13	1	7	 	3	1	2215	72
60096	10	1	4	 	3	1	983	72
60096	11	1	5	 	3	1	1284	75
60096	12	1	6	 	3	1	1284	75
60096	13	1	7	 	3	1	1284	75
60097	10	1	5	 	3	1	1249	75
60097	11	1	6	 	3	1	1249	75
60097	12	1	7	 	3	1	1249	75
60097	13	1	8	 	3	1	1249	75
60098	10	1	4	 	3	1	983	72
60098	11	1	5	 	3	1	1283	72
60098	12	1	6	 	3	1	1283	72
60098	13	1	7	 	3	1	1283	75
60099	10	1	3	 	1	1	962	75
60099	11	1	4	 	1	1	962	75
60099	12	1	5	 	1	1	962	75
60099	13	1	6	 	1	1	962	75
60100	10	1	3	 	3	1	983	72
60100	11	1	4	 	3	1	983	72
60100	12	0	 	 	 	 	 	 
60100	13	1	5	 	3	1	983	72
70001	10	1	5	1	 	 	 	 
70001	11	1	6	0	1	1	1779	75
70001	12	1	7	1	 	 	 	 
70001	13	1	8	1	 	 	 	 
70002	10	1	4	1	 	 	 	 
70002	11	1	5	1	 	 	 	 
70002	12	1	6	0	3	1	986	72
70002	13	1	7	1	 	 	 	 
70003	10	1	4	1	 	 	 	 
70003	11	1	5	1	 	 	 	 
70003	12	1	6	1	 	 	 	 
70003	13	1	7	1	 	 	 	 
70004	10	1	4	1	 	 	 	 
70004	11	1	5	1	 	 	 	 
70004	12	1	6	0	8	1	1839	75
70004	13	1	7	1	 	 	 	 
70005	10	1	5	1	3	1	1686	72
70005	11	1	6	1	3	1	1282	72
70005	12	1	7	1	3	1	1282	72
70005	13	1	8	1	3	1	1282	72
70006	10	1	4	1	 	 	 	 
70006	11	1	5	1	 	 	 	 
70006	12	1	6	1	 	 	 	 
70006	13	1	7	1	 	 	 	 
70007	10	1	4	1	 	 	 	 
70007	11	1	5	1	 	 	 	 
70007	12	1	6	0	3	1	987	72
70007	13	1	7	1	 	 	 	 
70008	10	1	3	1	 	 	 	 
70008	11	1	4	1	 	 	 	 
70008	12	1	5	0	1	1	1877	75
70008	13	1	6	1	 	 	 	 
70009	10	1	5	1	 	 	 	 
70009	11	1	6	0	3	1	2209	72
70009	12	1	7	1	 	 	 	 
70009	13	1	8	1	 	 	 	 
70010	10	1	5	1	 	 	 	 
70010	11	1	6	0	3	1	419	72
70010	12	1	7	1	 	 	 	 
70010	13	1	8	1	 	 	 	 
70011	10	1	3	1	 	 	 	 
70011	11	1	4	0	8	1	1352	75
70011	12	1	5	1	 	 	 	 
70011	13	1	6	1	 	 	 	 
70012	10	1	4	1	 	 	 	 
70012	11	1	5	1	 	 	 	 
70012	12	1	6	1	 	 	 	 
70012	13	1	7	1	 	 	 	 
70013	10	1	5	1	 	 	 	 
70013	11	1	6	0	3	1	2209	72
70013	12	0	 	 	 	 	 	 
70013	13	1	7	1	 	 	 	 
70014	10	1	5	1	 	 	 	 
70014	11	1	6	0	3	1	989	72
70014	12	1	7	1	 	 	 	 
70014	13	1	8	1	 	 	 	 
70015	10	1	2	0	1	1	1971	75
70015	11	1	3	1	 	 	 	 
70015	12	1	4	0	1	1	1772	75
70015	13	1	5	1	 	 	 	 
70016	10	1	3	1	 	 	 	 
70016	11	1	4	1	 	 	 	 
70016	12	1	5	1	 	 	 	 
70016	13	1	6	1	 	 	 	 
70017	10	1	5	1	 	 	 	 
70017	11	1	6	0	3	1	2209	72
70017	12	1	7	1	 	 	 	 
70017	13	1	8	1	 	 	 	 
70018	10	1	3	1	 	 	 	 
70018	11	1	4	1	 	 	 	 
70018	12	1	5	1	 	 	 	 
70018	13	0	 	 	 	 	 	 
70019	10	1	3	1	 	 	 	 
70019	11	1	4	1	 	 	 	 
70019	12	1	5	1	 	 	 	 
70019	13	1	6	0	3	1	1716	72
70020	10	1	4	1	 	 	 	 
70020	11	1	5	1	 	 	 	 
70020	12	1	6	0	3	1	1716	72
70020	13	1	7	1	 	 	 	 
70021	10	1	4	1	 	 	 	 
70021	11	1	5	1	 	 	 	 
70021	12	1	6	0	3	1	1611	72
70021	13	1	7	0	3	1	987	75
70022	10	1	4	1	 	 	 	 
70022	11	1	5	1	 	 	 	 
70022	12	1	6	0	3	1	987	72
70022	13	1	7	1	 	 	 	 
70023	10	1	4	1	 	 	 	 
70023	11	1	5	1	 	 	 	 
70023	12	1	6	0	3	1	1716	72
70023	13	1	7	0	3	1	1442	72
70024	10	1	4	1	 	 	 	 
70024	11	1	5	1	 	 	 	 
70024	12	1	6	0	3	1	1716	72
70024	13	1	7	1	 	 	 	 
70025	10	1	4	1	 	 	 	 
70025	11	1	5	1	 	 	 	 
70025	12	1	6	0	3	1	987	72
70025	13	1	7	1	 	 	 	 
70026	10	1	3	0	3	1	1589	66
70026	11	1	4	1	 	 	 	 
70026	12	1	5	1	 	 	 	 
70026	13	1	6	1	 	 	 	 
70027	10	1	4	1	 	 	 	 
70027	11	1	5	1	 	 	 	 
70027	12	1	6	0	3	1	1685	72
70027	13	1	7	1	 	 	 	 
70028	10	1	4	1	 	 	 	 
70028	11	1	5	1	 	 	 	 
70028	12	1	6	1	 	 	 	 
70028	13	1	7	1	 	 	 	 
70029	10	1	4	1	 	 	 	 
70029	11	1	5	1	 	 	 	 
70029	12	1	6	1	 	 	 	 
70029	13	1	7	1	 	 	 	 
70030	10	1	4	1	 	 	 	 
70030	11	1	5	1	 	 	 	 
70030	12	1	6	1	 	 	 	 
70030	13	1	7	1	 	 	 	 
70031	10	1	5	1	 	 	 	 
70031	11	0	 	 	 	 	 	 
70031	12	0	 	 	 	 	 	 
70031	13	0	 	 	 	 	 	 
70032	10	1	2	1	 	 	 	 
70032	11	1	2	0	1	98	9999	66
70032	12	1	3	1	 	 	 	 
70032	13	1	4	1	 	 	 	 
70033	10	1	4	1	 	 	 	 
70033	11	1	5	1	 	 	 	 
70033	12	1	6	1	 	 	 	 
70033	13	1	7	1	 	 	 	 
70034	10	1	4	0	3	1	993	66
70034	11	1	5	1	 	 	 	 
70034	12	1	6	0	3	1	1705	66
70034	13	1	7	1	 	 	 	 
70035	10	1	2	0	1	1	1916	75
70035	11	1	3	0	1	1	1860	75
70035	12	1	4	1	 	 	 	 
70035	13	1	5	0	1	1	2125	75
70036	10	1	4	1	 	 	 	 
70036	11	1	5	1	 	 	 	 
70036	12	1	6	1	 	 	 	 
70036	13	1	7	1	 	 	 	 
70038	10	1	4	1	 	 	 	 
70038	11	1	5	1	 	 	 	 
70038	12	1	6	1	 	 	 	 
70038	13	1	7	1	 	 	 	 
70039	10	1	6	1	 	 	 	 
70039	11	1	7	1	 	 	 	 
70039	12	1	8	0	3	1	992	66
70039	13	1	9	1	 	 	 	 
70040	10	1	3	1	 	 	 	 
70040	11	1	4	1	 	 	 	 
70040	12	1	5	1	 	 	 	 
70040	13	1	6	1	 	 	 	 
70041	10	1	5	1	 	 	 	 
70041	11	1	6	0	3	1	992	75
70041	12	1	7	1	 	 	 	 
70041	13	1	8	1	 	 	 	 
70042	10	1	3	1	 	 	 	 
70042	11	1	4	1	 	 	 	 
70042	12	1	5	1	 	 	 	 
70042	13	1	6	0	3	1	1442	72
70043	10	1	2	0	6	1	1867	72
70043	11	1	3	1	 	 	 	 
70043	12	1	4	1	 	 	 	 
70043	13	1	5	1	 	 	 	 
70045	10	1	3	1	 	 	 	 
70045	11	1	4	1	 	 	 	 
70045	12	1	5	1	 	 	 	 
70045	13	1	6	0	3	1	1442	72
70046	10	1	4	1	 	 	 	 
70046	11	1	5	1	 	 	 	 
70046	12	1	6	1	 	 	 	 
70046	13	1	7	1	 	 	 	 
70047	10	1	3	1	 	 	 	 
70047	11	1	4	1	 	 	 	 
70047	12	1	5	1	 	 	 	 
70047	13	1	6	0	3	1	2188	72
70048	10	1	4	1	 	 	 	 
70048	11	1	5	1	 	 	 	 
70048	12	1	6	1	 	 	 	 
70048	13	1	7	1	 	 	 	 
70049	10	1	4	1	 	 	 	 
70049	11	1	5	1	 	 	 	 
70049	12	1	6	1	 	 	 	 
70049	13	1	7	1	 	 	 	 
70050	10	1	5	1	 	 	 	 
70050	11	1	6	1	 	 	 	 
70050	12	1	7	1	 	 	 	 
70050	13	1	8	1	 	 	 	 
70051	10	1	3	0	1	1	1982	72
70051	11	0	 	 	 	 	 	 
70051	12	1	4	0	1	1	77	75
70051	13	1	5	1	 	 	 	 
70052	10	1	5	1	 	 	 	 
70052	11	1	6	1	 	 	 	 
70052	12	1	7	1	 	 	 	 
70052	13	1	8	0	3	1	998	66
70053	10	1	4	1	 	 	 	 
70053	11	1	5	1	 	 	 	 
70053	12	1	6	1	 	 	 	 
70053	13	1	7	1	 	 	 	 
70054	10	1	5	1	 	 	 	 
70054	11	1	6	1	 	 	 	 
70054	12	1	7	1	 	 	 	 
70054	13	1	8	0	3	1	998	72
70055	10	1	5	1	 	 	 	 
70055	11	1	6	1	 	 	 	 
70055	12	1	7	1	 	 	 	 
70055	13	1	8	0	3	1	998	66
70056	10	1	4	1	 	 	 	 
70056	11	1	5	1	 	 	 	 
70056	12	1	6	1	 	 	 	 
70056	13	1	7	1	 	 	 	 
70057	10	1	5	1	 	 	 	 
70057	11	1	6	0	3	1	2373	72
70057	12	1	7	1	 	 	 	 
70057	13	1	8	1	 	 	 	 
70058	10	1	4	1	 	 	 	 
70058	11	1	5	1	 	 	 	 
70058	12	1	6	1	 	 	 	 
70058	13	1	7	1	 	 	 	 
70059	10	1	5	1	 	 	 	 
70059	11	1	6	1	 	 	 	 
70059	12	1	7	1	 	 	 	 
70059	13	1	8	0	3	1	996	66
70060	10	1	3	 	3	1	1677	66
70060	11	1	4	 	3	1	1677	66
70060	12	1	5	 	3	1	1677	66
70060	13	1	6	 	3	1	2223	66
70061	10	1	4	1	 	 	 	 
70061	11	1	5	1	 	 	 	 
70061	12	1	6	1	 	 	 	 
70061	13	1	7	1	 	 	 	 
70062	10	1	3	1	 	 	 	 
70062	11	1	4	1	 	 	 	 
70062	12	1	5	1	 	 	 	 
70062	13	1	6	1	 	 	 	 
70063	10	1	4	1	 	 	 	 
70063	11	1	5	1	 	 	 	 
70063	12	1	6	1	 	 	 	 
70063	13	1	7	1	 	 	 	 
70064	10	1	4	1	 	 	 	 
70064	11	1	5	0	1	1	77	75
