placeid	departid	clustid	survday	survmnth	survyear	survdate	popsize	housing	illoccup	othres	agric	livest	fishing	mining	indust	handicr	retail	othuse	city	timecap	trans1	trans2	trans3	howlong4	timeloc	trnslcl1	trnslcl2	trnslcl3	a_4yrslocl	pvedn	earthn	unpavedn	tracksn	rivern	airn	railn	ottrann	pvedn4yr	earth4yr	unpav4yr	track4yr	river4yr	airn4yr	railn4yr	ottrn4yr	indwprob	minwprob	garwprob	anmwprob	frmdump	fmlydump	locldump	excrdump	grbbrng	indsactv	carspssg	pesticid	noisepll	stndwatr	other1	other2	lbrunion	commkitc	mthrclub	apafa	poltgrp	relggrp	svgscoop	houscoop	lendcoop	sprtassc	crmassc	psntassc	ntvassc	agriassc	prdcrs	others1	others2	others3	others4	others5	rlothr1	rlothr2	rlothr3	rlothr4	rlothr5	robbery	cttlthft	prstitn	gangs	adltbnds	drugsllg	drugadct	alchlsm	vlntcrme	othrprb1	othrprb2	lttlchld	adlscnt	fmlycmpg	theatre	videogms	bullfght	fairgrnd	slotmch	relginst	pbltele	prvtele	pblinrnt	elctrcty	drnkwatr	sewager	plcsttn	nonjudg	profjudg	ntlbank	othrbank	lclgovrn	puchct	prchct	puprsc	prprsc	prisch	secsch	heactr	cadctr	othserv1	othserv2	othserv3	timerelg	timetele	timeintr	timepolc	timenon	timeprof	timenatl	timepriv	timegov	timepucc	timeprcc	timepups	timeprps	timeprsc	timesesc	timehect	timecadc	timeoth1	timeoth2	timeoth3	trnsrelg	trnstele	trnsint	trnspolc	trnnonjg	trnprojg	trnntabk	trnothbk	trnsgov	trnpucc	trnprcc	trnpups	trnprps	trnprsc	trnsesc	trnhect	trncadc	trnsoth1	trnsoth2	trnsoth3	toiletin	toiltout	pitin	pitout	shrpit	hillopen	rvrtoilt	othrtolt	glssmilk	foodwork	foodbskt	compfeed	othfood1	othfood2	glsmilk4	comkitc4	foodwrk4	foodbkt4	comfeed4	othfd1y4	othfd2y4	wawawasi	pronoei	schbkfst	schclth	schltext	litrcy	eductn1	eductn2	wawa4yr	pron4yr	bkfst4yr	clth4yr	text4yr	ltrcy4yr	edc14yr	edc24yr	hlthinsr	grwth	fmlyplng	tubcntrl	vaccnprg	hemoinfl	hepb	yellowfv	malaria	hivsida	mentlhth	cntrlstd	hlthoth1	hlthoth2	insr4yr	grwth4yr	fmly4yr	tub4yr	vaccn4yr	hemo4yr	hepb4yr	yellw4yr	malar4yr	hiv4yr	mentl4yr	std4yr	hlth14yr	hlth24yr	rprschl	rprhlth	rprwtr	rprswr	rprpit	rprbrdg	rprand	reforest	irrgtn	infroth1	infroth2	schl4yr	hlth4yr	wtr4yr	swr4yr	pit4yr	brdg4yr	and4yr	rfrst4yr	irrgn4yr	infr14yr	infr24yr	agritech	animal	agrinput	titling	techncal	microcrd	laborenr	othothr1	othothr2	agrtch4y	animal4y	agrinp4y	titlng4y	tchncl4y	mcrcrd4y	lbrenr4y	a_4yothr1	a_4yothr2	lndmale	plntmale	weedmale	hrvsmale	postmale	pstrmale	othrmale	mmonland	mmonplnt	mmonweed	mmonhrvs	mmonpost	mmonpstr	mmonothr	lndfmle	plntfmle	weedfmle	hrvsfmle	postfmle	pstrfmle	othrfmle	fmonland	fmonplnt	fmonweed	fmonhrvs	fmonpost	fmonpstr	fmonothr	lndchld	plntchld	weedchld	hrvschld	postchld	pstrchld	othrchld	cmonland	cmonplnt	cmonweed	cmonhrvs	cmonpost	cmonpstr	cmonothr	lndrmale	helpmale	cnstmale	factmale	othmale1	othmale2	lndrfmle	helpfmle	cnstfmle	factfmle	othfmle1	othfmle2	lndrchld	helpchld	cnstchld	factchld	othchld1	othchld2	othchld3	othchld4	noteprc1	shoeprc1	byshprc1	grshprc1	byptprc1	grskprc1	oralprc1	paraprc1	amoxprc1	mebeprc1	potaprc1	riceprc1	spagprc1	coffprc1	nescprc1	milkprc1	sugrprc1	oilprc1	saltprc1	cigrprc1	detgprc1	krsnprc1	prcirrgt	prcdry	prcpstr	prcbuild	minirrgt	mindry	minpstr	minbuild	maxirrgt	maxdry	maxpstr	maxbuild	mdrncow	tradcow	ox	donkey	mule	sheep	goat	pig	chckn	rabbit	gneapig	llama	minmdrn	mintrad	minox	mindnky	minmule	minsheep	mingoat	minpig	minchckn	minrbbt	mingnea	minllama	maxmdrn	maxtrad	maxox	maxdnky	maxmule	maxsheep	maxgoat	maxpig	maxchckn	maxrbbt	maxgnea	maxllama	priccrop	mincrop	maxcrop
PE02MC01	20	2	19	3	2007	3/19/2007	5326	3	5	5	1	2	5	5	5	5	4	5	1	5	6	88	88	5	-88	88	88	88	-88	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	11	11	88	88	88	1	1	1	0	0	1	1	1	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	-88	-88	-88	5	-88	15	15	15	15	15	-88	-88	-88	-88	-88	-88	5	-88	-88	-88	88	88	88	6	88	6	6	6	6	6	88	88	88	88	88	88	6	88	88	88	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	12	12	12	12	12	12	-88	0	0	0	0	0	0	88	12	12	12	12	12	12	-88	0	0	0	0	0	0	88	6	6	6	6	6	6	-88	0	0	0	0	0	0	88	-11	-11	20	-11	-11	15	5	-11	-11	12	5	-11	-11	-11	-11	-11	-11	-11	-88	-88	1.20000004768372	25	9	9	20	17	-88	.0399999991059303	.0799999982118607	.200000002980232	1.20000004768372	2.20000004768372	3	-88	21.3999996185303	2.40000009536743	2.29999995231628	4	.300000011920929	4	1.39999997615814	-88	15000	12000	-88	.800000011920929	-88	-88	-88	-88	-88	-88	-88	-88	1200	700	1200	80	900	60	70	500	12	15	5	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	1	-88	-88
PE02MC02	20	2	15	3	2007	3/15/2007	2030	2	4	5	1	3	5	5	5	5	4	5	1	40	6	88	88	70	-88	88	88	88	-88	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	14	7	88	88	88	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	-88	-88	40	10	-88	40	40	40	40	40	40	-88	-88	-88	-88	-88	40	-88	-88	-88	88	88	6	5	88	6	6	6	6	6	6	88	88	88	88	88	6	88	88	88	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	13	25	13	30	-11	-11	-11	0	0	0	0	88	88	88	11	25	11	20	-11	-11	-11	0	0	0	0	88	88	88	11	25	11	-11	-11	-11	-11	0	0	0	88	88	88	88	-11	-11	20	-11	-88	-88	6	-11	-11	-11	-88	-88	-11	-11	-11	-11	-88	-88	-88	-88	1.5	35	7	7	25	25	1	.5	.200000002980232	1	1.60000002384186	1.70000004768372	1.60000002384186	3	5	2.59999990463257	2.5	4	.400000005960464	1.29999995231628	1	7.5	16000	5000	16400	-88	-88	-88	-88	300	-88	-88	-88	400	1000	-88	1000	200	-88	-88	-88	-88	8	8	7	-77	-88	500	-88	-88	1500	80	80	300	-88	-88	-88	-88	-88	600	-88	-88	1600	90	90	380	-8	-88	-88	-88	2.5	-88	-88
PE03MC01	20	3	29	11	2006	11/29/2006	200	4	5	5	1	2	5	5	5	5	5	3	1	20	1	88	88	20	-88	88	88	88	-88	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	88	88	88	88	88	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-88	-77	-77	20	20	-77	20	-77	-77	-77	-77	-88	-77	20	20	20	20	-88	-88	-88	88	88	88	1	1	88	1	88	88	88	88	88	88	1	1	1	1	88	88	88	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	-88	6	6	6	6	6	6	88	5	5	5	5	5	5	-88	6	6	6	6	6	6	88	3	3	3	3	3	3	-88	6	6	6	6	6	6	88	-11	-11	15	-88	-88	-88	-11	-11	-11	-88	-88	-88	-11	-11	-11	-88	-88	-88	-88	-88	1.29999995231628	30	8	8	22	20	-88	.100000001490116	.189999997615814	.0700000002980232	1	1.20000004768372	3	-88	-88	2.20000004768372	1.79999995231628	4	.300000011920929	4	1	13.1999998092651	15000	5000	-77	2	-88	-88	12000	-88	-88	-88	13000	-88	1000	500	-77	300	1000	50	-88	150	10	-88	5	-88	-88	-88	1300	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	1500	-88	-88	-88	-88	-88	-88	-88	-88	-88	3	-88	-88
PE03MC02	20	3	4	12	2006	12/4/2006	220	3	5	5	1	2	5	5	5	5	5	5	1	20	1	88	88	20	-88	88	88	88	-88	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	99	1	0	1	1	1	0	0	14	11	2	88	88	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-88	30	30	30	30	-77	30	-77	-77	-77	-77	-88	-77	30	30	30	30	-88	-88	-88	88	1	1	1	1	88	1	88	88	88	88	88	88	1	1	1	1	88	88	88	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	5	5	5	5	5	-88	6	6	6	6	6	6	88	-22	-22	-22	-22	-22	-22	-88	6	6	6	6	6	6	88	-29	-22	-22	-22	-22	-22	-88	6	6	6	6	6	6	88	-11	-11	20	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	1.20000004768372	28	10	8	20	20	-88	.0399999991059303	.170000001788139	.25	.800000011920929	1.39999997615814	2.29999995231628	4	.600000023841858	2.09999990463257	1.79999995231628	4.5	.699999988079071	4	2.20000004768372	13.1999998092651	6000	3000	4000	15	-88	-88	-88	-88	-88	-88	-88	-88	1500	600	3000	200	1500	50	-88	500	12	-88	5	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	1	-88	-88
PE03MC03	20	3	4	12	2006	12/4/2006	200	3	5	5	1	2	5	5	5	5	5	5	1	30	1	88	88	30	-88	88	88	88	-88	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	1	1	0	0	0	14	11	88	88	88	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-88	30	30	30	30	-77	30	-77	-77	-77	-77	-88	-77	30	30	30	30	-88	-88	-88	88	1	1	1	1	88	1	88	88	88	88	88	88	1	1	1	1	88	88	88	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	5	5	5	5	5	5	-88	6	6	6	6	6	6	88	-22	-22	-22	-22	-22	-22	-88	6	6	6	6	6	6	88	-22	-22	-22	-22	-22	-22	-88	6	6	6	6	6	6	88	-11	-11	25	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	-11	1.20000004768372	28	10	8	20	20	-88	.0399999991059303	.170000001788139	.25	.800000011920929	1.39999997615814	2.29999995231628	4	.600000023841858	2.09999990463257	1.79999995231628	4.5	.699999988079071	4	2.20000004768372	13.1999998092651	5000	3000	3000	15	-88	-88	-88	-88	-88	-88	-88	-88	1500	800	2500	300	1500	40	-88	400	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	.5	-88	-88
PE03MC04	20	3	28	11	2006	11/28/2006	131	4	5	5	1	2	5	5	5	5	5	3	1	15	1	88	88	15	-88	88	88	88	-88	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	88	88	88	88	88	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-88	-77	-77	15	15	-77	15	-77	-77	-7	-77	-88	-77	15	15	15	15	-88	-88	-88	88	88	88	1	1	88	1	88	88	88	88	88	88	1	1	1	1	88	88	88	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	-22	-11	6	6	6	6	6	88	88	-11	-11	-11	-11	-11	-22	-11	88	88	88	88	88	88	88	-11	-11	-11	-11	-11	-22	3	88	88	88	88	88	88	6	-11	-11	20	-88	-10	-88	-11	-11	-11	-88	-11	-88	-11	-11	-11	-88	-11	-88	-88	-88	1.29999995231628	30	8	8	22	20	-88	.100000001490116	.189999997615814	.0700000002980232	.800000011920929	1.29999995231628	1.5	-88	-88	2.20000004768372	1.79999995231628	5	.800000011920929	4	1	13.1999998092651	8000	-77	8000	2	-88	2000	-88	-88	-88	3000	-88	-88	1500	700	2000	250	1500	50	-88	-77	10	-88	5	-88	-88	-88	-88	-88	-88	-88	-88	200	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	300	-88	-88	-88	-88	2.5	-88	-88
PE03MC05	20	3	28	11	2006	11/28/2006	90	3	5	5	1	2	5	5	5	5	5	5	1	60	1	88	88	60	88	88	88	88	-88	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	88	88	88	88	88	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-88	-77	-77	60	60	-77	60	-77	-77	-88	-77	-77	-77	60	60	60	60	-88	-88	-88	88	88	88	1	1	88	1	88	88	88	88	88	88	1	1	1	1	88	88	88	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	-88	6	6	6	6	6	6	88	-22	-22	-22	-22	-22	-22	-88	6	6	6	6	6	6	88	-22	-22	-22	-22	-22	-22	-88	6	6	6	6	6	6	88	-11	-11	20	-11	-88	-88	-11	-11	-11	-11	-88	-88	-11	-11	-11	-11	-88	-88	-88	-88	1.20000004768372	28	10	8	20	20	-88	.0399999991059303	.170000001788139	.25	80	1.39999997615814	2.5	4	-88	2.20000004768372	1.79999995231628	4.5	.699999988079071	4	2.09999990463257	13.1999998092651	12000	5000	4000	20	-88	-88	-88	-88	-88	-88	-88	-88	1500	800	3000	300	1000	50	50	500	12	5	5	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	1.25	-88	-88
PE03MC06	20	3	30	11	2006	11/30/2006	124	3	5	5	1	2	5	5	5	5	5	5	1	150	1	88	88	150	88	88	88	88	88	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	88	88	88	88	88	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-77	-77	-77	150	-77	150	150	-77	-77	-77	-77	-77	-77	-77	-77	-77	-88	-88	-88	-88	88	88	88	1	88	1	1	88	88	88	88	88	88	88	88	88	88	88	88	88	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	-11	-88	6	6	6	6	6	88	88	-11	-11	-11	-11	-11	-11	-88	88	88	88	88	88	88	88	2	2	2	2	2	-11	-88	6	6	6	6	6	88	88	-11	-11	15	-11	88	88	-11	-11	-11	-11	-88	-88	-11	-11	-11	-11	-88	-88	-88	-88	1.20000004768372	30	8	8	22	20	-88	.0399999991059303	17	25	.800000011920929	1.39999997615814	2.5	-88	-88	2.20000004768372	1.79999995231628	4.5	.300000011920929	4	1	13.1999998092651	5000	2000	6000	20	-88	-88	-88	-88	-88	-88	-88	-88	1500	700	1500	300	1300	50	-88	200	15	-88	5	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	5	-88	-88
PE03MC07	20	3	30	11	2006	11/30/2006	155	3	5	5	1	2	5	5	5	5	5	5	1	120	1	88	88	120	88	88	88	88	88	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	88	88	88	88	88	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-88	-77	-77	120	-77	120	120	-77	-77	-77	-77	-77	-77	-77	-77	-88	-77	-88	-88	-88	88	88	88	1	88	1	1	88	88	88	88	88	88	88	88	88	88	88	88	88	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	-11	-88	6	6	6	6	6	88	88	-11	-11	-11	-11	-11	-11	-88	88	88	88	88	88	88	88	2	2	2	2	2	-11	88	6	6	6	6	6	88	88	-11	-11	15	-11	15	-88	-11	-11	-11	-11	-11	-88	-11	-11	-11	-11	-11	-88	-88	-88	1.20000004768372	28	10	8	20	20	-88	.0399999991059303	.170000001788139	.25	.800000011920929	1.39999997615814	2.29999995231628	-88	.600000023841858	2.09999990463257	1.79999995231628	4.5	.699999988079071	4	2.20000004768372	13.1999998092651	5000	2000	6000	20	-88	-88	-88	-88	-88	-88	-88	-88	1500	700	1500	300	1300	50	-88	200	15	-88	5	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	5	-88	-88
PE03MC08	20	3	30	11	2006	11/30/2006	200	4	5	5	1	2	5	5	5	5	5	3	1	60	1	88	88	60	-88	88	88	88	-88	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	88	88	88	88	88	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	-88	60	60	60	60	-77	60	-77	-77	-77	-77	-88	-77	-88	60	-88	-60	-88	-88	-88	88	1	1	1	1	88	1	88	88	88	88	88	88	88	88	88	88	88	88	88	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	7	6	6	6	6	6	6	6	5	5	5	5	5	5	-11	6	6	6	6	6	6	88	3	3	3	3	3	3	3	6	6	6	6	6	6	6	-11	-11	5	-11	10	-88	3	-11	-11	-11	-11	-88	-11	-11	-11	-11	-11	-88	-88	-88	1.20000004768372	30	8	8	22	20	0	.0500000007450581	15	.25	.800000011920929	1.39999997615814	2.5	4	.600000023841858	2.20000004768372	1.79999995231628	4.5	.699999988079071	4	2.09999990463257	13.1999998092651	1000	800	200	20	-88	-88	-88	-88	-88	-88	-88	-88	1500	800	1800	300	1200	50	-88	100	15	-88	10	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	2.5	-88	-88
