placeid	anmlfdid	item	price	account
PE17MC02	1	CARNE OVINO	5	1
PE17MC02	2	VACUNO	5	1
PE18MC01	1	OVINO	4	1
PE18MC01	2	CUY	10	2
PE18MC01	3	CERDO	6	1
PE20MC01	1	CARNE DE ALPACA	4	1
PE20MC01	2	OVINO	6.5	1
PE20MC01	3	POLLO	6	1
PE20MC02	1	POLLO	5.5	1
PE20MC02	2	CARNE DE OVEJA	7	1
PE20MC02	3	CARNE DE REZ	4	1
PE20MC03	1	CARNE DE CARNERO	7	1
PE20MC03	2	POLLO	6.5	1
PE20MC03	3	CARNE DE RES	6.5	1
PE20MC04	1	CARNE DE ALPACA	4	1
PE20MC04	2	PESCADO	3.5	1
PE20MC04	3	CARNE DE CORDERO	6	1
PE20MC05	1	CARNE DE POLLO	6.5	1
PE20MC05	2	PESCADO	3	1
PE20MC05	3	ALPACA	5	1
PE20MC06	1	CARNE DE CORDERO	6	1
PE20MC06	2	POLLO	6	1
PE20MC06	3	ALPACA	5	1
PE20MC07	1	CARNERO	7	1
PE20MC07	2	ALPACA	5	1
PE20MC07	3	CARNE DE RES	5.5	1
PE80MC01	1	POLLO	7	1
PE80MC01	2	CARNE DE RES	6	1
PE80MC01	3	PESCADO	5	1
PE80MC02	1	POR UNA BOLSA DE QUESO	2	1
PE80MC02	2	HUEVO	.300000011920929	2
PE80MC03	1	CARNE DE RES	7	1
PE80MC03	2	POLLO	7	1
PE80MC03	3	PESCADO	6	1
PE80MC04	1	POLLO	5	1
PE80MC04	2	HUEVOS	.25	2
PE80MC04	3	PESCADO SALADO	1.5	2
PE80MC05	1	CHANCHO	5	1
PE80MC05	2	CARNE DE RES	5	1
PE80MC05	3	PESCADO	1.5	2
PE80MC06	1	POLLO	6	1
PE80MC06	2	PAPA	1	1
PE80MC06	3	CARNE RES	5.5	1
PE80MC07	1	POLLO	4.59999990463257	1
PE80MC07	2	RES	7	1
PE80MC07	3	PESCADO	3	1
PE80MC08	1	CARNE DE OVEJA	7	1
PE80MC08	2	CARNE DE VACA	7	1
PE80MC08	3	CARNE DE CERDO	7	1
PE80MC09	1	RES, CARNERO, CERDO	6	1
PE80MC09	2	POLLO	6.5	1
PE80MC09	3	HUEVOS	.349999994039536	2
PE80MC10	1	POLLO	6	1
PE80MC10	2	HUEVOS	5	1
PE80MC10	3	CARNE	10	1
PE80MC11	1	CUY	10	2
PE80MC11	2	GALLINA	20	2
PE80MC11	3	CHANCHO	8	1
PE80MC12	1	GALLINA	12	1
