CHILDCODE	NONFODR4	SPYRR4
21011	8	0
21012	1	2000
21012	2	0
21012	3	0
21012	4	0
21012	5	200
21012	6	0
21012	7	200
21012	8	0
21013	1	150
21013	2	0
21013	3	0
21013	4	0
21013	5	150
21013	6	0
21013	7	0
21013	8	0
21014	1	2400
21014	2	1500
21014	3	0
21014	4	0
21014	5	1800
21014	6	1600
21014	7	0
21014	8	0
21015	1	860
21015	2	300
21015	3	0
21015	4	0
21015	5	700
21015	6	120
21015	7	0
21015	8	0
21016	1	2000
21016	2	500
21016	3	400
21016	4	0
21016	5	500
21016	6	300
21016	7	120
21016	8	0
21017	1	320
21017	2	350
21017	3	0
21017	4	190
21017	5	30
21017	6	30
21017	7	0
21017	8	200
21018	1	0
21018	2	210
21018	3	0
21018	4	50
21018	5	0
21018	6	30
21018	7	0
21018	8	30
21019	1	0
21019	2	0
21019	3	0
21019	4	0
21019	5	170
21019	6	0
21019	7	0
21019	8	0
21020	1	0
21020	2	180
21020	3	0
21020	4	0
21020	5	0
21020	6	180
21020	7	0
21020	8	0
21021	1	1500
21021	2	0
21021	3	0
21021	4	0
21021	5	700
21021	6	0
21021	7	0
21021	8	350
21022	1	0
21022	2	0
21022	3	0
21022	4	0
21022	5	0
21022	6	0
21022	7	0
21022	8	0
21023	1	2500
21023	2	600
21023	3	850
21023	4	700
21023	5	860
21023	6	300
21023	7	120
21023	8	360
21024	1	7000
21024	2	550
21024	3	0
21024	4	0
21024	5	7500
21024	6	940
21024	7	625
21024	8	0
21027	1	3600
21027	2	1600
21027	3	600
21027	4	400
21027	5	600
21027	6	340
21027	7	500
21027	8	200
21028	1	0
21028	2	1000
21028	3	0
21028	4	0
21028	5	0
21028	6	500
21028	7	0
21028	8	0
21029	1	0
21029	2	500
21029	3	1200
21029	4	0
21029	5	0
21029	6	600
21029	7	630
21029	8	0
21031	1	250
21031	2	0
21031	3	0
21031	4	0
21031	5	320
21031	6	60
21031	7	0
21031	8	0
21032	1	1400
21032	2	500
21032	3	150
21032	4	0
21032	5	1200
21032	6	600
21032	7	40
21032	8	0
21033	1	400
21033	2	0
21033	3	350
21033	4	325
21033	5	0
21033	6	0
21033	7	120
21033	8	220
21034	1	0
21034	2	0
21034	3	0
21034	4	200
21034	5	45
21034	6	45
21034	7	45
21034	8	45
21035	1	0
21035	2	800
21035	3	0
21035	4	600
21035	5	550
21035	6	0
21035	7	0
21035	8	380
21036	1	1500
21036	2	0
21036	3	0
21036	4	0
21036	5	550
21036	6	28
21036	7	0
21036	8	0
21037	1	600
21037	2	120
21037	3	480
21037	4	0
21037	5	250
21037	6	520
21037	7	120
21037	8	0
21038	1	0
21038	2	1680
21038	3	0
21038	4	0
21038	5	0
21038	6	640
21038	7	0
21038	8	0
21040	1	450
21040	2	0
21040	3	0
21040	4	0
21040	5	650
21040	6	0
21040	7	40
21040	8	0
21041	1	600
21041	2	300
21041	3	0
21041	4	0
21041	5	1000
21041	6	600
21041	7	780
21041	8	0
21042	1	0
21042	2	0
21042	3	0
21042	4	0
21042	5	600
21042	6	0
21042	7	0
21042	8	0
21043	1	3320
21043	2	3000
21043	3	500
21043	4	0
21043	5	1500
21043	6	690
21043	7	200
21043	8	0
21045	1	1800
21045	2	0
21045	3	0
21045	4	45
21045	5	1600
21045	6	250
21045	7	0
21045	8	145
21046	1	0
21046	2	0
21046	3	0
21046	4	0
21046	5	0
21046	6	0
21046	7	45
21046	8	30
21047	1	1800
21047	2	1400
21047	3	0
21047	4	0
21047	5	2300
21047	6	1200
21047	7	0
21047	8	0
21048	1	300
21048	2	0
21048	3	100
21048	4	0
21048	5	150
21048	6	100
21048	7	100
21048	8	0
21050	1	500
21050	2	0
21050	3	0
21050	4	0
21050	5	0
21050	6	60
21050	7	60
21050	8	0
31001	1	0
31001	2	50
31001	3	0
31001	4	0
31001	5	0
31001	6	100
31001	7	0
31001	8	200
31002	1	1800
31002	2	1000
31002	3	1200
31002	4	0
31002	5	1200
31002	6	400
31002	7	600
31002	8	0
31003	1	0
31003	2	0
31003	3	0
31003	4	0
31003	5	300
31003	6	150
31003	7	0
31003	8	0
31004	1	1150
31004	2	200
31004	3	0
31004	4	0
31004	5	1240
31004	6	0
31004	7	0
31004	8	0
31006	1	2000
31006	2	3000
31006	3	0
31006	4	1000
31006	5	0
31006	6	1500
31006	7	0
31006	8	1200
31007	1	2100
31007	2	0
31007	3	0
31007	4	0
31007	5	700
31007	6	0
31007	7	0
31007	8	0
31009	1	500
31009	2	0
31009	3	250
31009	4	0
31009	5	350
31009	6	0
31009	7	150
31009	8	0
31010	1	1000
31010	2	400
31010	3	0
31010	4	0
31010	5	2000
31010	6	700
31010	7	0
31010	8	0
31011	1	500
31011	2	650
31011	3	0
31011	4	0
31011	5	0
31011	6	150
31011	7	0
31011	8	0
31012	1	1300
31012	2	400
31012	3	0
31012	4	0
31012	5	120
31012	6	30
31012	7	0
31012	8	0
31013	1	60
31013	2	0
31013	3	0
31013	4	0
31013	5	30
31013	6	0
31013	7	0
31013	8	35
31015	1	3000
31015	2	5000
31015	3	0
31015	4	0
31015	5	3000
31015	6	6000
31015	7	0
31015	8	0
31016	1	200
31016	2	0
31016	3	650
31016	4	500
31016	5	1500
31016	6	300
31016	7	500
31016	8	300
31017	1	300
31017	2	0
31017	3	0
31017	4	0
31017	5	200
31017	6	30
31017	7	40
31017	8	0
31018	1	2000
31018	2	400
31018	3	0
31018	4	0
31018	5	1500
31018	6	200
31018	7	0
31018	8	0
31019	1	0
31019	2	0
31019	3	0
31019	4	0
31019	5	0
31019	6	0
31019	7	0
31019	8	500
