CHILDCODE	IMEVIDR4	RKEVR4	LOSS02R4	LOSS03R4	LOSS04R4	LOSS05R4	LOSS06R4	RESEVR41	RESEVR42	RESEVR43
21011	3	39	 	3	3	 	 	16	2	7
21012	1	39	4	4	4	4	4	1	2	27
21012	2	47	3	3	3	3	3	1	2	12
21012	3	88	 	 	 	 	 	 	 	 
21013	1	47	 	 	 	4	4	1	2	9
21013	2	88	 	 	 	 	 	 	 	 
21013	3	88	 	 	 	 	 	 	 	 
21014	1	47	 	 	3	3	3	2	7	88
21014	2	37	 	 	 	 	2	27	2	7
21014	3	88	 	 	 	 	 	 	 	 
21015	1	16	 	 	 	4	 	2	1	7
21015	2	47	4	4	4	4	4	2	1	7
21015	3	42	 	 	 	 	4	2	1	23
21016	1	47	4	4	4	4	4	1	2	18
21016	2	88	 	 	 	 	 	 	 	 
21016	3	88	 	 	 	 	 	 	 	 
21017	1	47	 	 	 	4	4	1	2	9
21017	2	36	 	 	3	 	 	17	9	7
21017	3	88	 	 	 	 	 	 	 	 
21018	1	47	4	4	4	4	4	2	1	7
21018	2	88	 	 	 	 	 	 	 	 
21018	3	88	 	 	 	 	 	 	 	 
21019	1	47	 	 	 	 	3	2	7	88
21019	2	88	 	 	 	 	 	 	 	 
21019	3	88	 	 	 	 	 	 	 	 
21020	1	16	 	 	 	 	4	17	7	88
21020	2	47	 	 	 	 	2	2	17	7
21020	3	38	 	 	2	 	 	17	7	88
21021	1	47	 	 	 	3	3	2	1	18
21021	2	88	 	 	 	 	 	 	 	 
21021	3	88	 	 	 	 	 	 	 	 
21022	1	23	 	 	 	 	4	11	9	7
21022	2	47	 	2	 	 	 	2	7	88
21022	3	88	 	 	 	 	 	 	 	 
21023	1	47	 	 	2	2	2	7	88	88
21023	2	37	 	2	 	 	 	7	88	88
21023	3	39	 	 	 	4	 	9	10	88
21024	1	47	 	 	 	2	4	2	18	7
21024	2	39	 	 	 	 	3	2	7	88
21024	3	88	 	 	 	 	 	 	 	 
21027	1	47	 	 	2	2	2	2	18	7
21027	2	16	 	2	 	 	 	2	7	88
21027	3	88	 	 	 	 	 	 	 	 
21028	1	 	 	 	 	 	 	 	 	 
21028	2	 	 	 	 	 	 	 	 	 
21028	3	 	 	 	 	 	 	 	 	 
21029	1	1	 	 	 	 	4	2	28	7
21029	2	47	 	 	 	3	3	2	18	7
21029	3	88	 	 	 	 	 	 	 	 
21031	1	47	4	4	4	4	4	1	2	12
21031	2	37	 	 	 	2	2	10	9	7
21031	3	16	 	 	 	3	3	1	2	18
21032	1	47	 	 	2	2	2	7	88	88
21032	2	88	 	 	 	 	 	 	 	 
21032	3	88	 	 	 	 	 	 	 	 
21033	1	12	4	4	4	4	4	2	1	9
21033	2	10	 	 	 	2	2	2	1	7
21033	3	88	 	 	 	 	 	 	 	 
21034	1	37	 	 	2	2	 	10	7	88
21034	2	88	 	 	 	 	 	 	 	 
21034	3	88	 	 	 	 	 	 	 	 
21035	1	47	 	3	 	 	 	2	1	7
21035	2	88	 	 	 	 	 	 	 	 
21035	3	88	 	 	 	 	 	 	 	 
21036	1	38	 	 	 	 	4	9	2	7
21036	2	47	 	 	 	 	3	2	1	7
21036	3	88	 	 	 	 	 	 	 	 
21037	1	38	 	 	 	4	 	27	16	2
21037	2	47	 	 	2	2	 	2	7	88
21037	3	88	 	 	 	 	 	 	 	 
21038	1	23	 	 	 	4	 	1	2	7
21038	2	38	 	 	 	 	3	9	2	10
21038	3	47	 	 	 	3	2	1	2	9
21040	1	10	 	4	 	 	 	16	1	2
21040	2	47	 	 	 	 	3	2	9	1
21040	3	88	 	 	 	 	 	 	 	 
21041	1	47	2	2	2	2	2	2	16	7
21041	2	16	 	 	 	2	 	2	7	88
21041	3	88	 	 	 	 	 	 	 	 
21042	1	47	2	2	2	2	2	2	7	88
21042	2	88	 	 	 	 	 	 	 	 
21042	3	88	 	 	 	 	 	 	 	 
21043	1	47	2	2	2	2	3	2	1	7
21043	2	88	 	 	 	 	 	 	 	 
21043	3	88	 	 	 	 	 	 	 	 
21045	1	47	 	 	2	2	2	7	88	88
21045	2	88	 	 	 	 	 	 	 	 
21045	3	88	 	 	 	 	 	 	 	 
21046	1	47	 	 	2	2	2	7	88	88
21046	2	39	 	2	2	2	2	7	88	88
21046	3	88	 	 	 	 	 	 	 	 
21047	1	 	 	 	 	 	 	 	 	 
21047	2	 	 	 	 	 	 	 	 	 
21047	3	 	 	 	 	 	 	 	 	 
21048	1	47	 	4	4	4	4	1	2	9
21048	2	88	 	 	 	 	 	 	 	 
21048	3	88	 	 	 	 	 	 	 	 
21050	1	47	 	 	2	2	2	2	7	88
21050	2	40	1	 	 	 	 	7	88	88
21050	3	25	 	 	 	2	 	7	88	88
31001	1	47	 	 	4	4	4	2	1	88
31001	2	45	2	2	2	2	2	12	2	1
31001	3	88	 	 	 	 	 	 	 	 
31002	1	10	 	 	 	 	4	16	7	88
31002	2	45	 	 	 	 	4	18	7	88
31002	3	16	 	 	 	3	 	2	7	88
31003	1	36	2	 	 	 	 	7	88	88
31003	2	47	 	 	2	3	3	2	9	88
31003	3	88	 	 	 	 	 	 	 	 
31004	1	47	 	 	 	2	 	12	1	2
31004	2	38	 	 	 	2	 	17	7	88
31004	3	88	 	 	 	 	 	 	 	 
31006	1	47	 	 	2	3	3	2	7	88
31006	2	1	 	 	2	 	 	16	7	88
31006	3	88	 	 	 	 	 	 	 	 
31007	1	 	 	 	 	 	 	 	 	 
31007	2	 	 	 	 	 	 	 	 	 
31007	3	 	 	 	 	 	 	 	 	 
31009	1	47	 	 	2	2	3	2	6	18
31009	2	88	 	 	 	 	 	 	 	 
31009	3	88	 	 	 	 	 	 	 	 
31010	1	47	 	 	 	4	4	1	2	88
31010	2	36	2	 	 	 	 	12	88	88
31010	3	88	 	 	 	 	 	 	 	 
31011	1	37	 	 	 	 	4	7	88	88
31011	2	47	2	3	3	4	2	2	88	88
31011	3	16	 	 	 	 	2	7	88	88
31012	1	38	 	 	 	3	 	9	88	88
31012	2	47	 	 	2	3	3	2	88	88
31012	3	88	 	 	 	 	 	 	 	 
31013	1	1	 	 	 	3	 	8	88	88
31013	2	34	 	 	 	1	 	7	88	88
31013	3	47	 	 	3	3	4	9	88	88
31015	1	16	 	 	 	 	2	22	88	88
31015	2	88	 	 	 	 	 	 	 	 
31015	3	88	 	 	 	 	 	 	 	 
31016	1	34	 	2	 	 	 	12	7	88
31016	2	47	 	 	 	3	 	2	1	88
31016	3	38	 	 	 	2	 	9	7	88
31017	1	47	 	 	4	4	4	2	1	88
31017	2	88	 	 	 	 	 	 	 	 
31017	3	88	 	 	 	 	 	 	 	 
31018	1	38	 	 	3	3	3	9	88	88
31018	2	16	 	 	4	4	4	2	1	88
31018	3	47	 	 	3	3	3	1	2	88
31019	1	47	2	2	2	3	3	2	25	22
31019	2	12	 	 	 	3	3	2	88	88
31019	3	37	 	2	 	 	 	26	88	88
31020	1	1	 	2	2	 	 	9	88	88
31020	2	47	 	 	2	2	2	2	9	88
31020	3	88	 	 	 	 	 	 	 	 
31021	1	47	2	2	2	4	4	2	7	88
31021	2	88	 	 	 	 	 	 	 	 
31021	3	88	 	 	 	 	 	 	 	 
31022	1	42	4	4	4	4	 	2	1	88
31022	2	38	 	 	 	2	 	2	88	88
31022	3	39	 	 	 	1	 	18	88	88
31023	1	 	 	 	 	 	 	 	 	 
31023	2	 	 	 	 	 	 	 	 	 
31023	3	 	 	 	 	 	 	 	 	 
31024	1	47	 	 	 	3	3	2	88	88
31024	2	88	 	 	 	 	 	 	 	 
31024	3	88	 	 	 	 	 	 	 	 
31026	1	16	 	 	 	 	3	17	1	6
31026	2	47	 	 	 	2	 	1	2	17
31026	3	88	 	 	 	 	 	 	 	 
31027	1	47	4	4	4	4	4	24	2	18
31027	2	88	 	 	 	 	 	 	 	 
31027	3	88	 	 	 	 	 	 	 	 
31028	1	36	 	2	 	 	 	9	6	7
31028	2	88	 	 	 	 	 	 	 	 
31028	3	88	 	 	 	 	 	 	 	 
