CHILDCODE	ASSTIDR4	ASSETR4	NUMASSR4	ASACTR4	NMOWNR4	VLASTR4	CHDSASR4
11001	1	15	3	12	3	1880	0
11001	2	88	 	 	 	 	 
11001	3	88	 	 	 	 	 
11001	4	88	 	 	 	 	 
11001	5	88	 	 	 	 	 
11001	6	88	 	 	 	 	 
11002	1	12	2	8	2	4200	1
11002	2	15	1	12	1	2000	1
11002	3	88	 	 	 	 	 
11002	4	88	 	 	 	 	 
11002	5	88	 	 	 	 	 
11002	6	88	 	 	 	 	 
11003	1	 	 	 	 	 	 
11003	2	 	 	 	 	 	 
11003	3	 	 	 	 	 	 
11003	4	 	 	 	 	 	 
11003	5	 	 	 	 	 	 
11003	6	 	 	 	 	 	 
11004	1	25	2	24	0	 	 
11004	2	88	 	 	 	 	 
11004	3	88	 	 	 	 	 
11004	4	88	 	 	 	 	 
11004	5	88	 	 	 	 	 
11004	6	88	 	 	 	 	 
11005	1	9	4	2	3	970	0
11005	2	88	 	 	 	 	 
11005	3	88	 	 	 	 	 
11005	4	88	 	 	 	 	 
11005	5	88	 	 	 	 	 
11005	6	88	 	 	 	 	 
11006	1	30	1	23	0	 	 
11006	2	88	 	 	 	 	 
11006	3	88	 	 	 	 	 
11006	4	88	 	 	 	 	 
11006	5	88	 	 	 	 	 
11006	6	88	 	 	 	 	 
11007	1	 	 	 	 	 	 
11007	2	 	 	 	 	 	 
11007	3	 	 	 	 	 	 
11007	4	 	 	 	 	 	 
11007	5	 	 	 	 	 	 
11007	6	 	 	 	 	 	 
11008	1	17	1	14	1	1400	0
11008	2	10	2	3	2	600	0
11008	3	88	 	 	 	 	 
11008	4	88	 	 	 	 	 
11008	5	88	 	 	 	 	 
11008	6	88	 	 	 	 	 
11009	1	 	 	 	 	 	 
11009	2	 	 	 	 	 	 
11009	3	 	 	 	 	 	 
11009	4	 	 	 	 	 	 
11009	5	 	 	 	 	 	 
11009	6	 	 	 	 	 	 
11010	1	23	2	23	2	12	0
11010	2	88	 	 	 	 	 
11010	3	88	 	 	 	 	 
11010	4	88	 	 	 	 	 
11010	5	88	 	 	 	 	 
11010	6	88	 	 	 	 	 
11012	1	30	1	31	1	-77	0
11012	2	88	 	 	 	 	 
11012	3	88	 	 	 	 	 
11012	4	88	 	 	 	 	 
11012	5	88	 	 	 	 	 
11012	6	88	 	 	 	 	 
11013	1	23	23	23	23	430	0
11013	2	13	3	7	0	 	 
11013	3	88	 	 	 	 	 
11013	4	88	 	 	 	 	 
11013	5	88	 	 	 	 	 
11013	6	88	 	 	 	 	 
11014	1	23	4	23	4	1650	0
11014	2	15	1	12	1	950	0
11014	3	12	1	8	1	300	0
11014	4	88	 	 	 	 	 
11014	5	88	 	 	 	 	 
11014	6	88	 	 	 	 	 
11015	1	12	2	8	2	3800	1
11015	2	15	2	12	2	1500	1
11015	3	23	3	23	3	850	0
11015	4	88	 	 	 	 	 
11015	5	88	 	 	 	 	 
11015	6	88	 	 	 	 	 
11016	1	30	1	31	1	-77	0
11016	2	12	1	8	1	1	0
11016	3	88	 	 	 	 	 
11016	4	88	 	 	 	 	 
11016	5	88	 	 	 	 	 
11016	6	88	 	 	 	 	 
11017	1	9	5	2	5	500	0
11017	2	88	 	 	 	 	 
11017	3	88	 	 	 	 	 
11017	4	88	 	 	 	 	 
11017	5	88	 	 	 	 	 
11017	6	88	 	 	 	 	 
