CHILDCODE	SPPGIDR4	SUPKNDR4	SUPWHOR4	SUPSRTR4	SUPENDR4	SUPFRQR4	SUPTARR4
131011	2	5	13	2004	9999	4	1
131012	1	1	5	2002	2002	5	1
131013	1	17	6	2002	9999	10	80
131015	1	17	6	2000	9999	8	80
131016	1	17	6	2000	9999	10	80
131017	1	17	6	2000	9999	10	80
131018	1	17	6	2000	9999	10	1
131020	1	8	6	2000	9999	8	2
131021	1	17	6	2002	9999	7	80
131022	1	17	6	2002	9999	6	80
131022	2	5	13	2001	9999	4	1
131023	1	17	6	2001	9999	9	80
131023	2	5	13	2005	9999	9	80
131024	1	17	6	2000	9999	10	80
131025	1	17	6	2000	9999	10	80
131025	2	5	13	2003	9999	9	2
131026	1	7	6	2000	9999	8	80
131026	2	17	6	2000	9999	8	80
131027	1	5	13	2000	9999	5	2
131027	2	17	6	2003	9999	10	80
131028	1	7	6	2003	9999	10	80
131028	2	17	6	2003	9999	10	80
131029	1	17	6	2003	9999	7	80
131029	2	5	13	2004	9999	4	2
131030	1	17	6	2000	9999	8	80
131030	2	5	13	2003	9999	9	1
131031	1	7	6	2004	9999	10	80
131031	2	17	6	2004	9999	10	80
131032	1	8	6	2005	9999	10	10
131033	1	17	6	2001	9999	10	80
131033	2	5	13	2003	9999	10	1
131034	1	17	6	2003	9999	10	80
131035	1	7	6	2000	9999	10	80
131035	2	3	33	1998	9999	6	1
131036	1	17	6	2005	9999	8	80
131037	1	5	15	2003	9999	9	2
131038	1	8	6	2002	9999	10	2
131038	2	17	6	2002	9999	10	80
131041	1	7	6	2002	9999	10	80
131042	1	7	6	2005	9999	6	80
131043	1	17	6	2000	9999	6	80
131043	2	5	13	2004	9999	4	2
131044	1	17	6	2002	9999	5	80
131044	2	7	6	2002	9999	8	80
131045	1	17	6	2005	9999	7	1
131046	1	17	6	2000	9999	8	80
131047	1	17	6	2004	9999	8	80
131048	1	17	6	2000	9999	10	80
131048	2	5	13	2005	9999	10	80
131049	1	17	6	2003	9999	10	80
131050	1	7	6	2002	9999	10	80
131050	2	5	13	2003	9999	10	80
141002	1	14	6	2002	9999	9	80
141005	1	27	55	2003	9999	10	80
141006	1	31	15	2005	2005	1	2
141006	2	14	15	2005	2005	1	4
141007	1	8	40	2003	9999	10	80
141008	1	7	36	2002	9999	4	2
141010	1	7	47	2004	9999	6	80
141010	2	8	55	2002	9999	1	80
141013	1	18	15	2000	2004	4	1
141013	2	15	36	2004	-9999	4	1
141013	3	11	77	2002	2002	11	1
141013	4	17	55	2004	9999	10	1
141014	1	7	49	2005	9999	5	80
141014	2	2	49	2005	9999	4	80
141017	1	7	57	2003	2004	10	0
141017	2	27	15	2002	9999	4	2
141018	1	8	38	2002	9999	8	2
141019	1	27	15	2005	2006	4	80
141020	1	18	45	2003	9999	4	15
141020	2	23	45	2005	9999	8	1
141022	1	5	15	2005	9999	11	2
141025	1	31	15	2005	2005	1	2
141026	1	7	55	2005	9999	9	80
141026	2	5	15	2005	2005	5	4
141028	1	5	48	2005	2005	11	2
141029	1	7	45	2004	9999	10	80
141029	2	8	45	2003	9999	10	80
141030	1	8	6	2002	9999	5	80
141031	2	11	77	2005	-9999	11	1
141031	3	5	13	2005	-9999	10	1
141031	4	4	77	2005	9999	11	0
141034	1	18	15	2004	2004	7	3
141034	2	11	15	2004	2004	7	3
141034	3	5	15	2003	-9999	10	16
141035	1	7	77	2005	2005	11	0
141038	1	7	37	2004	9999	5	80
141042	1	27	6	2002	9999	10	80
141043	1	1	5	2002	9999	10	80
141043	2	17	6	2002	9999	10	80
141043	3	7	6	2002	9999	10	80
141044	1	1	5	1998	9999	10	10
141044	2	17	6	2000	9999	10	80
141046	1	7	77	2005	-9999	5	2
141047	1	5	13	2003	9999	11	1
141047	2	20	15	2005	9999	10	1
141049	1	5	13	2003	9999	4	7
151005	1	14	15	2003	9999	4	80
151005	2	30	15	2004	9999	4	80
151008	1	8	6	2002	9999	8	3
151018	1	7	6	2005	9999	5	12
151019	1	27	15	2002	2500	5	80
151023	1	3	5	1999	1999	5	1
151024	1	5	15	2002	9999	12	2
151025	1	30	36	2002	9999	4	80
151025	2	17	15	2003	999	8	80
151026	1	1	5	2003	9999	7	80
151026	2	7	55	2004	9999	5	80
151029	1	28	77	2005	2005	11	0
151030	1	30	5	2003	9999	4	90
151030	2	7	55	2004	9999	6	80
151031	1	7	15	2003	9999	4	80
151031	2	30	5	2002	9999	4	80
151033	1	8	6	2002	9999	7	2
151041	1	 	 	 	 	 	 
151042	1	1	15	2002	999	4	80
151043	1	1	5	2004	9999	5	80
151043	2	7	55	2004	9999	4	7
151045	1	13	5	2003	9999	4	80
151045	2	1	5	2004	9999	5	80
151052	1	1	5	2002	9999	4	1
151064	1	15	15	2003	2005	4	80
151066	1	8	6	2006	9999	8	0
151067	1	8	6	2002	2004	8	2
151068	1	4	11	2000	2005	8	2
151070	1	30	15	2003	9999	4	80
161002	1	17	6	2000	9999	10	80
161002	2	1	5	2000	9999	9	1
161003	1	1	5	2000	9999	9	80
161003	2	8	6	2000	9999	10	2
161003	3	7	6	2000	9999	10	80
161003	4	5	13	2005	9999	8	80
161006	1	1	5	2003	9999	5	1
161006	2	17	6	2004	9999	8	80
161006	4	5	13	2005	9999	5	1
161007	1	1	5	2004	9999	6	1
161007	2	30	6	2003	9999	8	80
161007	3	5	13	2005	9999	4	1
161007	4	5	5	2003	2005	5	1
161008	1	1	6	2003	9999	9	1
161008	2	17	6	2002	9999	10	80
161008	3	5	13	2005	9999	4	1
161009	1	1	5	2000	9999	9	6
161009	2	17	6	2000	9999	8	80
161009	3	5	13	2004	9999	8	6
161010	1	1	6	2000	9999	10	80
161010	2	17	6	2000	9999	10	80
161011	1	1	5	1998	9999	9	1
161011	2	17	6	2000	9999	8	80
161011	3	5	13	2005	9999	4	1
161016	1	1	5	2000	9999	9	2
161016	2	5	13	2005	9999	6	2
161018	1	1	5	2005	9999	5	1
161018	2	5	13	2004	9999	4	1
161018	3	17	6	2005	9999	6	2
161019	1	1	5	2000	9999	10	80
161019	2	8	6	2000	9999	10	80
161019	3	5	13	2003	9999	10	80
161019	4	30	5	2000	9999	9	80
161021	1	1	5	2000	9999	8	1
161021	2	17	6	2000	9999	8	80
161022	1	1	5	1998	9999	10	1
161022	2	17	6	2000	9999	8	80
161022	3	5	13	2005	9999	4	1
161023	1	1	5	2000	9999	10	1
161023	2	8	6	2000	9999	8	2
161024	1	1	5	2003	9999	5	1
161024	2	5	13	2005	9999	4	1
161025	1	17	6	2003	9999	10	80
161025	2	1	5	2000	9999	10	1
161026	1	1	5	2003	9999	5	80
161026	2	17	6	2000	9999	9	80
161026	3	8	6	2000	9999	9	2
161029	1	17	6	2000	9999	9	80
161029	2	8	6	2000	9999	9	2
161029	3	1	5	2000	9999	5	1
161030	1	1	5	2000	9999	5	80
161030	2	17	6	2000	9999	5	80
161031	1	1	5	2000	9999	10	80
161031	2	5	13	2003	9999	9	80
161031	3	30	5	2000	9999	10	80
161032	1	1	5	2003	9999	5	80
161032	2	17	6	2002	9999	9	80
161034	1	17	6	2000	9999	8	80
161034	2	8	6	2000	9999	8	2
161034	3	1	5	2000	9999	5	1
161035	1	3	5	2000	2005	10	80
161035	2	5	5	2002	2004	5	18
161035	3	5	5	2005	-9999	5	18
161035	4	1	5	2003	-9999	5	18
161035	5	17	6	2003	-9999	7	80
161037	1	1	5	1999	9999	9	1
161037	2	30	5	1999	9999	9	80
161037	3	5	13	2000	9999	9	80
161038	1	1	5	2000	9999	4	80
161038	2	17	6	2002	9999	10	80
161039	1	1	5	2003	9999	5	1
161039	2	17	6	2003	9999	8	80
161041	1	1	5	1998	9999	7	1
161041	2	17	6	2000	9999	8	80
161042	1	1	5	2000	9999	8	1
161042	2	8	6	2000	9999	5	2
161042	3	5	13	2005	9999	4	16
161043	1	1	5	1998	9999	8	1
161043	2	8	6	2000	9999	10	2
161043	3	5	13	2005	9999	4	1
161044	1	1	5	2003	9999	5	2
161044	2	17	6	2004	9999	6	3
161044	3	5	5	2005	9999	4	2
161046	1	1	5	2000	9999	5	1
161046	2	8	6	2000	9999	5	2
161047	1	1	5	2005	9999	5	1
161047	2	17	6	2004	9999	7	80
161047	3	5	5	2004	2005	5	1
161047	4	5	13	2005	9999	4	1
161048	1	1	5	2000	9999	5	1
161048	2	17	6	2000	9999	10	80
161049	1	1	5	2003	9999	5	1
161049	2	17	6	2003	9999	8	80
161050	1	1	5	1999	9999	10	1
161050	2	17	6	1999	9999	10	80
161050	3	5	13	2003	9999	8	1
171001	1	3	5	2001	9999	9	80
171001	2	4	5	2001	9999	9	80
171001	3	25	5	2001	9999	9	1
171002	1	3	5	1998	9999	9	80
171002	2	4	5	1989	9999	9	80
171005	1	25	5	2004	2005	9	15
171005	2	1	5	1998	9999	5	1
171006	1	1	5	1999	9999	4	1
171007	1	1	5	2001	9999	4	1
171007	2	3	5	-77	9999	10	80
171007	3	4	5	-77	9999	10	80
171007	4	8	6	-77	9999	12	80
171007	5	5	1	2001	9999	4	1
171007	6	17	6	2000	9999	12	80
171008	1	3	39	2001	9999	9	80
171008	2	4	39	2001	9999	9	80
171008	3	5	15	1999	9999	12	1
171008	4	8	6	2003	9999	8	2
171010	1	3	5	2003	9999	9	2
171010	2	4	5	2003	9999	9	2
171010	3	1	5	2000	9999	6	2
171010	4	8	6	1999	9999	10	2
171011	1	3	5	2000	2006	10	1
171011	2	4	5	2000	2006	10	1
171011	3	1	5	1997	9999	5	1
171012	1	1	5	2002	9999	4	1
171012	2	5	1	2002	9999	4	1
171012	3	8	6	-77	9999	12	80
171014	1	7	6	1996	9999	10	80
171014	2	8	6	2003	2006	8	6
171014	3	5	15	1998	2003	12	1
171016	1	5	5	2005	9999	4	17
171017	1	5	5	2003	9999	4	1
171017	2	8	6	2000	9999	9	2
171017	3	7	6	2000	9999	6	2
171017	4	3	5	1998	2003	9	80
171017	5	4	5	1998	2003	9	80
171018	1	1	5	1983	9999	4	1
171018	2	5	5	1983	9999	4	1
171018	3	7	6	-77	9999	8	80
171018	4	8	6	-77	9999	8	80
171019	1	8	6	2005	9999	6	0
171019	2	5	5	2005	9999	4	9
171020	1	5	1	2000	9999	4	1
171021	1	5	15	-77	9999	4	1
171022	1	5	15	1999	9999	12	1
171023	1	5	15	2002	9999	4	3
171023	2	8	55	2000	9999	9	3
171024	1	1	5	1998	9999	3	1
171024	2	8	6	2000	9999	10	2
171025	1	1	5	-77	9999	4	2
171025	2	10	5	1990	9999	4	2
171025	3	17	6	-77	9999	9	80
171026	1	1	5	1990	9999	4	1
171026	2	10	5	2000	9999	4	1
171027	1	8	6	2000	9999	6	3
171027	2	7	6	2000	9999	6	3
171027	3	5	13	2003	9999	4	16
171028	1	1	5	2000	9999	5	2
171028	2	25	5	2003	9999	9	2
171028	3	8	6	1999	9999	9	2
171029	1	5	5	2002	9999	1	1
171029	2	5	15	2000	9999	4	1
171029	3	8	55	1998	9999	8	2
171029	4	28	36	2000	2005	4	80
171029	5	1	5	1994	9999	4	1
171030	1	1	5	-77	9999	10	6
171030	2	5	13	-77	2002	2	6
171030	3	5	58	2004	9999	3	6
171031	1	1	5	1998	9999	7	1
171031	2	25	5	2004	9999	5	1
171031	3	5	5	2000	9999	4	1
171032	1	5	15	1999	9999	4	1
171032	2	28	55	2000	9999	10	80
171033	1	25	5	2001	9999	9	1
171034	1	4	5	2000	9999	9	4
171034	2	3	5	2000	9999	9	4
171034	3	8	6	1999	9999	10	4
171035	1	3	5	2002	9999	9	80
171035	2	4	5	2002	9999	9	80
171035	3	5	13	2000	9999	4	1
171035	4	1	5	-77	9999	4	1
171036	1	7	6	2005	9999	10	6
171036	2	8	6	2005	9999	11	6
171038	1	3	5	1999	2005	9	80
171038	2	4	5	1999	2005	9	80
171038	3	5	2	2002	9999	4	2
171039	1	1	5	-77	9999	4	80
171039	2	8	5	1998	9999	10	80
171040	1	1	5	-77	9999	4	80
171040	2	14	6	2002	2002	11	1
171041	1	1	2	2000	9999	3	9
171041	2	8	6	2004	9999	9	0
171042	1	3	5	2001	9999	10	1
171042	2	4	5	2001	9999	10	1
171042	3	5	2	2000	9999	4	1
171044	1	1	5	-77	9999	10	2
171044	2	5	13	-77	2002	2	2
171044	3	5	58	2004	9999	3	2
171045	1	1	2	1998	9999	6	1
171045	2	3	5	2000	2006	10	1
171045	3	4	5	2000	2006	10	1
171045	4	8	6	1998	9999	10	2
171046	1	5	15	2002	9999	4	1
171046	2	28	55	2000	9999	10	80
171048	1	1	5	1983	9999	4	1
171048	2	7	6	-77	9999	8	80
171048	3	8	6	1990	9999	6	80
171048	4	17	6	-77	9999	10	80
171049	1	7	6	2000	9999	5	80
171049	2	8	6	2003	9999	6	0
171049	3	5	5	2002	9999	4	18
171050	1	1	2	2004	9999	4	17
181001	1	3	39	2002	9999	10	80
181001	2	4	39	2002	9999	9	80
181001	3	5	1	2002	9999	4	80
181001	4	14	36	2003	2003	11	2
181002	1	5	1	1985	9999	4	80
181002	2	28	36	2005	2005	11	80
181002	3	5	13	2000	9999	4	80
181003	1	28	36	2002	9999	4	80
181003	2	5	1	2002	9999	4	80
181003	3	28	23	2006	9999	4	15
181004	1	5	1	1999	9999	4	80
181007	1	3	39	2002	9999	9	80
181007	2	4	39	2002	9999	9	80
181007	3	5	1	2002	9999	4	80
181007	4	19	15	2002	9999	11	3
181007	5	28	15	2002	9999	4	3
181009	1	5	1	2002	9999	4	80
181009	2	28	23	2002	2005	4	5
181009	3	5	13	2004	9999	12	80
181009	4	28	36	2002	9999	4	2
181010	1	3	39	2002	9999	9	80
181010	2	4	39	2002	9999	9	80
181010	3	5	1	2002	9999	4	80
181010	4	19	15	2002	9999	11	15
181010	5	5	13	2004	9999	12	80
181013	1	5	1	1988	9999	4	80
181013	2	19	15	2004	9999	11	6
181013	3	28	15	2005	2005	4	6
181013	4	26	23	2003	2003	4	80
181013	5	28	33	2005	2005	4	80
181015	1	19	15	2002	9999	11	80
181015	2	28	15	2002	9999	4	80
181016	1	19	15	2002	9999	11	80
181016	2	28	36	2002	9999	4	80
181016	3	5	1	2002	9999	4	80
181016	4	5	13	2004	9999	12	80
181017	1	5	1	2002	9999	4	80
181017	2	3	39	2002	9999	9	80
181017	3	4	39	2002	9999	9	80
181018	1	28	36	2002	9999	4	80
181018	2	5	1	2002	2003	4	80
181018	3	12	23	2002	2005	4	7
181019	1	5	1	1990	9999	4	2
181019	2	28	33	2005	2005	11	80
181019	3	5	13	2000	2005	11	2
181020	1	3	39	2002	9999	9	80
181020	2	4	39	2002	9999	9	80
181020	3	5	1	2003	9999	4	80
181020	4	28	23	2005	2005	11	0
181020	5	14	36	2002	2005	8	1
181020	6	28	6	2002	2005	4	1
181021	1	19	15	2003	9999	11	80
181021	2	28	36	2004	2004	9	80
181021	3	5	13	1997	9999	4	80
181022	1	19	15	2002	9999	11	80
181022	2	28	15	2002	9999	4	80
181022	3	5	1	2004	9999	4	80
181022	4	28	36	2002	9999	4	18
181023	1	5	1	2002	9999	4	80
181023	2	19	15	2002	9999	11	15
181023	3	5	13	2006	9999	11	80
181024	1	5	13	2005	9999	12	80
181026	1	5	1	1985	9999	4	80
181026	2	28	36	2005	2005	11	80
181027	1	3	39	2002	9999	9	80
181027	2	4	39	2002	9999	9	80
181027	3	5	1	2002	9999	4	80
181028	1	3	39	2002	9999	9	80
181028	2	4	39	2002	9999	9	80
181028	3	5	13	2002	9999	12	80
181028	4	19	15	2002	9999	11	80
181028	5	28	15	2002	9999	4	80
181028	6	27	55	2005	2005	11	2
181029	1	19	15	2002	9999	11	80
181029	2	28	36	2002	9999	4	2
181029	3	5	1	2002	9999	4	80
181029	4	28	15	2002	9999	4	80
181029	5	5	13	2003	9999	12	80
181030	1	28	36	2003	2003	8	80
181031	1	28	33	2005	2005	4	80
181031	2	5	1	1987	9999	4	80
181031	3	12	23	1998	2005	4	7
181034	1	28	33	2005	2005	4	80
181034	2	5	1	1990	9999	4	2
181034	3	12	23	1998	2005	4	90
181036	1	28	33	2004	2004	4	80
181036	2	5	1	1990	9999	4	80
181036	3	19	15	2004	9999	11	13
181036	4	28	15	2003	9999	4	13
181037	1	28	36	2002	9999	4	1
181037	2	19	15	2002	9999	11	80
181037	3	28	15	2002	9999	4	80
181037	4	5	1	2002	9999	4	80
181038	1	19	15	2006	9999	11	11
181038	2	5	1	2002	9999	4	80
181038	3	28	36	2005	9999	4	1
181038	4	3	39	2002	9999	9	80
181038	5	4	39	2002	9999	9	80
181039	1	3	39	2003	9999	9	80
181039	2	4	39	2003	9999	9	80
181039	3	5	1	1996	9999	4	80
181039	4	5	33	2006	2006	11	1
181040	1	3	39	2001	9999	9	80
181040	2	4	39	2001	9999	9	80
181040	3	19	15	2002	2004	11	0
181040	4	5	1	1986	9999	5	1
181041	1	3	39	1997	2003	9	80
181041	2	4	39	1997	2003	9	80
181041	3	28	33	2004	2004	4	80
181041	4	5	1	1986	9999	5	1
181041	5	12	23	1995	9999	4	4
181043	1	5	1	2002	9999	4	80
181043	2	28	36	2003	9999	9	0
181045	1	19	15	2002	9999	11	80
181045	2	3	39	2002	9999	9	80
181045	3	4	39	2002	9999	9	80
181045	4	5	1	2002	9999	4	80
181045	5	28	15	2002	9999	4	80
181046	1	5	13	2006	2006	11	0
181047	1	5	1	2002	9999	4	80
181047	2	28	36	2002	2003	4	80
181049	1	28	33	2001	2005	4	1
181049	2	5	1	2000	9999	4	1
181050	1	28	36	2002	9999	4	80
181050	2	28	15	2002	9999	4	15
181050	3	19	15	2002	9999	11	15
181050	4	5	1	2002	9999	4	80
191001	1	3	39	2002	9999	9	80
191001	2	4	39	2002	9999	9	80
191001	3	28	36	2002	9999	4	1
191001	4	5	1	2002	9999	4	80
191001	5	5	13	2004	9999	11	80
191002	1	3	39	2001	9999	9	80
191002	2	4	39	2001	9999	9	80
191002	3	28	23	2002	2005	5	3
191003	1	5	1	2004	9999	4	80
191003	2	12	23	2004	2004	11	0
191004	1	3	39	2002	9999	9	80
191004	2	4	39	2002	9999	9	80
191004	3	28	23	2002	2005	4	5
191004	4	5	1	2002	9999	4	80
191004	5	5	13	2005	9999	11	80
191005	1	3	39	1999	9999	8	80
191005	2	4	39	1999	9999	8	80
191005	3	12	23	2000	9999	4	80
191006	1	4	39	2002	9999	9	80
191006	2	3	39	2002	9999	9	80
191006	3	12	23	2002	9999	4	0
191007	1	28	33	2005	2006	9	80
191007	2	12	23	2002	2005	4	0
191008	1	4	39	2002	9999	9	80
191008	2	3	39	2002	9999	9	80
191008	3	5	13	2004	2005	11	80
191008	4	12	23	2002	2003	4	90
191008	5	2	6	2003	2003	11	3
191009	1	25	36	2002	9999	8	80
191010	1	28	36	2005	2005	11	80
191012	1	3	39	2002	9999	9	80
191012	2	4	39	2002	9999	9	80
191012	3	28	36	2002	9999	9	80
191012	4	12	23	2006	9999	4	17
191012	5	5	1	2002	9999	4	80
191012	6	2	6	2004	2004	11	3
191012	7	17	6	2005	2005	11	80
191013	1	18	34	2004	2004	11	0
191013	2	5	13	2005	2005	11	9
191013	3	25	39	1997	9999	9	0
191014	1	3	39	2002	9999	9	80
191014	2	4	39	2002	9999	9	80
191014	3	12	23	2006	9999	4	6
191014	4	5	1	2002	9999	4	80
191014	5	5	13	2005	9999	11	80
191014	6	2	6	2005	2005	11	1
191014	7	17	15	2002	9999	10	1
191015	1	25	39	1997	9999	9	80
191016	1	5	13	2004	2004	12	2
191017	1	28	36	2002	9999	4	1
191017	2	5	1	2002	9999	4	80
191017	3	5	13	2005	9999	11	80
191018	1	5	1	1990	9999	4	80
191018	2	25	39	2001	9999	9	80
191018	3	5	13	2005	9999	4	80
191019	1	25	39	2002	9999	9	0
191019	2	28	36	2002	2003	4	1
191019	3	12	23	2004	2004	11	80
191019	4	5	1	2002	9999	4	80
191020	1	5	13	1983	9999	12	1
191020	2	28	33	2001	9999	9	80
191024	1	5	1	2002	9999	4	80
191024	2	5	13	2005	9999	11	80
191024	3	28	36	2002	9999	5	80
191024	5	28	23	2005	2005	11	80
191025	1	28	33	2006	2006	4	80
191026	1	3	39	2002	9999	9	80
191026	2	4	39	2002	9999	9	80
191026	3	12	23	2002	2005	4	3
191026	4	5	13	2003	2006	11	80
191026	5	2	23	2005	2005	11	1
191026	6	8	15	2002	9999	4	1
191027	1	12	36	2003	2004	4	0
191028	1	5	1	1995	9999	4	80
191028	2	22	36	2004	2004	11	80
191028	3	5	13	2003	9999	4	80
191029	1	12	23	2002	9999	4	90
191029	2	5	1	2002	9999	10	80
191031	1	5	8	2005	2006	4	1
191032	1	3	39	1997	9999	9	80
191032	2	4	39	1997	9999	9	80
191033	1	5	1	1993	9999	4	80
191033	2	25	39	1997	9999	9	80
191033	3	5	13	2004	9999	4	80
191034	1	25	39	2003	2005	9	2
191035	1	3	39	2002	9999	8	80
191035	2	4	39	2002	9999	8	80
191035	3	12	23	2006	2006	4	16
191036	3	28	23	2002	2002	11	80
191036	4	5	13	2003	9999	11	80
191036	5	25	39	2002	9999	9	80
191037	1	28	36	2002	9999	5	80
191037	2	5	1	2002	9999	4	80
191037	3	12	23	2002	9999	4	0
191037	4	5	13	2005	9999	11	80
191038	1	28	36	2002	2004	5	2
191038	2	28	19	2005	9999	4	4
191039	1	12	23	1995	9999	4	80
191039	2	28	33	2000	9999	9	80
191040	1	5	23	2002	2002	4	80
191041	1	12	23	1995	9999	4	0
191042	1	3	39	2002	9999	9	80
191042	2	4	39	2002	9999	9	80
191042	3	5	1	2002	9999	4	80
191043	1	5	23	2003	2003	4	90
191044	1	25	39	2002	9999	9	15
191045	1	28	36	2002	9999	8	80
191045	2	5	13	2004	2004	4	1
191046	1	28	36	2002	9999	4	80
191046	2	5	13	2004	9999	11	80
191046	3	28	23	2002	2004	4	0
191046	4	14	36	2005	2005	11	2
191049	1	3	39	1997	9999	9	3
191049	2	4	39	1997	9999	9	3
191050	1	5	15	2004	2004	12	80
191051	1	3	39	2002	9999	9	80
191051	2	4	39	2002	9999	9	80
191051	3	5	1	2003	9999	4	80
201002	1	5	15	1998	9999	4	1
201002	2	8	6	1998	2005	5	2
201002	3	19	36	1996	9999	11	80
201003	1	3	39	2004	9999	9	80
201003	2	4	39	1997	9999	9	80
201003	3	19	36	1996	9999	11	80
201003	4	5	15	1998	9999	4	1
201003	5	8	6	1999	2004	8	1
201003	6	7	6	1999	9999	12	1
201004	1	1	5	-77	9999	4	1
201004	2	5	5	-77	9999	4	1
201004	3	8	6	-77	9999	5	80
201004	4	19	22	-77	9999	11	80
201006	1	1	5	-77	9999	4	1
201006	2	3	5	-77	9999	10	80
201006	3	4	5	-77	9999	10	80
201006	4	7	6	-77	9999	12	80
201006	5	19	22	-77	9999	11	80
201006	6	5	1	-77	9999	4	1
201007	1	5	15	2001	9999	4	1
201007	2	3	39	2002	9999	12	80
201007	3	4	39	1998	9999	9	80
201007	4	19	28	1996	9999	11	80
201007	5	8	6	1996	2005	8	1
201008	1	3	5	2001	9999	9	80
201008	2	4	5	2001	9999	9	80
201008	3	8	6	1999	9999	6	2
201008	4	7	6	2000	9999	8	80
201008	5	19	22	1996	9999	11	80
201009	1	1	5	-77	9999	5	1
201009	2	5	1	-77	9999	5	1
201009	3	7	6	-77	9999	12	80
201009	4	19	22	-77	9999	11	15
201010	1	1	5	1992	9999	4	1
201010	2	3	39	2000	2006	9	80
201010	3	4	39	2000	2006	9	80
201010	4	7	6	1995	9999	10	80
201010	5	8	6	1995	9999	10	80
201010	6	19	22	-77	9999	11	80
201011	1	1	5	1996	9999	4	1
201011	2	7	6	-77	9999	12	80
201011	3	8	6	-77	9999	12	80
201011	4	19	22	-77	9999	11	80
201013	1	3	5	1998	2004	9	80
201013	2	4	5	1998	2004	9	80
201013	3	7	6	2000	9999	9	80
201013	4	5	5	2004	9999	4	1
201013	5	8	6	1999	2004	8	2
201013	6	19	22	1995	9999	11	80
201014	1	7	6	1998	9999	12	1
201014	2	8	6	1998	9999	12	1
201014	3	19	22	1996	9999	11	80
201015	1	3	5	1999	9999	9	80
201015	2	4	5	1999	9999	9	80
201015	3	5	5	1998	9999	4	1
201015	4	19	20	2006	9999	11	6
201015	5	7	6	2000	9999	8	1
201016	1	5	5	-77	9999	4	1
201016	2	19	22	1995	2005	11	80
201016	3	7	6	2000	9999	6	80
201017	1	5	5	1996	9999	4	1
201017	2	19	22	-77	9999	11	80
201017	3	7	6	1998	9999	9	80
201018	1	1	5	-77	9999	4	1
201018	2	7	6	-77	9999	12	80
201019	1	5	15	1998	9999	4	1
201019	2	19	22	1999	9999	11	80
201019	3	3	39	2000	2004	12	80
201019	4	4	39	1998	2004	9	80
201019	5	7	6	1998	9999	12	80
201021	1	1	5	-77	9999	4	1
201021	2	3	5	-77	2006	10	80
201021	3	4	5	-77	2006	10	80
201021	4	7	6	-77	9999	12	80
201021	5	5	1	-77	9999	4	1
201021	6	5	15	2003	9999	11	1
201022	1	7	6	2000	9999	12	80
201022	2	8	6	2000	9999	12	7
201023	1	3	5	1998	2006	9	80
201023	2	4	5	1998	2006	9	80
201023	3	5	5	1997	9999	4	1
201023	4	19	20	-77	9999	11	80
201023	5	7	6	2000	9999	6	80
201024	1	7	6	2005	9999	7	0
201026	1	1	5	-77	9999	4	80
201026	2	7	6	-77	9999	12	80
201026	3	8	6	-77	9999	12	80
201026	4	19	10	-77	9999	11	15
201027	1	3	5	2000	9999	9	80
201027	2	4	5	2000	9999	9	80
201027	3	5	5	2004	9999	4	1
201027	4	7	6	2002	9999	8	80
201027	5	19	23	2001	9999	11	15
201028	1	1	5	1992	9999	4	17
201028	2	5	5	1992	9999	4	17
201028	3	3	39	1999	9999	9	80
201028	4	4	39	1999	9999	9	80
201028	5	19	22	-77	9999	11	16
201028	6	7	6	1997	9999	10	80
201028	7	8	6	1997	9999	10	80
201029	1	5	15	1996	9999	4	1
201029	2	20	39	1998	9999	9	2
201030	1	5	5	-77	9999	9	80
201030	2	7	6	2000	9999	9	80
201030	3	25	5	1996	9999	9	80
201031	1	5	5	1998	9999	4	1
201031	2	7	6	2000	-9999	6	80
201031	3	19	23	1998	9999	11	9
201032	1	5	5	1998	9999	4	1
201032	2	7	6	1999	9999	10	80
201032	3	19	22	1996	9999	11	80
201035	1	5	5	-77	9999	4	1
201035	2	19	22	1996	9999	11	15
201035	3	7	6	-78	9999	9	80
201036	1	1	5	-77	9999	5	1
201036	2	3	5	-77	9999	10	80
201036	3	4	5	-77	2006	10	80
201036	4	5	1	-77	2006	5	80
201036	5	7	6	-77	9999	12	80
201036	6	19	22	-77	9999	11	80
201037	1	1	5	-77	9999	4	2
201037	2	3	5	-77	9999	10	80
201037	3	4	5	-77	9999	10	80
201037	4	8	6	-77	9999	12	2
201037	5	7	6	-77	9999	12	80
201037	6	19	10	-77	9999	11	80
201038	1	5	5	2004	9999	5	1
201039	1	1	5	-77	9999	4	80
201039	2	20	5	-77	2005	10	80
201042	1	5	15	1996	9999	4	1
201042	2	19	22	1996	9999	11	80
201043	1	7	6	2000	9999	8	0
201043	2	18	8	2003	9999	10	0
201044	1	3	5	1998	9999	9	80
201044	2	4	5	1998	9999	9	80
201044	3	19	22	1994	9999	11	80
201044	4	5	5	1998	9999	4	2
201044	5	8	6	1996	9999	8	2
201044	6	7	6	2000	9999	7	80
201046	1	1	5	-77	9999	4	1
201046	2	5	5	-77	9999	4	1
201046	3	5	13	1999	9999	12	1
201046	4	3	39	1999	9999	9	80
201046	5	4	39	1999	9999	9	80
201046	6	19	22	-77	9999	11	80
201046	7	7	6	-77	9999	9	80
201046	8	8	6	-77	9999	9	80
201047	1	1	5	-77	9999	5	1
201047	2	3	5	-77	2004	10	80
201047	3	4	5	-77	2004	10	80
201047	4	5	5	-77	9999	5	1
