CHILDCODE	CROPIDR4	CROPR4	QNTHRVR4	CRPOUTR4
11035	7	 	 	 
11035	8	 	 	 
11035	9	 	 	 
11035	11	 	 	 
11036	1	 	 	 
11036	2	 	 	 
11036	3	 	 	 
11036	4	 	 	 
11036	5	 	 	 
11036	6	 	 	 
11036	7	 	 	 
11036	8	 	 	 
11036	9	 	 	 
11036	11	 	 	 
11037	1	 	 	 
11037	2	 	 	 
11037	3	 	 	 
11037	4	 	 	 
11037	5	 	 	 
11037	6	 	 	 
11037	7	 	 	 
11037	8	 	 	 
11037	9	 	 	 
11037	11	 	 	 
11038	1	 	 	 
11038	2	 	 	 
11038	3	 	 	 
11038	4	 	 	 
11038	5	 	 	 
11038	6	 	 	 
11038	7	 	 	 
11038	8	 	 	 
11038	9	 	 	 
11038	11	 	 	 
11039	1	 	 	 
11039	2	 	 	 
11039	3	 	 	 
11039	4	 	 	 
11039	5	 	 	 
11039	6	 	 	 
11039	7	 	 	 
11039	8	 	 	 
11039	9	 	 	 
11039	11	 	 	 
11040	1	 	 	 
11040	2	 	 	 
11040	3	 	 	 
11040	4	 	 	 
11040	5	 	 	 
11040	6	 	 	 
11040	7	 	 	 
11040	8	 	 	 
11040	9	 	 	 
11040	11	 	 	 
11042	1	 	 	 
11042	2	 	 	 
11042	3	 	 	 
11042	4	 	 	 
11042	5	 	 	 
11042	6	 	 	 
11042	7	 	 	 
11042	8	 	 	 
11042	9	 	 	 
11042	11	 	 	 
11043	1	 	 	 
11043	2	 	 	 
11043	3	 	 	 
11043	4	 	 	 
11043	5	 	 	 
11043	6	 	 	 
11043	7	 	 	 
11043	8	 	 	 
11043	9	 	 	 
11043	11	 	 	 
11044	1	 	 	 
11044	2	 	 	 
11044	3	 	 	 
11044	4	 	 	 
11044	5	 	 	 
11044	6	 	 	 
11044	7	 	 	 
11044	8	 	 	 
11044	9	 	 	 
11044	11	 	 	 
11045	1	 	 	 
11045	2	 	 	 
11045	3	 	 	 
11045	4	 	 	 
11045	5	 	 	 
11045	6	 	 	 
11045	7	 	 	 
11045	8	 	 	 
11045	9	 	 	 
11045	11	 	 	 
11046	1	 	 	 
11046	2	 	 	 
11046	3	 	 	 
11046	4	 	 	 
11046	5	 	 	 
11046	6	 	 	 
11046	7	 	 	 
11046	8	 	 	 
11046	9	 	 	 
11046	11	 	 	 
11048	1	 	 	 
11048	2	 	 	 
11048	3	 	 	 
11048	4	 	 	 
11048	5	 	 	 
11048	6	 	 	 
11048	7	 	 	 
11048	8	 	 	 
11048	9	 	 	 
11048	11	 	 	 
11049	1	 	 	 
11049	2	 	 	 
11049	3	 	 	 
11049	4	 	 	 
11049	5	 	 	 
11049	6	 	 	 
11049	7	 	 	 
11049	8	 	 	 
11049	9	 	 	 
11049	11	 	 	 
11050	1	 	 	 
11050	2	 	 	 
11050	3	 	 	 
11050	4	 	 	 
11050	5	 	 	 
11050	6	 	 	 
11050	7	 	 	 
11050	8	 	 	 
11050	9	 	 	 
11050	11	 	 	 
21002	1	75	7	2
21002	2	15	5	2
21002	3	125	2	2
21002	4	88	 	 
21002	5	88	 	 
21002	6	88	 	 
21002	7	88	 	 
21002	8	88	 	 
21002	9	88	 	 
21002	11	88	 	 
21003	1	 	 	 
21003	2	 	 	 
21003	3	 	 	 
21003	4	 	 	 
21003	5	 	 	 
21003	6	 	 	 
21003	7	 	 	 
21003	8	 	 	 
21003	9	 	 	 
21003	11	 	 	 
21004	1	 	 	 
21004	2	 	 	 
21004	3	 	 	 
21004	4	 	 	 
21004	5	 	 	 
21004	6	 	 	 
21004	7	 	 	 
21004	8	 	 	 
21004	9	 	 	 
21004	11	 	 	 
21005	1	 	 	 
21005	2	 	 	 
21005	3	 	 	 
21005	4	 	 	 
21005	5	 	 	 
21005	6	 	 	 
21005	7	 	 	 
21005	8	 	 	 
21005	9	 	 	 
21005	11	 	 	 
21006	1	 	 	 
21006	2	 	 	 
21006	3	 	 	 
21006	4	 	 	 
21006	5	 	 	 
21006	6	 	 	 
21006	7	 	 	 
21006	8	 	 	 
21006	9	 	 	 
21006	11	 	 	 
21007	1	 	 	 
21007	2	 	 	 
21007	3	 	 	 
21007	4	 	 	 
21007	5	 	 	 
21007	6	 	 	 
21007	7	 	 	 
21007	8	 	 	 
21007	9	 	 	 
21007	11	 	 	 
21008	1	 	 	 
21008	2	 	 	 
21008	3	 	 	 
21008	4	 	 	 
21008	5	 	 	 
21008	6	 	 	 
21008	7	 	 	 
21008	8	 	 	 
21008	9	 	 	 
21008	11	 	 	 
21009	1	 	 	 
21009	2	 	 	 
21009	3	 	 	 
21009	4	 	 	 
21009	5	 	 	 
21009	6	 	 	 
21009	7	 	 	 
21009	8	 	 	 
21009	9	 	 	 
21009	11	 	 	 
21010	1	 	 	 
21010	2	 	 	 
21010	3	 	 	 
21010	4	 	 	 
21010	5	 	 	 
21010	6	 	 	 
21010	7	 	 	 
21010	8	 	 	 
21010	9	 	 	 
21010	11	 	 	 
21011	1	 	 	 
21011	2	 	 	 
21011	3	 	 	 
21011	4	 	 	 
21011	5	 	 	 
21011	6	 	 	 
21011	7	 	 	 
21011	8	 	 	 
21011	9	 	 	 
21011	11	 	 	 
21012	1	 	 	 
21012	2	 	 	 
21012	3	 	 	 
21012	4	 	 	 
21012	5	 	 	 
21012	6	 	 	 
21012	7	 	 	 
21012	8	 	 	 
21012	9	 	 	 
21012	11	 	 	 
21013	1	 	 	 
21013	2	 	 	 
21013	3	 	 	 
21013	4	 	 	 
