CHILDCODE	MEMIDR4	AGER3	MEMAGER4	MEAGMTR4	MEMSEXR4	RELATER3	RELATER4	THSVILR4	BURBRLR4	BRNREGR4	BRNZONR4	LIVHSER4	YRDIEDR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	HSSTRTR4	GRADER4	STILLR4	TYPATDR4	WHYNOTR4	AGEGRDR4	EDCH18R4	MEMCNSR4
11008	5	21	25	 	2	7	7	 	 	 	 	1	 	3	0	0	2	1	1	12	0	 	 	 	0	N
11008	6	19	23	 	2	7	7	 	 	 	 	1	 	3	0	0	2	1	1	10	0	 	 	 	1	N
11008	7	8	12	 	2	14	19	 	 	 	 	1	 	10	 	0	8	98	1	6	1	4	 	 	1	N
11008	8	28	32	 	2	13	14	 	 	 	 	1	 	10	0	0	99	98	1	9	0	 	 	 	0	N
11009	0	14	18	 	2	0	0	1	 	 	 	1	 	3	0	0	2	1	1	13	0	 	 	 	1	N
11009	1	69	73	 	1	1	1	 	 	 	 	1	 	1	1	0	99	99	1	6	0	 	 	 	0	N
11009	2	55	59	 	2	1	1	 	 	 	 	1	 	2	1	0	99	99	1	8	0	 	 	 	0	N
11009	3	42	46	 	1	13	13	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11009	4	35	39	 	1	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11009	5	33	37	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	6	0	 	 	 	0	N
11009	6	32	36	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11009	7	27	31	 	1	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11009	8	25	29	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11009	9	24	28	 	2	7	7	 	 	 	 	1	 	3	0	0	2	1	1	14	0	 	 	 	1	N
11009	10	22	26	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11009	11	19	23	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	13	0	 	 	 	1	N
11009	12	13	17	 	2	15	15	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11009	13	4	8	 	1	15	15	 	 	 	 	1	 	5	 	0	98	98	1	4	1	1	 	 	1	N
11009	14	 	16	 	2	 	14	 	 	 	 	1	 	7	0	0	98	98	1	5	1	4	 	 	1	N
11010	0	14	18	 	2	0	0	1	 	 	 	1	 	5	0	0	98	2	1	13	1	1	 	 	1	N
11010	1	62	66	 	2	5	5	 	 	 	 	1	 	1	3	0	99	99	0	 	 	 	 	 	 	N
11010	2	43	47	 	1	1	1	 	 	 	 	1	 	3	4	0	1	99	1	7	0	 	 	 	0	Y
11012	0	15	19	 	2	0	0	0	2	4	402	2	 	10	0	0	98	98	1	14	1	4	 	 	1	 
11012	1	87	91	 	1	1	21	 	 	 	 	1	 	1	1	0	99	99	0	 	 	 	 	 	 	N
11012	2	67	71	 	2	1	13	 	 	 	 	1	 	2	1	0	99	99	0	 	 	 	 	 	 	N
11012	3	29	33	 	1	7	14	 	 	 	 	1	 	3	0	0	2	1	1	9	0	 	 	 	0	N
11012	4	21	25	 	2	20	20	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11012	15	9	13	 	2	13	19	 	 	 	 	1	 	5	0	0	98	98	1	3	1	4	 	 	1	N
11012	16	5	9	 	1	15	14	 	 	 	 	1	 	3	 	0	98	98	1	3	1	1	 	 	1	N
11012	17	14	19	 	2	20	20	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11013	0	14	18	 	1	0	0	1	 	 	 	1	 	3	0	0	2	99	1	13	1	4	 	 	1	N
11013	1	72	-88	 	1	1	1	 	 	 	 	3	2000	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	2	47	51	 	2	1	1	 	 	 	 	1	 	1	3	0	99	99	0	 	 	 	 	 	 	N
11013	3	24	28	 	1	7	7	 	 	 	 	1	 	3	0	0	2	99	1	12	0	 	 	 	0	Y
11013	4	21	25	 	1	7	7	 	 	 	 	1	 	3	0	0	2	99	1	11	0	 	 	 	0	Y
11013	15	11	15	 	2	7	7	 	 	 	 	1	 	3	0	0	2	99	1	10	1	4	 	 	1	N
11014	0	15	18	 	1	0	0	0	2	7	720	1	 	3	0	0	98	1	1	9	1	4	 	 	1	N
11014	1	45	49	 	1	1	1	 	 	 	 	1	 	1	1	0	98	98	1	9	0	 	 	 	0	N
11014	2	42	46	 	2	1	1	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11014	3	13	17	 	2	7	7	 	 	 	 	1	 	3	0	0	98	1	1	8	1	4	 	 	1	N
11014	4	12	16	 	1	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11014	15	7	11	 	2	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	16	6	10	 	2	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	17	6	10	 	1	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11015	0	14	18	 	1	0	0	1	 	 	 	1	 	7	0	0	99	99	1	9	1	3	 	 	1	N
11015	1	42	-88	 	2	1	1	 	 	 	 	3	1996	 	 	 	 	 	 	 	 	 	 	 	 	N
11015	2	25	29	 	2	9	9	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11015	3	17	21	 	1	9	9	 	 	 	 	1	 	7	0	0	99	99	1	13	0	 	 	 	1	N
11015	4	29	33	 	1	15	15	 	 	 	 	1	 	1	0	0	99	99	1	6	0	 	 	 	0	N
11016	0	14	18	 	2	0	0	0	2	4	406	1	 	10	0	0	98	98	1	10	1	4	 	 	1	N
11016	1	77	81	 	2	17	17	 	 	 	 	3	2003	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	2	52	56	 	2	13	13	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	3	21	24	 	1	13	13	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	4	16	20	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	5	 	65	 	1	 	21	 	 	 	 	1	 	1	1	0	99	99	1	12	0	 	 	 	0	N
11016	6	 	54	 	2	 	19	 	 	 	 	1	 	2	1	0	98	99	1	12	0	 	 	 	0	N
11016	7	 	19	 	1	 	19	 	 	 	 	1	 	3	0	0	6	5	1	12	1	4	 	 	1	N
11017	0	14	18	 	1	0	0	1	 	 	 	1	 	3	0	0	16	1	1	12	1	4	 	 	1	N
11017	1	42	46	 	1	1	1	 	 	 	 	1	 	1	1	0	99	99	0	 	 	 	 	 	 	N
11017	2	30	34	 	1	13	13	 	 	 	 	1	 	10	0	0	99	99	1	11	0	 	 	 	0	N
11017	3	24	28	 	1	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11017	4	22	26	 	2	7	7	 	 	 	 	1	 	3	0	0	16	1	1	11	0	 	 	 	1	N
11017	5	19	23	 	2	7	7	 	 	 	 	1	 	3	0	0	16	1	0	 	 	 	 	 	 	N
11017	16	38	42	 	2	1	1	 	 	 	 	1	 	2	1	0	99	99	0	 	 	 	 	 	 	N
11018	0	15	19	 	1	0	0	0	1	1	106	1	 	3	0	0	2	1	1	12	1	4	 	 	1	N
11018	1	57	61	 	1	1	1	 	 	 	 	1	 	1	1	0	99	99	1	7	0	 	 	 	0	N
11018	2	39	43	 	2	1	1	 	 	 	 	1	 	2	1	0	99	99	1	10	0	 	 	 	1	N
11018	3	23	27	 	2	8	8	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11018	4	17	21	 	2	7	7	 	 	 	 	1	 	3	0	0	2	1	1	14	1	1	 	 	1	N
11018	15	10	14	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	7	1	1	 	 	1	N
11018	16	5	9	 	2	7	7	 	 	 	 	1	 	3	 	0	2	1	1	4	1	1	 	 	1	N
11018	17	17	21	 	2	14	14	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11019	0	15	19	 	2	0	0	0	1	14	1407	1	 	3	0	0	2	99	1	12	1	4	 	 	1	N
11019	1	62	-88	 	1	1	1	 	 	 	 	3	2003	 	 	 	 	 	 	 	 	 	 	 	 	N
11019	2	47	51	 	2	1	1	 	 	 	 	1	 	1	3	0	98	99	1	28	0	 	 	 	0	N
11019	3	26	30	 	1	7	7	 	 	 	 	1	 	3	0	0	2	99	1	12	0	 	 	 	0	N
11019	4	22	26	 	2	7	7	 	 	 	 	1	 	3	0	0	2	99	1	9	0	 	 	 	0	N
11019	5	20	24	 	2	7	7	 	 	 	 	1	 	3	0	0	2	99	1	12	0	 	 	 	1	N
11019	15	8	12	 	1	14	14	 	 	 	 	1	 	5	 	0	98	98	1	6	1	1	 	 	1	N
11020	0	14	18	 	2	0	0	1	 	 	 	1	 	7	0	0	99	99	1	7	0	 	 	 	1	N
11020	1	60	64	 	2	22	5	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	2	32	36	 	2	22	13	 	 	 	 	1	 	1	0	0	98	99	1	9	0	 	 	 	0	N
11021	0	15	19	 	2	0	0	1	 	 	 	1	 	3	0	0	2	1	1	14	1	1	 	 	1	N
11021	1	52	56	 	1	1	1	 	 	 	 	1	 	1	1	0	98	99	1	5	0	 	 	 	0	N
11021	2	42	46	 	2	1	1	 	 	 	 	1	 	2	1	0	99	99	0	 	 	 	 	 	 	N
11021	3	27	31	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	12	0	 	 	 	0	N
11021	4	23	27	 	2	7	7	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11021	5	21	25	 	1	7	7	 	 	 	 	1	 	3	0	0	2	1	1	13	0	 	 	 	0	N
11021	6	18	22	 	1	7	7	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	N
11021	15	10	14	 	2	7	7	 	 	 	 	1	 	3	0	0	2	1	1	8	1	4	 	 	1	N
11021	16	8	12	 	1	7	7	 	 	 	 	1	 	3	 	0	2	1	1	5	1	4	 	 	1	N
11022	0	15	19	 	1	0	0	1	 	 	 	1	 	5	0	0	99	98	1	8	0	 	 	 	1	N
11022	1	62	-88	 	1	5	6	 	 	 	 	3	1996	 	 	 	 	 	 	 	 	 	 	 	 	N
11022	2	61	65	 	2	5	5	 	 	 	 	1	 	1	3	0	99	99	0	 	 	 	 	 	 	N
11022	3	28	32	 	2	15	15	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	N
