CHILDCODE	CRSPIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTER4	PYBACKR4	PYBCTMR4	NOBACKR4
91004	1	7	2	1	5	2005	4000	15	0	 	 
91004	2	7	2	2	5	2004	2000	15	1	1	 
91005	1	7	3	10	8	2002	880	8	1	1	 
91005	2	7	3	1	10	2003	2050	12	1	1	 
91005	3	7	3	1	10	2004	2850	13	1	1	 
91005	4	7	3	1	9	2005	3950	13	1	1	 
91005	5	10	2	6	8	2005	200	0	1	1	 
91005	6	10	2	10	1	2005	700	0	1	1	 
91005	7	10	2	16	1	2005	600	0	1	1	 
91005	8	10	3	13	1	2006	1020	0	0	 	 
91006	1	10	1	13	1	2003	500	0	1	1	 
91006	2	10	1	1	11	20004	500	0	1	1	 
91006	3	8	1	10	4	2004	900	10	1	1	 
91006	4	7	1	15	4	2005	4000	10	1	1	 
91006	5	10	1	6	3	2006	500	0	1	1	 
91007	1	9	1	2	12	2005	50	0	1	1	 
91007	2	7	1	1	9	2005	3450	12	1	1	 
91008	1	8	6	11	3	2003	100	0	1	1	 
91008	2	10	5	1	4	2005	200	0	1	1	 
91008	3	10	4	10	2	2006	100	0	1	1	 
91010	1	10	1	1	2	2002	1000	0	1	1	 
91010	2	10	1	1	2	2003	600	0	1	1	 
91011	1	7	1	1	9	2005	3000	16	1	1	 
91011	2	8	1	7	8	2005	500	0	1	1	 
91011	3	7	1	1	9	2004	2000	16	1	1	 
91011	4	7	1	1	9	2003	1500	16	1	1	 
91011	5	8	1	10	2	2006	150	0	1	1	 
91012	1	8	6	19	6	2005	10000	0	0	 	 
91012	2	8	4	19	11	2005	8000	5	0	 	 
91012	3	8	4	19	4	2006	7000	0	0	 	 
91013	1	10	1	1	10	2002	1000	0	1	1	 
91013	2	7	2	1	7	2003	1500	16	1	1	 
91013	3	7	2	1	7	2004	2500	16	1	1	 
91013	4	7	2	1	7	2005	3500	16	1	1	 
91015	1	7	2	1	5	2005	4000	15	1	1	 
91015	2	7	2	1	5	2004	3000	15	1	1	 
91015	3	7	2	1	5	2003	2000	15	1	1	 
91015	4	8	2	1	2	2006	500	0	1	1	 
91017	1	8	2	2	77	2002	100	0	1	1	 
91017	2	8	2	1	11	2003	600	0	1	1	 
91017	3	8	2	2	10	2003	600	0	1	1	 
91017	4	8	5	1	3	2005	300	0	1	1	 
91018	1	7	2	1	10	2005	3100	15	1	1	 
91018	2	7	2	1	10	2004	2500	15	1	1	 
91018	3	7	2	1	10	2003	2200	15	1	1	 
91018	4	7	2	1	10	20002	1500	15	1	1	 
91019	1	7	18	1	10	2005	3350	15	0	 	 
91022	1	7	1	14	6	2003	1500	15	1	1	 
91022	2	7	1	1	5	2004	2500	15	1	1	 
91022	3	7	1	1	5	2005	4000	15	1	1	 
91022	4	10	1	1	1	2006	900	0	1	1	 
91023	1	10	2	15	1	200	2002	0	1	1	 
91023	2	7	17	1	8	2003	1500	15	1	1	 
91023	3	7	17	1	5	2006	2500	15	1	1	 
91023	4	7	17	1	6	2005	4000	15	1	1	 
91023	5	8	17	18	6	2005	1000	0	1	1	 
91024	1	7	1	1	6	2004	1500	15	1	1	 
91024	2	7	1	1	6	2005	3000	15	1	1	 
91025	1	7	1	1	3	2003	800	15	0	 	 
91025	2	7	1	1	3	2004	1800	15	0	 	 
91025	3	7	1	1	3	2005	4000	15	0	 	 
91026	1	10	0	2	2	2005	50	0	1	1	 
91027	1	10	2	1	12	2002	200	0	1	1	 
91027	2	10	2	1	11	2005	400	0	1	1	 
91028	1	8	8	7	4	2006	200	0	1	1	 
91028	2	7	8	1	10	2005	2500	15	0	 	 
91029	1	7	17	1	8	2003	3500	10	1	1	 
91029	2	7	17	1	7	2004	4000	10	1	1	 
91029	3	7	17	1	6	2005	5000	10	1	1	 
91029	4	8	17	1	4	2005	1000	0	1	1	 
91029	5	10	17	1	10	2005	1500	0	1	1	 
91030	1	7	1	1	5	2002	2000	15	1	1	 
91030	2	7	1	1	5	2003	2500	15	1	1	 
91030	3	7	1	1	5	2004	300	15	1	1	 
91030	4	7	1	2	5	2005	3500	15	1	1	 
91030	5	7	1	1	5	2006	1300	15	0	 	 
91031	1	7	2	1	11	2003	1500	10	1	1	 
91031	2	7	2	1	4	2004	1500	10	1	1	 
91031	3	11	2	1	8	2005	2000	10	1	1	 
91032	1	7	2	19	10	2005	35000	15	0	 	 
91032	2	7	2	8	10	2005	4000	15	0	 	 
91033	1	8	0	1	9	2005	500	0	1	0	3
91034	1	7	2	1	9	2005	3000	15	0	 	 
91034	2	7	2	1	9	2002	3000	15	1	1	 
91035	1	10	1	2	11	2002	100	0	1	1	 
91035	2	10	1	2	12	2003	100	0	1	1	 
91035	3	8	1	2	1	2003	700	0	1	1	 
91035	4	8	1	2	10	2005	200	0	1	1	 
91037	1	1	1	1	8	2005	15000	0	0	 	 
91039	1	10	1	1	2	2006	600	0	1	1	 
91040	1	7	2	15	4	2003	2000	15	1	1	 
91040	2	7	2	15	4	2004	3000	15	1	1	 
91040	3	7	2	1	4	2005	3500	15	1	1	 
91041	1	7	1	1	4	2003	2000	10	1	1	 
91041	2	7	1	1	6	2004	3000	10	1	1	 
91041	3	7	1	8	5	2005	4000	10	1	1	 
91042	1	10	18	1	10	2005	500	0	1	1	 
91042	2	10	18	7	1	2005	700	0	1	1	 
91044	1	10	2	15	1	2006	200	0	1	1	 
91044	2	2	2	1	2	2006	600	15	1	1	 
91044	3	2	2	19	7	2005	300	15	1	1	 
91044	4	2	2	1	10	2006	300	15	0	 	 
91045	1	10	1	1	2	2002	200	0	1	1	 
91045	2	10	1	2	1	2004	500	0	1	1	 
91045	3	10	1	2	1	2006	1000	0	1	1	 
91048	1	7	2	1	7	2005	2100	15	1	1	 
91048	2	8	2	1	1	2006	300	33	1	1	 
91049	1	10	1	1	1	2003	1000	0	1	1	 
91049	2	10	1	1	1	2004	1000	0	1	1	 
91049	3	10	1	1	1	2005	1000	0	1	1	 
91049	4	10	1	1	1	2006	2000	0	1	1	 
91050	1	8	1	7	4	2006	500	0	1	1	 
101001	1	10	2	2	4	2003	300	10	0	 	 
101001	2	7	2	2	1	2004	2000	15	1	1	 
101001	3	7	2	4	12	2005	3000	15	0	 	 
101002	1	10	2	7	2	2002	10000	0	1	0	6
101002	2	7	2	3	5	2003	5000	10	1	1	 
101004	1	10	1	2	10	2003	300	0	1	1	 
101004	2	10	1	2	12	2006	500	0	1	1	 
101007	1	7	0	3	3	2006	5000	5	1	1	 
101010	1	10	0	2	7	2005	400	0	1	1	 
101011	1	7	2	1	2	2004	5000	2	1	1	 
101012	1	10	2	19	2	2005	30000	0	0	 	 
101012	2	7	2	19	10	2005	15000	-77	0	 	 
101012	3	10	2	19	1	2006	5000	0	1	1	 
101015	1	7	2	2	12	2004	2000	17	1	1	 
101015	2	7	7	2	12	2005	3000	17	0	 	 
101017	1	8	2	2	11	2004	100	0	1	1	 
101018	1	7	2	4	5	2003	4000	1.60000002384186	1	1	 
101018	2	7	2	4	5	2004	6000	1.60000002384186	1	1	 
101018	3	7	2	4	5	2005	8000	2	0	 	 
101019	1	7	5	2	7	2002	3000	17	1	1	 
101019	2	7	5	1	7	2004	4000	17	1	1	 
101019	3	8	5	2	1	2006	100	0	0	 	 
101020	1	7	1	8	9	2002	2500	24	1	1	 
101020	2	7	1	1	4	2005	2500	24	0	 	 
101020	3	10	1	11	10	2005	100	0	1	1	 
101020	4	10	1	2	8	2004	200	0	1	0	11
101025	1	6	3	19	3	2003	8000	5	1	0	4
101028	1	10	15	2	6	2003	200	0	1	1	 
101030	1	8	2	6	2	2005	2000	1	1	1	 
101030	2	8	2	7	12	2005	1000	0	0	 	 
101030	3	8	1	8	10	2005	2500	2	0	 	 
101031	1	7	1	3	5	2005	6000	12	0	 	 
101032	1	10	1	7	10	2005	300	0	1	0	11
101033	1	7	0	40	11	2005	5000	18	1	1	 
101035	1	8	2	3	1	20006	100	0	1	1	 
101037	1	8	5	15	3	2005	500	0	1	1	 
101042	1	5	1	15	7	2003	3000	5	1	1	 
101044	1	2	1	8	77	2004	7000	1	0	 	 
101045	1	7	2	19	2	2002	1000	5	1	1	 
101045	2	7	2	19	2	2003	1500	5	1	1	 
101045	3	7	2	19	2	2004	2000	5	1	1	 
101045	4	7	2	19	2	2005	2500	5	1	1	 
101045	5	7	2	19	2	2006	3000	5	0	 	 
101050	1	10	1	13	10	2005	500	0	1	1	 
111002	1	7	1	3	4	2003	2000	2.5	1	1	 
111002	2	7	1	3	4	2004	2500	2.5	1	1	 
111002	3	7	1	3	9	2005	3500	6	0	 	 
111005	1	7	1	1	7	2003	2000	10	1	1	 
111005	2	7	1	1	7	2004	3000	10	1	1	 
111005	3	7	1	1	7	2004	4000	10	0	 	 
111006	1	10	13	6	11	2005	100	0	1	1	 
111009	1	9	1	1	10	2005	500	2	0	 	 
111009	2	9	1	1	10	2005	150	3	0	 	 
111009	3	1	2	2	10	2005	100	5	0	 	 
111013	1	7	2	1	7	2002	2000	10	1	1	 
111013	2	7	2	1	7	2003	2500	10	1	1	 
111013	3	7	2	1	7	2004	3000	10	1	1	 
111013	4	7	2	1	7	2005	3500	10	0	 	 
111015	1	7	2	1	7	2002	6000	2	1	1	 
111015	2	7	2	1	8	2004	8000	5	1	1	 
111015	3	7	2	1	7	2005	8000	2	0	 	 
111017	1	2	17	7	8	2004	2000	0	1	1	 
111019	1	7	1	1	7	2003	1500	10	1	1	 
111019	2	7	1	1	7	2003	2000	10	1	1	 
111019	3	7	1	1	7	2004	2500	10	1	1	 
111019	4	7	1	1	7	2005	4000	10	0	 	 
111020	1	7	2	1	7	2005	6000	2	0	 	 
111022	1	10	0	2	11	2005	150	0	1	1	 
111022	2	10	0	17	10	2004	150	0	1	1	 
111023	1	7	2	1	8	2005	3000	10	0	 	 
111024	1	7	3	8	10	2003	40000	8	0	 	 
111025	1	7	1	1	8	2004	2000	15	1	1	 
111025	2	7	1	1	8	2005	2300	15	0	 	 
111028	1	9	1	1	10	2005	400	25	0	 	 
111028	2	9	1	13	10	2004	300	16.6000003814697	1	1	 
111029	1	10	1	1	3	2005	500	0	1	1	 
111029	2	9	1	2	11	2004	100	10	1	1	 
111031	1	7	1	1	8	2005	4000	15	0	 	 
111031	2	9	1	2	12	2005	200	-77	1	1	 
111033	1	7	2	19	6	2002	1000	3	1	1	 
111033	2	7	2	19	6	2003	2000	3	1	1	 
111033	3	7	2	19	6	2004	3000	3	1	1	 
111033	4	7	2	19	6	2004	4000	3	0	 	 
111034	1	7	1	1	9	2005	4000	5	0	 	 
111036	1	7	3	1	8	2005	4500	15	1	1	 
111036	2	7	3	6	7	2004	3200	15	1	1	 
111036	3	9	3	2	10	2005	1000	20	1	1	 
111041	1	10	0	2	2	2006	500	0	1	1	 
111043	1	7	2	1	8	2005	4200	15	0	 	 
111043	2	7	2	1	7	2004	2800	15	1	1	 
111043	3	7	2	2	7	2003	1800	15	1	1	 
111043	4	9	1	1	11	2004	300	16.6000003814697	1	1	 
111043	5	9	1	1	10	2005	600	16.6000003814697	1	1	 
111045	1	7	2	1	7	2003	2000	15	1	1	 
111045	2	7	2	1	7	2004	3000	15	1	1	 
111045	3	7	3	1	7	2005	5000	15	0	 	 
111045	4	7	3	2	6	2002	3000	15	1	1	 
111045	5	7	3	2	7	2003	4000	15	1	1	 
111045	6	7	3	4	7	2005	4500	15	0	 	 
111045	7	9	2	13	10	2005	900	-77	0	 	 
111046	1	7	1	2	7	2002	300	12	1	1	 
111046	2	7	1	2	7	2003	900	12	1	1	 
111046	3	7	1	2	7	2004	1600	12	1	1	 
111046	4	7	1	6	7	2005	4000	12	0	 	 
111047	1	9	4	2	11	2005	170	17.6000003814697	0	 	 
111048	1	7	1	1	8	2005	6000	15	0	 	 
111048	2	7	1	14	8	2004	4500	15	1	1	 
111048	3	7	1	1	8	2003	3000	15	1	1	 
121001	1	10	2	40	6	2005	5000	0	0	 	 
121001	2	10	2	40	5	2005	500	0	0	 	 
121004	1	10	1	13	7	2005	6000	0	0	 	 
121005	1	7	0	12	11	2004	500	30	1	1	 
121005	2	8	19	7	4	2005	2000	0	1	1	 
121005	3	7	0	19	12	2005	1500	16	0	 	 
121005	4	10	19	2	1	2006	500	0	1	1	 
121007	1	10	2	2	11	2005	200	0	1	0	11
121007	2	10	2	2	12	2005	100	0	1	1	 
121008	1	10	0	19	12	2005	2000	0	0	 	 
121008	2	8	0	10	2	2006	1000	0	0	 	 
121008	3	10	0	19	5	2002	1200	0	1	1	 
121008	4	10	0	19	6	2003	500	0	1	1	 
121009	1	8	18	19	11	2004	40000	0	0	 	 
121010	1	8	1	1	11	2006	2000	0	1	0	2
121011	1	10	2	2	11	2004	100	0	1	1	 
121011	2	8	2	2	3	2006	50	0	0	 	 
121012	1	8	1	12	1	2005	2000	0	1	1	 
121014	1	10	2	19	11	2004	200	0	1	0	14
121014	2	15	2	18	2	2005	200	50	1	1	 
121015	1	9	1	7	3	2005	500	0	0	 	 
121015	2	8	1	7	3	2005	600	0	0	 	 
121015	3	10	1	7	8	2005	600	2	0	 	 
121015	4	10	1	17	8	2004	1200	0	1	1	 
121022	1	8	6	41	3	2003	500	0	1	1	 
121022	2	8	6	6	3	2005	200	0	1	1	 
121023	1	10	2	19	1	2006	5000	0	0	 	 
121023	2	10	2	19	6	2005	4000	0	1	1	 
121023	3	8	1	10	6	2003	1500	0	1	1	 
121024	1	10	0	19	1	2006	1000	0	1	1	 
121026	1	2	2	1	11	2005	1200	9	0	 	 
121026	2	2	2	6	10	2004	1200	9	1	1	 
121027	1	6	18	3	3	2006	2000	0	0	 	 
121028	1	9	2	7	10	2005	700	0	0	 	 
121030	1	10	0	19	3	2006	2000	0	1	1	 
121030	2	10	0	19	1	2006	5000	0	1	0	11
121033	1	1	1	1	11	2005	500	13	0	 	 
121034	1	8	0	19	6	2005	5000	0	1	1	 
121037	1	10	6	7	2	2005	5000	0	1	1	 
121038	1	1	1	1	11	2002	11900	17	1	1	 
121038	2	1	1	1	11	2003	9000	9	1	1	 
121040	1	8	2	6	7	2005	3000	0	0	 	 
121043	1	3	2	19	11	2004	510	90	1	1	 
121043	2	8	0	1	10	2005	500	0	1	1	 
121048	1	3	2	1	10	2004	1500	10	1	1	 
121048	2	3	2	1	11	2005	1500	10	0	 	 
121048	3	8	1	8	4	2004	6000	0	1	1	 
121048	4	3	1	1	11	2005	1500	10	0	 	 
121053	1	8	1	8	8	2005	10000	0	0	 	 
121053	2	10	1	1	10	2004	500	0	0	 	 
131001	1	10	1	7	1	2006	600	0	0	 	 
131004	1	10	0	2	6	2006	100	0	1	1	 
131005	1	4	1	13	5	2003	10000	0	0	 	 
131007	1	4	2	7	10	2005	2000	0	0	 	 
131009	1	4	2	4	4	2006	3000	0	0	 	 
131009	2	4	2	19	4	2006	1500	0	0	 	 
131011	1	7	1	4	8	2004	9000	12	1	1	 
131012	1	10	1	2	1	2004	650	0	1	1	 
131012	2	10	1	2	4	2005	400	0	1	1	 
131012	3	10	1	7	9	2005	800	0	0	 	 
131016	1	8	1	3	11	2005	1300	0	0	 	 
131016	2	10	1	3	12	2005	1200	0	0	 	 
131018	1	10	1	7	3	2005	200	0	0	 	 
131020	1	8	1	2	12	2005	4000	0	0	 	 
131022	1	7	1	2	11	2002	600	20	1	1	 
131022	2	7	1	19	5	2003	1200	23	1	1	 
131022	3	10	1	19	9	2005	1000	12	0	 	 
131024	1	4	2	7	11	2005	3000	0	0	 	 
131025	1	2	2	19	4	2003	1000	4	1	1	 
131025	2	2	2	19	6	2004	1000	4	1	1	 
131025	3	2	2	19	4	2005	1000	4	1	1	 
131025	4	2	2	19	4	2006	1000	4	0	 	 
131026	1	4	1	2	2	2006	600	0	0	 	 
131027	1	7	1	14	3	2000	2000	11	1	0	8
131027	2	10	1	2	4	2005	600	0	1	1	 
131028	1	2	2	7	1	2006	3000	0	0	 	 
131029	1	7	2	19	4	2004	2000	20.6000003814697	1	1	 
131029	2	10	1	3	8	2005	300	0	1	1	 
131031	1	2	1	7	12	2005	500	0	0	 	 
131031	2	2	1	2	1	2006	1000	0	0	 	 
131032	1	7	9	19	6	2005	20000	12	0	 	 
131033	1	15	1	2	3	2003	1000	4	1	1	 
131033	2	15	1	2	4	2004	1000	4	1	1	 
131033	3	15	1	2	6	2005	1000	4	1	1	 
131033	4	15	1	13	2	2006	2000	4	0	 	 
131034	1	8	3	10	2	2006	1500	0	0	 	 
131035	1	8	1	4	2	2006	2000	0	0	 	 
131035	2	6	1	4	2	2006	1500	0	0	 	 
131036	1	4	2	3	1	2006	500	0	0	 	 
131037	1	6	2	19	4	2005	6000	0	1	1	 
131039	1	4	2	3	5	2004	300	0	0	 	 
131040	1	10	19	19	4	2006	2300	0	0	 	 
131041	1	4	2	8	1	2006	5000	0	0	 	 
131043	1	7	2	40	2	2004	40000	11	1	1	 
131045	1	4	1	10	7	2005	500	0	1	1	 
131046	1	10	1	2	4	2006	300	0	0	 	 
131047	1	10	2	19	4	2003	600	13.3000001907349	1	1	 
131047	2	10	2	19	2	2004	1200	15	1	1	 
131047	3	6	2	19	7	2005	7000	0	0	 	 
131048	1	7	1	13	3	2004	5000	8	1	1	 
131048	2	7	1	7	4	2005	7000	11	0	 	 
141002	1	13	1	2	1	2006	200	0	0	 	 
141005	1	10	1	15	12	2005	3000	-88	0	 	 
141006	1	11	2	13	3	2003	2000	3	0	 	 
141007	1	15	1	2	12	2005	300	15	0	 	 
141008	1	7	2	15	12	2005	4000	5	0	 	 
141008	2	7	2	15	12	2004	3000	5	1	1	 
141008	3	7	2	15	11	2003	2000	5	1	1	 
141009	1	5	1	41	1	2005	40000	6	0	 	 
141010	1	7	5	40	2	2005	1500	-77	0	 	 
141011	1	11	1	19	6	2005	2500	0	0	 	 
141014	1	10	1	8	8	2005	50000	0	0	 	 
141015	1	10	1	4	3	2005	600	0	0	 	 
141016	1	8	5	2	2	2006	200	0	0	 	 
141020	1	10	1	7	5	2005	400	0	1	1	 
141020	2	8	1	19	2	2006	300	0	0	 	 
141021	1	10	0	2	7	2005	800	0	1	1	 
141028	1	6	2	19	1	2005	1000	5	1	1	 
141028	2	6	2	19	2	2006	1000	5	0	 	 
141029	1	5	1	15	12	2005	3000	-77	0	 	 
141030	1	7	2	19	10	2005	4000	2	0	 	 
141030	2	7	2	19	2	2005	4000	2	1	1	 
141030	3	7	2	19	8	2004	4000	2	1	1	 
141030	4	7	2	19	6	2003	4000	2	1	1	 
141031	1	11	1	8	12	2005	1000	6	1	1	 
141032	1	10	2	19	1	2006	4000	0	0	 	 
141032	2	10	2	11	10	2005	6000	0	1	1	 
141033	1	6	1	8	7	2005	25000	-77	0	 	 
141036	1	10	2	15	12	2004	3000	0	0	 	 
141037	1	10	2	6	2	2006	200	0	1	1	 
141038	1	10	6	17	1	2006	1000	0	1	1	 
141039	1	10	0	3	3	2006	400	0	0	 	 
141040	1	10	1	19	5	2005	1500	10	1	1	 
141040	2	10	2	7	2	2006	500	0	0	 	 
141044	1	7	10	3	8	2004	5500	2	0	 	 
141047	1	7	1	2	6	2005	500	5	0	 	 
141049	1	7	7	10	77	2003	20000	3	1	1	 
141049	2	7	7	10	77	2005	15000	3	0	 	 
151002	1	7	2	8	12	2005	4000	15	0	 	 
151004	1	8	1	1	9	2005	400	0	0	 	 
151005	1	10	1	3	4	2005	1000	0	1	1	 
151008	1	8	2	2	12	2003	2500	0	0	 	 
151009	1	4	1	2	2	2006	4000	3	0	 	 
151010	1	8	2	16	1	2003	5000	0	0	 	 
151010	2	8	2	16	1	2005	3000	0	0	 	 
151014	1	4	1	1	7	2005	580	0	0	 	 
151016	1	5	1	1	7	2005	600	0	0	 	 
151019	1	10	1	2	7	2005	120	0	1	1	 
151020	1	7	1	3	1	2006	4000	6	0	 	 
151021	1	4	1	1	8	2005	600	0	0	 	 
151023	1	4	1	4	9	2004	1500	2	0	 	 
151024	1	7	2	19	4	2002	6000	10	0	 	 
151025	1	10	15	3	1	2006	500	0	1	1	 
151027	1	10	1	16	4	2006	200	0	1	1	 
151027	2	10	1	16	4	2006	200	0	0	 	 
151028	1	10	0	19	3	2004	300	0	1	1	 
151029	1	13	2	10	1	2006	3800	0	0	 	 
151029	2	13	2	16	1	2005	3800	0	1	1	 
151029	3	7	2	13	77	2004	2500	4	1	1	 
151030	1	10	1	15	4	2005	100	0	1	1	 
151031	1	10	1	6	2	2006	400	0	0	 	 
151031	2	10	1	2	10	2005	300	0	1	1	 
151033	1	7	1	1	5	2005	5000	18	1	1	 
151035	1	7	1	19	1	2002	3000	9	1	1	 
151035	2	7	1	19	1	2003	5000	9	1	1	 
151041	1	4	12	9	11	2005	2000	0	0	 	 
151042	1	10	5	3	10	2005	1000	0	0	 	 
151043	1	10	9	2	12	2005	600	0	1	1	 
151045	1	10	2	2	3	2006	1000	0	1	1	 
151051	1	2	2	15	77	2005	300	0	1	1	 
151052	1	8	1	6	1	2006	1600	0	0	 	 
151052	2	7	1	1	11	2005	800	-77	0	 	 
151053	1	8	2	10	3	2006	100	100	0	 	 
151056	1	1	1	1	2	2006	780	0	0	 	 
151067	1	10	1	2	8	2005	200	0	1	1	 
151067	2	10	1	15	1	2006	300	0	0	 	 
151069	1	4	1	6	1	2006	300	50	0	 	 
151069	2	10	1	15	1	2006	200	50	0	 	 
161003	1	2	1	1	10	2002	550	0	1	1	 
161003	2	8	1	2	10	2002	200	0	1	1	 
161003	3	2	1	1	10	2004	600	0	1	1	 
161003	4	1	1	1	10	2005	1455	0	0	 	 
161005	1	10	6	4	6	2006	2000	0	0	 	 
161005	2	10	6	4	4	2006	500	0	0	 	 
161006	1	10	1	1	3	2003	1500	0	1	1	 
161006	2	4	1	7	7	2004	1000	20	1	1	 
161006	3	4	1	10	7	2005	3500	4	0	 	 
161006	4	2	1	1	11	2005	1200	0	0	 	 
161007	1	1	1	1	11	2005	800	0	0	 	 
161007	2	10	1	10	7	2005	3000	0	1	1	 
161007	3	8	1	7	2	2006	300	0	0	 	 
161007	4	10	1	10	2	2006	2500	0	0	 	 
161008	1	1	1	1	11	2005	1800	0	0	 	 
161008	2	10	1	2	2	2006	5500	0	0	 	 
161008	3	4	1	8	3	2004	4500	13	1	1	 
161009	1	1	6	1	11	2004	1200	0	1	1	 
161009	2	8	6	2	10	2005	1500	0	0	 	 
161010	1	2	1	1	11	2002	1300	13	1	1	 
161010	2	2	1	1	11	2003	13000	13	1	1	 
161010	3	1	1	1	11	2005	1390	13.8999996185303	0	 	 
161010	4	4	1	10	5	2005	4000	0	0	 	 
161011	1	1	1	1	10	2005	1200	9	0	 	 
161016	1	7	2	1	10	2005	600	9	0	 	 
161018	1	4	1	15	2	2003	500	0	1	1	 
161018	2	10	1	1	10	2004	700	0	1	1	 
161018	3	1	1	1	12	2005	1800	0	0	 	 
161019	1	2	1	1	10	2003	600	0	1	1	 
161019	2	1	1	1	10	2005	1520	0	0	 	 
161021	1	2	1	1	10	2002	400	0	1	1	 
161021	2	2	1	1	10	2003	250	0	1	1	 
161021	3	4	1	2	3	2003	950	0	1	1	 
161021	4	4	1	1	10	2004	400	0	1	1	 
161021	5	4	1	2	3	2005	800	0	1	1	 
161021	6	4	1	2	1	2006	2500	0	0	 	 
161022	1	1	1	1	10	2005	600	0	0	 	 
161022	2	10	1	2	11	2005	3000	0	0	 	 
161024	1	1	1	1	11	2005	1000	0	0	 	 
161024	2	10	1	2	1	2006	1000	0	0	 	 
161025	1	4	1	7	7	2005	4000	0	0	 	 
161026	1	1	1	1	11	2005	1200	0	0	 	 
161026	2	4	1	2	2	2006	1900	0	0	 	 
161030	1	1	7	1	11	2005	3500	0	0	 	 
161030	2	4	7	2	2	2005	2000	0	0	 	 
161031	1	2	22	1	10	2003	900	0	1	1	 
161031	2	2	22	1	10	2004	600	0	1	1	 
161031	3	8	22	10	5	2005	3000	0	1	1	 
161032	1	1	1	1	10	2005	800	0	0	 	 
161032	2	4	1	2	2	2005	1200	0	0	 	 
161034	1	1	1	1	10	2005	400	0	0	 	 
161035	1	1	18	1	11	2005	1000	0	0	 	 
161035	2	10	18	2	7	2005	1600	0	0	 	 
161035	3	2	18	1	5	2004	800	0	1	1	 
161037	1	2	1	1	11	2003	1200	0	1	1	 
161037	2	2	1	1	11	2004	1500	0	1	1	 
161037	3	1	1	1	11	2005	1000	0	0	 	 
161038	1	1	1	1	11	2005	800	0	0	 	 
161039	1	1	1	1	10	2005	566	0	0	 	 
161039	2	4	1	2	2	2006	500	0	0	 	 
161041	1	10	1	2	2	2006	2500	0	0	 	 
161042	1	7	1	1	10	2005	600	9	0	 	 
161043	1	1	1	1	10	2005	1400	0	0	 	 
161043	2	10	1	2	1	2006	1500	20	0	 	 
161044	1	1	2	1	11	2005	1400	0	0	 	 
161046	1	1	1	1	11	2005	400	0	0	 	 
161047	1	10	1	2	2	2003	1400	0	1	1	 
161047	2	10	1	6	6	2005	600	0	1	1	 
161047	3	1	1	1	11	2005	800	0	0	 	 
161047	4	10	1	2	2	2006	1300	0	0	 	 
161048	1	1	1	1	10	2005	840	0	0	 	 
161048	2	4	1	7	1	2006	1500	0	0	 	 
161049	1	1	1	1	10	2005	1800	0	0	 	 
161050	1	2	1	1	11	2003	2400	0	1	1	 
161050	2	2	1	1	11	2004	2400	0	1	1	 
161050	3	1	1	1	11	2005	1800	0	0	 	 
171001	1	2	2	1	10	2005	750	-77	0	 	 
171001	2	8	2	8	8	2005	1200	0	1	1	 
171003	1	6	9	2	1	2006	1000	0	1	1	 
171005	1	2	1	1	10	2004	1306	0	1	1	 
171005	2	2	1	1	10	2005	620	0	1	1	 
171007	1	2	1	1	10	2005	1452	-77	0	 	 
171007	2	2	1	1	3	2006	363	-77	0	 	 
171007	3	2	1	1	9	2005	1227	-77	1	1	 
171007	4	2	1	1	10	2004	765	-77	1	1	 
171008	1	2	1	1	10	2005	1500	-77	0	 	 
171008	2	2	1	1	10	2004	1400	-77	1	1	 
171008	3	2	1	1	10	2003	1350	-77	1	1	 
171010	1	2	2	1	10	2003	1252	-77	1	1	 
171010	2	2	2	1	10	2004	1252	-77	1	1	 
171010	3	2	2	1	10	2005	1452	-77	0	 	 
171010	4	8	2	19	7	2003	4000	0	0	 	 
171011	1	7	1	14	10	2004	2000	-77	1	1	 
171011	2	2	1	1	10	2004	1600	-77	1	1	 
171011	3	2	1	1	10	2005	1700	-77	1	0	11
171012	1	2	1	1	10	2005	950	-77	0	 	 
171012	2	2	1	1	9	2004	800	-77	1	1	 
171012	3	7	1	1	5	2004	1800	-77	0	 	 
171014	1	7	1	3	12	2003	5000	15	1	1	 
171016	1	2	17	1	10	2005	900	-77	1	1	 
171017	1	2	1	1	10	2003	1260	-77	1	1	 
171017	2	2	1	1	10	2004	1230	-77	1	1	 
171017	3	2	1	1	10	2005	1500	-77	1	1	 
171018	1	2	1	1	9	2005	1500	-77	1	1	 
171019	1	2	9	1	10	2005	800	-77	0	 	 
171020	1	2	1	1	10	2005	1400	-77	0	 	 
171021	1	7	1	1	9	2005	5000	-77	0	 	 
171021	2	7	1	1	9	2003	3000	-77	1	1	 
171022	1	2	1	1	10	2005	700	-77	0	 	 
171022	2	3	1	1	10	2004	1350	-77	1	1	 
171023	1	2	4	1	9	2005	1400	12	0	 	 
171023	2	2	4	2	9	2004	1300	12	1	1	 
171023	3	10	3	2	10	2005	1750	0	1	1	 
171023	4	10	3	2	8	2004	1200	0	1	1	 
171025	1	2	2	1	3	2005	1280	-77	0	 	 
171025	2	2	2	1	9	2005	600	-77	0	 	 
171025	3	2	2	1	6	2003	7000	9	1	0	9
171026	1	2	1	1	9	2005	2000	-77	0	 	 
171026	2	2	1	1	9	2004	1500	-77	1	1	 
