CHILDCODE	CRSPIDR4	GAVCRDR4	WHORCVR4	TKEOUTR4	LOANMTR4	LOANYRR4	AMTCRDR4	INTRTER4	PYBACKR4	PYBCTMR4	NOBACKR4
41025	1	7	3	3	10	2005	10000	13	0	 	 
41026	1	7	1	1	11	2004	6000	18	0	 	 
41027	1	7	17	7	5	2005	6000	18	0	 	 
41028	1	2	1	2	5	2005	100	3	0	 	 
41029	1	7	1	3	2	2006	20000	13	0	 	 
41029	2	7	1	3	4	2003	20000	13	1	1	 
41032	1	6	2	2	11	2005	1000	6	0	 	 
41035	1	7	1	19	9	2005	16000	15	0	 	 
41036	1	10	1	2	2	2006	200	0	0	 	 
41037	1	10	2	7	6	2005	300	0	1	0	11
41037	2	10	2	2	7	2005	1000	0	1	1	 
41038	1	6	2	2	7	2005	400	0	0	 	 
41040	1	7	1	10	1	2006	11000	15	0	 	 
41041	1	4	2	7	1	2006	500	0	0	 	 
41042	1	6	16	3	1	2006	50000	20	0	 	 
41043	1	7	1	4	1	2005	35000	18	0	 	 
41044	1	6	2	2	1	2006	2500	0	0	 	 
41044	2	2	2	2	11	2005	300	15	0	 	 
41044	3	6	2	2	4	2005	600	0	1	0	3
41044	4	6	2	2	1	2006	2080	0	0	 	 
41045	1	4	2	2	3	2005	2000	0	0	 	 
41046	1	8	1	7	2	2003	4000	0	1	1	 
41047	1	4	20	19	5	2005	10000	3	0	 	 
41048	1	7	3	2	1	2004	8000	15	1	1	 
41050	1	8	1	10	7	2005	100	0	1	1	 
51003	1	10	1	3	1	2006	2000	0	1	1	 
51003	2	10	1	3	3	2006	1000	0	0	 	 
51004	1	10	1	2	10	2004	600	0	0	 	 
51005	1	7	2	3	2	2003	2000	10	1	1	 
51005	2	7	2	1	2	2005	3500	10	0	 	 
51012	1	13	1	10	7	2006	2000	0	1	1	 
51014	1	4	1	2	1	2005	2000	60	0	 	 
51014	2	4	1	1	8	2005	2500	60	1	0	11
51015	1	10	1	2	1	2006	100	0	0	 	 
51019	1	10	1	2	10	2005	1000	0	0	 	 
51021	1	4	2	2	12	2005	200	10	1	1	 
51022	1	10	1	2	6	2005	700	0	1	1	 
51023	1	7	1	1	2	2005	9000	12.5	0	 	 
51024	1	4	1	7	4	2005	600	5	0	 	 
51025	1	7	1	15	1	2003	1800	-77	0	 	 
51025	2	10	1	7	9	2003	500	0	0	 	 
51026	1	8	1	2	11	2005	200	10	0	 	 
51027	1	7	2	10	2	2004	2000	15	1	1	 
51028	1	7	1	19	9	2005	10000	18	0	 	 
51030	1	10	1	7	10	2005	600	0	1	1	 
51031	1	6	1	2	11	2005	100	3	0	 	 
51035	1	8	1	2	12	2005	1000	0	1	1	 
51036	1	8	2	2	10	2005	800	0	0	 	 
51038	1	10	8	3	3	2006	700	0	0	 	 
51038	2	10	8	15	1	2006	1000	0	0	 	 
51039	1	4	1	3	1	2005	1000	36	1	1	 
51040	1	10	1	8	1	2006	4000	0	0	 	 
51042	1	7	2	1	8	2004	5000	10	0	 	 
51043	1	10	1	7	6	2005	500	0	0	 	 
