CHILDCODE	FOODIDR4	HHCONSR4	VLRPR4	OWNVR4	GFTVR4	GFSRR4
11001	1	Y	48	0	0	 
11001	2	Y	28	0	0	 
11001	3	Y	0	36	0	 
11001	4	Y	335	0	0	 
11001	6	N	 	 	 	 
11001	8	N	 	 	 	 
11001	17	Y	30	0	0	 
11001	22	N	 	 	 	 
11002	1	N	 	 	 	 
11002	2	Y	28	0	0	 
11002	3	Y	45	0	0	 
11002	4	Y	120	250	0	 
11002	6	N	 	 	 	 
11002	8	N	 	 	 	 
11002	17	N	 	 	 	 
11002	22	N	 	 	 	 
11003	1	Y	110	0	0	 
11003	2	Y	52	0	0	 
11003	3	Y	90	0	0	 
11003	4	Y	0	350	0	 
11003	6	N	 	 	 	 
11003	8	N	 	 	 	 
11003	17	N	 	 	 	 
11003	22	N	 	 	 	 
11004	1	Y	12	0	0	 
11004	2	N	 	 	 	 
11004	3	Y	12	0	0	 
11004	4	Y	198	35	0	 
11004	6	N	 	 	 	 
11004	8	N	 	 	 	 
11004	17	Y	150	0	0	 
11004	22	N	 	 	 	 
11005	1	Y	15	0	0	 
11005	2	Y	6	0	0	 
11005	3	Y	30	0	0	 
11005	4	Y	150	0	0	 
11005	6	N	 	 	 	 
11005	8	N	 	 	 	 
11005	17	N	 	 	 	 
11005	22	Y	15	0	0	 
11006	1	N	 	 	 	 
11006	2	Y	0	36	0	 
11006	3	Y	20	0	0	 
11006	4	Y	48	0	0	 
11006	6	Y	110	0	0	 
11006	8	Y	165	0	0	 
11006	17	N	 	 	 	 
11006	22	N	 	 	 	 
11007	1	Y	0	22	0	 
11007	2	Y	17	0	0	 
11007	3	N	 	 	 	 
11007	4	Y	0	195	0	 
11007	6	N	 	 	 	 
11007	8	N	 	 	 	 
11007	17	N	 	 	 	 
11007	22	N	 	 	 	 
11008	1	Y	60	0	0	 
11008	2	Y	16	0	0	 
11008	3	Y	75	0	0	 
11008	4	Y	650	0	0	 
11008	6	N	 	 	 	 
11008	8	N	 	 	 	 
11008	17	N	 	 	 	 
11008	22	N	 	 	 	 
11009	1	Y	425	0	0	 
11009	2	Y	20	0	0	 
11009	3	Y	75	0	0	 
11009	4	Y	475	0	0	 
11009	6	N	 	 	 	 
11009	8	N	 	 	 	 
11009	17	N	 	 	 	 
11009	22	N	 	 	 	 
11010	1	Y	20	0	0	 
11010	2	N	 	 	 	 
11010	3	N	 	 	 	 
11010	4	Y	65	25	0	 
11010	6	N	 	 	 	 
11010	8	N	 	 	 	 
11010	17	Y	30	0	0	 
11010	22	N	 	 	 	 
11012	1	Y	35	0	0	 
11012	2	N	 	 	 	 
11012	3	Y	38	0	0	 
11012	4	Y	250	0	0	 
11012	6	N	 	 	 	 
11012	8	N	 	 	 	 
11012	17	N	 	 	 	 
11012	22	N	 	 	 	 
11013	1	Y	7	0	0	 
11013	2	N	 	 	 	 
11013	3	N	 	 	 	 
11013	4	Y	145	35	0	 
11013	6	N	 	 	 	 
11013	8	N	 	 	 	 
11013	17	N	 	 	 	 
11013	22	N	 	 	 	 
11014	1	Y	15	0	0	 
11014	2	N	 	 	 	 
11014	3	Y	20	0	0	 
11014	4	Y	0	150	0	 
11014	6	N	 	 	 	 
11014	8	N	 	 	 	 
11014	17	N	 	 	 	 
11014	22	Y	0	50	0	 
11015	1	Y	40	0	0	 
11015	2	Y	32	0	0	 
11015	3	Y	48	0	0	 
11015	4	Y	0	130	0	 
11015	6	N	 	 	 	 
11015	8	Y	0	16	0	 
11015	17	Y	35	0	0	 
11015	22	N	 	 	 	 
11016	1	Y	39	0	27	1
11016	2	Y	18	0	0	 
11016	3	N	 	 	 	 
11016	4	Y	0	306	0	 
11016	6	N	 	 	 	 
11016	8	N	 	 	 	 
11016	17	N	 	 	 	 
11016	22	N	 	 	 	 
11017	1	Y	13	0	0	 
11017	2	N	 	 	 	 
11017	3	Y	150	0	0	 
11017	4	Y	230	0	0	 
11017	6	N	 	 	 	 
11017	8	N	 	 	 	 
11017	17	Y	90	0	0	 
11017	22	N	 	 	 	 
11018	1	Y	48	0	0	 
11018	2	Y	35	0	0	 
11018	3	Y	150	0	0	 
11018	4	Y	280	0	0	 
11018	6	N	 	 	 	 
11018	8	N	 	 	 	 
11018	17	N	 	 	 	 
11018	22	N	 	 	 	 
11019	1	Y	36	0	0	 
11019	2	Y	26	0	0	 
11019	3	Y	40	0	0	 
11019	4	Y	0	210	0	 
11019	6	Y	110	0	0	 
11019	8	N	 	 	 	 
11019	17	N	 	 	 	 
11019	22	N	 	 	 	 
11020	1	Y	40	0	0	 
11020	2	N	 	 	 	 
11020	3	Y	10	0	0	 
11020	4	Y	100	0	0	 
11020	6	N	 	 	 	 
11020	8	N	 	 	 	 
11020	17	N	 	 	 	 
11020	22	N	 	 	 	 
11021	1	N	 	 	 	 
11021	2	Y	17	0	0	 
11021	3	Y	150	0	0	 
11021	4	Y	350	0	0	 
11021	6	N	 	 	 	 
11021	8	Y	70	0	0	 
11021	17	N	 	 	 	 
11021	22	N	 	 	 	 
11022	1	Y	0	25	0	 
11022	2	N	 	 	 	 
11022	3	Y	20	0	0	 
11022	4	Y	0	450	0	 
11022	6	N	 	 	 	 
11022	8	N	 	 	 	 
11022	17	N	 	 	 	 
11022	22	N	 	 	 	 
11024	1	Y	52	0	0	 
11024	2	Y	60	0	0	 
11024	3	Y	90	0	0	 
11024	4	Y	750	0	0	 
11024	6	N	 	 	 	 
11024	8	N	 	 	 	 
11024	17	N	 	 	 	 
11024	22	N	 	 	 	 
11025	1	N	 	 	 	 
11025	2	Y	180	0	0	 
11025	3	Y	200	0	0	 
11025	4	Y	250	0	0	 
11025	6	N	 	 	 	 
11025	8	Y	20	0	0	 
11025	17	N	 	 	 	 
11025	22	N	 	 	 	 
11026	1	Y	40	0	0	 
11026	2	Y	47	0	0	 
11026	3	Y	40	0	0	 
11026	4	Y	268	0	0	 
11026	6	Y	80	0	0	 
11026	8	Y	25	0	0	 
11026	17	N	 	 	 	 
11026	22	N	 	 	 	 
11027	1	Y	20	0	0	 
11027	2	N	 	 	 	 
11027	3	Y	150	0	0	 
11027	4	Y	225	0	0	 
11027	6	N	 	 	 	 
11027	8	N	 	 	 	 
11027	17	N	 	 	 	 
11027	22	N	 	 	 	 
11028	1	Y	150	0	0	 
11028	2	N	 	 	 	 
11028	3	Y	100	0	0	 
11028	4	Y	250	0	0	 
11028	6	N	 	 	 	 
11028	8	N	 	 	 	 
11028	17	Y	150	0	0	 
11028	22	N	 	 	 	 
11029	1	Y	92	0	0	 
11029	2	Y	240	0	0	 
11029	3	Y	150	0	0	 
11029	4	N	 	 	 	 
11029	6	N	 	 	 	 
11029	8	N	 	 	 	 
11029	17	N	 	 	 	 
11029	22	Y	40	0	0	 
11030	1	Y	52	0	0	 
11030	2	N	 	 	 	 
11030	3	Y	20	0	0	 
11030	4	Y	120	0	0	 
11030	6	N	 	 	 	 
11030	8	Y	60	0	0	 
11030	17	N	 	 	 	 
11030	22	N	 	 	 	 
11031	1	Y	12	0	0	 
11031	2	Y	16	0	0	 
11031	3	Y	86	0	0	 
11031	4	Y	290	100	0	 
11031	6	Y	30	0	0	 
11031	8	N	 	 	 	 
11031	17	Y	130	0	0	 
11031	22	N	 	 	 	 
11032	1	Y	54	0	0	 
11032	2	N	 	 	 	 
11032	3	Y	150	0	0	 
11032	4	Y	450	0	0	 
11032	6	N	 	 	 	 
11032	8	N	 	 	 	 
11032	17	N	 	 	 	 
11032	22	N	 	 	 	 
11033	1	Y	250	0	0	 
11033	2	Y	56	0	0	 
11033	3	Y	60	0	0	 
11033	4	Y	0	150	0	 
11033	6	N	 	 	 	 
11033	8	Y	0	50	0	 
11033	17	Y	300	0	0	 
11033	22	N	 	 	 	 
11034	1	Y	60	0	0	 
11034	2	Y	50	0	0	 
11034	3	Y	60	0	0	 
11034	4	Y	170	0	0	 
11034	6	N	 	 	 	 
11034	8	N	 	 	 	 
11034	17	N	 	 	 	 
11034	22	N	 	 	 	 
11035	1	Y	26	0	0	 
11035	2	Y	18	0	0	 
11035	3	Y	30	0	0	 
11035	4	Y	120	0	0	 
11035	6	Y	100	0	0	 
11035	8	N	 	 	 	 
11035	17	N	 	 	 	 
11035	22	N	 	 	 	 
11036	1	Y	28	36	0	 
11036	2	N	 	 	 	 
11036	3	Y	30	0	0	 
11036	4	Y	0	175	0	 
11036	6	N	 	 	 	 
11036	8	Y	105	0	0	 
11036	17	N	 	 	 	 
11036	22	N	 	 	 	 
11037	1	Y	44	0	0	 
11037	2	Y	42	0	0	 
11037	3	Y	45	0	0	 
11037	4	Y	200	0	0	 
11037	6	N	 	 	 	 
11037	8	N	 	 	 	 
11037	17	N	 	 	 	 
11037	22	N	 	 	 	 
11038	1	Y	48	0	0	 
11038	2	N	 	 	 	 
11038	3	Y	37	0	0	 
11038	4	Y	160	0	0	 
11038	6	N	 	 	 	 
11038	8	N	 	 	 	 
11038	17	N	 	 	 	 
11038	22	N	 	 	 	 
11039	1	Y	80	0	0	 
11039	2	Y	30	0	0	 
