CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
51005	2	1	4
51005	3	6	2
51006	1	5	20
51007	1	1	15
51007	2	6	5
51008	1	6	18
51008	2	1	2
51009	1	1	19
51009	2	6	1
51010	1	10	20
51012	1	10	20
51013	1	10	18
51013	2	1	2
51014	1	6	13
51014	2	10	3
51014	3	9	2
51014	4	1	2
51015	1	8	15
51015	2	1	5
51016	1	1	20
51017	1	10	20
51018	1	2	7
51018	2	1	7
51018	3	10	6
51019	1	1	10
51019	2	2	6
51019	3	10	4
51021	1	1	12
51021	2	11	8
51022	1	11	14
51022	2	1	6
51023	1	10	20
51024	1	8	12
51024	2	11	8
51025	1	1	13
51025	2	9	7
51026	1	1	15
51026	2	6	5
51027	1	11	12
51027	2	8	4
51027	3	2	4
51028	1	9	10
51028	2	6	6
51028	3	8	4
51029	1	10	16
51029	2	1	4
51030	1	11	11
51030	2	1	9
51031	1	8	16
51031	2	11	4
51032	1	1	18
51032	2	8	2
51033	1	1	15
51033	2	10	5
51034	1	8	20
51035	1	1	20
51036	1	1	14
51036	2	9	6
51038	1	6	20
51039	1	1	15
51039	2	6	5
51040	1	1	9
51040	2	8	6
51040	3	11	5
51041	1	1	18
51041	2	6	2
51042	1	6	20
51043	1	9	20
51044	1	1	10
51044	2	10	6
51044	3	11	4
51045	1	1	15
51045	2	6	5
51046	1	1	10
51046	2	11	8
51046	3	6	2
51047	1	6	15
51047	2	1	5
51048	1	1	20
51049	1	6	20
51050	1	6	16
51050	2	1	4
61002	2	1	10
61002	3	10	7
61002	4	2	3
61003	1	10	17
61003	2	11	3
61004	1	1	10
61004	2	10	5
61004	3	2	3
61004	4	7	2
61005	1	1	15
61005	2	2	3
61005	3	10	1
61005	4	8	1
61007	1	1	10
61007	2	10	5
61007	3	8	5
61008	1	1	10
61008	2	2	10
61009	1	1	12
61009	2	10	6
61009	4	8	1
61009	5	2	1
61010	1	1	18
61010	2	2	2
61011	1	1	15
61011	2	10	5
61012	1	1	20
61014	1	1	8
61014	2	9	6
61014	3	7	3
61014	4	2	3
61015	1	1	15
61015	2	2	3
61015	3	10	2
61016	1	1	11
61016	2	2	5
61016	3	9	3
61016	4	8	1
61018	1	10	10
61018	2	7	5
61018	3	9	5
61019	1	1	15
61019	2	2	5
61020	1	1	11
61020	2	2	4
61020	3	10	3
61020	4	6	2
61021	1	1	11
61021	2	2	5
61021	3	11	3
61021	4	10	1
61022	1	1	12
61022	2	2	6
61022	3	11	2
61023	1	1	15
61023	2	2	5
61024	1	1	20
61025	2	10	10
61025	4	1	5
61025	5	11	2
61025	6	8	2
61025	7	7	1
61026	1	1	10
61026	2	8	5
61026	3	2	5
61027	1	1	10
61027	2	2	10
61029	1	1	10
61029	2	2	6
61029	3	8	4
61031	1	1	8
61031	2	10	5
61031	3	8	4
61031	4	2	3
61033	1	1	10
61033	2	11	6
61033	3	2	4
61034	1	1	10
61034	2	2	5
61034	3	4	1
61034	4	10	1
61034	5	6	1
61034	6	7	1
61034	7	8	1
61036	1	1	10
61036	2	9	5
61036	3	6	3
61036	4	11	2
61037	1	1	10
61037	2	8	5
61037	3	6	3
61037	4	11	2
61038	1	1	10
61038	2	10	5
61038	3	2	4
61038	4	8	1
61039	1	1	15
61039	2	2	3
61039	3	8	2
61041	1	10	20
61044	1	1	12
61044	2	9	5
61044	3	2	3
61046	1	10	12
61046	2	1	4
61046	3	2	2
61046	4	6	2
61047	1	10	20
61049	1	1	15
61049	2	10	2
61049	3	7	1
61049	4	2	1
61050	1	1	9
61050	2	2	9
61050	3	10	2
61051	1	11	10
61051	2	1	5
61051	3	2	5
61052	1	1	15
61052	2	10	3
61052	3	2	2
61054	1	1	6
61054	2	2	5
61054	3	7	4
61054	4	11	3
61054	5	10	1
61054	6	8	1
61056	1	7	10
61056	2	1	10
61057	1	1	14
61057	2	6	6
61058	1	9	10
61058	2	1	5
61058	3	2	3
61058	4	8	2
61059	1	1	8
61059	2	2	5
61059	3	11	3
61059	4	10	2
61059	5	9	2
71001	1	1	15
71001	2	2	2
71001	3	10	2
71001	4	6	1
71002	1	10	17
71002	2	1	3
71003	1	1	15
71003	2	5	3
71003	3	2	1
71003	4	10	1
71004	1	1	15
71004	2	11	3
71004	3	2	1
71004	4	8	1
71005	1	10	9
71005	2	1	8
71005	3	7	2
71005	4	4	1
71006	1	1	8
71006	2	10	6
71006	3	7	4
71006	4	4	1
71006	5	2	1
71007	1	1	12
71007	2	6	5
71007	3	8	3
71008	1	1	9
71008	2	2	8
71008	3	11	3
71009	1	1	20
71010	1	7	10
71010	2	1	5
71010	3	2	5
71011	1	1	10
71011	2	2	5
71011	3	8	5
71012	1	1	8
71012	2	10	5
71012	3	8	5
71012	4	4	2
71013	1	1	10
71013	2	10	5
71013	3	8	5
71014	1	1	13
71014	2	10	7
71015	1	1	10
71015	2	10	5
71015	3	2	5
71016	1	1	10
71016	2	10	5
71016	3	11	5
71017	1	1	16
71017	2	4	4
71018	1	1	10
71018	2	8	5
71018	3	10	3
71018	4	4	2
71019	1	10	12
71019	2	1	5
71019	3	4	3
71020	1	1	10
71020	2	6	6
71020	3	2	3
71020	4	8	1
71021	1	1	15
71021	2	6	5
71022	1	1	15
71022	2	10	5
71024	1	11	15
71024	2	1	5
71025	1	1	10
71025	2	7	4
71025	3	4	3
71025	4	10	2
71025	5	11	1
71026	1	8	10
71026	2	1	5
71026	3	2	5
71027	1	1	8
71027	2	2	6
71027	3	4	6
71028	1	2	10
71028	2	1	5
71028	3	11	3
71028	4	4	2
71029	1	1	11
71029	2	4	9
71030	1	1	10
71030	2	10	6
71030	3	11	4
71031	1	1	10
71031	2	10	5
71031	3	2	3
71031	4	11	2
71032	1	8	15
71032	2	11	5
71033	1	1	10
71033	2	10	6
71033	3	2	3
71033	4	4	1
71034	1	1	8
71034	2	10	4
