CHILDCODE	LANDIDR4	LNDTYPR4	ANYAGRR4	TOTLNDR4	UNTLNDR4	USERANR4	PRIRRR4	ANYLIVR4	TOTLIVR4	UNTLIVR4	USELIVR4	ANYINDR4	TOTINDR4	UNTINDR4	USEINDR4
11013	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	3	1	N	 	 	 	 	Y	18	17	1	N	 	 	 
11013	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11013	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	3	1	N	 	 	 	 	Y	16	17	1	Y	9	17	8
11014	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11014	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	3	1	N	 	 	 	 	Y	20	17	1	Y	6	17	8
11015	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11015	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	1	1	N	 	 	 	 	Y	126	17	2	Y	24	17	9
11016	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11016	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11017	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11017	2	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
11017	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11017	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11017	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	3	1	N	 	 	 	 	Y	200	17	2	Y	200	17	7
11018	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11018	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	1	1	N	 	 	 	 	Y	57	17	1	N	 	 	 
11019	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11019	5	1	N	 	 	 	 	N	 	 	 	Y	160	17	20
11020	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	3	1	N	 	 	 	 	Y	15	17	1	N	 	 	 
11020	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11020	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	3	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
11021	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11021	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	3	1	N	 	 	 	 	Y	33	17	1	N	 	 	 
11022	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11022	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	3	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
11024	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11024	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	3	1	N	 	 	 	 	Y	20	17	1	N	 	 	 
11025	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11025	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	3	1	N	 	 	 	 	Y	25	17	1	N	 	 	 
11026	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11026	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	1	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
11027	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	3	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11027	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	3	1	N	 	 	 	 	Y	12	17	1	N	 	 	 
11028	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11028	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	3	1	N	 	 	 	 	Y	24	17	1	N	 	 	 
11029	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11029	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	3	1	N	 	 	 	 	Y	16	17	1	N	 	 	 
11030	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11030	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	3	1	N	 	 	 	 	Y	56	17	2	N	 	 	 
11031	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11031	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	3	1	N	 	 	 	 	Y	20	17	1	Y	6.25	17	8
11032	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11032	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11033	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11033	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11033	3	1	N	 	 	 	 	Y	21	17	1	N	 	 	 
11033	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11033	5	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 
11034	3	1	N	 	 	 	 	Y	10	17	1	N	 	 	 
11034	4	0	 	 	 	 	 	 	 	 	 	 	 	 	 
