CHILDID	PLOTID	PLINCMR3	PLVALR3	PLLCSTR3
ET080030	5	1	1666.66	0
ET080030	6	1	2886	0
ET080031	1	1	480	60
ET080041	3	1	300	0
ET080041	4	1	300	0
ET080045	1	1	6720	1824
ET080049	1	1	1900	1000
ET080052	2	1	900	70
ET080052	3	1	2733	150
ET080053	3	1	933.35	0
ET080054	3	1	400	0
ET080055	3	1	660	0
ET080056	4	1	400	0
ET080057	2	1	800	95
ET080058	3	1	300	20
ET080060	6	1	1650	0
ET080063	4	1	400	15
ET080067	1	0	0	500
ET080069	3	1	990	0
ET080070	1	1	1000	230
ET080072	4	1	1980	0
ET080072	5	1	330	0
ET080072	6	1	330	0
ET080073	3	1	990	0
ET080074	4	1	330	0
ET080074	5	1	330	0
ET080074	6	1	330	0
ET080074	7	1	330	0
ET080074	9	0	-88	0
ET080076	1	1	480	320
ET080079	1	1	6000	4320
ET080080	2	1	1350	115
ET080080	3	1	750	0
ET080081	1	1	3000	600
ET080083	5	1	2880	2160
ET080089	2	1	1440	864
ET080091	1	1	360	192
ET080095	6	1	666	0
ET080096	4	1	2880	1444
ET080097	1	1	460	260
ET080098	1	1	3600	1200
ET080099	1	1	7680	6720
ET080099	6	1	400	0
ET080100	1	1	330	240
ET090003	4	1	800	0
ET090008	1	1	400	100
ET090008	6	1	360	0
ET090009	3	1	5200	0
ET090011	5	1	1600	0
ET090011	6	1	200	0
ET090011	7	1	400	0
ET090013	2	1	200	40
ET090013	3	1	400	175
ET090014	3	1	650	0
ET090019	1	1	3020	1910
ET090020	2	1	6520	1030
ET090025	7	1	640	26
ET090025	8	1	900	70
ET090025	9	1	495	35
ET090026	1	1	310	244
ET090034	1	1	2184	1320
ET090037	3	1	500	0
ET090037	5	1	500	0
ET090038	2	1	6000	500
ET090038	3	1	1800	0
ET090038	4	1	1600	0
ET090038	5	1	300	0
ET090038	6	1	300	0
ET090038	7	1	560	0
ET090039	1	1	1320	1200
ET090039	3	1	1400	700
ET090039	4	1	550	0
ET090040	4	1	500	0
ET090041	1	1	1140	0
ET090047	1	1	820	0
ET090048	4	1	500	5
ET090052	1	1	1590	1320
ET090052	5	1	1900	0
ET090052	6	1	900	0
ET090054	10	1	1800	0
ET090055	1	1	5160	2310
ET090056	4	1	800	0
ET090056	5	1	100	0
ET090061	1	1	1900	1075
ET090062	6	1	692	202
ET090069	4	1	800	0
ET090069	5	1	1600	0
ET090073	2	1	1050	240
ET090079	7	1	600	0
ET090085	1	1	34600	0
ET090085	3	1	800	0
ET090086	5	1	1435	0
