CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
ET080086	1	13	50	0
ET080086	2	7	0	100
ET080088	1	14	-88	150
ET080089	1	14	-88	80
ET080092	1	13	0	150
ET080092	2	6	0	150
ET080094	1	7	50	60
ET080094	2	1	0	75
ET080095	1	13	-88	600
ET080095	2	14	-88	350
ET080096	1	13	500	80
ET080096	2	14	40	0
ET080097	1	13	0	100
ET080097	2	22	0	60
ET080099	1	17	-88	30
ET090002	1	5	300	0
ET090004	1	13	0	60
ET090005	1	13	1000	0
ET090005	2	13	0	250
ET090005	3	17	0	125
ET090006	1	5	0	200
ET090006	2	5	50	0
ET090007	1	5	0	550
ET090008	1	6	0	210
ET090008	2	13	50	0
ET090012	1	13	150	0
ET090014	1	13	0	600
ET090016	1	22	30	0
ET090016	2	7	600	0
ET090016	3	7	0	1200
ET090016	4	14	20	0
ET090016	5	22	10	0
ET090018	1	6	0	300
ET090018	2	5	0	400
ET090018	3	13	0	400
ET090019	1	13	1000	650
ET090019	2	6	1000	0
ET090020	1	7	100	50
ET090024	1	22	0	8
ET090025	1	13	0	440
ET090025	2	22	0	102
ET090027	1	13	0	400
ET090027	2	13	0	400
ET090027	3	7	600	100
ET090031	1	7	500	300
ET090031	2	22	0	400
ET090031	3	18	400	300
ET090036	1	6	0	500
ET090038	1	13	0	200
ET090039	1	13	0	130
ET090039	2	14	0	460
ET090041	1	22	0	1400
ET090045	1	13	20	250
ET090046	1	16	0	450
ET090046	2	15	0	120
ET090048	1	14	-88	100
ET090051	1	6	50	215
ET090052	1	13	0	250
ET090053	1	13	0	200
ET090054	1	7	30	200
ET090054	2	11	0	600
ET090057	1	13	50	0
ET090057	2	19	50	0
ET090059	1	6	-88	202.5
ET090060	1	7	150	0
ET090060	2	7	0	66
ET090060	3	7	30	0
ET090060	4	22	0	15
ET090061	1	13	0	500
ET090061	2	13	3000	0
ET090061	3	7	100	56
ET090063	1	16	0	900
ET090063	2	7	50	0
ET090065	1	13	0	64
ET090067	1	22	0	300
ET090067	2	22	0	150
ET090068	1	13	300	0
ET090068	2	13	200	0
ET090069	1	13	500	0
ET090072	1	22	0	200
ET090072	2	14	30	0
ET090073	1	22	0	10
ET090075	1	19	0	200
ET090082	1	7	200	200
ET090087	1	13	0	450
ET090087	2	13	0	225
ET090088	1	7	30	280
ET090089	1	5	0	800
ET090092	1	9	400	0
ET090093	1	22	880	0
ET090096	1	20	600	0
ET090096	2	13	50	400
ET090096	3	13	1400	0
ET100005	1	13	0	5000
ET100010	1	6	1500	500
ET100011	1	5	700	0
ET100011	2	14	70	0
ET100015	1	5	300	0
ET100026	1	5	300	200
ET100026	2	6	200	0
ET100027	1	5	250	100
ET100027	2	6	250	100
ET100029	1	9	4200	1525
ET100041	1	13	1200	0
ET100044	1	22	0	50
ET100053	1	13	450	0
ET100055	1	13	1000	-88
ET100057	1	13	200	100
ET100057	2	6	1200	700
ET100064	1	5	100	0
ET100064	2	6	100	0
ET100065	1	5	0	100
ET100065	2	1	0	80
ET100065	3	19	0	1700
ET100066	1	5	1200	500
ET100066	2	6	1200	500
ET100066	3	13	5000	1000
ET100072	1	5	0	150
ET100072	2	6	0	260
ET100075	1	14	1000	1000
ET100080	1	5	0	30
ET100080	2	6	0	30
ET100082	1	17	200	85
ET100083	1	6	0	450
ET100092	1	22	0	100
ET100092	2	17	350	0
ET100097	1	22	300	0
ET100098	1	22	300	0
ET100100	1	19	400	0
ET110003	1	7	2000	2100
ET110015	1	13	2400	2800
ET110015	2	22	0	400
ET110016	1	7	0	800
ET110019	1	8	1400	2000
ET110021	1	13	680	720
ET110022	1	7	2670	870
ET110022	2	7	2670	870
ET110022	3	7	2770	970
ET110024	1	22	100	0
ET110024	2	13	100	0
ET110029	1	1	100	250
ET110031	1	8	2000	0
ET110031	2	8	740	3500
ET110032	1	13	3000	300
ET110035	1	14	1570	3590
ET110039	1	14	300	0
ET110040	1	13	200	0
ET110042	1	19	0	250
ET110043	1	13	680	720
ET110055	1	7	1850	1080
ET110056	1	13	400	100
ET110057	1	14	0	85
ET110057	2	13	20	83
ET110057	3	5	0	189
ET110057	4	6	0	61
ET110060	1	13	500	0
ET110071	1	7	2376	1680
ET110073	1	7	2682	1625
ET110078	1	8	3800	2400
ET110089	1	13	0	400
ET110091	1	7	1200	4800
ET110092	1	13	200	720
ET110092	2	6	0	116
ET110093	1	13	200	300
ET110098	1	13	0	30
ET110098	2	7	1870	2750
ET110100	1	6	1000	600
ET110100	2	13	200	750
ET110100	3	13	100	850
ET120010	1	13	0	300
ET120010	2	6	0	200
ET120010	3	19	200	0
ET120015	1	22	49	0
ET120019	1	5	500	700
ET120019	2	6	500	700
ET120021	1	18	50	250
ET120023	1	7	200	780
ET120023	2	6	250	0
ET120032	1	7	100	0
ET120032	2	5	0	200
