CHILDID	PLOTID	LAREAR3	LUNITR3	LOWNR3	LUSER3	COLLATR3	TRANSR3	LNDCRTR3	SEECRTR3
ET160038	1	1	4	1	2	1	1	1	1
ET160039	1	1	4	1	5	1	1	1	2
ET160039	2	1.5	4	1	2	1	1	1	2
ET160040	1	2	4	1	2	1	1	1	2
ET160040	2	2	4	1	5	1	1	1	2
ET160040	3	2	4	1	5	1	1	1	2
ET160041	1	2	4	1	2	1	1	1	2
ET160042	1	2	4	1	2	1	1	1	1
ET160042	2	1	4	1	5	1	1	1	1
ET160042	3	1	4	1	5	1	1	1	1
ET160043	1	.5	4	1	2	1	1	2	88
ET160043	2	.5	4	1	5	1	1	2	88
ET160043	3	2	4	4	5	0	0	2	88
ET160044	1	1	4	1	2	0	0	1	1
ET160045	1	2	4	1	2	1	1	1	1
ET160045	2	2	4	1	5	1	1	1	1
ET160046	1	1	4	1	2	1	1	1	1
ET160046	2	2	4	1	5	1	1	1	1
ET160047	1	1	4	1	2	0	1	1	2
ET160047	2	1	4	1	5	0	1	1	2
ET160047	3	.5	4	1	5	0	1	1	2
ET160048	1	1	4	1	2	1	1	1	1
ET160048	2	3	4	1	5	1	1	1	1
ET160048	3	2	4	1	10	0	0	2	88
ET160049	1	1	4	1	1	1	1	2	88
ET160049	2	.5	4	4	5	0	0	2	88
ET160049	3	1	4	4	5	0	0	2	88
ET160050	1	1	4	1	2	1	1	2	2
ET160050	2	.5	4	1	5	1	1	2	2
ET160051	1	1	4	1	5	1	1	1	2
ET160051	2	1.5	4	1	2	1	1	1	2
ET160051	3	1	4	1	5	1	1	1	2
ET160053	1	2	4	2	2	0	0	1	2
ET160053	2	2	4	1	5	0	1	1	2
ET160053	3	1	4	1	5	0	1	1	2
ET160053	4	2	4	1	9	0	1	1	2
ET160054	1	2	4	1	2	1	1	1	2
ET160054	2	3	4	1	5	1	1	1	2
ET160054	3	2	4	1	5	1	1	1	2
ET160054	4	2	4	2	5	0	0	1	2
ET160055	1	2.3	4	1	2	1	1	1	2
ET160055	2	1.3	4	4	5	0	0	2	2
ET160056	1	2	4	1	2	1	1	1	2
ET160056	2	1	4	1	5	1	1	1	2
ET160058	1	1	4	1	2	1	1	1	1
ET160058	2	2	4	1	5	1	1	1	1
ET160059	1	1	4	5	2	0	0	2	2
ET160059	2	2	4	1	5	1	1	1	1
ET160060	1	1	4	1	2	1	1	1	1
ET160060	2	1	4	1	2	1	1	1	1
ET160061	1	1	4	1	2	1	1	2	88
ET160061	2	1	4	2	5	88	88	88	88
ET160061	3	.5	4	1	7	1	1	2	88
ET160062	1	.25	4	1	1	1	1	2	2
ET160062	2	.75	4	1	5	1	1	2	2
ET160063	1	1	4	1	2	1	1	2	88
ET160064	1	2	4	1	2	1	1	1	1
ET160065	1	1	4	1	2	1	1	1	1
ET160065	2	2	4	2	5	88	0	88	88
ET160066	1	2	4	1	5	1	1	1	2
ET160066	2	1	4	1	5	1	1	1	2
ET160066	3	2	4	1	2	1	1	1	2
ET160067	1	1	4	1	2	1	1	1	2
ET160068	1	2	4	1	5	1	1	2	88
ET160068	2	1.5	4	1	2	1	1	2	88
ET160069	1	1.5	4	1	2	1	1	1	1
ET160069	2	2.5	4	1	5	1	1	1	1
ET160070	1	1	4	1	2	1	1	1	2
ET160070	2	2	4	1	5	1	1	1	2
ET160070	3	1	4	1	9	1	1	1	2
ET160071	1	4	4	1	5	1	1	1	1
ET160072	1	2	4	1	2	1	1	1	1
ET160072	2	3.5	4	2	5	0	0	2	88
ET160072	3	3	4	2	5	0	0	2	88
ET160073	1	2	4	1	2	1	1	1	1
ET160073	2	2	4	1	5	1	1	1	1
ET160074	1	2	4	1	2	1	1	2	88
ET160074	2	2	4	4	5	0	0	2	88
ET160075	1	1.5	4	1	2	1	1	2	88
ET160076	1	2	4	2	5	0	0	2	88
ET160076	2	2	4	2	5	0	0	2	88
ET160076	3	2	4	1	2	1	1	1	1
ET160077	1	.5	4	1	1	0	1	1	1
ET160077	2	1.5	4	1	5	0	1	1	1
ET160078	1	.125	4	1	2	0	1	1	2
ET160078	2	1	4	1	10	0	1	1	2
ET160078	3	2	4	1	10	0	1	1	2
ET160079	1	2	4	1	2	1	1	1	1
ET160079	2	2	4	1	5	1	1	1	1
ET160080	1	1	4	1	2	1	1	1	2
ET160080	2	1	4	1	5	1	1	1	2
ET160081	1	.5	4	1	1	0	0	1	2
ET160081	2	.5	4	1	5	1	1	1	2
ET160082	1	2	4	1	2	1	1	1	1
ET160082	2	2	4	1	9	1	1	1	1
ET160083	1	1.5	4	1	2	0	1	1	1
ET160083	2	2	4	1	5	0	1	1	1
ET160083	3	1.5	4	4	10	88	0	88	88
ET160084	1	1	4	1	2	0	1	1	2
ET160084	2	2	4	1	5	0	1	1	2
ET160085	1	1	4	1	2	1	1	2	88
ET160086	1	1	4	1	5	1	1	1	2
ET160086	2	1.5	4	1	5	1	1	1	2
ET160086	3	.25	4	1	1	1	1	1	2
ET160086	4	2	4	1	9	1	1	1	2
ET160086	5	3	4	1	9	1	1	1	2
ET160086	6	.5	4	1	5	1	1	1	2
ET160086	7	.25	4	1	5	1	1	1	2
ET160087	1	1	4	1	2	1	1	1	1
ET160087	2	2	4	1	5	1	1	1	1
ET160087	3	5	4	4	5	0	0	2	88
ET160088	1	1	4	1	2	1	1	1	88
ET160088	2	2	4	1	5	1	1	1	88
ET160089	1	3	4	1	2	1	1	1	1
ET160089	2	2.5	4	1	5	1	1	1	1
ET160090	1	1.5	4	1	2	0	1	1	1
ET160090	2	.5	4	1	5	0	1	1	1
ET160090	3	1	4	1	5	0	1	1	1
ET160090	4	2	4	4	5	88	0	88	88
ET160091	1	1	4	1	2	1	1	2	88
ET160091	2	1	4	1	5	1	1	2	88
ET160091	3	1	4	1	5	1	1	2	88
ET160092	1	2	4	1	2	1	1	2	88
ET160092	2	1.5	4	1	5	1	1	2	88
ET160092	3	.5	4	1	5	1	1	2	88
ET160093	1	1	4	1	2	1	1	1	2
ET160093	2	2	4	1	5	1	1	1	2
ET160093	3	1	4	2	5	0	0	88	2
ET160093	4	1	4	2	5	0	0	88	2
ET160093	5	1	4	2	5	0	0	88	2
ET160094	1	1	4	1	2	1	1	1	2
ET160094	2	1	4	1	5	1	1	1	2
ET160094	3	1	4	1	5	1	1	1	2
ET160094	4	2	4	1	10	1	1	1	2
ET160094	5	1	4	1	10	1	1	1	2
ET160095	1	1	4	1	5	1	1	1	2
ET160095	2	1.5	4	1	9	1	1	1	2
ET160096	1	2	4	1	2	1	1	1	1
ET160096	2	1	4	1	5	1	1	1	1
ET160096	3	1	4	1	5	1	1	1	1
ET160097	1	3	4	1	5	1	1	1	2
ET160097	2	.5	4	1	5	1	1	1	2
ET160097	3	1	4	1	2	1	1	1	2
ET160097	4	1	4	2	5	1	1	1	2
ET160098	1	1.5	4	1	2	1	1	1	2
ET160098	2	.5	4	1	5	1	1	1	2
ET160098	3	.5	4	1	5	1	1	1	2
ET160098	4	2	4	1	5	1	1	1	2
ET160099	1	2	4	1	2	1	1	1	1
ET160099	2	1	4	1	5	1	1	1	1
ET160099	3	1	4	1	5	1	1	1	1
ET160100	1	1	4	1	2	0	1	1	2
ET160100	2	1	4	1	5	0	1	1	2
ET170001	1	25	17	1	2	1	1	2	88
ET170001	2	2	4	1	10	0	3	2	88
ET170002	1	200	17	1	1	0	1	2	88
ET170002	2	2	4	1	10	0	3	2	88
ET170002	3	2	4	1	10	0	3	2	88
ET170003	1	1	4	1	1	1	1	2	88
ET170003	2	1	4	1	5	1	1	2	88
ET170003	3	2	4	1	10	1	1	2	88
ET170003	4	2	4	1	10	1	1	2	88
ET170004	1	2	4	1	2	77	2	2	88
ET170004	2	2	4	1	5	77	2	2	88
ET170004	3	1	4	1	5	77	2	2	88
ET170004	4	1	4	1	5	77	2	2	88
ET170005	1	400	17	1	1	0	1	2	88
ET170005	2	1	4	1	5	0	1	2	88
ET170005	3	1.5	4	1	10	0	1	2	88
ET170005	4	1	4	1	5	0	1	2	88
ET170005	5	1	4	1	11	0	1	2	88
ET170005	6	.75	4	1	5	0	1	2	88
ET170005	7	.75	4	1	5	0	1	2	88
ET170005	8	20	17	1	10	0	1	2	88
ET170006	1	.5	4	1	1	1	1	2	88
ET170006	2	2	4	1	5	1	3	2	88
ET170006	3	1	4	1	5	1	3	2	88
ET170006	4	1	4	4	5	0	0	77	88
ET170006	5	1	4	4	5	0	0	77	88
ET170006	6	25	17	1	10	1	3	2	88
ET170007	1	1	4	1	1	1	1	2	88
ET170007	2	3	4	1	5	1	1	2	88
ET170007	3	3	4	1	5	1	1	2	88
ET170007	4	3	4	1	5	1	1	2	88
ET170007	5	3	4	4	5	0	0	2	88
ET170007	6	2	4	4	5	88	88	88	88
ET170008	1	.5	4	1	2	1	1	2	88
ET170008	2	2	4	1	5	1	1	2	88
ET170008	3	1.5	4	1	5	1	1	2	88
ET170008	4	3	4	1	5	1	1	2	88
ET170009	1	1	4	1	2	1	1	2	88
ET170009	2	2	4	1	5	1	2	2	88
ET170009	3	2	4	1	5	1	2	2	88
ET170009	4	1	4	1	5	1	2	2	88
ET170009	5	2	4	4	5	0	0	77	88
ET170009	6	25	17	1	10	1	2	2	88
ET170010	1	1	4	1	2	0	1	2	88
ET170010	2	3	4	1	10	0	1	2	88
ET170010	3	2	4	1	10	0	1	2	88
ET170010	4	2	4	1	11	0	1	2	88
ET170011	1	1	4	1	2	1	1	2	88
ET170011	2	3	4	1	5	1	1	2	88
ET170011	3	2	4	1	5	1	1	2	88
ET170011	4	1	4	1	5	1	1	2	88
ET170011	5	1	4	1	5	1	1	2	88
ET170012	1	.5	4	1	1	1	1	2	88
ET170012	2	2	4	1	5	0	3	2	88
ET170012	3	2	4	1	5	0	3	2	88
ET170012	4	2	4	1	5	0	3	2	88
ET170013	1	.5	4	1	2	1	0	2	88
ET170013	2	3	4	1	5	1	0	2	88
ET170013	3	2	4	1	5	1	0	2	88
ET170015	1	1	4	1	1	1	1	2	88
ET170015	2	2	4	1	5	1	1	2	88
ET170015	3	1.5	4	1	5	1	1	2	88
ET170015	4	2	4	1	5	1	1	2	88
ET170015	5	2	4	4	5	0	0	77	88
ET170015	6	2	4	4	5	0	0	77	88
ET170016	1	400	17	1	2	0	1	2	88
ET170016	2	3	4	1	10	0	1	2	88
ET170016	3	3	4	1	10	0	1	2	88
ET170016	4	2	4	1	10	0	1	2	88
ET170017	1	.5	4	1	2	1	1	2	88
ET170017	2	3	4	1	5	1	1	2	88
ET170017	3	2	4	1	5	1	1	2	88
ET170017	4	2	4	1	5	1	1	2	88
ET170017	5	2	4	1	5	1	1	2	88
ET170017	6	2	4	1	10	1	1	2	88
ET170018	1	2	4	1	2	0	1	2	88
ET170018	2	2	4	1	5	0	1	2	88
ET170018	3	2	4	1	5	0	1	2	88
ET170018	4	2	4	1	5	0	1	2	88
ET170018	5	2	4	1	5	0	1	2	88
ET170019	1	1	4	1	2	1	1	2	88
ET170019	2	2	4	1	5	0	3	2	88
ET170019	3	2	4	1	5	0	3	2	88
ET170019	4	3	4	1	5	0	3	2	88
ET170020	1	.25	4	1	2	0	0	2	88
ET170020	2	2	4	1	10	1	77	2	88
ET170020	3	3	4	1	10	1	77	2	88
ET170020	4	2.5	4	1	10	1	77	2	88
ET170021	1	1	4	1	2	1	2	2	88
ET170021	2	1	4	1	5	1	2	2	88
ET170021	3	2	4	1	5	1	2	2	88
ET170021	4	1	4	1	5	1	2	2	88
ET170021	5	.5	4	1	5	1	2	2	88
ET170022	1	.5	4	1	2	1	1	2	88
ET170022	2	2	4	1	5	1	3	2	88
ET170022	3	2	4	1	5	1	3	2	88
ET170022	4	2	4	1	5	1	3	2	88
ET170022	5	3	4	4	5	1	0	77	88
ET170022	6	1	4	4	5	0	0	77	88
ET170022	7	200	17	1	10	1	3	2	88
ET170022	8	50	17	1	10	1	3	2	88
ET170023	1	2	4	1	2	0	2	2	88
ET170023	2	2	4	1	5	0	2	2	88
ET170023	3	1	4	1	5	0	2	2	88
ET170023	4	1	4	1	5	0	2	2	88
ET170023	5	1	4	1	5	0	2	2	88
ET170023	6	1	4	1	5	0	2	2	88
ET170024	1	100	17	3	1	0	0	2	88
ET170024	2	2	4	1	5	0	3	2	88
ET170024	3	.5	4	1	5	0	3	2	88
ET170024	4	1	4	1	5	0	3	2	88
ET170024	5	25	17	1	10	0	3	2	88
ET170025	1	.5	4	1	2	1	1	2	88
ET170025	2	1	4	1	5	1	1	2	88
ET170025	3	2	4	1	5	1	1	2	88
ET170025	4	3	4	1	5	1	1	2	88
ET170026	1	1	4	1	2	1	1	2	88
ET170026	2	2	4	1	5	1	3	2	88
ET170026	3	1	4	1	5	1	3	2	88
ET170026	4	3	4	1	5	1	3	2	88
ET170026	5	1	4	4	5	0	0	77	88
ET170027	1	.5	4	1	2	1	1	2	88
ET170027	2	3	4	1	5	1	1	2	88
ET170027	3	3	4	1	5	1	1	2	88
ET170027	4	4	4	1	5	1	1	2	88
ET170027	5	50	17	1	9	1	1	2	88
ET170028	1	.5	4	1	2	0	1	2	88
ET170028	2	1	4	1	5	0	3	2	88
ET170028	3	1	4	1	5	0	3	2	88
ET170028	4	1	4	1	5	0	3	2	88
ET170028	5	2	4	4	5	77	0	77	88
ET170029	1	1	4	1	1	1	1	2	88
ET170029	2	3	4	1	5	1	0	2	88
ET170029	3	2	4	1	5	1	0	2	88
ET170029	4	2	4	1	11	1	0	2	88
ET170030	1	1	4	1	2	1	1	2	88
ET170030	2	2	4	1	5	1	1	2	88
ET170030	3	2	4	1	5	1	1	2	88
ET170030	4	1.75	4	1	5	1	1	2	88
ET170030	5	1	4	4	5	0	0	77	88
ET170031	1	.5	4	1	1	1	1	2	88
ET170031	2	2	4	1	5	1	1	2	88
ET170031	3	3	4	1	5	1	1	2	88
ET170031	4	1.5	4	1	5	1	1	2	88
ET170032	1	3	4	1	2	1	1	2	88
ET170032	2	2	4	1	5	1	1	2	88
ET170032	3	2	4	1	5	1	1	2	88
ET170032	4	2	4	1	5	1	1	2	88
ET170032	5	2	4	1	5	1	1	2	88
ET170032	6	.5	4	1	10	1	1	2	88
ET170033	1	.5	4	1	1	0	1	2	88
ET170033	2	2	4	1	5	0	3	2	88
ET170033	3	3	4	1	5	0	3	2	88
ET170033	4	1	4	1	5	0	3	2	88
ET170034	1	.5	4	1	1	1	1	1	88
ET170034	2	2	4	1	5	1	3	1	88
ET170034	3	1.5	4	1	5	1	3	1	88
ET170034	4	3	4	4	5	0	0	77	88
ET170034	5	3	4	4	5	0	0	77	88
ET170034	6	1	4	4	5	0	0	77	88
ET170034	7	25	17	1	10	1	3	1	2
ET170035	1	.25	4	1	1	1	1	2	88
ET170035	2	3	4	1	5	1	1	2	88
ET170035	3	4	4	1	5	1	1	2	88
ET170035	4	1	4	1	5	1	1	2	88
ET170035	5	4	4	4	5	0	0	77	88
ET170036	1	.5	4	1	2	1	1	2	88
ET170036	2	2	4	1	5	1	0	2	88
ET170036	3	1.5	4	1	5	1	0	2	88
ET170036	4	1	4	1	5	1	0	2	88
ET170036	5	1	4	1	5	1	0	2	88
ET170036	6	1	4	1	5	1	0	2	88
ET170036	7	25	17	1	10	1	0	2	88
ET170037	1	1	4	1	2	1	1	2	88
ET170037	2	2	4	1	5	1	1	2	88
ET170037	3	2	4	1	5	1	1	2	88
ET170037	4	1	4	1	5	1	1	2	88
ET170037	5	2	4	4	5	1	1	2	88
ET170038	1	.5	4	1	1	0	0	2	88
ET170038	2	1	4	1	5	0	3	2	88
ET170038	3	1	4	1	5	0	3	2	88
ET170038	4	2	4	1	5	0	3	2	88
ET170038	5	.5	4	1	5	0	3	2	88
ET170039	1	.5	4	1	1	1	1	2	88
ET170039	2	1	4	1	5	0	3	2	88
ET170039	3	1	4	1	5	0	3	2	88
ET170039	4	3	4	1	5	0	3	2	88
ET170039	5	1	4	1	5	0	3	2	88
ET170041	1	.5	4	1	1	1	1	2	88
ET170041	2	1.5	4	1	5	0	3	2	88
ET170041	3	2	4	1	5	0	3	2	88
ET170041	4	3	4	4	5	0	0	2	88
ET170041	5	1.5	4	4	5	0	0	2	88
ET170041	6	1	4	4	5	0	0	2	88
ET170042	1	3	4	1	5	1	1	2	88
ET170042	2	2	4	1	10	1	1	2	88
ET170042	3	1	4	1	5	1	1	2	88
ET170042	4	1	4	1	1	1	1	2	88
ET170043	1	.75	1	1	2	1	1	2	88
ET170043	2	2	1	1	5	0	3	2	88
ET170043	3	3	1	1	5	0	3	2	88
ET170043	4	2.5	1	1	5	0	3	2	88
ET170043	5	250	17	1	10	0	3	2	88
ET170044	1	2	4	1	10	0	1	2	88
ET170044	2	75	17	2	1	0	0	77	88
ET170045	1	.5	4	1	2	1	1	2	88
ET170045	2	2	4	1	5	1	0	2	88
ET170045	3	2	4	1	5	1	0	2	88
ET170045	4	2	4	1	5	1	0	2	88
ET170046	1	.5	4	1	2	1	1	2	88
ET170046	2	1	4	1	5	1	1	2	88
ET170047	1	2	4	1	2	0	2	2	88
ET170047	2	2	4	1	5	1	2	2	88
ET170047	3	3	4	1	11	1	2	2	88
ET170047	4	3	4	1	5	1	2	2	88
ET170048	1	1	4	1	1	1	1	2	88
ET170048	2	2.5	4	1	5	1	0	2	88
ET170048	3	1.5	4	1	5	1	0	2	88
ET170048	4	1	4	1	5	1	0	2	88
ET170048	5	.25	4	1	10	1	0	2	88
ET170049	1	900	17	1	1	0	1	2	88
ET170049	2	1	4	1	5	0	1	2	88
ET170049	3	1	4	1	5	0	1	2	88
ET170049	4	1	4	1	5	0	1	2	88
ET170049	5	2	4	1	5	0	1	2	88
ET170049	6	1	4	4	5	0	0	2	88
ET170049	7	2	4	4	5	0	0	2	88
ET170050	1	650	17	1	2	1	1	2	88
ET170050	2	2	4	1	5	0	3	2	88
ET170050	3	2	4	1	5	0	3	2	88
ET170050	4	2	4	1	5	0	3	2	88
ET170050	5	1	4	4	5	0	0	2	88
ET170051	1	2500	17	1	2	1	2	2	88
ET170051	2	3	4	1	5	1	2	2	88
ET170051	3	1.5	4	1	5	1	2	2	88
ET170051	4	3	4	1	5	1	2	2	88
ET170051	5	100	17	1	10	1	2	2	88
ET170051	6	1	4	4	5	0	0	2	88
ET170052	1	.5	4	1	1	1	1	2	88
ET170052	2	3	4	1	5	1	3	2	88
ET170052	3	1	4	1	5	1	3	2	88
ET170052	4	1	4	1	5	1	3	2	88
ET170052	5	2	4	4	5	0	0	2	88
ET170052	6	2	4	4	5	0	0	2	88
ET170052	7	1	4	4	5	0	0	2	88
ET170052	8	2	4	4	5	0	0	2	88
ET170052	9	1	4	4	5	0	0	2	88
ET170053	1	200	17	1	1	0	1	2	88
ET170053	2	1	4	1	5	0	3	2	88
ET170053	3	2	4	1	5	0	3	2	88
ET170053	4	1.5	4	1	5	0	3	2	88
ET170053	5	2	4	4	5	0	0	77	88
ET170053	6	2	4	4	5	0	0	77	88
ET170054	1	1	4	5	1	0	0	2	88
ET170054	2	2	4	1	5	1	1	2	88
ET170054	3	2	4	1	5	1	1	2	88
ET170054	4	1	4	1	5	1	1	2	88
ET170055	1	3	4	1	2	1	1	2	88
ET170055	2	3	4	1	5	0	1	2	88
ET170055	3	4	4	1	5	0	1	2	88
ET170055	4	2	4	1	5	0	1	2	88
ET170055	5	.25	4	1	5	0	1	2	88
ET170056	1	1	4	1	2	1	3	2	88
ET170056	2	3	4	1	5	1	3	2	88
ET170056	3	2	4	1	5	1	3	2	88
ET170057	1	1	4	1	2	1	1	2	88
ET170057	2	2	4	1	5	1	1	2	88
ET170057	3	2	4	1	5	1	1	2	88
ET170057	4	2	4	1	5	1	1	2	88
ET170058	1	2	4	1	1	1	1	2	88
ET170058	2	2	4	1	5	1	1	2	88
ET170058	3	2	4	1	5	1	1	2	88
ET170058	4	2	4	1	10	1	1	2	88
ET170059	1	1.5	4	1	2	0	2	2	88
ET170059	2	3	4	1	5	0	2	2	88
ET170059	3	50	17	1	7	0	2	2	88
ET170060	1	1	4	1	11	1	1	2	88
ET170060	2	1	4	1	10	1	1	2	88
ET170060	3	1	4	1	10	1	1	2	88
ET170060	4	1	4	1	10	1	1	2	88
ET170061	1	.25	4	1	1	1	1	2	88
ET170061	2	.25	4	1	5	1	1	2	88
ET170061	3	2	4	1	5	0	3	2	88
ET170061	4	3	4	1	5	0	3	2	88
ET170061	5	1.5	4	1	5	0	3	2	88
ET170062	1	.5	4	1	1	1	1	2	88
ET170062	2	2	4	1	5	1	1	2	88
ET170062	3	3	4	1	5	1	1	2	88
ET170062	4	1.5	4	1	5	1	1	2	88
ET170062	5	.25	4	5	10	0	1	2	88
ET170063	1	.25	4	1	2	1	1	2	88
ET170063	2	1	4	1	5	1	1	2	88
ET170063	3	1	4	1	5	1	1	2	88
ET170063	4	1	4	1	5	1	1	2	88
ET170063	5	1	4	1	5	1	1	2	88
ET170063	6	1	4	1	5	1	1	2	88
ET170063	7	1	4	1	5	1	1	2	88
ET170064	1	1	4	1	2	0	2	2	88
ET170064	2	2	4	1	5	0	2	2	88
ET170064	3	3	4	1	5	0	2	2	88
ET170064	4	2	4	1	5	0	2	2	88
ET170064	5	1	4	1	7	0	2	2	88
ET170065	1	1	4	1	1	0	2	2	88
ET170065	2	1	4	1	5	0	2	2	88
ET170065	3	1	4	1	10	0	2	2	88
ET170065	4	1	4	1	5	0	2	2	88
ET170065	5	1	4	1	5	0	2	2	88
ET170065	6	1	4	1	5	0	2	2	88
ET170065	7	50	17	1	10	0	2	2	88
ET170065	8	1	4	1	5	0	2	2	88
ET170066	1	1	4	1	1	1	1	2	88
ET170066	2	2	4	1	5	1	1	2	88
ET170066	3	2	4	1	5	1	1	2	88
ET170066	4	1	4	1	5	1	1	2	88
ET170067	1	50	17	1	1	1	1	2	88
ET170067	2	2	4	1	5	0	3	2	88
ET170067	3	1	4	1	5	0	3	2	88
ET170067	4	3	4	1	5	0	3	2	88
ET170067	5	.5	4	1	5	0	3	2	88
ET170067	6	1	4	1	11	0	3	2	88
ET170069	1	.5	4	1	1	0	2	2	88
ET170069	2	2	4	1	5	0	3	2	88
ET170069	3	2	4	1	5	0	3	2	88
ET170069	4	1.5	4	1	5	0	3	2	88
ET170070	1	4	4	1	2	0	0	2	88
ET170070	2	2	4	1	5	1	1	2	88
ET170070	3	2	4	1	5	1	1	2	88
ET170070	4	1	4	1	5	1	1	2	88
ET170070	5	.25	4	1	9	1	1	2	88
ET170071	1	1	4	1	1	1	1	2	88
ET170071	2	3	4	1	5	1	1	2	88
ET170071	3	1	4	4	5	0	0	2	88
ET170072	1	1.5	4	1	2	0	2	2	88
ET170072	2	1	4	1	5	0	2	2	88
ET170072	3	1	4	1	5	0	2	2	88
ET170072	4	1	4	1	5	0	2	2	88
ET170073	1	400	17	1	1	0	1	2	88
ET170073	2	2	4	1	10	0	3	2	88
ET170073	3	2	4	1	10	0	3	2	88
ET170073	4	2	4	1	10	0	3	2	88
ET170074	1	1	4	1	2	1	1	2	88
ET170074	2	1.5	4	1	5	1	0	2	88
ET170074	3	2	4	1	10	1	0	2	88
ET170074	4	2	4	1	10	1	0	2	88
ET170074	5	100	17	1	10	1	0	2	88
ET170075	1	.5	4	1	1	1	1	2	88
ET170075	2	1	4	1	5	1	1	2	88
ET170075	3	1	4	1	5	1	1	2	88
ET170075	4	1	4	1	5	1	1	2	88
ET170075	5	2	4	4	5	0	0	77	88
ET170076	1	2	4	3	2	0	0	2	88
ET170076	2	2	4	1	5	1	2	2	88
ET170076	3	2	4	1	5	1	2	2	88
ET170076	4	2	4	4	5	0	0	77	88
ET170076	5	1	4	4	5	0	0	77	88
ET170076	6	2	4	4	5	0	0	77	88
ET170076	7	3	4	4	5	0	0	77	88
ET170076	8	50	17	4	10	1	2	2	88
ET170076	9	900	17	4	1	1	1	2	88
ET170077	1	.25	4	1	1	1	1	2	88
ET170077	2	3	4	1	5	1	1	2	88
ET170078	1	2	4	1	2	1	1	2	88
ET170078	2	4	4	1	5	1	1	2	88
ET170078	3	3	4	1	5	1	1	2	88
ET170078	4	2	4	1	5	1	1	2	88
ET170079	1	1	4	1	1	1	1	2	88
ET170079	2	2	4	1	5	1	1	2	88
ET170079	3	1	4	1	5	1	1	2	88
ET170079	4	2	4	1	5	1	1	2	88
ET170079	5	3	4	4	5	0	0	77	88
ET170080	1	.5	4	1	1	1	1	2	88
ET170080	2	1	4	1	11	1	1	2	88
ET170080	3	2	4	1	5	1	1	2	88
ET170080	4	4	4	1	5	1	1	2	88
ET170080	5	2	4	4	5	0	0	77	88
ET170080	6	3	4	4	5	0	0	77	88
ET170080	7	1	4	4	5	0	0	77	88
ET170080	8	.25	4	4	5	1	1	2	88
ET170081	1	1	4	1	1	1	1	2	88
ET170081	2	2	4	1	5	1	1	2	88
ET170081	3	2	4	1	5	1	1	2	88
ET170081	4	1	4	1	5	1	1	2	88
ET170082	1	1	4	1	1	1	1	2	88
ET170082	2	2	4	1	5	1	1	2	88
ET170082	3	2	4	1	5	1	1	2	88
ET170082	4	2	4	1	5	1	1	2	88
ET170082	5	1	4	1	5	1	1	2	88
ET170082	6	1	4	1	5	1	1	2	88
ET170083	1	2	4	1	2	0	2	2	88
ET170083	2	1	4	1	5	1	2	2	88
ET170083	3	1	4	1	5	1	2	2	88
ET170083	4	2	4	1	5	1	2	2	88
ET170084	1	.25	4	1	1	1	1	2	88
ET170084	2	2	4	1	5	0	0	2	88
ET170084	3	1.5	4	1	5	0	0	2	88
ET170084	4	1	4	1	5	0	0	2	88
ET170085	1	.25	4	1	1	0	2	2	88
ET170085	2	1	4	1	5	0	2	2	88
ET170085	3	1	4	1	5	0	2	2	88
ET170085	4	1	4	1	5	0	2	2	88
ET170085	5	1	4	4	5	0	0	77	88
ET170086	1	1	4	1	2	1	1	2	88
ET170086	2	3	4	1	5	1	1	2	88
ET170086	3	3	4	1	5	1	1	2	88
ET170087	1	1	4	1	2	1	1	2	88
ET170087	2	1	4	1	5	1	2	2	88
ET170087	3	2	4	1	5	1	2	2	88
ET170087	4	1	4	1	5	1	2	2	88
ET170087	5	1	4	4	5	0	0	77	88
ET170087	6	2	4	4	5	0	0	77	88
ET170087	7	2	4	4	5	0	0	77	88
ET170087	8	2	4	4	5	0	0	77	88
ET170088	1	.5	4	1	1	1	1	2	88
ET170088	2	1	4	1	9	1	1	2	88
ET170088	3	1	4	1	9	1	1	2	88
ET170088	4	1	4	1	9	1	1	2	88
ET170088	5	1	4	1	9	1	1	2	88
ET170088	6	2	4	1	10	1	1	2	88
ET170089	1	1	4	1	1	1	1	2	88
ET170089	2	2	4	1	5	1	1	2	88
ET170089	3	2	4	1	5	1	1	2	88
ET170090	1	.5	4	1	2	1	1	2	88
ET170090	2	3	4	1	5	1	1	2	88
ET170090	3	2	4	1	5	1	1	2	88
ET170090	4	2	4	1	5	1	1	2	88
ET170091	1	1	4	3	2	0	0	77	88
ET170091	2	.5	4	1	5	1	2	2	88
ET170091	3	2	4	1	5	1	2	2	88
ET170091	4	2	4	4	5	0	0	77	88
ET170092	1	.25	4	1	2	1	1	2	88
ET170092	2	1	4	1	5	0	0	2	88
ET170092	3	2	4	1	5	0	0	2	88
ET170092	4	3	4	1	5	0	0	2	88
ET170093	1	1	4	1	2	1	1	2	88
ET170093	2	2	4	1	5	1	1	2	88
ET170093	3	3	4	1	5	1	1	2	88
ET170094	1	1	4	5	2	0	0	2	88
ET170094	2	2	4	1	5	1	1	2	88
ET170094	3	1	4	1	5	1	1	2	88
ET170095	1	.5	4	1	1	1	1	2	88
ET170095	2	1	4	1	5	1	3	2	88
ET170095	3	1	4	1	5	1	3	2	88
ET170095	4	1	4	1	5	1	3	2	88
ET170096	1	2	4	1	2	1	1	2	88
ET170096	2	2	4	1	5	1	3	2	88
ET170096	3	2	4	1	5	1	3	2	88
