CHILDID	LOANID	GAVCRDR3	TKEOUTR3	AMTCRDR3	LOANMTR3	LNOLSTR3	PYBACKR3	AMTPAYR3	MTLASTR3	YRLASTR3	NOBACKR3	WHORCVR3	loanyrr3
ET200100	1	7	1	5000	9	48	1	400	8	2001	88	1	2000
ET200098	1	1	1	1350	10	60	1	0	88	 	11	1	1997
ET200098	2	2	1	400	10	60	1	0	88	 	11	1	1997
ET200097	1	7	1	3200	4	48	1	600	10	2001	88	1	2000
ET200095	1	7	1	5000	10	48	0	6000	10	2001	88	1	1997
ET200095	2	7	10	6000	2	36	1	0	88	 	8	1	2002
ET200094	1	7	1	1600	7	24	0	1600	8	2001	88	1	1999
ET200092	1	1	1	1770	11	60	1	0	88	 	88	1	2000
ET200092	2	7	1	2500	10	36	1	3000	8	2000	88	1	1997
ET200092	3	1	1	970	6	36	0	700	6	2001	88	2	1998
ET200089	1	1	1	5400	8	48	0	5400	10	2001	11	1	1997
ET200087	1	1	1	780	9	6	1	0	88	 	88	1	2001
ET200087	2	1	1	1620	9	36	0	-77	9	2000	88	1	1998
ET200086	1	7	1	2000	9	36	1	1300	9	2000	88	1	1999
ET200085	1	7	1	5000	10	48	0	88	88	 	88	1	2000
ET200084	1	7	1	1200	9	60	1	700	9	2001	88	1	2000
ET200083	1	7	14	4000	9	48	1	0	88	 	2	1	2000
ET200081	1	7	1	2000	8	36	0	2600	8	2001	88	1	1998
ET200080	1	1	1	625	10	6	0	650	4	2001	88	1	2000
ET200080	2	1	1	-77	10	6	0	500	4	2000	88	1	1999
ET200080	3	1	7	2950	9	48	0	3951.8	6	2001	88	80	1997
ET200079	1	7	19	5000	9	60	1	1011	3	2002	8	1	2000
ET200076	1	7	1	3000	10	48	1	0	88	 	88	1	2000
ET200075	1	7	3	5000	9	60	1	0	88	 	88	1	2000
ET200075	2	1	1	2500	9	60	1	0	88	 	88	1	2000
ET200074	1	7	1	5000	10	36	1	1500	2	2002	88	1	2001
ET200073	1	7	1	1600	5	36	0	2100	5	2001	88	1	1998
ET200072	1	7	1	2100	10	36	1	0	88	 	88	1	1999
ET200071	1	1	1	450	9	12	1	-88	88	 	11	1	2001
ET200071	2	7	14	2400	7	36	0	2300	5	2001	88	1	2000
ET200068	1	7	1	1700	9	24	1	2200	1	2002	88	1	2000
ET200067	1	1	14	5000	3	48	1	0	88	 	88	1	2000
ET200065	1	7	1	1200	8	24	0	137	1	2002	88	1	2000
ET200063	1	8	2	500	4	88	0	500	10	1998	88	1	1998
ET200062	1	7	1	1900	7	36	0	3000	7	2001	88	2	1998
ET200061	1	1	19	5000	5	12	1	5000	5	2001	8	88	2000
ET200060	1	1	1	1200	4	60	0	1200	5	2000	88	1	1998
ET200060	2	8	1	400	4	12	1	0	88	 	4	1	2001
ET200059	1	1	14	2000	10	48	1	0	88	 	2	1	2001
ET200058	1	7	1	3000	7	60	0	0	88	 	88	1	2000
ET200057	1	7	1	15000	8	36	0	88	88	 	88	88	2001
ET200054	1	7	1	5000	9	60	1	0	88	 	88	1	2001
ET200050	1	7	1	2000	6	48	1	0	88	 	88	1	1999
ET200049	1	1	1	4000	5	60	1	0	88	 	8	2	1998
ET200049	2	7	10	3000	1	60	1	1500	1	2000	2	1	1997
ET200047	1	1	1	3000	6	48	1	2500	88	 	6	1	1998
ET200046	1	7	1	2000	9	48	1	0	88	 	88	1	1999
ET200046	2	10	2	300	12	2	1	0	88	 	2	1	2001
ET200045	1	7	14	5000	1	48	1	1000	3	2002	8	1	2000
ET200043	1	7	1	1900	10	36	1	1500	6	2001	2	2	1998
ET200042	1	1	1	1200	10	48	0	1200	2	2001	6	1	1996
ET200042	2	2	1	300	11	6	1	0	88	 	88	1	2001
ET200042	3	8	2	200	11	77	1	200	88	 	88	1	2001
ET200041	1	7	8	2000	10	60	1	0	88	 	11	1	1997
ET200040	1	7	1	1500	8	36	1	1000	10	2001	88	1	2000
ET200039	1	7	1	1900	10	60	1	0	88	 	12	1	1996
ET200038	1	7	1	1500	5	60	1	0	88	 	88	2	1999
ET200037	1	7	1	5000	9	36	0	-88	88	 	88	1	2000
ET200036	1	2	1	280	11	6	0	-77	5	2000	88	1	1999
ET200036	2	2	1	300	10	6	0	300	4	2001	88	1	2000
ET200036	3	2	1	400	10	6	0	400	3	2002	88	1	2001
ET200033	1	7	8	3170	10	60	1	0	88	 	12	1	1996
ET200032	1	7	8	5000	9	24	1	3075	12	2001	88	1	2001
ET200030	1	7	1	1200	3	48	1	0	88	 	88	1	2000
ET200029	1	1	1	5000	8	48	1	0	88	 	2	1	1999
ET200029	2	2	1	2000	4	48	1	0	88	 	6	2	1998
ET200026	1	7	1	3500	5	60	1	1000	11	2001	88	88	1999
ET200021	1	7	1	5000	10	60	1	3850	11	2001	88	2	1998
ET200020	1	1	1	300	10	6	1	0	88	 	11	1	2001
ET200019	1	7	1	5000	7	48	1	0	88	 	88	1	1998
ET200018	1	1	1	2400	9	60	1	2400	9	2000	88	2	1997
ET200016	1	1	1	3000	1	48	0	3000	6	2000	88	2	1997
ET200016	2	1	1	5000	9	48	1	3000	1	2001	88	2	2000
ET200015	1	7	1	3800	9	60	1	0	88	 	8	2	1997
ET200015	2	10	17	50	3	77	1	0	88	 	88	2	2002
ET200014	1	7	1	2000	9	36	1	3000	9	2001	88	1	1998
ET200012	1	7	1	2300	10	24	0	2300	10	2001	88	1	1999
ET200012	2	2	1	5200	9	48	1	5200	88	 	88	16	1999
ET200009	1	7	4	3000	4	48	1	0	88	 	12	1	1998
ET200006	1	7	1	6000	8	24	1	0	88	 	88	1	2000
ET200005	1	7	1	3000	10	60	1	2900	8	2001	88	80	1998
ET200004	1	7	1	5000	3	60	0	5600	3	2002	88	1	1999
ET200003	1	2	1	180	10	8	0	180	4	1998	88	1	1997
ET200003	2	2	1	288	10	8	0	288	4	1999	88	1	1998
ET200003	3	2	1	310	10	8	0	310	4	2000	88	1	1999
ET200003	4	2	1	300	10	8	0	338	4	2001	88	1	2000
ET200003	5	2	1	400	10	8	1	0	88	 	88	1	2001
ET200001	1	7	88	10000	2	24	1	0	88	 	88	1	2002
ET200001	2	7	88	5000	2	24	1	0	88	 	88	3	2002
ET190100	1	7	19	2500	10	24	1	0	88	 	11	1	2001
ET190096	1	3	19	1000	3	60	1	500	9	2000	12	2	1999
ET190096	2	10	8	3000	10	6	1	0	88	 	11	2	2001
ET190095	1	7	19	5000	6	36	1	5440	3	2002	88	1	1999
ET190089	1	7	19	4000	3	36	1	1518	4	2002	88	1	2001
ET190087	1	10	2	600	4	6	0	0	88	 	88	2	2002
ET190086	1	7	8	30000	3	24	1	14000	3	2002	11	1	2001
ET190085	1	2	19	2500	7	60	1	0	88	 	12	1	2000
ET190076	1	7	19	5000	11	36	1	2214.8	4	2002	88	1	2000
ET190071	1	8	2	70	1	77	0	70	2	2002	88	1	2001
ET190070	1	7	1	3000	4	24	1	1500	3	2002	88	1	2001
ET190068	1	7	19	1000	7	12	0	1180	7	1999	88	1	1998
ET190066	1	10	19	2000	2	77	0	2000	8	2001	88	1	2001
ET190065	1	7	1	2000	11	12	1	1000	4	2002	88	7	2001
ET190063	1	5	19	30000	4	36	1	15000	3	2002	88	1	2000
ET190062	1	7	1	10000	11	36	1	0	88	 	88	1	2001
ET190060	1	7	5	5000	5	24	0	5000	6	2000	88	1	1998
ET190060	2	8	10	2000	1	77	1	1100	9	2001	88	1	2001
ET190060	3	7	10	3000	1	24	1	1400	3	2002	88	1	2001
ET190060	4	7	4	3000	1	24	1	1156	3	2002	88	2	2001
ET190059	1	3	19	1500	6	36	0	1710	3	2002	88	1	1999
ET190058	1	7	5	2000	6	24	0	1840	3	2002	88	1	2000
ET190057	1	5	19	100000	12	24	1	18000	4	2002	88	1	2001
ET190056	1	7	5	2460	10	48	1	445	10	2001	88	1	2000
ET190055	1	7	4	4000	3	36	1	1380	3	2002	88	2	2001
ET190054	1	7	19	5000	4	36	1	1781	3	2002	88	1	2001
ET190052	1	7	4	5000	1	36	1	2290.4	3	2002	88	2	2000
ET190051	1	3	19	5000	9	48	1	760	9	2001	88	1	1999
ET190050	1	6	5	80000	4	24	0	90000	4	2000	88	5	1998
ET190049	1	7	19	10000	2	24	1	1000	4	2002	88	2	2002
ET190048	1	7	19	5000	1	36	1	5200	1	2002	12	1	1999
ET190047	1	7	19	2000	10	36	1	450	4	2001	88	1	2000
ET190046	1	7	19	3000	1	36	1	1500	3	2002	88	1	2001
ET190045	1	10	6	2200	12	5	0	2200	7	2000	88	1	1999
ET190045	2	7	19	1000	2	8	0	1145.2	10	2001	88	2	2001
ET190045	3	10	19	2000	5	5	1	0	88	 	88	1	2002
ET190045	4	5	17	715.02	9	24	0	715.02	5	2002	88	2	1999
ET190043	1	1	1	4000	2	60	1	1500	5	2000	11	1	1998
ET190042	1	10	19	890	2	77	1	0	88	 	11	1	2002
ET190040	1	3	1	7000	9	48	1	1200	3	2002	88	1	1999
ET190039	1	7	19	3000	2	36	1	2084	2	2002	11	1	1999
ET190039	2	4	10	1000	9	6	1	700	1	2002	11	1	2001
ET190038	1	7	19	1500	10	36	1	0	88	 	88	2	2000
ET190037	1	7	19	2000	3	36	1	756	3	2002	88	1	2001
ET190036	1	1	1	2000	12	36	0	2320	12	2001	88	1	1998
ET190036	2	10	18	470	12	77	1	0	88	 	11	1	2001
ET190035	1	10	19	2000	3	77	0	2000	6	2001	88	1	2001
ET190034	1	7	1	5000	9	24	1	500	10	2001	88	1	2001
ET190031	1	7	19	2600	4	24	1	1480	4	2002	88	1	2001
ET190030	1	7	19	10000	2	24	0	11000	2	2002	88	1	2000
ET190030	2	7	19	1000	2	24	1	0	88	 	88	1	2002
ET190029	1	7	8	3000	4	24	1	950	9	1998	5	1	1998
ET190028	1	7	4	2000	7	36	1	567	3	2002	88	2	2001
ET190026	1	7	18	2000	9	48	1	400	9	2001	88	2	1999
ET190024	1	1	1	4782.6	10	60	1	2000	4	2001	11	1	1997
ET190022	1	7	19	2000	9	24	1	700	3	2002	88	1	2001
ET190021	1	7	19	20000	11	24	1	6000	4	2002	88	2	2001
ET190020	1	3	19	2000	12	36	1	1800	2	2002	3	1	1999
ET190019	1	7	1	4000	6	36	0	4742	6	2001	88	1	1998
ET190018	1	7	4	5000	11	36	1	0	88	 	88	2	2001
ET190017	1	7	19	10000	4	24	0	11195	4	2000	88	2	1998
ET190016	1	7	1	4000	8	48	1	1376.76	4	2002	88	1	2000
ET190015	1	7	19	2000	3	36	1	639	3	2002	88	1	2001
ET190012	1	8	5	1000	3	12	1	600	12	2001	6	1	2000
ET190011	1	3	19	1500	11	36	1	1440	1	2001	88	2	1999
ET190009	1	7	19	3000	3	48	1	1670	11	2001	88	1	1999
ET190008	1	10	8	600	5	77	1	0	88	 	11	1	2000
ET190006	1	7	19	4000	6	60	1	2700	3	2001	11	1	2000
ET190006	2	10	2	250	2	77	1	0	88	 	11	1	2001
ET190005	1	5	4	150000	7	36	0	193000	2	2002	88	1	1998
ET190005	2	7	4	5000	7	36	1	3000	4	2002	88	2	2000
ET190003	1	3	19	3000	9	36	1	1440	3	2002	88	1	2000
ET190001	1	3	19	5000	1	36	1	0	88	 	88	1	2002
ET180097	1	1	1	3500	8	60	1	700	9	2001	88	1	1998
ET180096	1	1	1	3200	10	48	0	3700	10	2001	88	1	1997
ET180095	1	1	1	4000	9	60	1	400	12	2001	88	4	2000
ET180094	1	1	1	2400	9	60	1	1300	12	2001	88	1	1998
ET180094	2	2	1	500	10	6	1	0	88	 	88	1	2001
ET180093	1	8	8	300	10	77	1	0	88	 	11	2	2001
ET180093	2	1	1	260	10	12	1	0	88	 	88	2	2001
ET180092	1	1	1	1400	11	60	1	1000	4	2001	2	1	1999
ET180091	1	1	1	5000	9	60	1	2500	10	2001	88	1	1999
ET180091	2	8	18	1200	10	77	1	0	88	 	11	1	2001
ET180090	1	1	1	3300	9	60	1	0	88	 	88	1	2001
ET180088	1	8	18	600	4	6	1	0	88	 	9	1	2001
ET180087	1	1	1	5000	11	60	1	0	88	 	11	1	1998
ET180087	2	10	8	600	10	77	1	0	88	 	11	1	2001
ET180085	1	2	1	267.5	10	6	1	0	88	 	88	2	2001
ET180085	2	4	2	300	9	6	0	300	1	2002	88	2	2001
ET180084	1	1	1	5000	10	48	1	2000	10	2001	2	1	1998
ET180084	2	8	1	500	11	4	1	0	88	 	2	2	2001
ET180083	1	1	1	3180	9	48	1	0	88	 	88	1	2001
ET180082	1	2	1	530	9	5	1	0	88	 	2	1	2001
ET180081	1	1	1	3000	9	60	1	0	88	 	11	1	1997
ET180080	1	1	1	4500	9	48	1	5000	9	2001	88	3	1998
ET180077	1	10	2	1400	1	8	1	1100	6	2000	88	2	2000
ET180076	1	10	1	400	12	6	1	0	88	 	88	1	2001
ET180076	2	2	1	267	10	6	1	0	88	 	88	1	2001
ET180075	1	4	2	2500	9	36	1	0	88	 	2	1	2000
ET180075	2	1	1	530	9	5	1	0	88	 	2	1	2001
ET180074	1	4	19	1000	3	12	1	0	88	 	88	1	2002
ET180073	1	1	1	5000	6	60	1	0	88	 	88	1	2000
ET180072	1	3	1	4000	10	48	1	0	88	 	2	1	1999
ET180072	2	2	1	450	10	4	1	0	88	 	2	1	2001
ET180071	1	1	1	3430	7	60	1	0	88	 	88	1	2000
ET180070	1	7	19	5000	6	60	1	0	88	 	12	1	2000
ET180069	1	2	1	267	8	7	1	0	88	 	88	1	2001
ET180068	1	1	1	3000	9	36	1	0	88	 	88	1	2001
ET180067	1	10	1	300	10	1	0	300	11	2001	88	1	2001
ET180066	1	1	1	3830	10	60	1	1915	7	2000	88	1	1999
ET180065	1	1	1	3569	10	60	1	2764.65	4	2001	11	1	1997
ET180064	1	3	1	3820	6	48	1	0	88	 	88	1	2000
ET180063	1	1	1	2500	10	60	0	2500	10	2001	88	1	1999
ET180063	2	8	2	1500	10	12	1	0	88	 	11	1	2001
ET180062	1	1	1	4500	11	60	1	0	88	 	2	1	1997
ET180062	2	8	2	300	4	6	0	300	9	2001	88	1	2001
ET180062	3	1	1	300	10	6	1	0	88	 	11	1	2001
ET180061	1	1	1	4200	9	60	1	2630	9	2001	4	1	1997
ET180060	1	1	1	4000	3	60	0	4000	4	2001	88	1	1997
ET180059	1	1	2	800	1	5	1	0	88	 	11	2	2001
ET180059	2	1	1	300	10	3	1	0	88	 	11	2	2001
ET180058	1	1	1	4000	9	48	1	700	9	2001	88	2	1999
ET180057	1	1	1	3500	7	48	1	630	11	2001	88	1	1999
ET180056	1	1	1	4500	10	60	1	2000	77	2001	11	1	1997
ET180056	2	10	2	300	1	77	1	0	88	 	88	1	2002
ET180055	1	2	1	300	10	12	1	0	88	 	6	1	2001
ET180054	1	1	1	1340	10	60	1	0	88	 	11	1	1997
ET180054	2	10	2	800	12	77	1	0	88	 	11	1	2001
ET180053	1	1	1	6000	9	60	1	0	88	 	88	1	2000
ET180052	1	1	1	3000	9	48	1	450	9	2001	88	1	2000
ET180051	1	1	1	800	11	12	1	0	88	 	88	1	2001
ET180050	1	8	2	1000	12	24	1	0	88	 	88	1	2001
ET180050	2	1	1	400	10	5	1	200	1	2002	11	1	2001
ET180047	1	1	1	4000	9	48	1	3000	11	2001	11	1	1998
ET180046	1	1	1	3660	9	48	1	0	88	 	88	1	1999
ET180045	1	1	1	1069.3	10	36	0	1069.3	6	2001	88	1	2000
ET180044	1	3	1	4200	9	48	1	0	88	 	88	1	2000
ET180044	2	8	2	300	2	12	1	0	88	 	4	2	1999
ET180043	1	1	1	3600	9	48	1	0	88	 	88	2	2000
ET180042	1	1	1	2630	9	60	0	2630	10	2001	88	1	1997
ET180041	1	1	1	3000	10	60	1	0	88	 	88	3	2000
ET180040	1	1	1	3100	10	60	1	1300	10	2001	6	1	1999
ET180039	1	1	1	3500	9	60	1	0	88	 	2	1	2001
ET180037	1	1	1	3000	8	48	1	0	88	 	88	1	2000
ET180036	1	1	1	2500	10	24	1	1300	10	2001	88	1	2000
ET180036	2	1	1	560	11	6	1	0	88	 	88	1	2001
ET180035	1	10	1	1400	9	12	1	0	88	 	88	2	2001
ET180035	2	8	1	300	6	12	1	0	88	 	88	1	2001
ET180033	1	1	1	4050	10	60	1	3000	9	2001	88	1	1999
ET180031	1	3	1	3272	8	48	1	0	88	 	88	2	2001
ET180029	1	1	1	5000	9	60	1	0	88	 	6	1	2000
ET180028	1	1	1	3000	5	60	1	0	88	 	88	1	2000
ET180028	2	2	1	267	10	6	1	0	88	 	88	1	2001
ET180027	1	3	1	3622	11	48	0	3622	11	2001	88	1	1997
ET180027	2	8	11	1500	12	12	1	0	88	 	11	1	2001
ET180026	1	3	1	4400	9	60	1	4400	10	2001	88	1	1997
ET180025	1	1	1	3800	9	60	1	0	88	 	88	1	2001
ET180024	1	1	1	2730	10	48	1	0	88	 	88	1	2000
ET180024	2	8	2	400	1	5	1	0	88	 	11	1	2002
ET180022	1	1	1	1230	11	60	1	1600	12	2001	88	1	1997
ET180022	2	1	1	260	11	5	1	0	88	 	88	1	2001
ET180021	1	1	1	6000	9	48	1	0	88	 	88	1	2000
ET180020	1	3	1	6050	9	48	1	0	88	 	88	1	2000
ET180019	1	1	1	6000	4	36	1	0	88	 	11	1	1999
ET180019	2	2	1	1000	6	24	1	0	88	 	11	1	2000
ET180018	1	1	1	3000	9	60	1	1800	6	2001	88	1	1997
ET180017	1	1	1	3150	9	36	1	0	88	 	11	2	2000
ET180016	1	1	1	3000	4	60	1	2600	1	2001	88	1	1997
ET180015	1	1	1	4000	6	48	1	0	88	 	88	1	2000
ET180015	2	2	1	534	10	2	1	0	88	 	11	1	2001
ET180013	1	1	1	2100	9	60	1	1600	9	2001	6	2	1997
ET180012	1	1	1	5000	9	60	1	1500	9	2001	88	2	2000
ET180011	1	10	1	1000	6	77	1	0	88	 	88	1	2001
ET180010	1	1	1	2500	12	60	1	0	88	 	11	2	1998
ET180010	2	3	2	1500	10	60	1	0	88	 	88	2	2000
ET180009	1	2	1	267	10	2	0	267	12	2001	88	1	2001
ET180006	1	1	1	3000	7	60	1	0	88	 	88	1	2000
ET180005	1	1	2	5000	5	60	0	0	88	 	6	2	2001
ET180004	1	1	1	4000	9	60	1	2000	1	2001	88	1	1997
ET180004	2	2	1	267	10	6	1	0	88	 	88	1	2001
ET180003	1	1	1	2370	6	48	1	0	88	 	88	1	2000
ET180001	1	1	1	4000	6	60	1	0	88	 	88	1	2000
ET170098	1	7	14	2000	1	24	1	1200	1	2002	88	1	2001
ET170096	1	7	1	3000	11	24	1	0	88	 	88	80	2001
ET170096	2	7	1	3000	10	24	0	3000	10	2001	88	80	1999
ET170096	3	7	1	2000	10	24	0	2000	12	1999	88	80	1997
ET170096	4	2	1	2400	9	6	0	2400	77	 	88	1	2001
ET170096	5	2	1	800	10	6	0	200	4	2001	88	1	2000
ET170096	6	2	1	900	10	6	0	900	4	2000	88	1	1999
ET170096	7	2	1	1400	10	6	0	1400	4	1999	88	1	1998
ET170096	8	2	1	600	10	6	0	600	4	1998	88	1	1997
ET170095	1	7	1	2000	7	48	1	0	88	 	8	1	2000
ET170094	1	2	1	1400	9	48	1	0	88	 	88	1	2001
ET170093	1	7	1	2000	10	12	0	0	88	 	88	1	2001
ET170091	1	7	1	2400	10	48	1	0	88	 	88	80	2000
ET170089	1	2	1	2000	12	24	1	1000	12	2001	88	1	2000
ET170088	1	7	1	3600	9	48	1	4000	12	2001	4	1	1998
ET170087	1	7	1	3000	9	48	1	2000	8	2001	88	1	2000
ET170087	2	1	1	200	9	6	0	88	88	 	88	1	2001
ET170087	3	1	1	150	9	6	1	200	4	2000	88	1	1999
ET170087	4	1	1	150	10	6	1	150	4	2001	88	1	1998
ET170086	1	7	14	5000	9	48	0	5400	9	2001	88	2	1997
ET170085	1	1	1	1200	10	48	0	1200	9	2001	88	1	1997
ET170084	1	7	1	3000	9	48	0	4080	9	2001	88	1	1999
ET170083	1	1	1	2400	8	48	1	1600	4	2002	88	1	1998
ET170081	1	7	14	2000	9	24	1	1100	9	2001	88	1	2000
ET170080	1	7	1	2000	9	48	0	3000	9	2001	88	2	1998
