CHILDID	LOANID	GAVCRDR3	TKEOUTR3	AMTCRDR3	LOANMTR3	LNOLSTR3	PYBACKR3	AMTPAYR3	MTLASTR3	YRLASTR3	NOBACKR3	WHORCVR3	loanyrr3
ET170080	2	2	1	300	11	5	1	0	4	2002	88	1	2001
ET170079	1	7	1	1080	9	48	1	0	88	 	88	1	2000
ET170077	1	7	1	3300	11	48	0	0	88	 	88	1	2000
ET170074	1	7	1	600	4	16	0	690	9	2001	88	1	2000
ET170074	2	7	1	350	5	12	0	400	9	2000	88	1	1999
ET170074	3	7	1	500	11	12	0	575	10	1999	88	1	1998
ET170074	4	7	1	400	11	12	0	460	10	1998	88	1	1997
ET170072	1	1	1	2800	5	48	0	2800	5	2001	88	2	1998
ET170071	1	2	4	1000	9	24	1	500	88	 	88	88	2000
ET170070	1	2	12	2000	9	24	1	0	88	 	88	2	2001
ET170069	1	7	1	2000	10	12	1	0	88	 	88	1	2001
ET170069	2	7	1	2000	10	12	0	2000	10	2001	88	1	2000
ET170069	3	7	1	2000	10	12	0	2000	10	2000	88	1	1999
ET170067	1	7	1	2000	9	24	1	0	88	 	88	1	2001
ET170066	1	7	14	2000	9	48	0	3500	9	2001	88	1	1997
ET170065	1	7	1	1000	10	12	0	1000	10	1996	88	2	1995
ET170065	2	7	1	1500	6	24	0	1500	6	1998	88	2	1996
ET170065	3	7	1	1300	8	24	0	1300	8	2000	88	2	1998
ET170065	4	7	1	1100	10	24	0	1100	1	2002	88	2	2000
ET170064	1	1	1	4300	8	24	1	4300	88	 	4	1	1996
ET170064	2	1	1	2060	10	48	0	2060	10	2001	88	2	1997
ET170063	1	7	14	1000	4	24	0	1180	4	2001	88	16	1999
ET170061	1	7	1	1500	9	24	1	0	88	 	88	2	2001
ET170060	1	7	19	1000	9	24	1	550	9	2001	88	1	2000
ET170059	1	7	1	2000	10	24	0	2000	10	2001	88	2	1998
ET170058	1	7	14	3000	9	48	1	1000	9	2001	88	1	2000
ET170058	2	10	2	1000	1	77	1	0	88	 	8	1	2002
ET170057	1	7	1	2500	9	48	1	1200	9	2001	88	1	1999
ET170055	1	7	14	2000	10	24	1	0	88	 	88	1	2001
ET170053	1	7	1	3000	7	36	0	3500	9	2001	88	1	1999
ET170052	1	1	1	1095	11	5	1	0	88	 	8	1	2001
ET170051	1	1	1	2000	9	36	0	2000	11	2000	88	1	1998
ET170051	2	7	1	700	11	12	1	0	88	 	88	1	2001
ET170050	1	7	1	1100	4	6	0	700	12	2001	88	1	2000
ET170049	1	7	1	2500	10	48	1	1000	2	2002	88	1	1999
ET170049	2	1	1	1000	1	24	1	1000	88	 	88	1	2002
ET170047	1	1	1	1000	11	48	0	1000	2	2001	88	1	1997
ET170046	1	7	14	2500	3	12	1	900	9	2001	88	1	2001
ET170045	1	7	12	3600	10	48	0	4500	10	2001	88	1	1997
ET170043	1	1	1	301.72	10	6	1	0	88	 	8	1	2001
ET170042	1	2	14	1500	9	48	1	0	88	 	88	1	1999
ET170041	1	7	1	4000	9	48	0	5160	9	2001	88	1	1998
ET170039	1	7	1	3000	8	48	0	4080	8	2000	88	1	1998
ET170038	1	7	1	4000	9	12	0	0	88	 	88	1	2000
ET170037	1	5	1	1500	9	12	1	0	88	 	88	1	2001
ET170035	1	7	1	1200	9	24	1	60	9	2003	88	1	2001
ET170034	1	1	1	340	11	6	1	0	88	 	88	1	2001
ET170033	1	7	12	3200	8	48	0	3200	1	2002	88	1	1999
ET170032	1	7	14	2000	9	24	1	0	88	 	88	1	2001
ET170031	1	5	1	1740	10	48	1	1478.25	10	2002	88	1	1999
ET170030	1	7	1	2000	9	24	0	3000	9	2001	88	1	1999
ET170027	1	7	1	2000	9	48	1	0	88	 	8	1	2001
ET170026	1	7	1	1700	9	24	0	2000	9	2001	88	1	1999
ET170025	1	7	1	1500	11	60	1	1000	88	 	88	1	1999
ET170023	1	1	1	5000	9	49	1	0	88	 	88	1	2000
ET170022	1	7	12	1800	12	24	1	0	88	 	88	1	2001
ET170022	2	1	1	300	10	6	0	-88	4	2001	88	1	2000
ET170022	3	1	1	300	10	6	0	-88	4	2000	88	1	1999
ET170022	4	7	14	2000	7	48	0	-88	8	2001	88	1	1997
ET170022	5	1	1	200	10	6	0	-88	4	1999	88	1	1998
ET170022	6	1	1	200	10	6	0	-88	4	1998	88	1	1997
ET170021	1	8	2	300	1	3	0	300	4	2001	88	1	2001
ET170019	1	7	14	3000	8	12	0	4900	8	2001	88	1	1998
ET170019	2	1	1	700	11	6	1	0	88	 	88	1	2001
ET170018	1	1	1	2222	9	36	0	3086	10	2001	88	1	1999
ET170016	1	7	2	1600	7	48	0	1600	7	2001	88	4	1999
ET170015	1	7	1	3000	1	36	1	500	1	2002	88	80	2001
ET170015	2	1	1	301.72	10	8	1	0	88	 	88	80	2001
ET170011	1	7	14	2500	2	24	1	1250	2	2002	88	1	2001
ET170008	1	1	1	200	11	6	1	88	88	 	88	1	2001
ET170006	1	1	2	301.72	11	6	1	0	88	 	88	1	2001
ET170004	1	4	7	1000	1	3	0	1000	12	2001	88	2	2001
ET170003	1	5	2	1000	10	48	0	1315	10	2001	88	80	1997
ET170001	1	7	1	1800	6	48	0	2448	6	2001	88	4	1998
ET160100	1	2	1	350	11	5	0	350	5	1999	88	1	1997
ET160100	2	2	1	370	11	5	0	370	5	2000	88	1	1999
ET160100	3	2	1	400	11	5	0	400	5	2001	88	1	2000
ET160100	4	4	2	300	11	4	1	0	88	 	8	1	2001
ET160099	1	8	7	1000	4	3	1	0	88	 	11	1	2001
ET160099	2	2	1	350	11	6	0	350	5	1998	88	1	1997
ET160099	3	2	1	400	11	6	0	400	5	1999	88	1	1998
ET160099	4	2	1	500	11	6	0	500	5	2000	88	1	1999
ET160099	5	2	1	550	11	6	0	550	5	2001	88	1	2000
ET160099	6	2	1	200	11	6	1	100	88	 	8	1	2001
ET160098	1	2	1	365	11	5	1	88	88	 	8	1	2001
ET160098	2	10	1	500	11	5	1	88	88	 	8	1	2001
ET160098	3	4	2	500	1	5	1	88	88	 	8	1	2001
ET160097	1	2	1	580	11	7	1	0	88	 	8	1	2001
ET160097	2	2	1	580	11	7	0	580	5	2001	88	1	2000
ET160097	3	2	1	530	11	7	0	530	5	2000	88	1	1999
ET160097	4	2	1	510	11	7	0	510	5	1999	88	1	1998
ET160097	5	2	1	510	11	7	0	510	5	1998	88	1	1997
ET160096	1	2	1	350	11	6	0	350	5	1998	88	1	1997
ET160096	2	2	1	400	11	6	0	400	5	1999	88	1	1998
ET160096	3	2	1	450	11	6	0	450	5	2000	88	1	1999
ET160096	4	2	1	500	11	6	0	500	5	2001	88	1	2000
ET160096	5	2	1	200	11	6	1	0	5	2002	8	1	2001
ET160096	6	8	2	900	10	4	1	400	1	2002	9	1	2001
ET160095	1	10	4	300	1	5	0	300	5	1997	88	1	1997
ET160095	2	10	4	200	1	5	0	200	5	2000	88	1	2000
ET160094	1	2	1	1050	11	5	0	1050	5	1998	88	1	1997
ET160094	2	2	1	1140	11	5	0	1140	5	1999	88	1	1998
ET160094	3	2	1	1140	11	5	0	1140	5	2000	88	1	1999
ET160094	4	2	1	1200	11	5	0	1200	5	2001	88	1	2000
ET160094	5	2	1	1200	11	5	1	0	88	 	8	1	2001
ET160093	1	2	1	1200	11	5	0	1200	5	2001	88	1	2000
ET160093	2	2	1	1200	11	5	1	0	88	 	8	1	2001
ET160092	1	2	1	480	11	7	1	0	88	 	8	1	2001
ET160092	2	2	1	480	11	7	0	480	5	2001	88	1	2000
ET160092	3	2	1	600	11	7	0	600	5	2000	88	1	1999
ET160092	4	2	1	500	11	7	0	500	5	1999	88	1	1998
