CHILDID	WORKID	WRKACTR3	WRKPAYR3	PAYNMER3	RNKPAYR3
ET060073	1	1	2	0	1
ET080016	1	1	1	1	2
ET080036	1	1	1	0	2
ET100030	1	23	3	2	1
ET110028	1	1	2	2	1
