CHILDID	CROPID	CROPR3	QNTHRVR3	QNTUNTR3	VLSLDR3	CRPCSTR3
ET050068	2	75	150	1	1035	50
ET050073	1	15	350	1	1400	200
ET050073	2	8	500	1	3340	400
ET050073	3	130	150	1	800	300
ET050077	1	75	2.4	2	3600	0
ET050078	1	8	2.5	2	1700	0
ET050078	2	130	2	2	748	0
ET050078	3	125	1	2	408	0
ET050078	4	15	45	1	165	0
ET050079	1	8	4	2	2880	288
ET050079	2	130	2	2	1080	300
ET050079	3	125	1	2	432	900
ET050079	4	15	1	2	450	450
ET050079	5	43	.33	2	200	20
ET050079	6	44	1	2	350	60
ET050079	7	5	1	2	340	120
ET050081	1	44	2	52	20	10
ET050081	2	125	2	2	667	50
ET050082	1	42	1	41	333	50
ET050082	2	125	1	41	183	80
ET050082	3	75	3	41	900	100
ET050082	4	76	7	41	2333	150
ET050083	1	124	350	1	1309	15
ET050083	2	8	350	1	2380	0
ET050084	1	15	150	1	600	35
ET050084	2	8	200	1	1200	17
ET050084	3	130	250	1	1083	35
ET050084	4	125	100	1	333	35
ET050085	1	125	2	2	1200	0
ET050085	2	130	2.5	2	3000	48
ET050085	3	8	2.5	2	2400	40
ET050085	4	15	1	2	540	0
ET050085	5	44	1	2	240	0
ET050086	1	125	225	1	850	0
ET050086	2	8	300	1	2040	0
ET050086	3	130	400	1	1768	0
ET050087	1	8	38	2	2040	0
ET050087	2	125	8	2	3344	0
ET050087	3	130	2	2	952	0
ET050087	4	15	1.5	2	990	0
ET050089	1	125	1.5	2	510	0
ET050089	2	15	.5	2	187	0
ET050089	3	8	1	2	680	0
ET050089	4	130	2.5	2	1105	0
ET050090	1	8	3	9	1350	54
ET050090	2	5	5	9	1200	200
ET050090	3	124	4	9	700	150
ET050091	1	15	450	1	1540	200
ET050091	2	124	600	1	2040	170
ET050091	3	8	500	1	3400	0
ET050092	1	125	300	1	1000	0
ET050092	2	8	200	1	1360	0
ET050093	1	5	3	2	1400	0
ET050093	2	130	4	2	2000	0
ET050093	3	125	3	2	3000	150
ET050093	4	42	1.5	41	500	70
ET050093	5	43	1	41	383	100
ET050093	6	76	4	2	2665	0
ET050094	1	8	2	2	1440	200
ET050094	2	125	2.5	2	890	320
ET050094	3	130	1	2	510	370
ET050094	4	15	1	2	442	156
ET050095	1	8	1	2	680	125
ET050095	2	125	2.75	2	940	180
ET050095	3	76	1.5	2	765	311
ET050095	4	42	1	2	782	95
ET050095	5	130	1.75	2	840	375
ET050096	1	44	50	1	255	0
ET050096	2	124	300	1	1356	13
ET050096	3	8	400	1	2856	26
ET050097	1	44	10	1	34	0
ET050097	2	5	560	1	2805	0
ET050097	3	15	200	1	683	0
ET050097	4	8	550	1	3740	0
ET050098	1	8	2	2	1360	0
ET050098	3	125	1.5	2	550	0
ET050100	1	125	500	1	2210	0
ET050100	2	8	400	1	2992	0
ET060002	1	7	.5	41	240	22
ET060002	2	5	.5	41	1000	125
ET060002	3	15	1.5	41	1000	200
ET060002	4	76	5.5	41	2000	345
ET060002	5	20	.5	41	675	30
ET060003	1	76	4	2	3200	320
ET060003	2	44	2	2	800	60
ET060003	3	15	2	2	1400	210
ET060003	4	7	50	1	1000	20
ET060003	5	79	1	2	500	75
ET060004	1	44	4	2	2680	377.5
ET060004	2	7	1	2	1400	6
ET060004	3	79	2	2	1300	12
ET060004	4	20	60	1	420	24
ET060004	5	8	17	1	153	16
ET060004	6	76	50	1	500	60
ET060005	1	7	1	2	600	20
ET060005	2	64	1	2	600	10
ET060005	3	15	2	2	1000	100
ET060005	4	76	3	2	2700	200
ET060005	5	20	2.5	69	1500	150
ET060006	1	15	3	2	1200	200
ET060006	2	79	3	2	1680	160
ET060006	3	7	1	2	1200	200
ET060006	4	76	50	1	450	260
ET060006	5	20	1	2	460	60
ET060006	6	55	2	2	160	70
ET060007	1	44	6	9	300	20
ET060007	2	20	7	9	1050	200
ET060007	3	7	9	9	1000	32
ET060007	4	8	6	9	800	400
ET060007	5	19	0	88	-88	100
ET060007	6	55	3	9	150	40
ET060008	1	44	1	2	350	100
ET060008	2	7	.8	1	2000	110
ET060008	3	79	1	2	400	30
ET060008	4	8	4	2	3500	450
ET060008	5	15	2	2	800	60
ET060008	6	20	3	2	1300	120
ET060009	1	44	2	69	140	40
ET060009	2	79	3	69	210	40
ET060009	3	7	3	69	240	20
ET060009	4	76	4.5	69	945	350
ET060009	5	15	6	69	720	120
ET060009	6	123	3	69	180	40
ET060009	7	20	3	69	210	40
ET060009	8	55	4	69	120	120
ET060009	9	31	4	95	40	0
ET060010	1	44	1.5	2	555	20
ET060010	2	76	180	1	1620	630
ET060010	3	15	30	1	150	150
ET060010	4	7	2	2	3200	10
ET060011	1	55	5	41	300	140
ET060011	2	44	7	41	1300	50
ET060011	3	8	6	41	1800	90
ET060011	4	47	2	41	600	30
ET060011	6	125	6	41	1140	150
ET060011	7	5	5	41	500	80
ET060012	1	8	2.5	2	2125	170
ET060012	2	20	3.5	2	2275	130
ET060012	3	15	40	1	260	32.5
ET060012	4	79	6.5	2	4550	105
ET060012	5	64	1.5	2	675	22.5
ET060012	6	53	1	2	800	100
ET060012	7	55	4.5	2	900	300
ET060013	1	76	2	9	800	50
ET060013	2	50	5	9	900	300
ET060013	3	79	12	9	2400	38
ET060013	4	44	9	9	1800	50
ET060013	5	5	4	9	700	100
ET060014	1	44	2	40	350	18
ET060014	2	7	1	40	380	4
ET060014	3	76	5	40	2000	503
ET060014	4	79	6	40	2100	60
ET060014	5	50	6	40	900	260
ET060014	6	66	2	40	600	15
ET060016	1	7	1	2	600	6
ET060016	2	44	1	2	600	10
ET060016	3	76	125	1	1125	507
ET060016	4	20	1	2	560	10
ET060016	5	50	5	2	1500	700
ET060016	6	79	125	1	500	30
ET060016	7	125	50	1	300	70
ET060017	1	44	1	2	400	0
ET060017	2	20	30	1	120	0
ET060017	3	5	1	2	400	0
ET060017	4	79	4	2	1400	0
ET060017	5	8	1	2	900	180
ET060017	6	47	60	1	300	0
ET060018	1	44	4	2	1080	180
ET060018	2	7	2.5	2	3000	160
ET060018	3	5	1	2	300	100
ET060018	4	20	3	2	1200	250
ET060018	5	79	2.5	2	915	60
ET060018	6	15	3	2	1200	150
ET060018	7	125	1	2	500	70
ET060018	8	76	1.5	2	1050	405
ET060019	1	44	1	2	360	8
ET060019	2	76	1.5	2	1350	390
ET060019	3	7	100	1	1600	80
ET060019	4	20	1.5	2	750	80
ET060019	5	15	1.2	2	540	100
ET060020	1	44	2	2	800	50
ET060020	2	7	3	2	2100	6
ET060020	3	76	10	69	2000	700
ET060020	4	15	10	69	800	80
ET060020	5	125	2	69	140	50
ET060020	6	50	20	69	3000	1800
ET060021	1	44	1	2	450	25
ET060021	2	79	6	69	480	40
ET060021	3	76	4	69	640	235
ET060021	4	47	40	1	240	40
ET060022	1	44	5	9	800	100
ET060022	2	47	1.5	2	600	100
ET060022	3	75	2	2	1000	200
ET060022	4	76	2.25	2	1900	350
ET060022	5	20	2	2	700	200
ET060022	6	79	5.5	2	1400	250
ET060022	7	55	9	9	750	220
ET060022	8	27	2	64	50	10
ET060023	1	7	4	2	6000	101
ET060023	2	8	70	1	490	155
ET060023	3	20	70	1	315	115
ET060023	4	76	70	1	700	105
ET060023	5	15	0	88	-88	-88
ET060023	6	123	0	88	-88	-88
ET060024	1	44	1	2	460	50
ET060024	2	7	1	2	900	30
ET060024	3	31	30	55	800	250
ET060024	4	8	1	2	900	350
ET060024	5	20	.5	2	325	60
ET060024	6	15	1	2	450	100
ET060024	7	64	.5	2	250	50
ET060025	1	125	50	1	350	64
ET060026	1	44	6	41	2025	280
ET060026	2	124	3	41	900	80
ET060026	3	76	5	41	2000	240
ET060027	1	44	1	41	1200	30
ET060027	2	79	2	41	3000	60
ET060027	3	20	2	41	1200	30
ET060027	4	76	1	41	2000	100
ET060027	5	123	1	41	400	20
ET060027	6	15	2	41	1200	30
ET060027	7	55	400	41	1200	700
ET060028	1	44	10	41	4000	50
ET060030	1	44	1.5	2	240	15
ET060030	2	8	2	2	2000	150
ET060030	3	7	2.5	2	500	10
ET060030	4	20	4	2	400	25
ET060030	5	55	5	2	500	220
ET060030	6	15	4	2	900	240
ET060030	7	76	5	2	5450	650
ET060030	8	5	.25	2	70	40
ET060030	9	64	.25	2	90	30
ET060030	10	50	9	2	2600	350
ET060031	1	64	.5	41	750	37.5
ET060031	2	76	3	41	800	240
ET060031	3	15	2	41	600	150
ET060031	4	7	1	41	600	80
ET060031	5	76	2	41	400	100
ET060032	1	44	1	2	400	60
ET060032	2	7	25	1	375	90
ET060032	3	76	1.6	2	1120	340
ET060032	4	125	25	1	100	16
ET060032	5	5	30	1	140	45
ET060032	6	15	80	1	320	80
ET060032	7	20	120	1	600	330
ET060032	8	50	4	2	1200	960
ET060033	1	44	50	1	250	10
ET060033	2	125	1	2	800	100
ET060033	3	47	30	1	250	30
ET060033	4	79	2	2	1200	50
ET060033	5	15	1.5	2	950	100
ET060033	6	8	50	1	400	40
ET060034	1	44	1.85	2	635	125
ET060034	2	8	1.75	2	1300	350
ET060034	3	20	1.5	2	675	200
ET060034	4	79	2	2	800	200
ET060034	5	15	2	2	800	150
ET060034	6	5	.75	1	300	100
ET060034	7	7	.6	1	600	220
ET060035	1	20	3.25	2	1625	300
ET060035	2	5	1	2	500	150
ET060035	3	125	1	2	500	200
ET060035	4	15	1.5	2	650	150
ET060035	5	55	2	2	200	100
ET060035	6	44	1	2	400	40
ET060035	7	76	2	2	1300	340
ET060036	1	44	2	9	300	50
ET060036	2	55	4	9	240	200
ET060036	3	125	4	9	800	250
ET060036	4	79	8	9	1600	80
ET060037	1	79	4	69	1000	60
ET060037	2	44	5	69	850	40
ET060037	3	20	5	69	1150	35
ET060037	4	76	2	69	800	250
ET060037	5	50	7	2	7000	1127
ET060037	6	26	1	2	500	220
ET060038	1	47	1	2	580	30
ET060038	2	79	2	2	1000	60
ET060038	3	44	2	2	920	60
ET060038	4	55	2	2	600	225
ET060038	5	76	70	1	595	400
ET060038	6	20	1	2	560	140
ET060038	7	15	1	2	600	200
ET060038	8	125	15	1	90	30
ET060038	9	31	33	55	400	0
ET060039	1	44	1	2	600	100
ET060039	2	79	1	2	600	30
ET060039	3	31	30	95	200	0
ET060039	4	125	50	1	250	40
ET060039	5	55	3	2	225	70
ET060039	6	76	2	2	1800	300
ET060039	7	15	60	1	250	150
ET060039	8	20	2	2	1260	70
ET060039	9	7	1	2	2500	120
ET060040	1	44	1	2	300	30
ET060041	1	44	1	2	400	50
ET060041	2	55	1	69	10	70
ET060041	3	76	7	69	980	60
ET060041	4	20	4	69	280	50
ET060041	5	125	3	69	180	260
ET060041	6	47	3	69	114	34
ET060041	7	31	5	95	25	0
ET060041	8	79	0	1	0	60
ET060042	1	8	5	2	4750	495
ET060042	2	20	4	2	3200	450
ET060042	3	125	3	2	2400	240
ET060042	4	27	10	41	260	0
ET060043	1	44	1	2	350	40
ET060043	2	8	5	9	1500	340
ET060043	3	125	1	2	700	80
ET060043	4	55	30	41	2000	100
ET060045	1	79	4	2	1200	60
ET060045	2	125	2	2	1600	320
ET060045	3	15	2	2	1000	200
ET060045	4	8	1	2	800	150
ET060046	1	7	.5	41	2000	400
ET060046	2	5	1	41	1600	320
ET060046	3	76	4	41	2400	320
ET060046	4	31	80	10	800	0
ET060047	1	44	3.5	2	2625	190
ET060047	2	55	3	2	504	84
ET060047	3	8	2	2	1600	410
ET060047	4	5	2	2	1200	440
ET060047	5	47	.5	2	90	60
ET060047	6	64	1.25	2	875	136
ET060048	1	7	1	2	1000	115
ET060048	2	44	2.5	2	1250	60
ET060048	3	79	3	2	1500	40
ET060048	4	5	1	2	450	60
ET060048	5	8	1	2	800	80
ET060049	1	8	3	2	2400	150
ET060049	2	125	2	2	600	150
ET060049	3	20	1.5	2	450	100
ET060050	1	44	1	2	350	20
ET060050	2	55	5	2	500	150
ET060050	3	8	5	2	5000	600
ET060050	4	64	5.5	2	2800	380
ET060050	5	125	1.5	2	800	200
ET060051	1	64	3	41	960	48
ET060051	2	76	2	41	800	200
ET060051	3	20	8	41	2200	165
ET060052	1	27	600	24	1800	0
ET060052	2	17	20	1	800	0
ET060052	3	45	0	88	-88	-88
ET060052	4	96	52	15	208	0
ET060053	1	44	4	2	1800	200
ET060053	2	55	55	9	2750	900
ET060053	3	31	30	55	1000	300
ET060053	4	79	7	2	4200	350
ET060053	5	8	2	2	1600	850
ET060053	6	23	1	2	650	80
ET060053	7	47	1	2	500	150
ET060053	8	50	10	9	1000	450
ET060053	9	5	1	2	500	150
ET060053	10	7	4	9	100	150
ET060054	1	44	2	2	720	100
ET060054	2	7	.1	1	140	40
ET060054	3	8	2	2	1600	360
ET060054	4	79	3.1	2	1230	230
ET060055	1	31	10	55	200	0
ET060055	2	15	2	2	1000	150
ET060055	3	64	5	2	1100	50
ET060055	4	8	5	2	3500	400
ET060055	5	47	.25	2	150	50
ET060055	6	50	5	2	1600	400
ET060055	7	53	2	2	3000	200
ET060056	1	44	3	2	1100	20
ET060056	2	15	1.5	2	750	100
ET060056	3	79	3	2	1050	50
ET060056	4	47	1	2	750	50
ET060056	5	50	6	2	1680	420
ET060056	6	76	3	2	2900	150
ET060056	7	7	4	2	1000	100
ET060059	1	79	1	41	100	20
ET060059	2	76	2	2	1320	190
ET060059	3	46	2	41	300	20
ET060059	4	15	1	2	400	10
ET060060	1	7	4	2	8500	100
ET060060	2	44	3	2	1500	100
ET060060	3	15	3.5	2	3500	150
ET060060	4	79	3	69	400	30
ET060060	5	47	2	69	420	40
ET060060	6	50	12	2	3700	1000
ET060061	1	44	1	2	700	15
ET060061	2	8	2.25	2	1700	140
ET060062	1	64	1	2	300	15
ET060062	2	53	0	88	-88	-88
ET060062	3	7	1	2	1400	15
ET060062	4	47	1.5	2	870	29
ET060062	5	8	1	2	800	313.5
ET060062	6	15	2	2	950	135
ET060062	7	50	6	2	1500	250
ET060063	1	44	.5	2	185	9
ET060063	2	79	70	1	280	40
ET060063	3	125	35	1	175	30
ET060063	4	8	35	1	315	180
ET060063	5	123	35	1	105	20
ET060063	6	20	2.5	2	1125	90
ET060064	1	44	2	2	900	60
ET060064	2	8	10	9	3200	330
ET060064	3	20	11	9	2500	350
ET060064	4	79	8	9	1650	180
ET060064	5	50	7	2	3000	800
ET060064	6	31	40	55	1000	300
ET060065	1	44	2	2	900	14
ET060065	2	55	4	2	560	190
ET060065	3	79	4	2	1880	97
ET060065	4	19	1	2	480	70
ET060065	5	76	1	2	950	320
ET060065	6	26	1.5	2	450	60
ET060066	1	44	1	2	300	50
ET060066	2	17	10	1	100	0
ET060066	3	76	3	69	390	160
ET060066	4	31	1	95	300	0
ET060066	5	76	3	69	390	160
ET060066	6	31	1	95	300	0
ET060066	7	76	1	69	130	40
ET060066	8	47	1	69	150	50
ET060066	9	47	1	69	150	50
ET060067	1	76	120	1	1080	200
ET060067	2	8	30	1	240	80
ET060067	3	44	2	2	1200	20
ET060067	4	47	50	1	225	12
ET060067	5	65	25	1	75	20
ET060068	1	64	5	9	925	40
ET060068	2	79	2	2	800	30
ET060068	3	20	1	2	500	20
ET060068	4	76	1	2	800	200
ET060068	5	79	10	2	4000	70
ET060068	6	55	4	9	400	100
ET060068	7	50	7	2	2100	600
ET060070	1	44	4	41	1100	33
ET060070	2	76	3	41	1200	360
ET060071	1	8	2.5	2	1750	350
ET060071	2	76	1.5	2	1500	400
ET060071	3	20	2.5	2	2500	100
ET060071	4	64	7.5	2	7500	260
ET060071	5	5	2.5	41	750	150
ET060071	6	55	11	2	1210	400
ET060072	1	76	2	2	1800	70
ET060072	2	79	3	2	900	50
ET060072	3	20	2	2	800	30
ET060072	4	44	3	41	200	20
ET060072	5	47	1.5	41	200	30
ET060072	6	55	4	41	160	80
ET060072	7	50	0	88	-88	-88
ET060073	1	44	.5	2	350	0
ET060074	1	44	3	41	1000	35
ET060074	2	76	3	41	1200	345
ET060074	3	79	13	41	2730	142
ET060074	4	53	5	41	1000	200
ET060074	5	79	13	41	2730	345
ET060074	6	26	1000	10	1000	60
ET060074	7	55	10	41	600	150
ET060074	8	53	5	41	1000	150
ET060075	1	19	2.5	9	600	60
ET060075	2	125	3	9	675	80
ET060075	3	75	6.75	2	3325	200
ET060075	4	76	10.5	2	9450	490
ET060075	5	79	7.5	2	3000	40
ET060076	1	20	2	2	400	40
ET060076	2	76	2	2	2000	105
ET060076	3	19	.5	2	250	32
ET060077	1	64	1.5	2	360	30
ET060077	2	9	.5	2	45	5
ET060077	3	55	5	2	600	200
ET060077	4	26	2	2	600	280
ET060077	5	76	3.5	2	3500	200
ET060077	6	79	7.5	2	5250	30
ET060077	7	47	2	2	1000	40
ET060077	8	20	3.5	2	336	20
ET060077	9	31	10	55	270	0
ET060077	10	21	2000	60	1000	100
ET060080	1	44	3	2	1200	120
ET060080	2	55	2	2	600	160
ET060080	3	76	7	2	7000	500
ET060080	4	5	2	2	600	200
ET060080	5	20	1	2	600	60
ET060080	6	26	2	69	120	50
ET060080	7	50	4	2	1000	500
ET060081	1	8	2.5	2	2000	135
ET060081	2	64	5	2	1000	40
ET060081	3	20	4	2	2000	65
ET060082	1	44	1	2	330	30
ET060082	2	8	1	41	400	50
ET060082	3	79	1	2	350	30
ET060083	1	8	25	1	200	0
ET060083	2	55	5	2	450	300
ET060083	3	64	6	2	2400	100
ET060083	4	47	1	2	500	60
ET060083	5	19	50	1	300	80
ET060083	6	8	1.25	2	1000	200
ET060083	7	20	1	2	400	60
ET060084	1	79	6	2	1200	96
ET060084	2	20	5.5	2	2000	32
ET060084	3	76	2	2	1300	24
ET060084	4	50	8	2	2400	780
ET060084	5	8	1	2	400	35
ET060085	1	55	13	41	520	100
ET060085	2	76	5	41	1000	60
ET060085	3	79	14	41	1400	70
ET060085	4	47	3	41	500	33
ET060086	1	64	1.5	2	600	6
ET060086	2	55	2	2	300	76
ET060086	3	47	1	2	400	80
ET060086	4	64	2	41	400	12
ET060087	1	50	2	41	960	360
ET060087	2	79	2.5	41	480	83
ET060087	3	76	1	41	320	90
ET060087	4	47	1	41	225	50
ET060088	1	44	3	2	1800	40
ET060088	2	20	11	69	1100	150
ET060088	3	79	8	69	1400	80
ET060088	4	5	1	69	90	30
ET060088	5	79	4	69	320	80
ET060088	6	76	3	69	440	150
ET060089	1	123	5	2	1750	160
ET060089	2	15	3	2	1200	200
ET060089	3	49	5	2	1500	300
ET060089	4	75	1	2	600	200
ET060091	1	44	1.5	2	750	15
ET060091	2	47	40	1	160	12
ET060091	3	64	3.5	2	1600	80
ET060091	4	125	150	1	750	75
ET060091	5	8	2	2	1440	360
ET060092	1	64	3	2	900	45
ET060092	2	8	2.5	2	2250	270
ET060092	3	64	1	2	300	25
ET060093	1	20	1	2	500	50
ET060093	2	8	.5	2	400	100
ET060094	1	7	5	1	125	50
ET060094	2	55	4	41	180	80
ET060096	1	44	1.5	2	450	50
ET060096	2	76	2	2	1400	250
ET060096	3	20	6	2	3000	150
ET060096	4	79	6	2	2100	90
ET060096	5	31	20	55	1000	0
ET060096	6	50	3	2	600	253
ET060097	1	20	8	9	1300	60
ET060097	2	76	3	9	1050	50
ET060097	3	5	5	9	850	300
ET060097	4	79	10	9	1500	150
ET060098	1	44	5	41	100	20
ET060098	2	50	7	41	500	200
ET060098	3	76	2	2	1800	100
ET060098	4	5	1.5	2	600	100
ET060098	5	27	20	68	120	8
ET060098	6	17	2	41	40	0
ET060098	7	55	3	41	75	37.5
ET060098	8	20	1.5	2	524	36
ET060098	9	79	6.5	2	1440	132
ET060100	1	44	2	41	200	20
ET060100	2	79	23	41	4550	200
ET060100	3	76	4	41	1200	100
ET060100	4	50	10	41	300	20
ET060100	5	47	1	41	150	30
ET060100	6	21	400	56	1500	0
ET070001	1	55	14	2	1640	390
ET070001	2	5	7.75	2	2970	580
ET070001	3	130	1	2	420	105
ET070001	4	42	15	1	47.5	16
ET070002	1	55	10	9	900	100
ET070002	2	50	1	9	400	50
ET070002	3	130	15	9	4200	200
ET070002	4	125	23	9	7700	340
ET070002	5	43	11	9	600	50
ET070002	6	19	3	9	1100	50
ET070002	7	5	9	9	4300	2900
ET070003	1	75	4	9	1400	175
ET070003	2	5	5	9	100	200
ET070003	3	31	52	55	1800	0
ET070004	1	125	4.5	2	1800	270
ET070004	2	75	2	2	1280	268.8
ET070004	3	5	1	2	300	150
ET070004	4	55	8	2	800	200
ET070005	1	5	4	2	1200	100
ET070005	2	130	3	2	1080	66
ET070005	3	55	5	9	250	50
ET070005	4	43	1	9	140	40
ET070006	1	10	2	2	20	2
ET070006	2	26	.25	2	50	0
ET070006	3	130	2.5	2	625	100
ET070006	4	5	2.5	2	500	60
ET070007	1	50	12	1	180	6
ET070007	2	125	3	2	1400	200
ET070007	3	75	9	2	2500	450
ET070007	4	55	10	2	1200	250
ET070007	5	31	15	9	400	60
ET070007	6	5	6	9	1750	260
ET070007	7	43	50	1	300	60
ET070008	1	55	2	2	240	240
ET070008	2	75	13	2	5600	800
ET070008	3	5	2.5	9	640	150
ET070008	4	55	15	2	1350	140
ET070008	5	43	1	9	400	200
ET070008	6	125	2	2	760	250
ET070009	1	5	2	2	2000	320
