CHILDID	PLOTID	CRPRNR31	CRPRNR32	CRPDYR31	CRPDYR32	IRRIGTR3	PERIRRGR3
ET010048	1	41	10	55	41	0	88
ET010048	2	75	888	888	888	0	88
ET010048	3	124	75	888	888	0	88
ET010055	2	15	888	888	888	0	88
ET010055	3	75	888	888	888	0	88
ET010055	4	76	888	888	888	0	88
ET010055	5	76	888	888	888	0	88
ET010056	1	44	10	888	888	0	88
ET010056	2	75	8	888	888	0	88
ET010056	3	8	888	888	888	0	88
ET010056	4	31	888	888	888	0	88
ET010056	5	8	888	888	888	0	88
ET010056	6	123	888	888	888	0	88
ET020016	1	21	888	21	888	0	88
ET020016	2	8	15	888	888	0	88
ET020016	3	8	888	888	888	0	88
ET020016	4	42	123	888	888	0	88
ET020016	5	8	888	888	888	0	88
ET020016	6	8	888	888	888	0	88
ET020022	1	15	888	888	888	0	88
ET020076	2	10	888	888	888	1	4
ET020076	3	31	888	888	888	0	88
ET030096	1	19	35	888	888	0	88
ET030096	2	8	888	888	888	0	88
ET040002	1	42	888	888	888	0	88
ET040009	1	76	888	888	888	0	88
ET040009	2	42	888	888	888	0	88
ET040009	3	130	888	888	888	0	88
ET040011	1	5	888	888	888	0	88
ET040013	2	5	888	888	888	0	88
ET040014	1	124	888	888	888	0	88
ET040015	2	5	888	888	888	0	88
ET040016	2	42	888	888	888	0	88
ET040016	3	5	75	888	888	0	88
ET040016	4	8	130	888	888	0	88
ET040031	2	5	888	888	888	0	88
ET040047	2	76	888	888	888	0	88
ET040047	3	5	888	888	888	0	88
ET040048	1	21	888	888	888	0	88
ET040058	1	5	75	888	888	0	88
ET040058	2	42	49	888	888	0	88
ET040058	3	5	124	888	888	0	88
ET040058	4	5	888	888	888	0	88
ET040059	2	5	888	888	888	0	88
ET040065	2	125	5	888	888	0	88
ET040071	2	75	888	888	888	0	88
ET040075	2	5	888	888	888	0	88
ET040076	1	8	888	888	888	0	88
ET040084	1	50	21	888	888	0	88
ET040084	2	19	75	888	888	0	88
ET040085	2	5	124	888	888	0	88
ET040086	2	8	21	888	888	1	2
ET040086	3	5	888	888	888	0	88
ET040086	4	125	888	888	888	0	88
ET040086	5	19	888	888	888	0	88
ET040086	6	75	888	888	888	0	88
ET040086	7	19	888	888	888	0	88
ET040086	8	42	888	888	888	0	88
ET040086	9	5	888	888	888	0	88
ET040087	2	75	125	5	888	0	88
ET040089	2	888	125	888	888	0	88
ET040089	3	888	8	888	888	0	88
ET050001	2	5	125	888	888	0	88
ET050002	1	5	50	888	888	0	88
ET050002	2	125	130	888	888	0	88
ET050002	3	42	888	888	888	0	88
ET050002	4	125	888	888	888	0	88
ET050002	5	75	888	888	888	0	88
ET050002	6	75	888	888	888	0	88
ET050002	7	75	888	888	888	0	88
ET050004	1	44	888	888	888	0	88
ET050004	2	8	888	888	888	0	88
ET050006	2	125	42	888	888	0	88
ET050008	2	5	125	888	888	0	88
ET050008	3	75	888	888	888	0	88
ET050009	1	44	888	888	888	0	88
ET050009	2	125	888	888	888	0	88
ET050009	3	15	888	888	888	0	88
ET050009	4	8	888	888	888	0	88
ET050010	1	44	888	888	888	0	88
ET050010	2	8	888	888	888	0	88
ET050010	3	8	888	888	888	0	88
ET050010	4	130	888	888	888	0	88
ET050010	5	8	888	888	888	0	88
ET050011	1	44	888	888	888	0	88
ET050011	2	8	888	888	888	0	88
ET050011	3	125	888	888	888	0	88
ET050012	1	130	888	888	888	0	88
ET050012	2	130	125	888	888	0	88
ET050018	3	5	888	888	888	0	88
ET050019	1	44	888	888	888	0	88
ET050019	2	8	125	888	888	0	88
ET050019	3	75	125	888	888	0	88
ET050019	4	8	888	888	888	0	88
ET050020	1	75	888	888	888	0	88
ET050020	2	8	888	888	888	0	88
ET050020	3	125	15	888	888	0	88
ET050020	4	15	43	888	888	0	88
ET050020	5	15	888	888	888	0	88
ET050020	6	125	888	888	888	0	88
ET050020	7	125	888	888	888	0	88
ET050020	8	8	888	888	888	0	88
ET050020	9	8	888	888	888	0	88
ET050020	10	130	888	888	888	0	88
ET050021	1	44	888	888	888	0	88
ET050021	2	8	888	888	888	0	88
ET050021	3	8	888	888	888	0	88
ET050021	4	5	888	888	888	0	88
ET050021	5	130	888	888	888	0	88
ET050022	1	44	888	888	888	0	88
ET050022	2	888	8	888	888	0	88
ET050022	3	5	888	888	888	0	88
ET050023	1	8	888	888	888	0	88
ET050023	3	15	124	888	888	0	88
ET050024	2	125	888	888	888	0	88
ET050024	4	125	888	888	888	0	88
ET050024	5	8	888	888	888	0	88
ET050026	2	5	888	888	888	0	88
ET050026	3	124	888	888	888	0	88
ET050027	1	44	888	888	888	0	88
ET050027	2	76	888	888	888	0	88
ET050027	3	5	888	888	888	0	88
ET050027	4	130	125	888	888	0	88
ET050028	1	8	888	888	888	0	88
ET050028	2	125	888	888	888	0	88
ET050028	3	130	888	888	888	0	88
ET050028	4	15	888	888	888	0	88
ET050031	1	8	888	888	888	0	88
ET050031	2	130	888	888	888	0	88
ET050031	3	130	888	888	888	0	88
ET050031	4	8	888	888	888	0	88
ET050031	5	130	888	888	888	0	88
ET050031	6	43	888	888	888	0	88
ET050031	7	125	888	888	888	0	88
ET050032	1	19	888	888	888	0	88
ET050036	2	124	8	888	888	0	88
ET050036	3	5	888	888	888	0	88
ET050038	1	130	888	888	888	0	88
ET050038	3	8	125	888	888	0	88
ET050038	4	130	888	888	888	0	88
ET050038	5	8	125	888	888	0	88
ET050040	1	75	888	888	888	0	88
ET050040	2	75	888	888	888	0	88
ET050040	3	125	888	888	888	0	88
ET050040	4	125	888	888	888	0	88
ET050040	6	125	888	888	888	0	88
ET050040	7	125	75	888	888	0	88
ET050040	8	8	75	888	888	0	88
ET050040	9	8	15	888	888	0	88
ET050041	2	130	888	888	888	0	88
ET050041	4	8	888	888	888	0	88
ET050042	3	8	888	888	888	0	88
ET050042	4	130	888	888	888	0	88
ET050042	5	5	888	888	888	0	88
ET050043	3	44	7	96	96	0	88
ET050045	1	43	888	888	888	0	88
ET050045	2	125	888	888	888	0	88
ET050045	3	15	888	888	888	1	4
ET050045	4	42	888	888	888	1	4
ET050045	5	125	888	888	888	0	88
ET050045	6	8	125	8	888	1	3
ET050045	7	8	888	8	888	1	4
ET050045	8	75	888	888	888	0	88
ET050045	9	75	888	888	888	0	88
ET050047	2	15	888	888	888	0	88
ET050047	3	125	888	888	888	0	88
ET050048	2	124	8	888	888	0	88
ET050049	2	8	888	888	888	0	88
ET050049	3	125	888	888	888	0	88
ET050051	2	19	888	888	888	0	88
ET050051	3	130	888	888	888	0	88
ET050052	4	8	888	888	888	0	88
ET050057	1	44	888	888	888	0	88
ET050057	4	8	130	888	888	0	88
ET050058	2	8	125	888	888	0	88
ET050059	1	76	15	888	888	0	88
ET050059	2	5	888	888	888	0	88
ET050061	3	125	888	888	888	0	88
ET050066	1	8	888	888	888	0	88
ET050066	2	8	888	888	888	0	88
ET050066	3	8	888	888	888	0	88
ET050066	4	8	888	888	888	0	88
ET050066	5	8	888	888	888	0	88
ET050066	6	44	888	888	888	0	88
ET050067	2	8	888	888	888	0	88
ET050068	2	125	888	888	888	0	88
ET050068	3	75	888	888	888	0	88
ET050073	2	15	888	888	888	0	88
ET050073	3	8	888	888	888	0	88
ET050073	4	130	888	888	888	0	88
ET050077	3	75	888	888	888	0	88
ET050078	2	8	130	888	888	0	88
ET050078	3	125	15	888	888	0	88
ET050079	1	5	888	888	888	0	88
ET050079	2	130	8	888	888	0	88
ET050079	3	125	8	888	888	0	88
ET050079	4	44	888	888	888	0	88
ET050079	5	43	888	888	888	0	88
ET050079	6	125	888	888	888	0	88
ET050079	7	15	888	888	888	0	88
ET050079	8	15	888	888	888	0	88
ET050081	1	44	888	888	888	0	88
ET050081	2	125	888	888	888	0	88
ET050082	2	42	125	888	888	0	88
ET050082	3	75	888	888	888	0	88
ET050082	4	76	888	888	888	0	88
ET050083	2	124	888	888	888	0	88
ET050083	5	8	888	888	888	0	88
ET050084	2	15	8	888	888	0	88
ET050084	3	130	125	888	888	0	88
ET050085	1	125	130	888	888	0	88
ET050085	2	8	15	888	888	0	88
ET050085	3	44	888	888	888	0	88
ET050086	2	8	130	888	888	0	88
ET050086	3	125	888	888	888	0	88
ET050087	2	8	125	888	888	0	88
ET050087	3	130	125	15	888	1	1
ET050087	4	125	888	888	888	0	88
ET050089	2	125	888	888	888	0	88
ET050089	3	130	8	888	888	0	88
ET050090	2	8	124	888	888	0	88
ET050090	3	124	888	888	888	0	88
ET050090	4	5	888	888	888	0	88
ET050091	2	15	888	888	888	0	88
ET050091	3	124	888	888	888	0	88
ET050091	4	15	888	888	888	0	88
ET050091	5	124	888	888	888	0	88
ET050091	6	15	888	888	888	0	88
ET050092	2	125	8	888	888	0	88
ET050093	2	43	125	888	888	0	88
ET050093	3	5	76	888	888	0	88
ET050093	4	42	130	888	888	0	88
ET050094	1	8	888	888	888	0	88
ET050094	2	125	888	888	888	0	88
ET050094	3	15	888	888	888	0	88
ET050094	4	125	888	888	888	0	88
ET050094	5	130	888	888	888	0	88
ET050095	1	8	888	888	888	0	88
ET050095	2	125	888	888	888	0	88
ET050095	3	8	888	888	888	0	88
ET050095	4	125	888	888	888	0	88
ET050095	5	76	888	888	888	0	88
ET050095	6	42	888	888	888	0	88
ET050095	7	76	888	888	888	0	88
ET050095	8	130	888	888	888	0	88
ET050096	1	44	888	888	888	0	88
ET050096	2	124	888	888	888	0	88
ET050096	3	8	888	888	888	0	88
ET050097	1	44	888	888	888	0	88
ET050097	2	5	15	888	888	0	88
ET050097	3	8	888	888	888	0	88
ET050098	2	8	888	888	888	0	88
ET050098	3	8	888	888	888	0	88
ET050098	4	125	888	888	888	0	88
ET050098	5	125	888	888	888	0	88
ET050100	2	125	8	888	888	0	88
ET060002	1	7	888	888	888	0	88
ET060002	2	5	888	888	888	0	88
ET060002	3	15	888	888	888	0	88
ET060002	4	76	888	888	888	0	88
ET060002	5	20	888	888	888	0	88
ET060002	6	76	888	888	888	0	88
ET060003	1	44	888	888	888	0	88
ET060003	2	79	888	888	888	0	88
ET060003	3	76	888	888	888	0	88
ET060003	4	76	888	888	888	0	88
ET060003	5	31	888	888	888	0	88
ET060003	7	76	15	888	888	0	88
ET060003	8	44	888	888	888	0	88
ET060004	1	44	888	888	888	0	88
ET060004	2	7	44	888	888	0	88
ET060004	3	79	888	888	888	0	88
ET060004	4	20	888	888	888	0	88
ET060004	5	8	888	888	888	0	88
ET060004	6	44	888	888	888	0	88
ET060004	7	76	888	888	888	0	88
ET060005	1	7	64	888	888	0	88
ET060005	2	15	76	888	888	0	88
ET060005	3	20	888	888	888	0	88
ET060006	2	55	7	888	888	0	88
ET060006	3	15	888	888	888	0	88
ET060006	4	79	888	888	888	0	88
ET060006	5	79	15	888	888	0	88
ET060006	6	20	15	888	888	0	88
ET060006	7	15	76	888	888	0	88
ET060006	8	888	888	50	888	1	4
ET060007	1	44	20	888	888	0	88
ET060007	2	7	8	888	888	0	88
ET060007	3	19	7	888	888	0	88
ET060007	4	8	20	888	888	0	88
ET060007	5	55	888	888	888	0	88
ET060008	1	44	7	888	888	0	88
ET060008	2	79	888	888	888	0	88
ET060008	3	8	15	888	888	0	88
ET060008	4	8	888	888	888	0	88
ET060008	5	8	888	888	888	0	88
ET060008	6	20	888	888	888	0	88
ET060009	1	44	888	888	888	0	88
ET060009	2	44	888	888	888	0	88
ET060009	3	79	888	888	888	0	88
ET060009	4	7	76	888	888	0	88
ET060009	5	15	123	888	888	0	88
ET060009	6	76	20	888	888	0	88
ET060009	7	15	888	888	888	0	88
ET060009	8	76	888	888	888	0	88
ET060009	9	888	888	55	888	1	4
ET060009	10	31	888	888	888	0	88
ET060010	1	44	888	7	888	1	2
ET060010	2	76	888	888	888	0	88
ET060010	3	15	888	888	888	0	88
ET060010	4	76	888	888	888	0	88
ET060010	5	76	888	888	888	0	88
ET060010	6	76	888	888	888	0	88
ET060011	1	55	44	888	888	0	88
ET060011	2	8	888	888	888	0	88
ET060011	3	47	8	888	888	0	88
ET060011	4	125	5	888	888	0	88
ET060012	2	8	888	888	888	0	88
ET060012	3	20	888	888	888	0	88
ET060012	4	15	888	888	888	0	88
ET060012	5	79	64	55	888	0	88
ET060012	7	53	55	55	888	1	2
ET060012	8	79	888	888	888	0	88
ET060013	1	76	888	50	888	1	1
ET060013	2	79	888	888	888	0	88
ET060013	3	44	888	888	888	0	88
ET060013	4	44	5	888	888	0	88
ET060014	1	44	7	888	888	0	88
ET060014	2	76	888	888	888	0	88
ET060014	4	79	888	888	888	0	88
ET060014	5	888	888	66	50	1	4
ET060014	6	76	888	888	888	0	88
ET060016	1	7	44	888	888	0	88
ET060016	2	76	20	50	888	1	2
ET060016	3	79	125	888	888	0	88
ET060016	4	76	888	888	888	0	88
ET060016	7	76	888	888	888	0	88
ET060017	1	44	888	888	888	0	88
ET060017	2	20	888	888	888	0	88
ET060017	3	5	79	888	888	0	88
ET060017	4	8	47	888	888	0	88
ET060018	1	44	7	888	888	0	88
ET060018	2	5	888	888	888	0	88
ET060018	3	20	79	888	888	0	88
ET060018	4	15	888	888	888	0	88
ET060018	5	125	888	888	888	0	88
ET060018	6	76	888	888	888	0	88
ET060018	7	79	888	888	888	0	88
ET060019	1	44	888	888	888	0	88
ET060019	2	76	888	888	888	0	88
ET060019	3	76	888	888	888	0	88
ET060019	4	7	888	888	888	0	88
ET060019	5	20	76	888	888	0	88
ET060019	6	15	888	888	888	0	88
ET060020	1	44	7	888	888	0	88
ET060020	2	76	15	888	888	0	88
ET060020	3	76	125	888	888	0	88
ET060020	4	15	888	888	888	0	88
ET060020	5	76	888	888	888	0	88
ET060020	6	888	888	50	888	1	4
ET060021	1	44	888	888	888	0	88
ET060021	2	79	888	888	888	0	88
ET060021	3	76	888	888	888	0	88
ET060021	4	47	888	888	888	0	88
ET060022	1	44	7	55	888	1	2
ET060022	2	47	888	888	888	0	88
ET060022	3	75	888	888	888	0	88
ET060022	4	76	888	888	888	0	88
ET060022	5	20	888	888	888	0	88
ET060022	6	79	888	888	888	0	88
ET060022	7	79	888	888	888	0	88
ET060022	8	55	888	888	888	0	88
ET060022	9	55	888	888	888	0	88
ET060022	10	44	888	888	888	0	88
ET060022	11	27	888	888	888	0	88
ET060022	15	76	888	888	888	0	88
ET060023	1	7	888	888	888	0	88
ET060023	2	15	123	888	888	0	88
ET060023	3	8	888	888	888	0	88
ET060023	4	7	888	888	888	0	88
ET060023	5	20	76	888	888	0	88
ET060024	1	44	7	888	888	0	88
ET060024	2	31	888	888	888	0	88
ET060024	3	8	888	888	888	0	88
ET060024	4	20	888	888	888	0	88
ET060024	5	15	888	888	888	0	88
ET060024	6	64	888	888	888	0	88
ET060025	1	125	888	888	888	0	88
ET060026	1	44	888	888	888	0	88
ET060026	2	124	888	888	888	0	88
ET060026	3	76	888	888	888	0	88
ET060026	4	44	888	888	888	0	88
ET060027	1	44	888	888	888	0	88
ET060027	2	79	888	888	888	0	88
ET060027	3	20	888	888	888	0	88
ET060027	4	76	888	888	888	0	88
ET060027	5	123	888	888	888	0	88
ET060027	6	15	888	888	888	0	88
ET060027	7	55	888	55	888	1	1
ET060028	1	44	888	888	888	0	88
ET060030	1	44	888	888	888	0	88
ET060030	2	8	888	888	888	0	88
ET060030	3	7	888	888	888	0	88
ET060030	4	20	888	888	888	0	88
ET060030	5	55	888	888	888	0	88
ET060030	6	15	888	888	888	0	88
ET060030	7	76	888	888	888	0	88
ET060030	8	76	888	888	888	0	88
ET060030	9	15	888	888	888	0	88
ET060030	10	5	888	888	888	0	88
ET060030	11	64	888	888	888	0	88
ET060030	12	50	888	50	888	1	4
ET060031	1	64	888	888	888	0	88
ET060031	2	76	20	888	888	0	88
ET060031	3	15	888	888	888	0	88
ET060031	4	7	888	888	888	0	88
ET060031	5	76	888	888	888	0	88
ET060032	1	44	7	888	888	0	88
ET060032	2	76	888	888	888	0	88
ET060032	3	76	888	888	888	0	88
ET060032	5	125	5	888	888	0	88
ET060032	6	15	888	888	888	0	88
ET060032	7	20	888	50	888	1	2
ET060032	8	20	76	888	888	0	88
ET060033	1	44	888	888	888	0	88
ET060033	2	125	47	888	888	0	88
ET060033	3	79	888	888	888	0	88
ET060033	4	15	888	888	888	0	88
ET060033	5	8	888	888	888	0	88
ET060034	1	44	888	888	888	0	88
ET060034	2	8	20	888	888	0	88
ET060034	3	79	888	888	888	0	88
ET060034	4	15	888	888	888	0	88
ET060034	5	5	888	888	888	0	88
ET060034	6	44	7	7	888	0	88
ET060034	7	8	888	888	888	0	88
ET060035	2	31	888	31	888	0	88
ET060035	3	5	44	888	888	0	88
ET060035	4	125	55	888	888	0	88
ET060035	5	125	888	888	888	0	88
ET060035	6	125	888	888	888	0	88
ET060035	7	76	888	888	888	0	88
ET060035	8	20	76	888	888	0	88
ET060035	9	20	15	888	888	0	88
ET060035	10	31	888	31	888	0	88
ET060036	1	44	888	55	888	1	2
ET060036	2	125	888	888	888	0	88
ET060036	3	79	888	888	888	0	88
ET060036	4	79	888	888	888	0	88
ET060037	1	79	44	888	888	0	88
ET060037	2	20	76	50	26	1	2
ET060038	1	47	888	888	888	0	88
ET060038	2	79	888	888	888	0	88
ET060038	3	44	888	888	888	0	88
ET060038	4	55	888	888	888	0	88
ET060038	5	44	888	888	888	0	88
ET060038	6	76	31	888	888	0	88
ET060038	7	20	888	888	888	0	88
ET060038	8	76	15	888	888	0	88
ET060038	9	125	888	888	888	0	88
ET060039	1	44	888	888	888	0	88
ET060039	2	79	888	888	888	0	88
ET060039	3	31	888	888	888	0	88
ET060039	4	125	888	888	888	0	88
ET060039	5	55	888	888	888	0	88
ET060039	6	76	15	888	888	0	88
ET060039	7	76	20	888	888	0	88
ET060039	8	76	888	888	888	0	88
ET060039	9	7	888	888	888	0	88
ET060040	1	44	888	888	888	0	88
ET060041	1	44	55	888	888	0	88
ET060041	2	76	20	888	888	0	88
ET060041	3	125	888	888	888	0	88
ET060041	4	47	888	888	888	0	88
ET060041	6	31	888	888	888	0	88
ET060041	7	31	888	888	888	0	88
ET060041	8	79	888	888	888	0	88
ET060042	2	8	888	888	888	0	88
ET060042	3	20	888	888	888	0	88
