CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3	SUPRIDR3	SUPEXPR3	SUIMR301	SUIMR302
ET010002	1	7	34	2001	2001	4	80	5	5	88
ET010002	2	12	34	1997	-99	4	0	5	4	88
ET010002	3	13	34	2001	-99	8	80	5	3	88
ET010004	1	12	34	1990	-99	4	7	4	9	88
ET010006	1	7	6	2000	-99	4	80	4	3	88
ET010008	1	12	34	2002	-99	77	0	2	4	88
ET010010	1	12	34	1996	-99	4	80	4	4	88
ET010011	1	12	34	1996	-99	4	15	3	5	88
ET010012	1	12	34	1996	-99	4	6	3	5	88
ET010014	1	13	36	2002	-99	5	80	3	1	88
ET010015	1	12	34	1995	-99	4	4	1	9	88
ET010023	1	12	34	2002	-99	4	0	4	4	88
ET010026	1	12	34	1999	-99	4	0	2	4	88
ET010028	1	9	6	1998	-99	10	2	4	5	88
ET010028	2	8	6	1999	-99	10	2	4	5	88
ET010031	1	12	34	1997	-99	4	15	4	9	88
ET010035	1	12	34	1995	-99	4	5	2	9	88
ET010036	1	16	34	1995	-99	4	3	4	9	88
ET010038	1	12	34	1997	-99	4	15	1	9	88
ET010041	1	12	34	1984	-99	4	80	5	9	88
ET010042	1	12	34	2000	-99	4	0	2	4	88
ET010043	1	12	34	1994	-99	4	7	1	9	88
ET010044	1	12	34	1995	-99	4	7	3	9	88
ET010045	1	12	15	1999	-99	4	4	4	9	88
ET010046	1	12	34	1999	-99	6	80	3	4	88
ET010048	1	9	6	2001	-99	9	80	4	3	5
ET010048	2	1	5	1995	-99	10	80	4	2	88
ET010048	3	8	6	1999	-99	9	80	5	3	5
ET010049	1	12	34	1988	-99	4	3	3	9	88
ET010050	1	12	34	1999	-99	4	0	2	9	88
ET010051	1	12	34	1992	-99	4	0	4	4	88
ET010052	1	12	34	1995	-99	4	80	3	4	88
ET010055	1	1	5	-77	-99	5	6	4	2	88
ET010055	2	14	39	1998	-99	10	6	4	2	88
ET010056	1	1	5	1999	-99	3	80	4	1	88
ET010056	2	9	6	1999	-99	3	80	4	5	88
ET010057	1	12	34	2000	-99	4	15	4	9	88
ET010057	2	7	34	2002	-99	4	80	4	5	88
ET010059	1	12	34	1990	-99	4	6	4	9	88
ET010060	1	12	34	2002	-99	4	0	2	4	88
ET010063	1	18	34	1985	2001	10	9	5	9	88
ET010064	1	12	34	1990	-99	4	2	3	9	88
ET010067	1	12	34	1990	-99	4	3	4	9	88
ET010071	1	12	34	1999	-99	5	0	4	4	88
ET010072	1	12	34	1981	-99	5	80	4	9	88
ET010073	1	12	34	1999	-99	10	0	4	4	88
ET010075	1	12	34	2001	-99	4	0	3	4	88
ET010076	1	12	34	1990	-99	4	9	4	9	88
ET010077	1	12	34	1999	-99	4	0	4	4	88
ET010079	1	12	34	1999	-99	4	0	3	4	88
ET010080	1	11	15	2001	-99	10	3	4	1	88
ET010080	2	12	34	1997	-99	4	0	1	4	88
