CHILDID	WORKID	ACTR3	ACTOWNR3	ACTMNYR3	ACTHPYR3
ET200067	2	7	1	0	4
ET200068	1	7	1	0	5
ET200069	1	7	1	0	4
ET200070	1	7	1	0	4
ET200070	2	24	1	0	4
ET200071	1	24	1	0	1
ET200071	2	7	1	0	3
ET200072	1	7	1	0	4
ET200073	1	7	1	0	5
ET200074	1	7	1	0	5
ET200075	1	7	1	0	4
ET200075	2	24	1	0	5
ET200076	1	7	1	0	5
ET200077	1	7	1	0	5
ET200078	1	24	1	0	5
ET200079	1	24	1	0	88
ET200080	1	7	1	0	1
ET200081	1	7	1	0	4
ET200082	1	7	1	0	4
ET200083	1	24	1	0	5
ET200084	1	7	1	0	5
ET200085	1	7	1	0	5
ET200086	1	7	1	0	1
ET200087	1	24	1	0	5
ET200087	2	7	1	0	5
ET200088	1	7	1	0	88
ET200088	2	24	1	0	88
ET200089	1	24	1	0	4
ET200089	2	20	1	0	4
ET200090	1	7	1	0	4
ET200091	1	7	1	0	5
ET200092	1	7	1	0	5
ET200092	2	24	1	0	5
ET200093	1	7	1	0	4
ET200094	1	7	1	0	5
ET200095	1	24	1	0	5
ET200096	1	24	1	0	5
ET200096	2	20	1	0	5
ET200096	3	7	1	0	5
ET200097	1	7	1	0	5
ET200098	1	7	1	0	4
ET200100	1	7	1	0	5
