CHILDCODE	GNINIDR4	IMPMEMR4	MEMPEBR4
18001	1	1	10
18001	2	3	7
18001	3	0	3
18002	1	1	16
18002	2	2	4
18003	1	0	10
18003	2	1	10
18004	1	21	20
18005	1	5	11
18005	2	0	9
18006	1	10	12
18006	2	2	8
18007	1	1	7
18007	2	2	7
18007	3	3	6
18008	1	3	10
18008	2	7	8
18008	3	1	2
18009	1	2	20
18010	1	0	6
18010	2	1	8
18010	3	2	6
18011	1	18	20
18012	1	2	20
18013	1	1	15
18013	2	2	5
18015	1	1	10
18015	2	3	5
18015	3	0	5
18016	1	1	13
18016	2	3	4
18016	3	2	3
18017	1	0	11
18017	2	2	9
18018	1	7	20
18019	1	1	15
18019	2	0	5
18020	1	1	20
18021	1	2	8
18021	2	5	5
18021	3	3	4
18021	4	4	3
18022	1	16	20
18023	1	1	8
18023	2	0	6
18023	3	4	6
18024	1	1	12
18024	2	2	8
18025	1	2	13
18025	2	1	6
18025	3	2	1
18026	1	2	7
18026	2	3	7
18026	3	0	6
18027	1	19	20
18028	1	1	9
18028	2	4	6
18028	3	0	5
18029	1	1	10
18029	2	2	7
18029	3	0	3
18030	1	1	20
18031	1	20	13
18031	2	3	4
18031	3	0	3
18032	1	6	20
18034	1	1	12
18034	2	2	8
18035	1	3	14
18035	2	2	6
18036	1	23	13
18036	2	22	6
18036	3	0	1
18037	1	1	20
18038	1	0	20
18039	1	1	10
18039	2	2	6
18039	3	0	4
18040	1	2	12
18040	2	0	8
18041	1	2	12
18041	2	1	8
18042	1	1	10
18042	2	2	5
18042	3	0	5
18043	1	2	8
18043	2	1	4
18043	3	10	3
18043	4	7	2
18043	5	11	2
18043	6	0	1
18044	1	1	10
18044	2	0	6
18044	3	4	4
18045	1	16	20
18047	1	7	13
18047	2	0	7
18048	1	1	20
18049	1	1	15
18049	2	2	5
18050	1	2	12
18050	2	1	7
18050	3	0	1
28001	1	1	13
28001	2	3	5
28001	3	0	2
28002	1	1	18
28002	2	2	2
28003	1	1	17
28003	2	3	3
28004	1	4	7
28004	2	1	5
28004	3	0	5
28004	4	15	3
28006	1	1	12
28006	2	3	4
28006	3	0	2
28006	4	2	2
28007	1	1	20
28008	1	1	17
28008	2	0	1
28008	3	2	2
28009	1	1	12
28009	2	6	8
28011	1	18	14
28011	2	1	6
28012	1	1	15
28012	2	0	5
28013	1	1	17
28013	2	3	2
28013	3	0	1
28014	1	4	20
28015	1	1	16
28015	2	3	4
28016	1	1	6
28016	2	2	3
28016	3	3	4
28016	4	5	4
28016	5	0	3
28017	1	1	11
28017	2	1	9
28018	1	1	12
28018	2	0	8
28020	1	1	13
28020	2	0	3
28020	3	4	2
28020	4	3	2
28021	1	3	15
28021	2	4	2
28021	3	1	2
28021	4	0	1
28022	1	1	11
28022	2	3	6
28022	3	0	3
28023	1	1	7
28023	2	2	5
28023	3	6	4
28023	4	0	2
28023	5	3	2
28024	1	1	10
28024	2	0	6
28024	3	2	4
28025	1	7	20
38001	1	0	20
38002	1	0	4
38002	2	3	4
38002	3	5	4
38002	4	6	5
38002	5	15	3
38003	1	21	9
38003	2	19	6
38003	3	23	5
38004	1	1	6
38004	2	4	6
38004	3	0	4
38004	4	3	4
38005	1	1	15
38005	2	2	1
38005	3	20	4
38006	1	0	10
38006	2	4	10
38007	1	1	11
38007	2	0	9
38008	1	0	20
38010	1	1	14
38010	2	0	6
38011	1	1	8
38011	2	2	6
38011	3	1	3
38011	4	1	3
38012	1	1	17
38012	2	2	3
38013	1	1	20
38015	1	3	10
38015	2	2	8
38015	3	4	2
38017	1	13	20
38019	1	0	20
38020	1	0	10
38020	2	1	10
38021	1	0	20
38022	1	1	14
38022	2	6	6
38023	1	1	11
38023	2	2	9
38024	1	0	11
38024	2	3	9
38025	1	1	20
48001	1	6	16
48001	2	0	3
48001	3	7	1
48002	1	7	18
48002	2	0	2
48004	1	1	13
48004	2	3	7
48005	1	0	4
48005	2	1	4
48005	3	3	3
48005	4	4	3
48005	5	6	6
48006	1	1	14
48006	2	4	4
48006	3	2	2
48007	1	2	20
48008	1	5	18
48008	2	0	2
48009	1	1	18
48009	2	0	2
48010	1	1	18
48010	2	2	2
48011	1	1	12
48011	2	17	8
48013	1	1	15
48013	2	0	5
48014	1	0	20
48015	1	1	15
48015	2	0	5
48016	1	1	18
48016	2	1	2
48017	1	2	20
48018	1	1	12
48018	2	20	8
48019	1	1	14
48019	2	0	4
48019	3	5	1
48019	4	4	1
48020	1	1	12
48020	2	2	8
48021	1	0	20
48022	1	1	20
48023	1	24	15
48023	2	25	5
48024	1	0	20
48025	1	1	15
48025	2	0	3
48025	3	2	2
48026	1	1	10
48026	2	3	7
48026	3	1	3
58002	1	1	8
58002	2	0	6
58002	3	3	6
58003	1	1	14
58003	2	3	6
58004	1	0	20
58006	1	2	12
58006	2	0	5
58006	3	3	3
58007	1	0	20
58008	1	1	17
58008	2	2	3
58011	1	1	10
58011	2	2	5
58011	3	3	3
58011	4	0	2
58012	1	1	16
58012	2	3	4
58013	1	1	7
58013	2	2	7
58013	3	0	6
58014	1	1	20
58015	1	15	12
58015	2	21	8
58016	1	1	9
58016	2	0	6
58016	3	5	5
58017	1	0	20
58019	1	1	14
58019	2	2	6
58020	1	0	7
58020	2	23	8
58020	3	25	5
58021	1	1	10
58021	2	0	6
58021	3	2	4
58022	1	0	20
58023	1	1	20
58025	1	3	12
58025	2	1	8
58026	1	1	11
58026	2	16	9
58027	1	2	12
58027	2	1	5
58027	3	3	3
58028	1	0	20
58029	1	0	7
58029	2	8	6
58029	3	13	7
58030	1	0	20
68001	1	1	13
68001	2	2	7
68002	1	5	20
68003	1	1	13
68003	2	3	5
68003	3	2	2
68004	1	1	10
68004	2	2	10
68005	1	25	16
68005	2	0	4
68006	1	2	20
68007	1	1	20
68008	1	1	14
68008	2	2	4
68008	3	0	2
68009	1	2	10
68009	2	1	10
68010	1	3	14
68010	2	2	6
68011	1	4	13
68011	2	2	4
68011	3	6	3
68012	1	7	20
68013	1	1	20
68015	1	1	12
68015	2	0	6
68015	3	2	2
68016	1	1	10
68016	2	2	9
68016	3	0	1
68017	1	16	20
68018	1	8	15
68018	2	0	5
68019	1	1	11
68019	2	2	9
68020	1	1	9
68020	2	7	7
68020	3	3	4
68021	1	2	20
68022	1	0	12
68022	2	1	8
68023	1	4	18
68023	2	0	2
68024	1	1	14
68024	2	2	6
68025	1	1	12
68025	2	6	8
78001	1	2	12
78001	2	1	8
78002	1	1	15
78002	2	0	5
78003	1	1	12
78003	2	0	5
78003	3	2	3
78005	1	2	20
78006	1	2	10
78006	2	18	9
78006	3	0	1
