CHILDCODE	RNKINCR4	IMPACTR4	INCPEBR4
68013	1	12	20
68015	1	7	16
68015	2	9	4
68016	1	9	12
68016	2	12	8
68017	1	11	20
68018	1	7	7
68018	2	6	7
68018	3	12	6
68019	1	12	20
68020	1	12	14
68020	2	1	6
68021	1	7	20
68022	1	12	12
68022	2	7	8
68023	1	12	18
68023	2	6	2
68024	1	6	14
68024	2	7	6
68025	1	7	12
68025	2	12	8
78001	1	11	8
78001	2	7	12
78002	1	8	15
78002	2	9	5
78003	1	7	14
78003	2	12	6
78005	1	9	4
78005	2	12	16
78006	1	12	9
78006	2	12	9
78006	3	12	1
78006	4	12	1
78007	1	12	20
78008	1	7	18
78008	2	6	1
78008	3	10	1
78009	1	12	10
78009	2	10	4
78009	3	12	6
78010	1	12	17
78010	2	12	3
78011	1	7	20
78012	1	12	18
78012	2	10	2
78013	1	7	8
78013	2	12	12
78014	1	9	14
78014	2	7	6
78015	1	12	5
78015	2	12	4
78015	3	12	4
78015	4	12	3
78015	5	12	2
78015	6	9	2
78016	1	7	12
78016	2	9	8
78017	1	8	15
78017	2	9	5
78018	1	12	20
78019	1	12	20
78020	1	7	14
78020	2	12	6
78021	1	6	9
78021	2	7	11
78022	1	12	12
78022	2	12	7
78022	4	9	1
78024	1	12	20
78026	1	12	12
78026	2	9	8
78027	1	12	14
78027	2	7	5
78027	3	1	1
78028	1	12	14
78028	2	7	6
78029	1	7	9
78029	2	12	11
78030	1	12	20
78031	2	6	14
78031	3	12	6
78032	1	12	12
78032	2	7	8
78033	1	12	20
78034	1	12	20
78035	1	12	14
78035	2	7	6
78036	1	12	13
78036	2	12	7
78037	1	6	15
78037	2	9	5
78038	1	7	12
78038	2	11	8
78039	1	9	20
78040	1	12	12
78040	2	12	8
78041	1	7	15
78041	2	12	3
78041	3	9	2
78042	1	7	20
78043	1	6	12
78043	2	7	8
78044	1	12	20
78045	1	7	2
78045	2	12	18
78046	1	12	20
78047	1	9	5
78047	2	12	15
78048	1	12	15
78048	2	9	5
78049	1	7	15
78049	2	9	5
78050	1	7	20
78051	1	8	18
78051	2	12	2
78052	1	7	15
78052	2	9	5
88001	1	12	12
88001	2	12	6
88001	3	7	2
88002	1	9	20
88003	1	9	13
88003	2	12	7
88004	1	12	10
88004	2	12	3
88004	3	7	3
88004	4	9	3
88004	5	10	1
88005	1	12	20
88007	1	7	5
88007	2	12	15
88008	1	8	15
88008	2	6	5
88009	1	12	11
88009	2	7	9
88010	1	6	20
88011	1	6	12
88011	2	9	6
88011	3	10	2
88012	1	7	20
88013	1	9	20
88014	1	8	15
88014	2	12	5
88015	1	6	17
88015	2	12	3
88016	1	8	7
88016	2	12	11
88016	4	9	2
88017	1	8	20
88019	1	12	20
88020	1	7	9
88020	2	9	6
88020	3	12	5
88021	1	6	10
88021	2	10	5
88021	3	12	5
88022	1	7	14
88022	2	10	6
88024	1	8	20
88025	1	12	20
88026	1	12	12
88026	2	9	8
88027	1	9	20
88028	1	12	12
88028	2	7	8
88029	1	8	20
88031	1	6	8
88031	2	12	12
98001	1	12	20
98002	1	1	16
98002	2	2	4
98004	1	12	20
98006	1	2	20
98007	1	12	20
98008	1	12	13
98008	2	12	7
98009	1	1	13
98009	2	2	7
98010	1	1	14
98010	2	2	6
98011	1	1	16
98011	2	11	4
98012	1	12	20
98013	1	8	6
98013	2	12	5
98013	3	11	4
98013	4	2	3
98013	5	1	2
98014	1	12	16
98014	2	6	4
98015	1	12	15
98015	2	7	5
98016	1	12	20
98017	1	1	12
98017	2	12	8
98018	1	8	17
98018	2	12	2
98018	3	7	1
98020	1	1	18
98020	2	12	2
98022	1	1	15
98022	2	11	5
98023	1	1	20
98024	1	11	20
98025	1	11	11
98025	2	2	5
98025	3	1	4
98026	1	12	20
98028	1	1	20
98029	1	11	18
98029	2	11	2
108002	1	7	14
108002	2	9	6
108003	1	12	20
108004	1	12	15
108004	2	6	5
108006	1	12	20
108007	1	7	20
108008	1	9	9
108008	2	12	6
108008	3	9	5
108009	1	6	15
108009	2	7	5
108011	1	12	20
108013	1	10	20
108016	1	6	12
108016	2	7	8
108017	1	12	8
108017	2	12	7
108017	3	12	5
108018	1	9	15
108018	2	6	5
108020	1	7	13
108020	2	12	4
108020	3	6	3
108021	1	11	20
108022	1	12	20
108023	1	12	12
108023	2	9	7
108023	3	9	1
108024	1	12	9
108024	2	12	6
108024	3	10	5
108025	1	6	11
108025	2	8	5
108025	3	7	4
108026	1	8	10
108026	2	9	10
108028	1	9	10
108028	2	8	7
108028	3	12	3
108029	1	7	12
108029	2	7	8
118001	1	12	20
118002	1	7	10
118002	2	9	6
118002	3	1	3
118002	4	2	1
118005	1	9	10
118005	2	12	10
118006	1	1	10
118006	2	2	3
118006	3	12	7
118007	1	6	20
118009	1	1	19
118009	2	6	1
118011	1	6	12
118011	2	12	8
118013	1	1	20
118014	2	12	20
118015	1	1	14
118015	2	2	6
118017	1	1	20
118018	1	2	11
118018	2	12	4
118018	3	7	5
118019	1	1	10
118019	2	1	10
118020	1	11	13
118020	2	10	7
118022	1	12	20
118023	1	12	8
118023	2	1	7
118023	3	11	5
118027	1	12	20
118028	1	1	10
118028	2	11	5
118028	3	12	5
118029	1	12	8
118029	2	12	7
118029	3	7	5
128002	1	7	13
128002	2	12	7
128003	1	12	14
128003	2	8	4
128003	3	9	2
128004	1	7	7
128004	2	7	7
128004	3	7	4
128004	4	7	2
128005	1	12	10
128005	2	9	6
128005	3	10	4
128006	1	12	10
128006	2	10	10
128007	1	9	12
128007	2	12	8
128008	1	12	12
128008	2	7	8
128009	1	9	19
128009	2	10	1
128010	1	12	12
128010	2	9	8
128011	1	9	20
128012	1	12	20
128013	1	12	19
128013	2	6	1
128014	1	12	20
128015	1	6	11
128015	2	7	9
128016	3	10	10
128016	4	12	6
128016	5	7	4
128017	1	7	7
128017	2	12	5
128017	3	7	5
128017	4	12	3
128019	1	12	20
128020	1	12	14
128020	2	12	6
128021	1	6	18
128021	2	12	2
128022	1	12	9
128022	2	12	6
128022	3	7	5
128023	1	7	18
128023	2	9	2
128024	1	9	11
128024	2	12	9
128026	1	7	5
128026	2	7	5
128026	3	12	5
128026	4	12	5
128027	1	9	15
128027	2	12	5
128028	1	6	10
128028	2	12	6
128028	3	7	4
128030	1	7	18
128030	2	12	2
128031	1	12	15
128031	2	9	5
128032	1	10	13
128032	2	6	6
128032	3	9	1
128033	1	8	12
128033	2	12	5
128033	3	9	3
128034	1	12	20
128037	1	6	10
128037	2	9	6
128037	3	12	4
128038	1	12	15
128038	2	9	5
128039	1	12	16
128039	2	7	4
128040	1	12	12
128040	2	7	6
128040	3	9	2
128041	1	9	6
128041	2	12	4
128041	3	6	4
128041	4	12	4
128041	5	12	2
128042	1	7	9
128042	2	7	7
128042	3	1	4
128043	1	12	17
128043	2	7	3
128044	1	7	8
128044	2	12	5
128044	3	12	4
128044	4	12	3
128045	1	9	9
128045	2	12	7
128045	3	7	4
128046	1	12	9
128046	2	7	7
128046	3	9	4
128047	1	12	6
128047	2	6	6
128047	3	6	3
128047	4	6	3
128047	5	12	2
128048	1	12	7
128048	2	12	6
128048	3	7	5
128048	4	12	2
128049	1	6	8
128049	2	7	7
128049	3	7	5
128050	1	9	10
128050	2	7	7
128050	3	12	2
128050	4	12	1
128051	1	12	20
138002	1	7	11
138002	2	12	9
138004	1	12	16
138004	3	7	4
138005	1	7	14
138005	2	12	6
138007	1	7	8
138007	2	12	7
138007	3	8	5
138008	1	8	15
138008	2	7	5
138009	1	8	10
138009	2	10	10
138011	1	12	20
138012	1	12	18
138012	4	8	2
138013	1	9	14
138013	2	12	6
138014	1	8	20
138015	1	12	15
138015	2	7	5
138016	1	5	10
138016	2	9	7
138016	3	12	3
138017	1	7	4
138017	2	9	10
138017	3	6	6
138018	1	9	20
138021	1	9	8
138021	2	12	7
138021	3	12	5
138023	1	6	13
138023	2	12	7
138024	1	9	13
138024	2	9	4
138024	3	9	3
138025	1	12	20
138027	1	12	20
138029	1	6	15
138029	2	12	5
138030	1	7	16
138030	2	7	4
138031	1	12	12
138031	2	6	8
138033	1	9	13
138033	3	12	4
138033	4	10	3
138036	1	12	15
138036	2	9	3
138036	3	8	2
138037	1	12	12
138037	2	7	8
138038	1	9	18
138038	2	8	2
138039	1	7	9
138039	2	9	11
138040	1	12	20
138041	1	6	9
138041	2	7	7
138041	3	12	4
138042	1	9	18
138042	2	12	2
138044	1	8	20
138045	1	12	20
138046	1	12	10
138046	2	5	6
138046	3	12	4
138047	1	7	12
138047	2	8	5
138047	3	12	3
138048	1	12	12
138048	2	9	8
138049	1	12	7
138049	2	12	6
138049	3	12	3
138049	4	12	4
