CHILDCODE	IMEVIDR4	RKEVR4	PR2009R4	PR2010R4	PR2011R4	PR2012R4	PR2013R4
18001	1	40	 	 	 	4	 
18001	2	45	 	 	1	 	 
18001	3	98	 	 	 	 	 
18002	1	45	 	 	4	 	 
18002	2	1	 	 	 	4	 
18002	3	69	 	 	 	2	 
18003	1	38	 	 	 	 	4
18003	2	37	 	 	 	 	4
18003	3	28	 	 	 	 	4
18004	1	45	 	 	 	 	4
18004	2	98	 	 	 	 	 
18004	3	98	 	 	 	 	 
18005	1	45	 	 	4	 	 
18005	2	98	 	 	 	 	 
18005	3	98	 	 	 	 	 
18006	1	39	 	 	4	4	 
18006	2	98	 	 	 	 	 
18006	3	98	 	 	 	 	 
18007	1	36	 	 	4	 	 
18007	2	39	 	 	3	 	 
18007	3	98	 	 	 	 	 
18008	1	98	 	 	 	 	 
18008	2	98	 	 	 	 	 
18008	3	98	 	 	 	 	 
18009	1	40	 	4	 	 	 
18009	2	41	 	 	 	1	 
18009	3	98	 	 	 	 	 
18010	1	39	 	 	 	4	 
18010	2	98	 	 	 	 	 
18010	3	98	 	 	 	 	 
18011	1	98	 	 	 	 	 
18011	2	98	 	 	 	 	 
18011	3	98	 	 	 	 	 
18012	1	69	 	 	4	4	 
18012	2	62	 	4	 	 	 
18012	3	39	 	 	 	 	2
18013	1	45	 	 	 	 	3
18013	2	41	 	 	 	 	3
18013	3	98	 	 	 	 	 
18015	1	37	 	 	 	 	4
18015	2	69	 	 	 	4	 
18015	3	39	 	 	 	3	 
18016	1	25	 	 	 	4	 
18016	2	98	 	 	 	 	 
18016	3	98	 	 	 	 	 
18017	1	46	 	 	 	 	3
18017	2	40	 	 	 	 	1
18017	3	45	 	4	 	 	 
18018	1	45	 	 	4	 	 
18018	2	1	 	 	 	 	3
18018	3	2	 	 	 	 	2
18019	1	98	 	 	 	 	 
18019	2	98	 	 	 	 	 
18019	3	98	 	 	 	 	 
18020	1	98	 	 	 	 	 
18020	2	98	 	 	 	 	 
18020	3	98	 	 	 	 	 
18021	1	38	 	 	 	 	3
18021	2	45	 	 	 	 	2
18021	3	98	 	 	 	 	 
18022	1	98	 	 	 	 	 
18022	2	98	 	 	 	 	 
18022	3	98	 	 	 	 	 
18023	1	98	 	 	 	 	 
18023	2	98	 	 	 	 	 
18023	3	98	 	 	 	 	 
18024	1	38	4	4	4	4	4
18024	2	98	 	 	 	 	 
18024	3	98	 	 	 	 	 
18025	1	69	 	 	 	 	4
18025	2	98	 	 	 	 	 
18025	3	98	 	 	 	 	 
18026	1	98	 	 	 	 	 
18026	2	98	 	 	 	 	 
18026	3	98	 	 	 	 	 
18027	1	98	 	 	 	 	 
18027	2	98	 	 	 	 	 
18027	3	98	 	 	 	 	 
18028	1	98	 	 	 	 	 
18028	2	98	 	 	 	 	 
18028	3	98	 	 	 	 	 
18029	1	39	 	 	4	 	 
18029	2	38	 	 	 	3	 
18029	3	5	 	 	2	 	 
18030	1	98	 	 	 	 	 
18030	2	98	 	 	 	 	 
18030	3	98	 	 	 	 	 
18031	1	62	4	 	 	 	 
18031	2	98	 	 	 	 	 
18031	3	98	 	 	 	 	 
18032	1	45	 	 	4	 	 
18032	2	98	 	 	 	 	 
18032	3	98	 	 	 	 	 
18034	1	2	 	4	 	 	 
18034	2	45	 	 	 	 	4
18034	3	98	 	 	 	 	 
18035	1	98	 	 	 	 	 
18035	2	98	 	 	 	 	 
18035	3	98	 	 	 	 	 
18036	1	69	 	 	 	 	4
18036	2	45	 	 	 	2	 
18036	3	98	 	 	 	 	 
18037	1	98	 	 	 	 	 
18037	2	98	 	 	 	 	 
18037	3	98	 	 	 	 	 
18038	1	98	 	 	 	 	 
18038	2	98	 	 	 	 	 
18038	3	98	 	 	 	 	 
18039	1	62	 	 	4	 	 
18039	2	98	 	 	 	 	 
18039	3	98	 	 	 	 	 
18040	1	39	 	 	 	2	2
18040	2	98	 	 	 	 	 
18040	3	98	 	 	 	 	 
18041	1	37	 	 	 	 	2
18041	2	2	 	 	 	4	 
18041	3	42	 	 	 	2	2
18042	1	37	 	 	 	2	 
18042	2	2	 	 	1	 	 
18042	3	98	 	 	 	 	 
18043	1	39	 	 	 	2	2
18043	2	36	 	 	 	3	 
18043	3	41	 	2	 	 	 
18044	1	35	 	 	4	 	 
18044	2	98	 	 	 	 	 
18044	3	98	 	 	 	 	 
18045	1	41	 	 	 	2	 
18045	2	98	 	 	 	 	 
18045	3	98	 	 	 	 	 
18046	1	98	 	 	 	 	 
18046	2	98	 	 	 	 	 
18046	3	98	 	 	 	 	 
18047	1	45	 	 	 	 	1
18047	2	46	 	 	 	3	 
18047	3	98	 	 	 	 	 
18048	1	35	 	 	 	4	 
18048	2	29	 	 	 	4	 
18048	3	38	 	 	4	 	 
18049	1	42	 	 	 	1	 
18049	2	98	 	 	 	 	 
18049	3	98	 	 	 	 	 
18050	1	38	 	 	 	2	 
18050	2	40	 	 	 	4	 
18050	3	46	 	 	4	4	4
28001	1	98	 	 	 	 	 
28001	2	98	 	 	 	 	 
28001	3	98	 	 	 	 	 
28002	1	98	 	 	 	 	 
28002	2	98	 	 	 	 	 
28002	3	98	 	 	 	 	 
28003	1	38	 	 	 	4	 
28003	2	98	 	 	 	 	 
