CHILDCODE	NONFODR4	BGHTR4	SPYRR4
18034	4	0	 
18034	5	0	 
18034	6	0	 
18034	7	1	50
18034	8	0	 
18034	17	1	60
18034	23	0	 
18034	30	0	 
18034	31	0	 
18035	1	1	400
18035	2	1	100
18035	3	1	50
18035	4	0	 
18035	5	1	400
18035	6	1	140
18035	7	1	70
18035	8	0	 
18035	17	0	 
18035	23	0	 
18035	30	1	500
18035	31	1	50
18036	1	1	500
18036	2	1	700
18036	3	0	 
18036	4	1	800
18036	5	1	400
18036	6	1	400
18036	7	0	 
18036	8	1	200
18036	17	1	13
18036	23	0	 
18036	30	0	 
18036	31	0	 
18037	1	1	800
18037	2	1	500
18037	3	0	 
18037	4	0	 
18037	5	1	400
18037	6	1	400
18037	7	0	 
18037	8	0	 
18037	17	0	 
18037	23	0	 
18037	30	0	 
18037	31	0	 
18038	1	1	2000
18038	2	0	 
18038	3	0	 
18038	4	0	 
18038	5	1	1000
18038	6	0	 
18038	7	0	 
18038	8	0	 
18038	17	1	300
18038	23	0	 
18038	30	0	 
18038	31	0	 
18039	1	1	150
18039	2	1	120
18039	3	1	200
18039	4	1	300
18039	5	1	200
18039	6	1	100
18039	7	1	150
18039	8	1	80
18039	17	1	60
18039	23	0	 
18039	30	1	270
18039	31	1	500
18040	1	1	100
18040	2	1	150
18040	3	0	 
18040	4	0	 
18040	5	1	60
18040	6	0	 
18040	7	0	 
18040	8	0	 
18040	17	0	 
18040	23	0	 
18040	30	0	 
18040	31	0	 
18041	1	1	300
18041	2	1	50
18041	3	0	 
18041	4	0	 
18041	5	1	75
18041	6	1	15
18041	7	0	 
18041	8	0	 
18041	17	1	200
18041	23	0	 
18041	30	1	350
18041	31	0	 
18042	1	1	380
18042	2	1	600
18042	3	0	 
18042	4	0	 
18042	5	1	300
18042	6	1	300
18042	7	0	 
18042	8	0	 
18042	17	1	600
18042	23	0	 
18042	30	1	600
18042	31	0	 
18043	1	1	800
18043	2	1	1000
18043	3	1	200
18043	4	0	 
18043	5	1	300
18043	6	1	400
18043	7	1	100
18043	8	0	 
18043	17	1	1500
18043	23	0	 
18043	30	0	 
18043	31	0	 
18044	1	1	200
18044	2	1	270
18044	3	0	 
18044	4	1	180
18044	5	1	120
18044	6	1	55
18044	7	0	 
18044	8	1	85
18044	17	0	 
18044	23	0	 
18044	30	1	470
18044	31	1	180
18045	1	0	 
18045	2	1	400
18045	3	1	200
18045	4	0	 
18045	5	0	 
18045	6	0	 
18045	7	0	 
18045	8	0	 
18045	17	1	60
18045	23	0	 
18045	30	0	 
18045	31	0	 
18046	1	1	500
18046	2	1	50
18046	3	0	 
18046	4	0	 
18046	5	1	300
