CHILDCODE	ASSTIDR4	ASSETR4	ASACTR4	NMOWNR4	VLASTR4	CHDSASR4
148006	2	17	6	4	400	0
148008	1	23	7	30	9500	0
148009	1	23	7	2	80	0
148010	1	25	6	3	15000	0
148010	2	23	7	3	300	0
148012	1	23	7	6	630	0
148012	2	25	2	1	5000	0
148012	3	1	2	5	50	0
148014	1	13	12	50	1000	1
148015	1	14	7	1	350	0
148015	2	23	7	7	440	0
148017	1	13	9	20	200	0
148021	1	25	6	0	-88	0
148027	1	13	12	540	250	0
148033	1	30	9	7	1000	0
148035	1	2	9	1	200	0
148036	1	17	9	100	5000	0
148040	1	25	6	1	8000	0
148040	2	15	7	10	200	0
148040	3	30	9	5	100	0
148042	1	25	6	1	8000	0
148043	1	30	9	1	350	1
148045	1	26	9	4	1200	0
148047	1	23	7	11	85	0
148048	1	25	6	1	5000	0
148051	1	18	9	7	40	0
158001	1	1	11	2	40	1
158002	1	1	1	20	750	1
158004	1	1	1	4	80	1
158005	1	3	8	3	2000	0
158007	1	15	7	120	2000	0
158008	1	1	1	5	50	0
158009	1	1	1	10	2000	0
158010	1	1	1	7	45	1
158014	1	1	1	5	80	0
158016	1	1	1	12	240	1
158018	1	1	11	5	150	1
158021	1	25	6	32	9000	0
158021	2	23	7	7	7000	0
158021	3	15	7	7	100	0
158022	1	1	1	18	400	0
158024	1	23	7	2	300	0
158025	1	25	6	1	7000	0
158025	2	15	9	20	13000	0
158033	1	24	7	7	1600	1
158035	1	23	7	100	100	0
158036	1	1	1	5	100	1
158037	1	13	12	8	40	0
158038	1	17	9	1	100	0
158042	1	5	2	4	3000	0
158042	2	1	1	6	60	0
158042	3	25	2	1	1500	0
158043	1	1	1	11	55	1
158043	2	8	1	1	50	1
158043	3	23	7	4	1000	1
158044	1	25	6	1	8000	1
158044	2	23	7	6	800	1
158048	1	1	1	7	20	1
158049	1	1	1	5	2030	0
158050	1	1	11	0	60	0
158051	1	1	1	22	300	1
158051	2	25	6	1	3500	1
158053	1	1	1	5	60	1
158054	1	1	1	5	24	1
158055	1	1	1	4	30	1
158056	1	1	1	12	20	1
158057	1	2	7	1	300	0
168001	1	1	1	15	289	0
168001	2	2	1	1	60	0
168001	3	7	1	0	-88	0
168001	4	8	1	1	250	0
168004	1	1	1	7	475	0
168004	2	4	1	1	80	0
168005	1	1	1	5	75	1
168006	1	1	1	8	60	0
168007	1	1	1	8	120	0
168007	2	23	7	2	20	0
168008	1	1	1	15	250	0
168009	1	1	1	4	50	0
168010	1	13	12	10	300	0
168011	1	1	1	6	85	0
168012	1	1	1	8	150	0
168012	2	2	1	1	120	0
168012	3	8	1	0	-88	0
168013	1	1	1	5	80	0
168013	2	4	1	1	50	0
168013	3	41	6	1	5000	0
168013	4	23	7	7	3000	0
168015	1	1	1	10	50	0
168016	1	13	12	25	700	0
168016	2	1	1	19	500	0
168016	3	2	1	1	80	0
168016	4	4	1	1	80	0
168017	1	1	1	5	-77	1
168018	1	1	1	9	230	0
168018	2	2	1	1	80	0
168018	3	4	1	1	200	0
168018	4	8	1	1	180	0
168019	1	1	11	5	-77	1
168023	1	1	1	9	100	0
168023	2	4	1	2	100	0
168023	3	5	2	2	-77	0
168024	1	1	1	10	150	0
168025	1	13	12	4	200	0
178003	1	23	7	1	5	0
178004	1	15	7	5	950	0
178006	1	1	1	5	100	1
178006	2	5	2	1	-77	0
178009	1	25	7	1	300	0
178011	1	7	5	1	70000	0
178011	2	25	5	2	150000	0
178011	3	17	9	5	3000	0
178011	4	30	5	1	90000	0
178013	1	13	9	15	500	0
178013	2	15	9	6	150	0
178013	3	1	2	10	200	0
178019	1	25	6	1	10000	0
178022	1	13	9	10	300	0
178024	1	1	1	6	50	0
178024	2	26	8	3	10	0
178027	1	17	12	1	450	1
178030	1	1	1	15	90	0
178031	1	15	7	2	100	0
178035	1	1	1	10	120	0
178036	1	1	1	10	200	0
188001	1	1	1	10	240	1
188001	2	2	1	1	150	1
188002	1	1	1	14	50	1
188003	1	 	 	 	 	 
188005	1	1	1	25	250	1
188005	2	2	1	1	100	1
188006	1	1	1	11	150	0
188006	2	2	1	1	100	0
188006	3	8	1	1	100	0
188006	4	25	6	0	-88	0
188007	1	14	6	1	6000	1
188010	1	1	1	10	70	0
188010	2	7	1	1	480	0
188011	1	1	1	13	195	0
188011	2	2	1	1	100	0
188011	3	4	1	1	30	0
188012	1	1	1	5	40	0
188012	2	5	2	2	-77	0
188013	1	1	1	4	80	0
188013	2	2	1	1	60	0
188013	3	25	1	1	100	0
188015	1	1	1	5	25	1
188017	1	1	1	10	50	0
188018	1	1	1	9	-77	0
188018	2	4	1	1	-77	0
188018	3	25	7	1	-77	0
188018	4	2	1	1	-77	0
188019	1	1	1	6	60	1
188019	2	5	2	2	-77	0
188020	1	1	1	15	200	0
188020	2	15	7	5	100	0
188021	1	1	1	10	200	0
188021	2	2	1	1	100	0
188021	3	8	1	1	150	0
188021	4	4	1	0	-88	0
188021	5	17	9	3	800	0
188023	1	1	1	12	220	1
188023	2	4	1	1	35	1
188024	1	1	1	6	25	0
188025	1	1	1	7	170	0
188025	2	2	1	1	200	0
188025	3	25	6	0	-88	0
188026	1	1	1	2	50	1
188027	1	1	1	6	60	0
198001	1	40	3	1	3500	0
198002	1	1	2	3	20	0
198004	1	23	7	3	300	0
198006	1	1	1	6	250	0
198008	1	1	11	4	260	0
198010	1	26	8	2	1500	0
198011	1	23	7	5	600	1
198012	1	13	9	30	1000	0
198012	2	30	3	-77	-77	0
198013	1	1	1	5	100	0
198013	2	24	7	10	5000	0
198015	1	23	7	5	800	0
198016	1	30	1	0	-88	0
198016	2	1	1	20	500	0
198016	3	2	1	0	-88	0
198018	1	1	1	3	15	0
198021	1	13	9	3	3400	0
198025	1	2	7	1	60	0
198028	1	1	1	5	1000	0
198030	1	12	9	2	3000	0
198031	1	13	8	1	1000	0
198031	2	13	8	20	200	0
198031	3	30	8	1	100	0
208001	1	25	6	1	8000	1
208002	1	23	7	1	1000	0
208003	1	15	9	3	190	1
208003	2	23	9	4	360	1
208003	3	23	7	7	900	0
208005	1	25	6	4	20000	1
208006	1	23	7	10	2000	0
208007	1	15	7	1	100	1
208009	1	25	7	1	180	0
208011	1	26	8	20	30000	1
208013	1	41	9	1	800	0
208014	1	13	8	5	100	0
208015	1	23	7	60	5000	0
208015	2	26	8	5	10000	0
208017	1	25	6	1	2500	0
208017	2	23	7	1	100	0
208018	1	23	7	20	9000	1
208019	1	15	7	7	6000	1
208020	1	23	7	5	100	0
208021	1	30	7	200	13600	0
208021	2	25	7	1	20000	0
208021	3	23	7	10	2000	0
208021	4	13	9	5	-77	1
208021	5	30	3	1	-77	1
208022	1	17	9	50	3000	0
208023	1	25	6	1	3000	1
208024	1	1	1	17	60	0
208024	2	25	1	1	6000	0
208024	3	6	1	1	500	0
208024	4	8	1	1	250	0
208025	1	25	6	2	3300	1
208025	2	23	7	2	100	1
208026	1	30	9	1	15000	1
208027	1	25	6	1	11800	0
208027	2	15	9	8	300	0
208027	3	23	9	1	50	0
208028	1	30	9	6	6500	0
208029	1	23	7	4	3000	0
208029	2	30	2	2	20	0
208031	1	23	7	7	1450	0
208031	2	25	6	1	-77	0
208032	1	2	7	1	50	0
208032	2	23	7	1	10	0
208032	3	25	6	1	8400	0
208033	1	25	6	1	7000	1
208034	1	25	6	1	2500	0
208037	1	26	8	3	500	0
208037	2	1	1	10	150	0
208038	1	17	6	15	150	1
208038	2	25	6	1	1000	1
208041	1	25	6	1	4700	1
208042	1	25	6	1	10500	1
208042	2	23	7	1	300	0
208043	1	26	8	5	500	0
208044	1	25	6	1	9000	0
208047	1	17	9	10	500	0
208048	1	23	7	4	1000	0
208049	1	26	8	3	300	0
208051	1	2	5	1	10	0
208051	2	30	5	2	2510	0
