CHILDCODE	ASSTIDR4	ASSETR4	ASACTR4	NMOWNR4	VLASTR4	CHDSASR4
18002	1	25	6	1	1500	1
18002	2	13	9	5	480	1
18003	1	1	11	4	130	0
18004	1	25	6	1	1500	1
18005	1	25	6	1	1500	1
18006	1	30	3	4	13500	1
18007	1	25	12	1	0	0
18010	1	40	3	1	600	0
18010	2	15	7	1	150	0
18012	1	26	9	9	300	1
18013	1	17	9	50	1500	1
18013	2	15	7	40	500	1
18016	1	8	1	2	3000	1
18016	2	25	6	1	1200	1
18016	3	1	1	8	500	1
18018	1	13	12	10	350	0
18018	2	25	6	1	7000	0
18019	1	25	6	1	5000	1
18019	2	13	9	15	70	0
18020	1	15	7	20	8000	1
18021	1	23	7	1	100	0
18024	1	25	6	1	1500	0
18024	2	23	7	1	600	0
18025	1	10	9	13	700	0
18026	1	25	6	2	3000	0
18027	1	25	6	1	5000	1
18028	1	1	11	2	45	0
18029	1	9	9	10	400	1
18029	2	25	6	0	-77	0
18030	1	23	7	10	1600	1
18031	1	23	10	30	400	0
18032	1	25	6	1	1900	1
18035	1	15	7	42	450	1
18035	2	41	9	7	-77	0
18036	1	10	9	13	700	0
18039	1	13	10	3	50	1
18040	1	23	7	1	80	0
18041	1	40	3	1	1000	0
18041	2	23	7	5	100	0
18044	1	25	6	2	3200	1
18046	1	 	 	 	 	 
18047	1	25	6	1	2500	1
18048	1	1	1	6	60	0
18049	1	11	10	2	550	0
18050	1	23	7	2	20	0
28002	1	1	1	20	50	1
28003	1	1	1	12	300	1
28004	1	1	1	15	500	1
28004	2	5	2	5	200	1
28006	1	1	1	5	270	1
28006	2	23	7	1	100	1
28007	1	1	1	2	50	0
28008	1	5	2	3	30	0
28008	2	1	11	6	150	0
28009	1	1	1	4	95	1
28011	1	1	1	8	1000	1
28011	2	30	1	1	100	1
28011	3	25	1	1	500	1
28012	1	1	1	5	20	1
28013	1	1	1	5	200	0
28013	2	23	8	100	6000	0
28014	1	1	11	2	50	0
28015	1	1	2	4	70	0
28016	1	1	1	3	50	0
28017	1	1	1	6	330	1
28018	1	2	1	10	130	0
28018	2	1	1	5	100	0
28020	1	1	1	5	80	1
28020	2	3	1	1	2000	1
28020	3	1	7	1	100	1
28021	1	1	1	12	400	1
28021	2	8	1	2	120	1
28021	3	3	1	1	1500	1
28021	4	23	7	1	30	1
28022	1	1	11	4	100	1
28023	1	1	1	15	180	0
28023	2	8	1	1	80	0
28024	1	1	1	4	140	1
28025	1	 	 	 	 	 
38001	1	1	1	2	20	1
38002	1	1	1	10	300	0
38003	1	1	1	10	100	0
38003	2	13	9	4	150	0
38004	1	1	1	12	600	0
38005	1	1	1	3	-77	0
38011	1	1	1	15	300	0
38012	1	23	7	1	70	1
38015	1	1	1	4	80	0
38015	2	8	2	4	8	0
38017	1	1	11	10	400	1
38017	2	25	6	1	5000	1
38020	1	1	1	50	574	0
38020	2	1	12	1	50	0
38020	3	2	12	0	-88	1
38022	1	1	11	5	100	0
38023	1	23	7	5	2440	0
38023	2	41	8	2	4000	0
48002	1	1	1	9	350	1
48002	2	2	1	1	200	1
48003	1	1	1	5	50	0
48003	2	26	8	4	20	0
48004	1	1	1	5	250	1
48005	1	1	1	10	300	1
48005	2	30	8	1	1800	0
48005	3	6	8	1	1500	0
48005	4	30	8	10	100	1
48006	1	1	1	15	340	1
48006	2	8	1	1	200	1
48006	3	23	7	4	100	1
48007	1	1	1	10	300	0
48008	1	1	1	5	100	1
48008	2	2	1	2	190	1
48008	3	6	1	0	0	0
48008	4	25	6	0	0	0
48009	1	1	1	12	300	0
48010	1	1	1	18	600	1
48010	2	4	1	1	80	1
48010	3	8	1	1	200	1
48011	1	1	1	8	200	1
48013	1	1	1	12	100	0
48015	1	1	11	5	120	1
48015	2	13	10	2	50	1
48016	1	1	1	8	120	1
48017	1	1	1	3	20	0
48017	2	26	8	3	30	0
48018	1	 	 	 	 	 
48019	1	1	1	6	200	1
48019	2	8	1	1	180	1
48020	1	1	1	10	200	1
48020	2	26	8	3	30	1
48021	1	13	9	10	200	1
48022	1	1	1	8	120	1
48023	1	1	1	7	800	0
48024	1	1	1	4	60	1
48025	1	1	1	7	100	0
48026	1	1	1	10	300	1
48026	2	30	1	1	50	1
48026	3	6	1	1	100	1
48026	4	25	6	1	1000	1
58002	1	1	1	5	50	1
58003	1	1	11	10	200	1
58006	1	1	1	5	40	0
58008	1	7	1	0	0	0
58008	2	6	1	2	3000	1
58008	3	1	1	10	100	1
58008	4	8	1	2	200	1
58008	5	25	6	1	1200	1
58011	1	1	1	7	50	1
58012	1	1	1	10	50	0
58012	2	8	1	1	400	0
58013	1	1	11	2	42	0
58014	1	1	1	11	500	1
58014	2	8	1	3	1500	1
58015	1	40	3	0	1100	0
58015	2	1	1	4	40	0
58015	3	30	3	2	60	0
58016	1	1	1	6	100	0
58019	1	1	1	7	300	1
58019	2	8	1	1	250	1
58019	3	6	1	1	600	1
58019	4	26	9	2	1000	1
58020	1	25	6	1	5000	0
58021	1	1	1	6	60	0
58021	2	6	1	1	50	0
58023	1	1	1	6	100	1
58025	1	1	1	4	20	0
58025	2	8	1	1	80	0
58026	1	1	1	6	250	1
58027	1	1	1	4	50	1
58029	1	1	11	7	15	0
68001	1	41	8	13	30000	1
68001	2	23	8	15	6065	1
68002	1	41	12	2	2000	1
68003	1	13	8	8	500	0
68004	1	23	7	16	11000	1
68005	1	25	6	1	5000	1
68006	1	23	7	0	0	0
68009	1	23	7	10	15000	1
68009	2	25	9	1	1200	1
68010	1	13	12	5	200	1
68011	1	13	9	15	1000	1
68011	2	17	6	20	500	1
68011	3	23	7	1	50	1
68012	1	23	7	2	1600	1
68015	1	11	9	5	250	1
68015	2	23	7	4	1500	1
68016	1	13	9	39	13500	0
68017	1	1	11	6	30	1
68018	1	25	6	0	0	0
68018	2	15	7	10	150	1
68020	1	30	12	2	250	0
68020	2	1	1	5	120	0
68021	1	15	7	40	1000	0
68022	1	15	7	5	200	1
68023	1	25	6	1	1800	0
68023	2	17	9	3	650	1
68024	1	25	6	1	1000	1
68024	2	23	7	3	200	1
68025	1	23	7	7	2000	0
78001	1	23	8	12	20000	1
78002	1	15	9	14	40000	1
78003	1	23	7	4	200	1
78005	1	15	8	1	10000	0
78008	1	15	7	200	11200	0
78009	1	13	12	15	1500	0
78011	1	23	7	5	800	1
78014	1	23	7	8	1500	1
78017	1	17	8	10	1500	1
78020	1	30	7	400	7000	0
78021	1	23	7	6	2500	1
78026	1	13	12	5	1000	0
78027	1	15	7	47	200	1
78027	2	23	7	2	20	1
78027	3	1	1	8	80	1
78028	1	11	12	5	35000	1
78029	1	13	7	20	2000	1
78031	1	25	6	0	-88	0
78032	1	23	7	8	1000	1
78035	1	15	7	12	100	0
78035	2	23	7	1	50	0
78037	1	25	6	0	0	0
78038	1	25	7	1	30000	0
78038	2	23	7	3	3000	0
78039	1	13	9	10	100	1
78041	1	23	7	6	500	1
78042	1	25	6	1	22320	0
78045	1	13	12	6	500	1
78047	1	 	 	 	 	 
78049	1	13	9	15	1000	1
78049	2	23	7	6	1000	1
78050	1	23	7	3	150	1
78051	1	13	8	44	50000	0
78052	1	15	7	16	300	0
88001	1	23	7	7	600	1
88002	1	13	9	25	50	0
88003	1	13	12	20	2500	1
88008	1	13	8	4	800	1
88010	1	25	6	1	12000	0
88011	1	25	6	1	3000	0
88011	2	14	9	3	2500	0
88012	1	23	7	8	270	1
88013	1	13	9	16	100	0
88014	1	30	8	7	3800	1
88015	1	25	6	0	-88	0
88016	1	23	8	15	2000	0
88017	1	26	8	5	4500	1
88021	1	13	9	15	3000	1
88022	1	26	9	1	100	0
88024	1	13	8	30	3500	1
88027	1	15	9	500	500	1
88029	1	19	8	3	300	1
98002	1	1	1	4	50	1
98009	1	1	1	4	40	0
98010	1	1	1	15	1200	1
98010	2	4	2	1	800	1
98011	1	1	1	7	200	1
98012	1	13	5	3	100	0
98013	1	1	1	6	100	1
98013	2	13	8	10	200	1
98014	1	25	6	1	3000	0
98015	1	23	7	4	1000	0
98017	1	1	1	20	300	0
98018	1	79	8	-77	-77	0
98020	1	1	1	20	500	0
98022	1	1	1	5	180	1
98023	1	1	1	8	100	0
98025	1	1	1	14	300	0
98028	1	1	1	15	400	0
98028	2	8	1	1	500	0
108002	1	23	7	20	1000	1
108004	1	25	12	1	5000	0
108007	1	23	7	7	500	0
108009	1	23	7	5	800	1
108013	1	25	12	1	5000	0
108016	1	15	7	7	3500	1
108018	1	25	6	20000	-77	0
108018	2	17	9	-77	-77	0
108023	1	17	9	5	40	0
108025	1	25	6	1	9000	1
108025	2	23	7	5	2000	1
108026	1	30	8	2	500	0
108028	1	13	12	2	60	0
108028	2	41	8	3	1600	0
108029	1	23	7	7	3000	0
108029	2	25	7	0	-88	0
118002	1	23	7	6	1800	1
118002	2	13	9	14	500	1
118005	1	10	9	30	4000	0
118006	1	1	1	22	1100	1
118007	1	25	6	1	2500	1
118009	1	1	1	6	50	0
118009	2	25	6	1	6000	0
118011	1	25	6	1	6000	0
118013	1	1	1	12	10	1
118015	1	1	1	12	600	1
118017	1	1	1	5	50	1
118017	2	3	1	1	1500	1
118018	1	1	1	3	35	1
118019	1	1	1	6	30	1
118020	1	1	1	5	50	1
118023	1	1	1	11	100	0
118028	1	1	1	5	100	0
118028	2	2	1	1	100	0
118029	1	30	12	0	10000	0
118029	2	23	7	4	200	1
128002	1	13	9	20	12000	0
128002	2	25	9	1	6000	0
128004	1	25	7	1	100	1
128007	1	11	9	11	120	1
128008	1	13	12	15	100	1
128009	1	12	12	1	50	1
128009	2	10	12	10	5000	1
128011	1	13	9	35	1630	1
128015	1	25	6	1	3500	0
128015	2	23	7	1	150	0
128016	1	25	9	1	100	1
128017	1	23	7	3	500	0
128017	2	23	7	1	500	0
128017	3	23	7	120	1200	0
128017	4	2	7	1	10	0
128021	1	25	6	1	30000	0
128021	2	25	6	1	4000	1
128022	1	23	7	0	0	0
128023	1	23	7	4	400	1
128026	1	15	7	2	4000	0
128027	1	13	9	20	1000	0
128027	2	2	9	2	100	0
128028	1	25	6	1	32000	0
128028	2	17	6	10	100	0
128030	1	23	7	6	350	0
128031	1	10	10	30	5000	0
128032	1	25	6	2	66000	0
128033	1	41	8	15	28000	1
128037	1	25	6	1	30000	1
128037	2	17	6	10	300	1
128039	1	26	7	8	650	0
128040	1	15	7	8	50	1
128041	1	2	9	2	150	0
128041	2	13	9	6	200	0
128042	1	1	1	5	50	1
128043	1	23	7	66	385	0
128044	1	23	7	0	0	0
128045	1	13	9	20	30	0
128046	1	25	7	1	40000	1
128046	2	23	7	2	150	0
128046	3	41	9	1	2000	1
128047	1	25	6	0	-88	0
128047	2	25	6	0	-88	0
128047	3	25	6	0	-88	0
128047	4	13	12	1	50	1
128049	1	23	7	3	50	0
128049	2	23	7	5	100	0
128050	1	15	7	10	400	0
128050	2	23	7	24	350	0
138002	1	23	7	0	0	0
138004	1	15	7	4	26	0
138005	1	23	7	15	3750	1
138007	1	26	8	2	2000	0
138007	2	23	7	2	6	0
138008	1	15	7	6	500	1
138009	1	25	6	1	3000	1
138009	2	26	8	11	2450	1
138013	1	13	9	15	200	0
138017	1	23	7	3	300	0
138017	2	17	9	4	100	0
138017	3	25	6	1	1000	0
138018	1	30	9	3	155	1
138021	1	15	9	4	1500	1
138022	1	15	7	15	110	0
138023	1	25	6	1	2000	0
138024	1	13	12	7	800	1
138029	1	25	6	1	33600	0
138030	1	23	7	1	1000	0
138030	2	23	7	1000	2000	0
138031	1	25	6	1	1300	0
138033	1	13	9	25	-77	0
138036	1	26	10	3	1100	0
138038	1	13	9	6	1500	1
138039	1	23	7	4	320	1
138041	1	23	7	4	120	0
138041	2	15	7	3	130	0
138042	1	12	9	4	30	1
138044	1	26	8	4	2500	0
138047	1	30	8	4	1000	1
138047	4	30	8	15	50	1
138047	5	23	7	13	1660	1
138051	1	25	6	0	-88	0
138053	1	13	9	6	100	0
148001	1	30	9	6	70	0
148005	1	17	9	10	1200	0
148006	1	25	6	2	10000	0
