CHILDCODE	MEMIDR4	MEMAGER4	AGEMTHR4	MEMSEXR4	RELATER4	LIVHSER4	YRDIEDR4	MTHBRNR4	RELHHR4	MRTLSTR4	DISABR4	MTHRHHR4	FTHRHHR4	THSDISR4	BRNDEPR4	GRADER4	EDCCHGR4	STILLR4	WHYNOTR4	AGEGRDR4	SCHTYPR4	LSTTYPR4	MEMINCR4	MEMCNSR4
18026	2	45	 	2	1	1	 	5	1	2	0	98	98	0	20	13	0	0	 	 	 	4	Y	N
18026	3	21	 	1	7	1	 	3	3	6	0	2	98	0	20	15	0	0	 	 	 	1	Y	N
18027	0	19	 	2	0	1	 	3	2	1	0	98	98	0	24	10	 	0	 	 	 	4	N	N
18027	1	88	 	88	1	3	2006	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	2	38	 	2	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	3	16	 	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	15	13	 	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	16	12	 	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	17	6	 	2	9	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	18	44	 	1	2	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	19	24	 	1	25	1	 	10	1	1	0	98	98	0	15	11	0	0	 	 	 	4	Y	N
18027	20	1	 	2	27	1	 	3	3	 	0	0	19	0	15	 	 	 	 	 	 	 	N	N
18028	0	19	 	1	0	1	 	5	3	6	0	2	1	1	 	8	 	0	 	 	 	4	Y	N
18028	1	53	 	1	1	1	 	12	1	3	0	98	98	1	 	11	0	0	 	 	 	4	Y	Y
18028	2	48	 	2	1	1	 	10	2	3	0	98	98	1	 	8	0	0	 	 	 	4	N	N
18028	3	26	 	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	4	22	 	1	7	1	 	10	3	6	0	2	1	1	 	8	0	0	 	 	 	4	Y	N
18028	5	16	 	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	6	25	 	2	16	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	7	6	 	2	15	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18028	8	4	 	1	15	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18029	0	18	 	1	0	1	 	9	3	6	0	1	98	0	24	11	 	0	 	 	 	4	Y	N
18029	1	53	 	2	1	1	 	5	1	2	0	98	98	0	20	5	0	0	 	 	 	4	Y	N
18029	2	25	 	1	9	1	 	11	3	6	0	1	98	1	 	15	1	1	 	 	4	 	Y	N
18029	15	15	 	2	7	1	 	2	3	6	0	1	98	0	24	10	1	1	 	 	4	 	N	N
18030	0	18	 	2	0	1	 	10	3	1	0	1	98	1	 	11	 	0	 	 	 	4	N	N
18030	1	49	 	2	1	1	 	3	1	2	0	98	98	1	 	10	0	0	 	 	 	4	Y	N
18030	15	15	 	1	7	1	 	10	3	6	0	1	98	1	 	9	0	0	8	15	 	4	N	N
18030	16	0	3	1	27	1	 	5	5	 	0	0	98	1	 	 	 	 	 	 	 	 	N	N
18031	0	18	 	1	0	1	 	7	5	6	0	98	98	1	 	15	 	1	 	 	1	 	Y	N
18031	1	88	 	1	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18031	2	88	 	2	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18031	3	17	 	1	7	1	 	1	5	6	0	98	98	1	 	11	1	1	 	 	4	 	Y	N
18031	15	15	 	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18031	16	88	 	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18031	17	88	 	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18031	18	88	 	2	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18031	19	88	 	2	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18031	20	65	 	1	6	1	 	2	1	3	1	98	98	 	 	 	 	 	 	 	 	 	Y	N
18031	21	60	 	2	6	1	 	2	2	3	1	98	98	 	 	 	 	 	 	 	 	 	N	N
18032	0	19	 	2	0	1	 	5	2	1	0	98	98	1	 	11	 	0	 	 	 	4	N	N
18032	1	48	 	1	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18032	2	44	 	2	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18032	3	23	 	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18032	4	22	 	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18032	5	18	 	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18032	6	20	 	1	25	1	 	3	1	1	0	98	98	1	 	9	0	0	 	 	 	4	Y	N
18034	0	19	 	2	0	1	 	4	3	6	0	2	1	1	 	15	 	1	 	 	1	 	N	N
18034	1	56	 	1	1	1	 	12	1	3	0	98	98	0	21	14	0	0	 	 	 	4	Y	N
18034	2	47	 	2	1	1	 	8	2	3	0	98	98	1	 	14	0	0	 	 	 	4	Y	N
18034	3	27	 	1	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18034	4	30	 	2	8	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18035	0	18	 	2	0	1	 	11	5	6	0	1	98	1	 	11	 	1	 	 	4	 	N	N
18035	1	42	 	2	1	1	 	4	3	2	0	2	98	1	 	9	0	0	 	 	 	4	N	N
18035	2	62	 	2	5	1	 	9	1	4	0	98	98	 	 	 	 	 	 	 	 	 	Y	N
18035	3	38	 	1	13	1	 	12	3	6	0	2	98	 	 	 	 	 	 	 	 	 	Y	N
18035	4	88	 	88	88	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18035	5	88	 	88	88	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18035	6	88	 	88	88	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18035	7	88	 	88	88	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	N	N
18035	8	17	 	2	7	1	 	12	5	6	0	1	98	1	 	9	1	1	 	 	4	 	N	N
18035	15	12	 	1	9	1	 	1	5	 	0	1	98	1	 	7	1	1	 	 	4	 	N	N
18036	0	18	 	2	0	1	 	10	4	1	0	98	98	1	 	21	 	1	 	 	4	 	Y	N
18036	1	36	 	2	1	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18036	2	-88	 	2	13	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18036	15	13	 	2	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18036	16	16	 	1	9	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
