CHILDCODE	FOODIDR4	FARMR4	PRSNR4	OWBSR4	PRPYR4	EATR4	FDSPR4	ETALR4	VLOVR4	VLFRR4	VLPRR4	VLOWR4	VLPYR4	VLB4R4
18001	1	 	N	 	 	1	21	1	 	 	 	 	 	0
18001	3	 	N	 	 	1	15	1	 	 	 	 	 	 
18001	8	 	N	 	 	1	23	1	 	 	 	 	 	 
18001	9	 	N	 	 	1	18	1	 	 	 	 	 	 
18001	12	 	N	 	 	1	89	1	 	 	 	 	 	0
18001	15	 	N	 	 	1	7	1	 	 	 	 	 	0
18001	19	 	N	 	 	1	15	1	 	 	 	 	 	0
18001	21	 	N	 	 	1	10	1	 	 	 	 	 	 
18001	22	 	N	 	 	1	5	1	 	 	 	 	 	 
18001	25	 	N	 	 	1	14	1	 	 	 	 	 	0
18001	29	 	N	 	 	1	10	1	 	 	 	 	 	 
18001	30	 	Y	 	 	1	0	 	 	 	196	 	 	 
18001	32	 	N	 	 	0	 	 	 	 	 	 	 	 
18002	1	 	 	 	 	1	44,8	1	 	 	 	 	 	0
18002	3	 	 	 	 	1	6	1	 	 	 	 	 	 
18002	8	 	 	 	 	1	32	1	 	 	 	 	 	 
18002	9	 	 	 	 	1	95	1	 	 	 	 	 	 
18002	12	 	 	 	 	1	21,6	1	 	 	 	 	 	0
18002	15	 	 	 	 	1	15	1	 	 	 	 	 	0
18002	19	 	 	 	 	1	44	1	 	 	 	 	 	0
18002	21	 	 	 	 	1	42	1	 	 	 	 	 	 
18002	22	 	 	 	 	1	40	1	 	 	 	 	 	 
18002	25	 	 	 	 	1	14	1	 	 	 	 	 	0
18002	29	 	 	 	 	1	126	1	 	 	 	 	 	 
18002	30	 	 	 	 	1	20	1	 	 	 	 	 	 
18002	32	 	 	 	 	1	96	1	 	 	 	 	 	 
18003	1	 	N	 	 	1	84	1	 	 	 	 	 	0
18003	3	 	N	 	 	0	 	 	 	 	 	 	 	 
18003	8	 	N	 	 	1	8	1	 	 	 	 	 	 
18003	9	 	N	 	 	1	62	1	 	 	 	 	 	 
18003	12	 	N	 	 	0	 	 	 	 	 	 	 	 
18003	15	 	N	 	 	1	7	1	 	 	 	 	 	0
18003	19	 	N	 	 	1	2	1	 	 	 	 	 	0
18003	21	 	Y	 	 	1	10	1	 	 	22	 	 	 
18003	22	 	N	 	 	1	13	1	 	 	 	 	 	 
18003	25	 	N	 	 	1	9	1	 	 	 	 	 	 
18003	29	 	N	 	 	1	22	1	 	 	 	 	 	 
18003	30	 	N	 	 	1	16	1	 	 	 	 	 	 
18003	32	 	N	 	 	1	54	1	 	 	 	 	 	 
18004	1	 	 	 	 	1	42	1	 	 	 	 	 	0
18004	3	 	 	 	 	1	2	1	 	 	 	 	 	 
18004	8	 	 	 	 	1	10	1	 	 	 	 	 	 
18004	9	 	 	 	 	1	36	1	 	 	 	 	 	 
18004	12	 	 	 	 	1	37	1	 	 	 	 	 	0
18004	15	 	 	 	 	1	6	1	 	 	 	 	 	0
18004	19	 	 	 	 	1	13	1	 	 	 	 	 	0
18004	21	 	 	 	 	1	12	1	 	 	 	 	 	 
18004	22	 	 	 	 	1	30	1	 	 	 	 	 	 
18004	25	 	 	 	 	1	9,2	1	 	 	 	 	 	0
