CHILDCODE	LVSKIDR4	AYANR4	NMAMR4	VLAMR4	CHDSANR4
18016	13	0	 	 	 
18016	14	0	 	 	 
18016	15	1	3	100	1
18016	16	0	 	 	 
18016	17	0	 	 	 
18016	51	0	 	 	 
18016	52	0	 	 	 
18016	53	0	 	 	 
18016	54	0	 	 	 
18016	55	0	 	 	 
18016	56	0	 	 	 
18016	57	0	 	 	 
18016	58	0	 	 	 
18017	1	 	 	 	 
18017	2	 	 	 	 
18017	6	 	 	 	 
18017	9	 	 	 	 
18017	13	 	 	 	 
18017	14	 	 	 	 
18017	15	 	 	 	 
18017	16	 	 	 	 
18017	17	 	 	 	 
18017	51	 	 	 	 
18017	52	 	 	 	 
18017	53	 	 	 	 
18017	54	 	 	 	 
18017	55	 	 	 	 
18017	56	 	 	 	 
18017	57	 	 	 	 
18017	58	 	 	 	 
18018	1	 	 	 	 
18018	2	 	 	 	 
18018	6	 	 	 	 
18018	9	 	 	 	 
18018	13	 	 	 	 
18018	14	 	 	 	 
18018	15	 	 	 	 
18018	16	 	 	 	 
18018	17	 	 	 	 
18018	51	 	 	 	 
18018	52	 	 	 	 
18018	53	 	 	 	 
18018	54	 	 	 	 
18018	55	 	 	 	 
18018	56	 	 	 	 
18018	57	 	 	 	 
18018	58	 	 	 	 
18019	1	0	 	 	 
18019	2	0	 	 	 
18019	6	0	 	 	 
18019	9	0	 	 	 
18019	13	0	 	 	 
18019	14	0	 	 	 
18019	15	0	 	 	 
18019	16	1	7	142	0
18019	17	0	 	 	 
18019	51	0	 	 	 
18019	52	0	 	 	 
18019	53	0	 	 	 
18019	54	0	 	 	 
18019	55	0	 	 	 
18019	56	0	 	 	 
18019	57	0	 	 	 
18019	58	0	 	 	 
18020	1	 	 	 	 
18020	2	 	 	 	 
18020	6	 	 	 	 
18020	9	 	 	 	 
18020	13	 	 	 	 
18020	14	 	 	 	 
18020	15	 	 	 	 
18020	16	 	 	 	 
18020	17	 	 	 	 
18020	51	 	 	 	 
18020	52	 	 	 	 
18020	53	 	 	 	 
18020	54	 	 	 	 
18020	55	 	 	 	 
18020	56	 	 	 	 
18020	57	 	 	 	 
18020	58	 	 	 	 
18021	1	 	 	 	 
18021	2	 	 	 	 
18021	6	 	 	 	 
18021	9	 	 	 	 
18021	13	 	 	 	 
18021	14	 	 	 	 
18021	15	 	 	 	 
18021	16	 	 	 	 
18021	17	 	 	 	 
18021	51	 	 	 	 
18021	52	 	 	 	 
18021	53	 	 	 	 
18021	54	 	 	 	 
18021	55	 	 	 	 
18021	56	 	 	 	 
18021	57	 	 	 	 
18021	58	 	 	 	 
18022	1	 	 	 	 
18022	2	 	 	 	 
18022	6	 	 	 	 
18022	9	 	 	 	 
18022	13	 	 	 	 
18022	14	 	 	 	 
18022	15	 	 	 	 
18022	16	 	 	 	 
18022	17	 	 	 	 
18022	51	 	 	 	 
18022	52	 	 	 	 
18022	53	 	 	 	 
18022	54	 	 	 	 
18022	55	 	 	 	 
18022	56	 	 	 	 
18022	57	 	 	 	 
18022	58	 	 	 	 
18023	1	 	 	 	 
18023	2	 	 	 	 
18023	6	 	 	 	 
18023	9	 	 	 	 
18023	13	 	 	 	 
18023	14	 	 	 	 
18023	15	 	 	 	 
18023	16	 	 	 	 
18023	17	 	 	 	 
18023	51	 	 	 	 
18023	52	 	 	 	 
18023	53	 	 	 	 
18023	54	 	 	 	 
18023	55	 	 	 	 
18023	56	 	 	 	 
18023	57	 	 	 	 
18023	58	 	 	 	 
18024	1	 	 	 	 
18024	2	 	 	 	 
18024	6	 	 	 	 
18024	9	 	 	 	 
18024	13	 	 	 	 
18024	14	 	 	 	 
18024	15	 	 	 	 
18024	16	 	 	 	 
18024	17	 	 	 	 
18024	51	 	 	 	 
18024	52	 	 	 	 
18024	53	 	 	 	 
18024	54	 	 	 	 
18024	55	 	 	 	 
18024	56	 	 	 	 
18024	57	 	 	 	 
18024	58	 	 	 	 
18025	1	 	 	 	 
18025	2	 	 	 	 
18025	6	 	 	 	 
18025	9	 	 	 	 
18025	13	 	 	 	 
18025	14	 	 	 	 
18025	15	 	 	 	 
18025	16	 	 	 	 
18025	17	 	 	 	 
18025	51	 	 	 	 
18025	52	 	 	 	 
18025	53	 	 	 	 
18025	54	 	 	 	 
18025	55	 	 	 	 
18025	56	 	 	 	 
18025	57	 	 	 	 
18025	58	 	 	 	 
18026	1	0	 	 	 
18026	2	0	 	 	 
18026	6	0	 	 	 
18026	9	0	 	 	 
18026	13	0	 	 	 
18026	14	0	 	 	 
18026	15	0	 	 	 
18026	16	1	12	360	0
18026	17	0	 	 	 
