CHILDCODE	SHCKIDR4	EVNTR4	EV2009R4	EV2010R4	EV2011R4	EV2012R4	EV2013R4
18004	28	0	 	 	 	 	 
18004	29	0	 	 	 	 	 
18004	30	0	 	 	 	 	 
18004	31	0	 	 	 	 	 
18004	32	0	 	 	 	 	 
18004	33	0	 	 	 	 	 
18004	34	0	 	 	 	 	 
18004	35	0	 	 	 	 	 
18004	36	0	 	 	 	 	 
18004	37	0	 	 	 	 	 
18004	38	0	 	 	 	 	 
18004	39	0	 	 	 	 	 
18004	40	0	 	 	 	 	 
18004	41	0	 	 	 	 	 
18004	42	0	 	 	 	 	 
18004	45	1	0	0	0	0	1
18004	46	0	 	 	 	 	 
18004	50	0	 	 	 	 	 
18004	51	0	 	 	 	 	 
18004	52	0	 	 	 	 	 
18004	53	0	 	 	 	 	 
18004	54	0	 	 	 	 	 
18004	55	0	 	 	 	 	 
18004	56	0	 	 	 	 	 
18004	57	0	 	 	 	 	 
18004	58	0	 	 	 	 	 
18004	59	0	 	 	 	 	 
18004	60	0	 	 	 	 	 
18004	61	0	 	 	 	 	 
18004	62	0	 	 	 	 	 
18004	63	0	 	 	 	 	 
18004	69	0	 	 	 	 	 
18005	1	0	 	 	 	 	 
18005	2	0	 	 	 	 	 
18005	3	0	 	 	 	 	 
18005	4	0	 	 	 	 	 
18005	5	0	 	 	 	 	 
18005	6	0	 	 	 	 	 
18005	7	0	 	 	 	 	 
18005	8	0	 	 	 	 	 
18005	10	0	 	 	 	 	 
18005	11	0	 	 	 	 	 
18005	12	0	 	 	 	 	 
18005	13	0	 	 	 	 	 
18005	14	0	 	 	 	 	 
18005	15	0	 	 	 	 	 
18005	17	0	 	 	 	 	 
18005	18	0	 	 	 	 	 
18005	19	0	 	 	 	 	 
18005	20	0	 	 	 	 	 
18005	24	0	 	 	 	 	 
18005	25	0	 	 	 	 	 
18005	26	0	 	 	 	 	 
18005	27	0	 	 	 	 	 
18005	28	0	 	 	 	 	 
18005	29	0	 	 	 	 	 
18005	30	0	 	 	 	 	 
18005	31	0	 	 	 	 	 
18005	32	0	 	 	 	 	 
18005	33	0	 	 	 	 	 
18005	34	0	 	 	 	 	 
18005	35	0	 	 	 	 	 
18005	36	0	 	 	 	 	 
18005	37	0	 	 	 	 	 
18005	38	0	 	 	 	 	 
18005	39	0	 	 	 	 	 
18005	40	0	 	 	 	 	 
18005	41	0	 	 	 	 	 
18005	42	0	 	 	 	 	 
18005	45	1	0	0	1	0	0
18005	46	0	 	 	 	 	 
18005	50	0	 	 	 	 	 
18005	51	0	 	 	 	 	 
18005	52	0	 	 	 	 	 
18005	53	0	 	 	 	 	 
18005	54	0	 	 	 	 	 
18005	55	0	 	 	 	 	 
18005	56	0	 	 	 	 	 
18005	57	0	 	 	 	 	 
18005	58	0	 	 	 	 	 
18005	59	0	 	 	 	 	 
18005	60	0	 	 	 	 	 
18005	61	0	 	 	 	 	 
18005	62	0	 	 	 	 	 
18005	63	0	 	 	 	 	 
18005	69	0	 	 	 	 	 
18006	1	0	 	 	 	 	 
18006	2	0	 	 	 	 	 
18006	3	0	 	 	 	 	 
18006	4	0	 	 	 	 	 
18006	5	0	 	 	 	 	 
18006	6	0	 	 	 	 	 
18006	7	0	 	 	 	 	 
18006	8	0	 	 	 	 	 
18006	10	0	 	 	 	 	 
18006	11	0	 	 	 	 	 
18006	12	0	 	 	 	 	 
18006	13	0	 	 	 	 	 
18006	14	0	 	 	 	 	 
18006	15	0	 	 	 	 	 
18006	17	0	 	 	 	 	 
18006	18	0	 	 	 	 	 
18006	19	0	 	 	 	 	 
18006	20	0	 	 	 	 	 
18006	24	0	 	 	 	 	 
18006	25	0	 	 	 	 	 
18006	26	0	 	 	 	 	 
18006	27	0	 	 	 	 	 
18006	28	0	 	 	 	 	 
18006	29	0	 	 	 	 	 
18006	30	0	 	 	 	 	 
18006	31	0	 	 	 	 	 
18006	32	0	 	 	 	 	 
18006	33	0	 	 	 	 	 
18006	34	0	 	 	 	 	 
18006	35	0	 	 	 	 	 
18006	36	0	 	 	 	 	 
18006	37	0	 	 	 	 	 
18006	38	0	 	 	 	 	 
18006	39	1	0	0	1	1	0
18006	40	0	 	 	 	 	 
18006	41	0	 	 	 	 	 
18006	42	0	 	 	 	 	 
18006	45	0	 	 	 	 	 
18006	46	0	 	 	 	 	 
18006	50	0	 	 	 	 	 
18006	51	0	 	 	 	 	 
18006	52	0	 	 	 	 	 
18006	53	0	 	 	 	 	 
18006	54	0	 	 	 	 	 
18006	55	0	 	 	 	 	 
18006	56	0	 	 	 	 	 
18006	57	0	 	 	 	 	 
18006	58	0	 	 	 	 	 
18006	59	0	 	 	 	 	 
18006	60	0	 	 	 	 	 
18006	61	0	 	 	 	 	 
18006	62	0	 	 	 	 	 
18006	63	0	 	 	 	 	 
18006	69	0	 	 	 	 	 
18007	1	0	 	 	 	 	 
18007	2	0	 	 	 	 	 
18007	3	0	 	 	 	 	 
18007	4	0	 	 	 	 	 
18007	5	0	 	 	 	 	 
18007	6	0	 	 	 	 	 
18007	7	0	 	 	 	 	 
18007	8	0	 	 	 	 	 
18007	10	0	 	 	 	 	 
18007	11	0	 	 	 	 	 
18007	12	0	 	 	 	 	 
18007	13	0	 	 	 	 	 
18007	14	0	 	 	 	 	 
18007	15	0	 	 	 	 	 
18007	17	0	 	 	 	 	 
18007	18	0	 	 	 	 	 
18007	19	0	 	 	 	 	 
18007	20	0	 	 	 	 	 
18007	24	0	 	 	 	 	 
18007	25	0	 	 	 	 	 
18007	26	0	 	 	 	 	 
18007	27	0	 	 	 	 	 
18007	28	0	 	 	 	 	 
18007	29	0	 	 	 	 	 
18007	30	0	 	 	 	 	 
18007	31	0	 	 	 	 	 
18007	32	0	 	 	 	 	 
18007	33	0	 	 	 	 	 
18007	34	0	 	 	 	 	 
18007	35	0	 	 	 	 	 
18007	36	1	0	0	1	0	0
18007	37	0	 	 	 	 	 
18007	38	0	 	 	 	 	 
18007	39	1	0	0	1	0	0
18007	40	0	 	 	 	 	 
18007	41	0	 	 	 	 	 
18007	42	0	 	 	 	 	 
18007	45	0	 	 	 	 	 
18007	46	0	 	 	 	 	 
18007	50	0	 	 	 	 	 
18007	51	0	 	 	 	 	 
18007	52	0	 	 	 	 	 
18007	53	0	 	 	 	 	 
18007	54	0	 	 	 	 	 
18007	55	0	 	 	 	 	 
18007	56	0	 	 	 	 	 
18007	57	0	 	 	 	 	 
18007	58	0	 	 	 	 	 
18007	59	0	 	 	 	 	 
18007	60	0	 	 	 	 	 
18007	61	0	 	 	 	 	 
18007	62	0	 	 	 	 	 
18007	63	0	 	 	 	 	 
18007	69	0	 	 	 	 	 
18008	1	0	 	 	 	 	 
18008	2	0	 	 	 	 	 
18008	3	0	 	 	 	 	 
18008	4	0	 	 	 	 	 
18008	5	0	 	 	 	 	 
18008	6	0	 	 	 	 	 
18008	7	0	 	 	 	 	 
18008	8	0	 	 	 	 	 
18008	10	0	 	 	 	 	 
18008	11	0	 	 	 	 	 
18008	12	0	 	 	 	 	 
18008	13	0	 	 	 	 	 
18008	14	0	 	 	 	 	 
18008	15	0	 	 	 	 	 
18008	17	0	 	 	 	 	 
18008	18	0	 	 	 	 	 
18008	19	0	 	 	 	 	 
18008	20	0	 	 	 	 	 
18008	24	0	 	 	 	 	 
18008	25	0	 	 	 	 	 
18008	26	0	 	 	 	 	 
18008	27	0	 	 	 	 	 
18008	28	0	 	 	 	 	 
18008	29	0	 	 	 	 	 
18008	30	0	 	 	 	 	 
18008	31	0	 	 	 	 	 
18008	32	0	 	 	 	 	 
18008	33	0	 	 	 	 	 
18008	34	0	 	 	 	 	 
18008	35	0	 	 	 	 	 
18008	36	0	 	 	 	 	 
18008	37	0	 	 	 	 	 
18008	38	0	 	 	 	 	 
18008	39	0	 	 	 	 	 
18008	40	0	 	 	 	 	 
18008	41	0	 	 	 	 	 
18008	42	0	 	 	 	 	 
18008	45	0	 	 	 	 	 
18008	46	0	 	 	 	 	 
18008	50	0	 	 	 	 	 
18008	51	0	 	 	 	 	 
18008	52	0	 	 	 	 	 
18008	53	0	 	 	 	 	 
18008	54	0	 	 	 	 	 
18008	55	0	 	 	 	 	 
18008	56	0	 	 	 	 	 
18008	57	0	 	 	 	 	 
18008	58	0	 	 	 	 	 
18008	59	0	 	 	 	 	 
18008	60	0	 	 	 	 	 
18008	61	0	 	 	 	 	 
18008	62	0	 	 	 	 	 
18008	63	0	 	 	 	 	 
18008	69	0	 	 	 	 	 
18009	1	0	 	 	 	 	 
18009	2	0	 	 	 	 	 
18009	3	0	 	 	 	 	 
18009	4	0	 	 	 	 	 
18009	5	0	 	 	 	 	 
18009	6	0	 	 	 	 	 
18009	7	0	 	 	 	 	 
18009	8	0	 	 	 	 	 
18009	10	0	 	 	 	 	 
18009	11	0	 	 	 	 	 
18009	12	0	 	 	 	 	 
18009	13	0	 	 	 	 	 
18009	14	0	 	 	 	 	 
18009	15	0	 	 	 	 	 
18009	17	0	 	 	 	 	 
18009	18	0	 	 	 	 	 
18009	19	0	 	 	 	 	 
18009	20	0	 	 	 	 	 
18009	24	0	 	 	 	 	 
18009	25	0	 	 	 	 	 
18009	26	0	 	 	 	 	 
18009	27	0	 	 	 	 	 
18009	28	0	 	 	 	 	 
18009	29	0	 	 	 	 	 
18009	30	0	 	 	 	 	 
18009	31	0	 	 	 	 	 
18009	32	0	 	 	 	 	 
18009	33	0	 	 	 	 	 
18009	34	0	 	 	 	 	 
18009	35	0	 	 	 	 	 
18009	36	0	 	 	 	 	 
18009	37	0	 	 	 	 	 
18009	38	0	 	 	 	 	 
18009	39	0	 	 	 	 	 
18009	40	1	0	1	0	0	0
18009	41	1	0	0	0	1	0
18009	42	0	 	 	 	 	 
18009	45	0	 	 	 	 	 
18009	46	0	 	 	 	 	 
18009	50	0	 	 	 	 	 
18009	51	0	 	 	 	 	 
18009	52	0	 	 	 	 	 
18009	53	0	 	 	 	 	 
18009	54	0	 	 	 	 	 
18009	55	0	 	 	 	 	 
18009	56	0	 	 	 	 	 
18009	57	0	 	 	 	 	 
18009	58	0	 	 	 	 	 
18009	59	0	 	 	 	 	 
18009	60	0	 	 	 	 	 
18009	61	0	 	 	 	 	 
18009	62	0	 	 	 	 	 
18009	63	0	 	 	 	 	 
18009	69	0	 	 	 	 	 
18010	1	0	 	 	 	 	 
18010	2	0	 	 	 	 	 
18010	3	0	 	 	 	 	 
18010	4	0	 	 	 	 	 
18010	5	0	 	 	 	 	 
18010	6	0	 	 	 	 	 
18010	7	0	 	 	 	 	 
18010	8	0	 	 	 	 	 
18010	10	0	 	 	 	 	 
18010	11	0	 	 	 	 	 
18010	12	0	 	 	 	 	 
18010	13	0	 	 	 	 	 
18010	14	0	 	 	 	 	 
18010	15	0	 	 	 	 	 
18010	17	0	 	 	 	 	 
18010	18	0	 	 	 	 	 
18010	19	0	 	 	 	 	 
18010	20	0	 	 	 	 	 
18010	24	0	 	 	 	 	 
18010	25	0	 	 	 	 	 
18010	26	0	 	 	 	 	 
18010	27	0	 	 	 	 	 
18010	28	0	 	 	 	 	 
18010	29	0	 	 	 	 	 
18010	30	0	 	 	 	 	 
18010	31	0	 	 	 	 	 
18010	32	0	 	 	 	 	 
18010	33	0	 	 	 	 	 
18010	34	0	 	 	 	 	 
18010	35	0	 	 	 	 	 
18010	36	0	 	 	 	 	 
18010	37	0	 	 	 	 	 
18010	38	0	 	 	 	 	 
18010	39	1	0	0	0	1	0
18010	40	0	 	 	 	 	 
18010	41	0	 	 	 	 	 
18010	42	0	 	 	 	 	 
18010	45	0	 	 	 	 	 
18010	46	0	 	 	 	 	 
18010	50	0	 	 	 	 	 
18010	51	0	 	 	 	 	 
18010	52	0	 	 	 	 	 
18010	53	0	 	 	 	 	 
18010	54	0	 	 	 	 	 
18010	55	0	 	 	 	 	 
18010	56	0	 	 	 	 	 
18010	57	0	 	 	 	 	 
18010	58	0	 	 	 	 	 
18010	59	0	 	 	 	 	 
18010	60	0	 	 	 	 	 
18010	61	0	 	 	 	 	 
18010	62	0	 	 	 	 	 
18010	63	0	 	 	 	 	 
18010	69	0	 	 	 	 	 
18011	1	0	 	 	 	 	 
18011	2	0	 	 	 	 	 
18011	3	0	 	 	 	 	 
18011	4	0	 	 	 	 	 
18011	5	0	 	 	 	 	 
18011	6	0	 	 	 	 	 
18011	7	0	 	 	 	 	 
18011	8	0	 	 	 	 	 
18011	10	0	 	 	 	 	 
18011	11	0	 	 	 	 	 
18011	12	0	 	 	 	 	 
18011	13	0	 	 	 	 	 
18011	14	0	 	 	 	 	 
18011	15	0	 	 	 	 	 
18011	17	0	 	 	 	 	 
18011	18	0	 	 	 	 	 
18011	19	0	 	 	 	 	 
18011	20	0	 	 	 	 	 
18011	24	0	 	 	 	 	 
18011	25	0	 	 	 	 	 
18011	26	0	 	 	 	 	 
18011	27	0	 	 	 	 	 
18011	28	0	 	 	 	 	 
18011	29	0	 	 	 	 	 
18011	30	0	 	 	 	 	 
18011	31	0	 	 	 	 	 
18011	32	0	 	 	 	 	 
18011	33	0	 	 	 	 	 
18011	34	0	 	 	 	 	 
18011	35	0	 	 	 	 	 
18011	36	0	 	 	 	 	 
18011	37	0	 	 	 	 	 
18011	38	0	 	 	 	 	 
18011	39	0	 	 	 	 	 
18011	40	0	 	 	 	 	 
18011	41	0	 	 	 	 	 
18011	42	0	 	 	 	 	 
18011	45	0	 	 	 	 	 
18011	46	0	 	 	 	 	 
18011	50	0	 	 	 	 	 
18011	51	0	 	 	 	 	 
18011	52	0	 	 	 	 	 
18011	53	0	 	 	 	 	 
18011	54	0	 	 	 	 	 
18011	55	0	 	 	 	 	 
18011	56	0	 	 	 	 	 
18011	57	0	 	 	 	 	 
18011	58	0	 	 	 	 	 
18011	59	0	 	 	 	 	 
18011	60	0	 	 	 	 	 
18011	61	0	 	 	 	 	 
18011	62	0	 	 	 	 	 
18011	63	0	 	 	 	 	 
18011	69	0	 	 	 	 	 
18012	1	0	 	 	 	 	 
18012	2	0	 	 	 	 	 
18012	3	0	 	 	 	 	 
18012	4	0	 	 	 	 	 
18012	5	0	 	 	 	 	 
18012	6	0	 	 	 	 	 
18012	7	0	 	 	 	 	 
18012	8	0	 	 	 	 	 
18012	10	0	 	 	 	 	 
18012	11	0	 	 	 	 	 
18012	12	0	 	 	 	 	 
18012	13	0	 	 	 	 	 
18012	14	0	 	 	 	 	 
18012	15	0	 	 	 	 	 
18012	17	0	 	 	 	 	 
18012	18	0	 	 	 	 	 
18012	19	0	 	 	 	 	 
18012	20	0	 	 	 	 	 
18012	24	0	 	 	 	 	 
18012	25	0	 	 	 	 	 
18012	26	0	 	 	 	 	 
18012	27	0	 	 	 	 	 
18012	28	0	 	 	 	 	 
18012	29	0	 	 	 	 	 
18012	30	0	 	 	 	 	 
18012	31	0	 	 	 	 	 
18012	32	0	 	 	 	 	 
18012	33	0	 	 	 	 	 
18012	34	0	 	 	 	 	 
18012	35	0	 	 	 	 	 
18012	36	0	 	 	 	 	 
18012	37	0	 	 	 	 	 
18012	38	0	 	 	 	 	 
18012	39	1	0	0	0	0	1
18012	40	0	 	 	 	 	 
18012	41	0	 	 	 	 	 
18012	42	0	 	 	 	 	 
18012	45	0	 	 	 	 	 
18012	46	0	 	 	 	 	 
18012	50	0	 	 	 	 	 
18012	51	0	 	 	 	 	 
18012	52	0	 	 	 	 	 
18012	53	0	 	 	 	 	 
18012	54	0	 	 	 	 	 
18012	55	0	 	 	 	 	 
18012	56	0	 	 	 	 	 
18012	57	0	 	 	 	 	 
18012	58	0	 	 	 	 	 
18012	59	0	 	 	 	 	 
18012	60	0	 	 	 	 	 
18012	61	0	 	 	 	 	 
18012	62	1	0	1	0	0	0
18012	63	0	 	 	 	 	 
18012	69	1	0	0	1	1	0
18013	1	0	 	 	 	 	 
18013	2	0	 	 	 	 	 
18013	3	0	 	 	 	 	 
18013	4	0	 	 	 	 	 
18013	5	0	 	 	 	 	 
18013	6	0	 	 	 	 	 
18013	7	0	 	 	 	 	 
18013	8	0	 	 	 	 	 
18013	10	0	 	 	 	 	 
18013	11	0	 	 	 	 	 
18013	12	0	 	 	 	 	 
18013	13	0	 	 	 	 	 
18013	14	0	 	 	 	 	 
18013	15	0	 	 	 	 	 
18013	17	0	 	 	 	 	 
18013	18	0	 	 	 	 	 
18013	19	0	 	 	 	 	 
18013	20	0	 	 	 	 	 
18013	24	0	 	 	 	 	 
18013	25	0	 	 	 	 	 
18013	26	0	 	 	 	 	 
18013	27	0	 	 	 	 	 
18013	28	0	 	 	 	 	 
18013	29	0	 	 	 	 	 
18013	30	0	 	 	 	 	 
18013	31	0	 	 	 	 	 
18013	32	0	 	 	 	 	 
18013	33	0	 	 	 	 	 
18013	34	0	 	 	 	 	 
18013	35	0	 	 	 	 	 
18013	36	0	 	 	 	 	 
18013	37	0	 	 	 	 	 
18013	38	0	 	 	 	 	 
18013	39	0	 	 	 	 	 
18013	40	0	 	 	 	 	 
18013	41	1	0	0	0	0	1
18013	42	0	 	 	 	 	 
18013	45	1	0	0	0	0	1
18013	46	0	 	 	 	 	 
18013	50	0	 	 	 	 	 
18013	51	0	 	 	 	 	 
18013	52	0	 	 	 	 	 
18013	53	0	 	 	 	 	 
18013	54	0	 	 	 	 	 
18013	55	0	 	 	 	 	 
18013	56	0	 	 	 	 	 
18013	57	0	 	 	 	 	 
18013	58	0	 	 	 	 	 
18013	59	0	 	 	 	 	 
18013	60	0	 	 	 	 	 
18013	61	0	 	 	 	 	 
18013	62	0	 	 	 	 	 
18013	63	0	 	 	 	 	 
18013	69	0	 	 	 	 	 
18015	1	0	 	 	 	 	 
18015	2	1	0	0	1	0	0
18015	3	0	 	 	 	 	 
18015	4	0	 	 	 	 	 
18015	5	0	 	 	 	 	 
18015	6	0	 	 	 	 	 
18015	7	0	 	 	 	 	 
18015	8	0	 	 	 	 	 
18015	10	0	 	 	 	 	 
18015	11	0	 	 	 	 	 
18015	12	0	 	 	 	 	 
18015	13	0	 	 	 	 	 
18015	14	0	 	 	 	 	 
18015	15	0	 	 	 	 	 
18015	17	0	 	 	 	 	 
18015	18	0	 	 	 	 	 
18015	19	0	 	 	 	 	 
18015	20	0	 	 	 	 	 
18015	24	0	 	 	 	 	 
18015	25	0	 	 	 	 	 
18015	26	0	 	 	 	 	 
18015	27	0	 	 	 	 	 
18015	28	0	 	 	 	 	 
18015	29	0	 	 	 	 	 
18015	30	0	 	 	 	 	 
18015	31	0	 	 	 	 	 
18015	32	0	 	 	 	 	 
18015	33	0	 	 	 	 	 
18015	34	0	 	 	 	 	 
18015	35	0	 	 	 	 	 
18015	36	0	 	 	 	 	 
18015	37	1	0	0	0	0	1
18015	38	0	 	 	 	 	 
18015	39	1	0	0	0	1	0
18015	40	0	 	 	 	 	 
