CHILDCODE	FVVLIDR4	FVVALR4	SLVALR4
18001	1	21	500
18001	2	11	300
18001	3	24	300
18001	4	4	200
18001	5	23	100
18002	1	7	1500
18002	2	24	700
18002	3	21	600
18002	4	11	400
18002	5	4	400
18003	1	11	200
18003	2	24	300
18003	3	4	150
18003	4	10	40
18003	5	22	20
18004	1	7	1500
18004	2	4	400
18004	3	11	200
18004	4	12	200
18004	5	25	200
18005	1	7	1500
18005	2	4	400
18005	3	24	400
18005	4	25	130
18005	5	12	110
18006	1	21	1000
18006	2	11	600
18006	3	4	200
18006	4	10	150
18006	5	12	100
18007	1	4	500
18007	2	24	200
18007	3	10	200
18007	4	12	100
18007	5	98	 
18008	1	21	3000
18008	2	11	1000
18008	3	4	800
18008	4	24	500
18008	5	12	200
18009	1	24	2000
18009	2	11	1000
18009	3	4	900
18009	4	12	400
18009	5	10	60
18010	1	4	500
18010	2	11	500
18010	3	25	300
18010	4	12	100
18010	5	10	60
18011	1	4	150
18011	2	25	100
18011	3	10	80
18011	4	23	40
18011	5	22	30
18012	1	7	1500
18012	2	21	1500
18012	3	11	400
18012	4	3	200
18012	5	4	100
18013	1	7	1500
18013	2	21	1100
18013	3	11	700
18013	4	3	400
18013	5	4	300
18015	1	21	1500
18015	2	24	1000
18015	3	4	500
18015	4	10	400
18015	5	12	38
18016	1	7	1300
18016	2	26	800
18016	3	11	500
18016	4	21	500
18016	5	4	500
18017	1	26	100
18017	2	4	70
18017	3	10	20
18017	4	23	20
18017	5	22	10
18018	1	7	3000
18018	2	21	1900
18018	3	11	1000
18018	4	24	1000
18018	5	12	700
18019	1	4	250
18019	2	24	200
18019	3	25	40
18019	4	12	30
18019	5	8	30
18020	1	4	1500
18020	2	21	1200
18020	3	26	1000
18020	4	10	500
18020	5	11	300
18021	1	4	600
18021	2	11	500
18021	3	12	300
18021	4	26	300
18021	5	10	200
18022	1	98	 
18022	2	98	 
18022	3	98	 
18022	4	98	 
18022	5	98	 
18023	1	12	500
18023	2	4	300
18023	3	11	300
18023	4	23	150
18023	5	25	100
18024	1	21	2000
18024	2	4	800
18024	3	11	600
18024	4	26	500
18024	5	23	100
18025	1	7	4000
18025	2	21	200
18025	3	4	1000
18025	4	24	500
18025	5	25	150
18026	1	10	250
18026	2	4	200
18026	3	12	100
18026	4	98	 
18026	5	98	 
18027	1	6	5000
18027	2	26	650
18027	3	21	500
18027	4	11	400
18027	5	12	350
18028	1	12	500
18028	2	11	300
18028	3	24	300
18028	4	4	200
18028	5	25	50
18029	1	21	1000
18029	2	11	500
18029	3	5	200
18029	4	4	100
18029	5	22	20
18030	1	11	1000
18030	2	5	800
18030	3	4	100
18030	4	23	80
18030	5	22	40
18031	1	11	600
18031	2	4	400
18031	3	12	120
18031	4	23	40
18031	5	22	30
18032	1	4	200
18032	2	10	100
18032	3	23	100
18032	4	12	100
18032	5	22	50
18034	1	21	1500
18034	2	4	1000
18034	3	11	700
18034	4	12	400
18034	5	10	400
18035	1	21	-77
18035	2	12	2800
18035	3	11	1500
18035	4	23	400
18035	5	22	100
18036	1	7	4000
18036	2	4	1000
18036	3	24	500
18036	4	21	200
18036	5	25	150
18037	1	21	950
18037	2	4	800
18037	3	11	600
18037	4	12	300
18037	5	25	100
18038	1	4	1200
18038	2	24	300
18038	3	30	200
18038	4	25	80
18038	5	10	60
18039	1	4	200
18039	2	25	50
18039	3	22	20
18039	4	12	0
18039	5	10	0
18040	1	10	130
18040	2	11	80
18040	3	12	80
18040	4	21	80
18040	5	4	20
18041	1	21	500
18041	2	4	400
18041	3	11	350
18041	4	24	300
18041	5	26	300
18042	1	21	1500
18042	2	12	900
