CHILDCODE	HHITMIDR4	OWNITMR4	NUMOWNR4
18015	11	0	 
18015	12	1	1
18015	15	1	1
18015	20	0	 
18015	21	1	1
18015	22	1	1
18015	23	1	1
18015	24	1	1
18015	25	1	1
18015	26	0	 
18015	27	0	 
18015	28	0	 
18015	29	0	 
18015	30	0	 
18015	31	0	 
18016	3	0	 
18016	4	1	1
18016	5	1	1
18016	6	0	 
18016	7	1	1
18016	8	1	3
18016	9	0	 
18016	10	1	3
18016	11	1	1
18016	12	1	1
18016	15	0	 
18016	20	0	 
18016	21	1	1
18016	22	1	1
18016	23	1	1
18016	24	1	1
18016	25	1	1
18016	26	1	1
18016	27	0	 
18016	28	0	 
18016	29	0	 
18016	30	0	 
18016	31	0	 
18017	3	0	 
18017	4	1	1
18017	5	0	 
18017	6	0	 
18017	7	0	 
18017	8	0	 
18017	9	0	 
18017	10	1	1
18017	11	0	 
18017	12	1	1
18017	15	0	 
18017	20	0	 
18017	21	0	 
18017	22	1	1
18017	23	1	1
18017	24	0	 
18017	25	0	 
18017	26	1	1
18017	27	0	 
18017	28	0	 
18017	29	0	 
18017	30	0	 
18017	31	0	 
18018	3	0	 
18018	4	1	1
18018	5	0	 
18018	6	0	 
18018	7	1	1
18018	8	0	 
18018	9	0	 
18018	10	1	2
18018	11	1	1
18018	12	1	1
18018	15	1	1
18018	20	0	 
18018	21	1	1
18018	22	1	1
18018	23	1	1
18018	24	1	1
18018	25	1	1
18018	26	0	 
18018	27	0	 
18018	28	0	 
18018	29	0	 
18018	30	0	 
18018	31	0	 
18019	3	0	 
18019	4	1	1
18019	5	0	 
18019	6	0	 
18019	7	0	 
18019	8	1	1
18019	9	0	 
18019	10	0	 
18019	11	0	 
18019	12	1	1
18019	15	0	 
18019	20	0	 
18019	21	0	 
18019	22	1	1
18019	23	0	 
18019	24	1	1
18019	25	1	1
18019	26	0	 
18019	27	0	 
18019	28	0	 
18019	29	0	 
18019	30	0	 
18019	31	0	 
18020	3	0	 
18020	4	1	3
18020	5	0	 
18020	6	0	 
18020	7	0	 
18020	8	1	1
18020	9	1	1
18020	10	1	4
18020	11	1	1
18020	12	1	1
18020	15	1	1
18020	20	0	 
18020	21	1	1
18020	22	1	1
18020	23	1	1
18020	24	0	 
18020	25	1	1
18020	26	1	1
18020	27	0	 
18020	28	0	 
18020	29	0	 
18020	30	0	 
18020	31	0	 
18021	3	0	 
18021	4	1	2
18021	5	1	1
18021	6	0	 
18021	7	0	 
18021	8	0	 
18021	9	0	 
18021	10	1	2
18021	11	1	1
18021	12	1	1
18021	15	0	 
18021	20	0	 
18021	21	0	 
18021	22	1	1
18021	23	1	1
18021	24	1	1
18021	25	1	1
18021	26	1	1
18021	27	0	 
18021	28	0	 
18021	29	0	 
18021	30	0	 
18021	31	0	 
18022	3	0	 
18022	4	0	 
18022	5	0	 
18022	6	0	 
18022	7	0	 
18022	8	0	 
18022	9	0	 
18022	10	0	 
18022	11	0	 
18022	12	0	 
18022	15	0	 
18022	20	0	 
18022	21	0	 
18022	22	0	 
18022	23	0	 
18022	24	0	 
18022	25	0	 
18022	26	0	 
18022	27	0	 
18022	28	0	 
18022	29	0	 
18022	30	0	 
18022	31	0	 
18023	3	0	 
18023	4	1	1
18023	5	1	1
18023	6	0	 
18023	7	0	 
18023	8	0	 
18023	9	0	 
18023	10	1	2
18023	11	1	1
18023	12	1	1
18023	15	1	1
18023	20	0	 
18023	21	0	 
18023	22	1	1
18023	23	1	1
18023	24	0	 
18023	25	1	1
18023	26	0	 
18023	27	0	 
18023	28	0	 
18023	29	0	 
18023	30	0	 
18023	31	0	 
18024	3	0	 
18024	4	1	2
18024	5	0	 
18024	6	0	 
18024	7	1	1
18024	8	0	 
18024	9	1	1
18024	10	1	3
18024	11	1	1
18024	12	1	1
18024	15	1	1
18024	20	0	 
18024	21	1	2
18024	22	1	1
18024	23	1	1
18024	24	1	1
18024	25	1	2
18024	26	1	1
18024	27	0	 
18024	28	1	1
18024	29	0	 
