PLACEID	PPIDR5	POLLPROB
1011	1	1
1011	2	0
1011	3	1
1011	4	0
1011	5	0
1011	6	0
1011	7	0
1011	8	0
1011	9	1
1011	10	1
1011	11	1
1011	12	1
1011	13	1
1011	14	1
1011	15	0
1011	16	0
1011	17	1
1011	18	1
1021	1	1
1021	2	0
1021	3	0
1021	4	1
1021	5	0
1021	6	1
1021	7	1
1021	8	1
1021	9	0
1021	10	0
1021	11	1
1021	12	0
1021	13	1
1021	14	1
1021	15	0
1021	16	0
1021	17	1
1021	18	1
1022	1	1
1022	2	1
1022	3	1
1022	4	1
1022	5	1
1022	6	1
1022	7	1
1022	8	1
1022	9	0
1022	10	1
1022	11	1
1022	12	0
1022	13	1
1022	14	0
1022	15	0
1022	16	0
1022	17	1
1022	18	1
1031	1	0
1031	2	0
1031	3	1
1031	4	0
1031	5	0
1031	6	1
1031	7	0
1031	8	0
1031	9	0
1031	10	0
1031	11	1
1031	12	0
1031	13	1
1031	14	0
1031	15	0
1031	16	0
1031	17	1
1031	18	1
1032	1	0
1032	2	0
1032	3	1
1032	4	0
1032	5	0
1032	6	1
1032	7	1
1032	8	1
1032	9	0
1032	10	0
1032	11	1
1032	12	0
1032	13	1
1032	14	1
1032	15	0
1032	16	0
1032	17	1
1032	18	1
2041	1	0
2041	2	0
2041	3	0
2041	4	0
2041	5	0
2041	6	0
2041	7	0
2041	8	0
2041	9	0
2041	10	0
2041	11	1
2041	12	0
2041	13	1
2041	14	0
2041	15	0
2041	16	0
2041	17	0
2041	18	0
2051	1	0
2051	2	0
2051	3	0
2051	4	0
2051	5	0
2051	6	0
2051	7	0
2051	8	1
2051	9	1
2051	10	0
2051	11	1
2051	12	1
2051	13	0
2051	14	0
2051	15	0
2051	16	0
2051	17	0
2051	18	0
2061	1	0
2061	2	0
2061	3	0
2061	4	0
2061	5	0
2061	6	0
2061	7	0
2061	8	0
2061	9	0
2061	10	0
2061	11	0
2061	12	0
2061	13	0
2061	14	0
2061	15	0
2061	16	0
2061	17	0
2061	18	0
2071	1	0
2071	2	0
2071	3	0
2071	4	0
2071	5	0
2071	6	0
2071	7	0
2071	8	0
2071	9	0
2071	10	0
2071	11	0
2071	12	0
2071	13	0
2071	14	0
2071	15	0
2071	16	0
2071	17	0
2071	18	1
3101	1	0
3101	2	0
3101	3	1
3101	4	1
3101	5	0
3101	6	1
3101	7	0
3101	8	1
3101	9	0
3101	10	0
3101	11	0
3101	12	0
3101	13	0
3101	14	0
3101	15	0
3101	16	0
3101	17	1
3101	18	0
3111	1	0
3111	2	0
3111	3	0
3111	4	0
3111	5	0
3111	6	0
3111	7	0
3111	8	0
3111	9	0
3111	10	0
3111	11	0
3111	12	0
3111	13	0
3111	14	0
3111	15	0
3111	16	0
3111	17	0
3111	18	0
4121	1	0
4121	2	0
4121	3	1
4121	4	1
4121	5	0
4121	6	0
4121	7	0
4121	8	1
4121	9	1
4121	10	0
4121	11	1
4121	12	1
4121	13	1
4121	14	1
4121	15	0
4121	16	0
4121	17	1
4121	18	1
4131	1	0
4131	2	0
4131	3	0
4131	4	0
4131	5	0
4131	6	0
4131	7	0
4131	8	0
4131	9	0
4131	10	0
4131	11	0
4131	12	0
4131	13	0
4131	14	0
4131	15	0
4131	16	0
4131	17	0
4131	18	0
4141	1	0
4141	2	0
4141	3	1
4141	4	1
4141	5	0
4141	6	0
4141	7	0
4141	8	0
4141	9	1
4141	10	0
4141	11	1
4141	12	0
4141	13	1
4141	14	0
4141	15	0
4141	16	0
4141	17	0
4141	18	1
4143	1	0
4143	2	0
4143	3	0
4143	4	1
4143	5	0
4143	6	0
4143	7	0
4143	8	0
4143	9	0
4143	10	0
4143	11	1
4143	12	0
4143	13	1
4143	14	1
4143	15	0
4143	16	0
4143	17	0
4143	18	0
4144	1	0
4144	2	0
4144	3	0
4144	4	0
4144	5	0
4144	6	0
4144	7	0
4144	8	0
4144	9	1
4144	10	0
4144	11	1
4144	12	0
4144	13	0
4144	14	0
4144	15	0
4144	16	0
4144	17	1
4144	18	0
4151	1	1
4151	2	0
4151	3	0
4151	4	0
4151	5	0
4151	6	0
4151	7	0
4151	8	0
4151	9	1
4151	10	0
4151	11	1
4151	12	1
4151	13	0
4151	14	0
4151	15	0
4151	16	0
4151	17	0
4151	18	0
4161	1	0
4161	2	0
4161	3	0
4161	4	0
4161	5	0
4161	6	0
4161	7	0
4161	8	0
4161	9	0
4161	10	0
4161	11	0
4161	12	0
4161	13	0
4161	14	0
4161	15	0
4161	16	0
4161	17	0
4161	18	0
5171	1	0
5171	2	1
5171	3	1
5171	4	0
5171	5	0
5171	6	0
5171	7	0
5171	8	0
5171	9	0
5171	10	1
5171	11	1
5171	12	0
5171	13	1
5171	14	1
5171	15	0
5171	16	0
5171	17	1
5171	18	0
5201	1	0
5201	2	0
5201	3	0
5201	4	0
5201	5	0
5201	6	0
5201	7	0
5201	8	0
5201	9	0
5201	10	0
5201	11	1
5201	12	0
5201	13	0
5201	14	1
5201	15	0
5201	16	0
5201	17	0
5201	18	0
