PLACEID	RSID	AGERES	SEXRES	CAPAC	LIVRES
1011	1	30	1	1	5
1011	2	33	1	4	10
1011	3	54	1	7	30
1011	4	31	2	8	9
1011	5	46	2	8	17
1021	1	34	1	8	4
1021	2	29	2	8	1
1021	3	30	2	6	2
1021	4	34	1	8	7
1021	5	25	2	8	1
1021	6	26	1	8	3
1021	7	29	2	8	3
1021	8	28	2	8	2
1021	9	35	1	8	3
1021	10	32	2	8	5
1021	11	45	1	8	15
1021	12	30	1	8	10
1021	13	50	2	8	25
1021	14	22	1	8	20
1021	15	45	2	8	20
1021	16	32	2	8	10
1021	17	55	2	8	3
1021	18	23	2	8	1
1021	19	41	1	8	11
1021	20	33	2	8	9
1021	21	28	1	8	4
1021	22	37	1	8	11
1021	23	32	1	8	15
1021	24	21	1	8	2
1022	1	28	1	8	7
1022	2	31	1	8	1
1022	3	22	2	8	1
1022	4	38	1	8	4
1022	5	34	1	8	3
1022	6	39	2	8	15
1022	7	26	2	8	9
1022	8	41	1	8	8
1022	9	49	2	8	12
1022	10	71	1	8	30
1022	11	23	2	8	23
1022	12	35	2	8	12
1022	13	32	1	8	7
1022	14	35	2	8	9
1022	15	37	1	8	7
1022	16	39	2	8	15
1022	17	25	2	8	21
1022	18	38	1	8	2
1022	19	40	1	8	19
1022	20	46	1	8	15
1022	21	35	2	8	22
1031	1	49	2	8	10
1031	2	29	1	8	3
1031	3	37	1	8	2
1031	4	45	2	1	12
1031	5	24	2	8	2
1031	6	27	1	2	3
1031	7	28	1	8	4
1031	8	33	2	8	1
1031	9	47	1	8	5
1031	10	52	1	7	36
1031	11	31	1	8	7
1031	12	39	1	5	20
1031	13	25	1	8	3
1031	14	35	2	8	6
1031	15	45	2	8	2
1031	16	23	1	8	1
1031	17	36	1	8	5
1031	18	30	2	8	2
1031	19	23	2	8	2
1031	20	33	1	8	7
1031	21	27	1	8	27
1031	22	47	2	8	15
1031	23	25	2	8	3
1032	1	30	1	8	7
1032	2	23	2	8	2
1032	3	49	2	2	6
1032	4	28	1	2	2
1032	5	35	1	8	3
1032	6	28	1	2	2
1032	7	26	1	2	1
1032	8	24	1	8	1
1032	9	37	1	8	1
1032	10	30	2	8	2
1032	11	60	2	8	10
1032	12	34	2	8	11
1032	13	25	2	8	2
1032	14	30	2	8	6
1032	15	23	1	8	1
1032	16	32	1	8	12
1032	17	25	2	8	11
1032	18	48	2	8	22
1032	19	26	1	8	1
1032	20	42	1	8	18
1032	21	27	2	8	27
1032	22	40	2	8	25
1032	23	26	2	8	4
1032	24	34	1	8	8
1032	25	30	2	8	7
1032	26	55	1	7	40
1032	27	29	1	8	3
2041	1	34	1	1	11
2041	2	48	1	5	22
2041	3	52	2	4	52
2041	4	24	2	3	24
2041	5	52	2	4	52
2041	6	48	1	5	22
2041	7	34	1	1	11
2041	8	24	2	3	24
2041	9	24	2	3	24
2051	1	36	1	1	36
2051	2	36	1	1	36
2051	3	36	1	1	36
2051	4	36	1	1	36
2051	5	37	1	4	37
2051	6	37	1	4	37
2051	7	32	1	3	4
2051	8	32	1	3	4
2051	9	35	1	10	2
2061	1	44	1	1	44
2061	2	26	1	8	5
2061	3	28	2	3	7
2061	4	35	1	4	3
2061	5	40	1	2	40
2061	6	32	2	6	32
2061	7	50	1	7	50
2061	8	40	1	8	40
2061	9	42	1	8	42
2061	10	38	1	8	38
2061	11	45	1	8	45
2061	12	36	2	8	36
2061	13	50	1	8	50
2061	14	34	1	8	34
2071	1	45	1	1	38
2071	2	36	1	8	30
2071	3	40	1	4	18
2071	4	31	2	3	12
2071	5	47	1	1	40
2071	6	38	1	1	44
2071	7	30	2	8	38
2071	8	28	2	6	28
2071	9	33	2	7	33
2071	10	26	1	2	26
3101	1	56	1	9	25
3101	2	56	1	9	25
3101	3	36	1	9	8
3101	4	45	1	2	39
3101	5	26	2	3	5
3101	6	42	1	8	18
3101	7	29	2	8	12
3101	8	30	1	8	1
3101	9	22	1	8	22
3101	10	20	2	8	20
3101	11	40	1	8	1
3101	12	28	2	8	28
