PLACEID	PSTSECID	PSTCRAVL	PSTWHEN	PSTTIME	PSTTRNS
1011	11	3	 	 	 
1011	12	1	-7777	 	 
1011	13	0	 	5	1
1011	14	1	-7777	 	 
1011	15	0	 	5	7
1011	16	77	 	 	 
1011	17	3	 	 	 
1021	11	1	1990	 	 
1021	12	3	 	 	 
1021	13	3	 	 	 
1021	14	0	 	15	5
1021	15	0	 	20	5
1021	16	3	 	 	 
1021	17	3	 	 	 
1022	11	0	 	30	5
1022	12	3	 	 	 
1022	13	3	 	 	 
1022	14	1	2008	 	 
1022	15	0	 	20	5
1022	16	3	 	 	 
1022	17	3	 	 	 
1031	11	0	 	15	5
1031	12	3	 	 	 
1031	13	1	-77	 	 
1031	14	0	 	15	5
1031	15	0	 	15	5
1031	16	3	 	 	 
1031	17	3	 	 	 
1032	11	0	 	20	1
1032	12	3	 	 	 
1032	13	0	 	15	5
1032	14	0	 	20	5
1032	15	0	 	20	5
1032	16	3	 	 	 
1032	17	3	 	 	 
2041	11	1	-77	 	 
2041	12	1	-77	 	 
2041	13	1	-77	 	 
2041	14	3	 	 	 
2041	15	77	 	 	 
2041	16	3	 	 	 
2041	17	3	 	 	 
2051	11	1	2009	 	 
2051	12	3	 	 	 
2051	13	0	 	50	7
2051	14	3	 	 	 
2051	15	3	 	 	 
2051	16	3	 	 	 
2051	17	79	 	 	 
2061	11	3	 	 	 
2061	12	3	 	 	 
2061	13	3	 	 	 
2061	14	3	 	 	 
2061	15	3	 	 	 
2061	16	3	 	 	 
2061	17	3	 	 	 
2071	11	3	 	 	 
2071	12	3	 	 	 
2071	13	3	 	 	 
2071	14	3	 	 	 
2071	15	3	 	 	 
2071	16	3	 	 	 
2071	17	 	 	 	 
3101	11	1	2001	 	 
3101	12	3	 	 	 
3101	13	0	 	45	6
3101	14	0	 	45	6
3101	15	3	 	 	 
3101	16	3	 	 	 
3101	17	1	2001	 	 
3111	11	0	 	15	6
3111	12	0	 	15	6
3111	13	0	 	15	6
3111	14	0	 	15	6
3111	15	3	 	 	 
3111	16	3	 	 	 
3111	17	3	 	 	 
4121	11	0	 	10	15
4121	12	0	 	10	15
4121	13	0	 	10	15
4121	14	0	 	10	15
4121	15	3	 	 	 
4121	16	3	 	 	 
4121	17	3	 	 	 
4131	11	1	1997	 	 
4131	12	3	 	 	 
4131	13	0	 	15	6
4131	14	0	 	15	6
4131	15	0	 	15	6
4131	16	3	 	 	 
4131	17	3	 	 	 
4141	11	1	-77	 	 
4141	12	0	 	20	1
4141	13	0	 	20	1
4141	14	1	2000	 	 
4141	15	0	 	20	1
4141	16	1	-77	 	 
4141	17	3	 	 	 
4143	11	0	 	3	1
4143	12	0	 	10	1
4143	13	1	1998	 	 
4143	14	3	 	 	 
4143	15	0	 	5	15
4143	16	0	 	15	1
4143	17	77	 	 	 
4144	11	1	-77	 	 
4144	12	1	-77	 	 
4144	13	0	 	20	1
4144	14	1	2000	 	 
4144	15	0	 	20	1
4144	16	77	 	 	 
4144	17	3	 	 	 
4151	11	0	 	60	6
4151	12	77	 	 	 
4151	13	0	 	25	6
4151	14	0	 	30	6
4151	15	0	 	130	6
4151	16	3	 	 	 
4151	17	0	 	40	6
4161	11	0	 	15	6
4161	12	3	 	 	 
4161	13	0	 	15	6
4161	14	0	 	15	6
4161	15	0	 	15	6
4161	16	3	 	 	 
4161	17	3	 	 	 
5171	11	0	 	20	8
5171	12	0	 	30	8
5171	13	0	 	20	8
5171	14	0	 	20	8
5171	15	0	 	30	8
5171	16	0	 	30	8
5171	17	79	 	 	 
5201	11	0	 	45	8
5201	12	0	 	45	8
5201	13	0	 	45	8
5201	14	0	 	45	8
5201	15	0	 	75	7
5201	16	0	 	75	7
5201	17	0	 	46	8
