PLACEID	EDUCIDR5	SCHLOC	SCHDES	SCHLOW	SCHHIGH	SCHOPEN	SCHMEAL	SCHEYE	SCHDEWRM
1011	1	1	4	0	8	Y	0	0	0
1011	2	2	4	9	10	Y	0	0	0
1021	1	1	4	0	8	Y	1	0	0
1021	2	1	4	0	8	Y	1	1	0
1021	3	1	1	0	8	Y	0	0	0
1021	4	2	4	0	8	Y	1	0	0
1021	5	2	4	0	8	Y	0	0	0
1021	6	2	4	0	8	Y	0	0	0
1021	7	2	3	0	12	Y	0	0	0
1021	8	2	4	9	10	Y	0	0	0
1021	9	2	4	1	12	Y	0	0	0
1021	10	2	3	0	12	Y	0	0	0
1022	1	1	4	9	10	Y	0	0	0
1022	2	1	4	11	12	Y	0	0	0
1022	3	1	4	0	8	Y	1	0	0
1022	4	1	1	0	8	Y	0	0	0
1022	5	1	2	0	8	N	 	 	 
1022	6	1	1	0	4	Y	0	0	0
1022	7	1	1	0	4	N	 	 	 
1022	8	1	1	0	8	Y	0	0	0
1022	9	1	1	0	8	Y	0	0	0
1022	10	1	1	0	8	Y	0	0	0
1022	11	1	1	0	8	Y	0	0	0
1022	12	1	1	0	10	Y	0	0	0
1022	13	1	1	0	4	Y	0	0	0
1022	14	1	1	0	4	Y	0	0	0
1022	15	1	1	0	4	N	 	 	 
1031	1	2	4	1	8	Y	1	0	1
1031	2	1	3	0	4	Y	1	0	1
1031	3	1	4	0	8	Y	1	0	1
1031	4	1	1	0	8	N	 	 	 
1031	5	1	4	9	10	Y	1	1	0
1031	6	2	4	0	8	Y	1	0	1
1032	1	1	4	0	8	Y	1	0	1
1032	2	1	1	0	8	Y	0	0	0
1032	3	1	1	0	8	Y	0	0	0
1032	4	1	4	0	8	Y	1	1	1
2041	1	1	4	1	8	N	 	 	 
2041	2	1	4	1	8	N	 	 	 
2041	3	1	4	1	8	N	 	 	 
2041	4	1	4	9	10	N	 	 	 
2051	1	1	4	1	8	Y	1	0	0
2051	2	1	4	1	6	Y	1	0	0
2051	3	1	4	9	11	Y	0	0	0
2061	1	1	4	1	8	Y	0	0	0
2071	1	1	4	1	8	Y	0	0	0
2071	2	1	4	1	4	Y	0	0	0
2071	3	1	4	1	4	Y	0	0	0
2071	4	1	4	1	4	Y	0	0	0
2071	5	1	4	1	4	Y	0	0	0
2071	6	1	4	1	8	Y	0	0	0
3101	1	1	4	1	8	Y	0	1	0
3101	2	1	4	1	8	Y	0	1	0
3101	3	1	4	1	8	Y	0	1	0
3101	4	1	4	9	10	Y	0	1	0
3101	5	1	4	11	12	Y	0	1	0
3101	6	1	3	0	0	Y	1	1	1
3111	1	1	4	0	4	Y	0	0	0
3111	2	1	4	1	8	Y	0	0	0
3111	3	1	4	9	10	Y	0	0	0
4121	1	1	4	1	8	Y	0	0	0
4121	2	1	4	9	10	Y	0	0	0
4121	3	2	4	1	4	Y	0	0	0
4131	1	1	4	0	8	Y	0	0	0
4131	2	1	4	9	10	Y	0	0	0
4131	3	2	4	9	12	Y	0	0	0
4131	4	2	1	0	8	Y	0	0	0
4131	5	2	1	0	8	Y	0	0	0
4141	1	1	4	0	8	Y	1	1	0
4141	2	1	4	1	4	Y	0	0	0
4141	3	1	4	0	0	Y	0	0	0
4141	4	1	1	0	5	Y	0	0	0
4141	9	2	4	9	12	Y	0	0	0
4141	10	1	4	1	8	Y	0	0	0
4141	13	1	4	1	8	Y	0	0	0
4141	14	2	4	1	10	Y	0	0	0
4143	1	2	4	0	8	Y	1	0	0
4143	2	2	4	9	12	Y	0	0	0
4143	3	2	3	0	8	Y	1	0	0
4144	1	1	4	0	4	N	 	 	 
4144	2	1	4	0	8	N	 	 	 
4144	3	1	4	0	8	N	 	 	 
4144	4	1	4	1	8	N	 	 	 
4144	5	1	1	0	4	N	 	 	 
4144	6	1	3	0	0	N	 	 	 
4151	1	1	4	0	8	Y	0	0	0
4151	2	2	4	0	8	Y	0	0	0
4151	3	2	4	9	10	Y	0	0	0
4151	4	2	4	9	12	N	 	 	 
4151	5	2	3	0	0	N	 	 	 
4161	1	1	4	0	5	Y	0	0	0
4161	2	2	4	0	8	Y	0	0	0
4161	3	1	4	0	8	Y	0	0	0
4161	4	2	4	0	8	Y	0	0	0
4161	5	2	4	0	8	Y	0	0	0
4161	6	2	4	0	8	Y	0	0	0
4161	7	2	4	9	10	Y	0	0	0
5171	1	1	4	0	8	Y	0	0	0
5171	2	1	4	0	5	Y	0	0	0
5171	3	1	4	0	4	Y	0	0	0
5171	4	1	4	0	8	Y	0	0	0
5171	5	1	4	0	4	Y	0	0	0
5171	6	1	4	0	4	Y	0	0	0
5201	1	1	4	0	8	Y	0	0	0
5201	2	1	4	0	5	Y	0	0	0
