PLACEID	SERVIDR5	AVLOC
1011	1	0
1011	2	0
1011	3	0
1011	4	0
1011	5	1
1011	10	1
1011	11	1
1011	12	1
1011	13	1
1011	14	1
1011	15	1
1011	16	1
1011	19	1
1011	20	1
1011	21	1
1011	22	0
1011	23	0
1011	26	1
1011	30	1
1011	31	1
1021	1	0
1021	2	0
1021	3	0
1021	4	0
1021	5	1
1021	10	1
1021	11	1
1021	12	0
1021	13	1
1021	14	1
1021	15	1
1021	16	1
1021	19	1
1021	20	1
1021	21	1
1021	22	0
1021	23	0
1021	26	1
1021	30	1
1021	31	1
1022	1	1
1022	2	1
1022	3	0
1022	4	0
1022	5	1
1022	10	1
1022	11	1
1022	12	1
1022	13	1
1022	14	1
1022	15	1
1022	16	1
1022	19	1
1022	20	1
1022	21	1
1022	22	0
1022	23	1
1022	26	1
1022	30	1
1022	31	1
1031	1	0
1031	2	0
1031	3	0
1031	4	0
1031	5	1
1031	10	1
1031	11	1
1031	12	0
1031	13	1
1031	14	1
1031	15	1
1031	16	1
1031	19	0
1031	20	0
1031	21	1
1031	22	0
1031	23	0
1031	26	1
1031	30	1
1031	31	1
1032	1	0
1032	2	0
1032	3	0
1032	4	0
1032	5	1
1032	10	1
1032	11	1
1032	12	0
1032	13	1
1032	14	1
1032	15	1
1032	16	1
1032	19	1
1032	20	1
1032	21	1
1032	22	0
1032	23	1
1032	26	1
1032	30	1
1032	31	0
2041	1	0
2041	2	0
2041	3	1
2041	4	0
2041	5	0
2041	10	0
2041	11	0
2041	12	0
2041	13	0
2041	14	1
2041	15	1
2041	16	1
2041	19	1
2041	20	1
2041	21	1
2041	22	1
2041	23	0
2041	26	1
2041	30	1
2041	31	1
2051	1	0
2051	2	0
2051	3	0
2051	4	0
2051	5	0
2051	10	0
2051	11	0
2051	12	0
2051	13	1
2051	14	1
2051	15	0
2051	16	1
2051	19	0
2051	20	0
2051	21	1
2051	22	1
2051	23	0
2051	26	1
2051	30	1
2051	31	0
2061	1	0
2061	2	0
2061	3	0
2061	4	0
2061	5	0
2061	10	1
2061	11	0
2061	12	0
2061	13	0
2061	14	0
2061	15	0
2061	16	0
2061	19	0
2061	20	0
2061	21	1
2061	22	1
2061	23	0
2061	26	1
2061	30	0
2061	31	0
2071	1	0
2071	2	0
2071	3	0
2071	4	0
2071	5	0
2071	10	1
2071	11	0
2071	12	0
2071	13	0
2071	14	0
2071	15	0
2071	16	0
2071	19	0
2071	20	0
2071	21	1
2071	22	1
2071	23	0
2071	26	1
2071	30	0
