PLACEID	HLTHIDR5	CURHFAC	TIMHFAC	TRNHFAC
1011	1	0	8	1
1011	2	1	 	 
1011	3	1	 	 
1011	4	1	 	 
1011	5	3	 	 
1011	6	0	7	1
1011	7	1	 	 
1011	8	3	 	 
1011	9	3	 	 
1011	10	3	 	 
1011	11	3	 	 
1011	12	3	 	 
1021	1	0	10	5
1021	2	3	 	 
1021	3	1	 	 
1021	4	1	 	 
1021	5	3	 	 
1021	6	1	 	 
1021	7	1	 	 
1021	8	1	 	 
1021	9	3	 	 
1021	10	3	 	 
1021	11	3	 	 
1021	12	3	 	 
1022	1	0	10	5
1022	2	3	 	 
1022	3	1	 	 
1022	4	1	 	 
1022	5	3	 	 
1022	6	0	5	5
1022	7	1	 	 
1022	8	3	 	 
1022	9	0	5	5
1022	10	3	 	 
1022	11	3	 	 
1022	12	3	 	 
1031	1	0	20	5
1031	2	1	 	 
1031	3	1	 	 
1031	4	0	5	5
1031	5	3	 	 
1031	6	1	 	 
1031	7	1	 	 
1031	8	3	 	 
1031	9	3	 	 
1031	10	3	 	 
1031	11	1	 	 
1031	12	3	 	 
1032	1	0	25	5
1032	2	0	10	5
1032	3	0	15	1
1032	4	1	 	 
1032	5	3	 	 
1032	6	0	15	5
1032	7	1	 	 
1032	8	3	 	 
1032	9	1	 	 
1032	10	3	 	 
1032	11	1	 	 
1032	12	3	 	 
2041	1	1	 	 
2041	2	3	 	 
2041	3	1	 	 
2041	4	1	 	 
2041	5	3	 	 
2041	6	1	 	 
2041	7	1	 	 
2041	8	1	 	 
2041	9	1	 	 
2041	10	77	 	 
2041	11	3	 	 
2041	12	1	 	 
2051	1	0	60	8
2051	2	3	 	 
2051	3	1	 	 
2051	4	0	60	8
2051	5	0	60	8
2051	6	1	 	 
2051	7	0	60	8
2051	8	3	 	 
2051	9	3	 	 
2051	10	3	 	 
2051	11	3	 	 
2051	12	1	 	 
2061	1	0	45	1
2061	2	0	60	6
2061	3	0	48	1
2061	4	0	50	1
2061	5	0	45	1
2061	6	0	45	1
2061	7	0	60	6
2061	8	0	60	6
2061	9	0	60	6
2061	10	1	 	 
2061	11	0	60	6
2061	12	1	 	 
2071	1	0	45	1
2071	2	3	 	 
2071	3	0	45	1
2071	4	0	30	1
2071	5	3	 	 
2071	6	0	45	1
2071	7	3	 	 
2071	8	3	 	 
2071	9	3	 	 
2071	10	3	 	 
2071	11	3	 	 
2071	12	1	 	 
3101	1	0	45	6
3101	2	0	45	6
3101	3	1	 	 
3101	4	1	 	 
3101	5	3	 	 
3101	6	3	 	 
3101	7	1	 	 
3101	8	3	 	 
3101	9	3	 	 
3101	10	3	 	 
3101	11	1	 	 
3101	12	1	 	 
3111	1	0	15	6
3111	2	0	15	6
3111	3	1	 	 
3111	4	1	 	 
3111	5	1	 	 
3111	6	0	15	6
3111	7	1	 	 
3111	8	0	15	6
3111	9	3	 	 
3111	10	3	 	 
3111	11	3	 	 
3111	12	1	 	 
4121	1	3	 	 
4121	2	3	 	 
4121	3	3	 	 
4121	4	0	10	15
4121	5	3	 	 
4121	6	0	10	15
4121	7	0	10	15
4121	8	3	 	 
4121	9	3	 	 
4121	10	3	 	 
4121	11	3	 	 
4121	12	1	 	 
4131	1	0	15	6
4131	2	0	15	6
4131	3	1	 	 
4131	4	1	 	 
4131	5	1	 	 
4131	6	1	 	 
4131	7	1	 	 
4131	8	1	 	 
4131	9	1	 	 
4131	10	3	 	 
4131	11	1	 	 
4131	12	1	 	 
4141	1	0	15	15
4141	2	0	10	15
4141	3	0	30	11
4141	4	1	 	 
4141	5	0	10	15
4141	6	0	10	15
4141	7	1	 	 
4141	8	77	 	 
4141	9	79	 	 
4141	10	77	 	 
4141	11	1	 	 
4141	12	1	 	 
4143	1	0	20	1
4143	2	0	10	1
4143	3	0	10	1
4143	4	0	10	1
4143	5	77	 	 
4143	6	0	15	1
4143	7	1	 	 
4143	8	3	 	 
4143	9	3	 	 
4143	10	3	 	 
4143	11	0	10	1
4143	12	0	10	1
4144	1	0	20	15
4144	2	0	60	1
4144	3	77	 	 
4144	4	1	 	 
4144	5	79	 	 
4144	6	0	20	1
4144	7	1	 	 
4144	8	0	20	1
4144	9	77	 	 
4144	10	77	 	 
4144	11	77	 	 
4144	12	77	 	 
4151	1	0	30	6
4151	2	0	140	6
4151	3	1	 	 
4151	4	3	 	 
4151	5	3	 	 
4151	6	0	30	6
4151	7	1	 	 
4151	8	3	 	 
4151	9	3	 	 
4151	10	3	 	 
4151	11	1	 	 
4151	12	1	 	 
4161	1	0	15	6
4161	2	0	15	6
4161	3	0	5	6
4161	4	0	5	6
4161	5	0	15	6
4161	6	0	15	6
4161	7	0	5	6
4161	8	0	5	6
4161	9	0	5	6
4161	10	3	 	 
4161	11	0	5	6
4161	12	1	 	 
5171	1	0	20	8
5171	2	0	30	8
5171	3	1	 	 
5171	4	0	30	8
5171	5	0	30	8
5171	6	1	 	 
5171	7	0	20	8
5171	8	1	 	 
5171	9	0	30	8
5171	10	77	 	 
5171	11	0	30	8
5171	12	1	 	 
5201	1	0	45	8
5201	2	0	45	8
5201	3	1	 	 
5201	4	0	45	8
5201	5	0	45	8
5201	6	0	45	8
5201	7	0	45	8
5201	8	0	45	8
5201	9	0	75	8
5201	10	77	 	 
5201	11	0	45	8
5201	12	0	45	8
