PLACEID	GBGEIDR5	GRBDIS	AVGCOL	COMTH
1011	1	1	2	1
1011	2	1	 	0
1011	3	0	 	 
1011	4	1	 	2
1011	5	1	 	3
1011	6	0	 	 
1011	8	0	 	 
1011	9	1	 	0
1011	10	0	 	 
1021	1	1	15	1
1021	2	1	 	0
1021	3	1	 	3
1021	4	1	 	2
1021	5	1	 	0
1021	6	0	 	 
1021	8	1	 	0
1021	9	0	 	 
1021	10	0	 	 
1022	1	1	12	1
1022	2	1	 	0
1022	3	1	 	3
1022	4	1	 	2
1022	5	1	 	0
1022	6	0	 	 
1022	8	1	 	0
1022	9	0	 	 
1022	10	0	 	 
1031	1	1	10	1
1031	2	1	 	0
1031	3	1	 	3
1031	4	1	 	2
1031	5	1	 	0
1031	6	0	 	 
1031	8	0	 	 
1031	9	0	 	 
1031	10	0	 	 
1032	1	1	20	1
1032	2	1	 	0
1032	3	1	 	3
1032	4	1	 	2
1032	5	1	 	0
1032	6	0	 	 
1032	8	0	 	 
1032	9	0	 	 
1032	10	0	 	 
2041	1	1	1	0
2041	2	1	 	0
2041	3	1	 	0
2041	4	1	 	0
2041	5	1	 	3
2041	6	1	 	2
2041	8	0	 	 
2041	9	1	 	1
2041	10	0	 	 
2051	1	0	 	 
2051	2	0	 	 
2051	3	0	 	 
2051	4	0	 	 
2051	5	0	 	 
2051	6	0	 	 
2051	8	0	 	 
2051	9	1	 	1
2051	10	0	 	 
2061	1	0	 	 
2061	2	0	 	 
2061	3	0	 	 
2061	4	0	 	 
2061	5	0	 	 
2061	6	1	 	1
2061	8	1	 	1
2061	9	1	 	1
2061	10	0	 	 
2071	1	0	 	 
2071	2	0	 	 
2071	3	0	 	 
2071	4	0	 	 
2071	5	0	 	 
2071	6	0	 	 
2071	8	0	 	 
2071	9	0	 	 
2071	10	0	 	 
3101	1	0	 	 
3101	2	1	 	1
3101	3	0	 	 
3101	4	0	 	 
3101	5	1	 	2
3101	6	0	 	 
3101	8	0	 	 
3101	9	1	 	3
3101	10	0	 	 
3111	1	0	 	 
3111	2	1	 	77
3111	3	0	 	 
3111	4	0	 	 
3111	5	1	 	77
3111	6	1	 	3
3111	8	1	 	1
3111	9	1	 	2
3111	10	0	 	 
4121	1	0	 	 
4121	2	1	 	1
4121	3	1	 	0
4121	4	1	 	2
4121	5	0	 	 
4121	6	1	 	0
4121	8	1	 	3
4121	9	1	 	0
4121	10	0	 	 
4131	1	0	 	 
4131	2	0	 	 
4131	3	0	 	 
4131	4	0	 	 
4131	5	0	 	 
4131	6	1	 	1
4131	8	1	 	2
4131	9	1	 	3
4131	10	0	 	 
4141	1	1	30	1
4141	2	0	 	 
4141	3	0	 	 
4141	4	1	 	1
4141	5	0	 	 
4141	6	1	 	2
4141	8	1	 	3
4141	9	1	 	0
4141	10	0	 	 
4143	1	1	4	1
4143	2	0	 	 
4143	3	0	 	 
4143	4	0	 	 
4143	5	0	 	 
4143	6	0	 	 
4143	8	0	 	 
4143	9	1	 	0
4143	10	0	 	 
4144	1	1	30	2
4144	2	0	 	 
4144	3	0	 	 
4144	4	0	 	 
4144	5	0	 	 
4144	6	0	 	 
4144	8	0	 	 
4144	9	1	 	0
4144	10	0	 	 
4151	1	0	 	 
4151	2	0	 	 
4151	3	0	 	 
4151	4	0	 	 
4151	5	0	 	 
4151	6	1	 	1
4151	8	1	 	3
4151	9	1	 	2
4151	10	0	 	 
4161	1	0	 	 
4161	2	0	 	 
4161	3	1	 	2
4161	4	0	 	 
4161	5	0	 	 
4161	6	0	 	 
4161	8	1	 	1
4161	9	1	 	3
4161	10	0	 	 
5171	1	0	 	 
5171	2	0	 	 
5171	3	1	 	2
5171	4	0	 	 
5171	5	0	 	 
5171	6	0	 	 
5171	8	1	 	1
5171	9	0	 	 
5171	10	0	 	 
5201	1	0	 	 
5201	2	0	 	 
5201	3	0	 	 
5201	4	0	 	 
5201	5	0	 	 
5201	6	0	 	 
5201	8	1	 	1
5201	9	0	 	 
5201	10	0	 	 
