PLACEID	MNTRIDR5	TRANS	TITRANS
1011	1	7	0
1011	2	6	0
1021	1	5	10
1021	2	1	20
1022	1	15	 
1022	2	1	10
1022	3	5	5
1031	1	5	5
1031	2	1	10
1031	3	6	5
1032	1	5	6
1032	2	1	15
1032	3	6	6
2041	1	7	270
2041	2	8	300
2041	3	6	250
2051	1	7	40
2051	2	8	50
2061	1	1	45
2061	2	2	25
2061	3	15	 
3101	1	13	-88
4121	1	15	 
4121	2	14	 
4121	3	7	10
4131	1	1	20
4131	2	4	5
4131	3	15	 
4141	1	6	0
4141	2	8	0
4141	3	15	 
4143	1	6	0
4144	1	1	0
4144	2	15	 
4144	3	4	0
4151	1	6	130
4161	1	1	50
4161	2	4	12
4161	3	6	10
5171	1	8	20
5171	2	7	15
5171	3	1	60
5201	1	8	15
5201	2	7	15
5201	3	1	15
