PLACEID	DISTIDR5	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
1021	1	12	2008	10	11	88	1	1	2	3
1021	2	6	2007	11	1	18	1	1	3	88
1021	3	6	2008	12	1	7	1	1	3	88
1022	1	12	2008	11	11	88	1	1	0	 
1022	2	6	2006	11	1	6	1	1	0	 
1022	3	6	2007	11	1	6	1	1	0	 
1031	1	12	2008	10	11	88	1	1	3	5
1031	2	6	2006	11	1	18	1	2	3	88
1032	1	12	2008	10	11	88	1	1	3	4
2051	1	3	2008	2	8	5	3	1	2	88
3101	1	6	2008	1	18	1	1	0	 	 
3111	1	 	 	 	 	 	 	 	 	 
4121	1	3	2007	7	1	3	1	0	 	 
4121	2	6	2008	9	1	4	1	1	0	 
4143	1	 	 	 	 	 	 	 	 	 
5171	1	3	2008	5	10	16	3	1	88	 
5171	2	9	2008	6	11	88	1	1	88	 
5171	3	88	-77	77	88	88	-88	88	 	 
5201	1	3	2007	4	5	16	1	1	2	3
5201	2	12	2007	4	11	77	3	1	2	77
