PLACEID	LCPRIDR5	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102
1011	0	15	15	4	15	15	5
1011	1	11	1	4	11	1	5
1011	2	300	1	4	400	2	5
1011	3	90	1	4	80	4	5
1011	4	120	1	4	100	3	3
1011	5	30	1	5	25	1	4
1011	6	80	1	5	80	1	4
1011	7	5	7	5	5	7	4
1011	8	3	9	5	3	9	4
1011	9	7	9	5	7	9	4
1011	10	8	9	5	8	9	4
1011	11	12	1	5	13	1	4
1011	12	20	1	5	20	1	4
1011	13	16	1	5	14	1	4
1011	14	-77	77	5	-77	77	4
1011	15	-77	77	5	-77	77	4
1011	16	17	1	5	20	1	4
1011	17	15	1	5	16	1	4
1011	18	7	2	5	7	1	3
1011	19	8	1	5	7.5	1	4
1011	20	5	1	5	5.5	1	4
1011	21	6	1	5	5.5	1	4
1011	22	6	1	5	5.5	1	4
1011	23	16	1	5	16	1	4
1011	24	50	1	4	50	1	5
1011	25	18	1	5	20	1	1
1011	26	22	1	4	26	1	5
1011	27	25	1	4	26	1	5
1011	28	15	1	5	15	1	3
1011	29	-77	88	5	0	88	4
1011	30	20	1	5	20	1	5
1011	31	22	1	1	22	1	5
1011	32	180	1	4	200	1	5
1011	33	3	1	5	3.5	1	4
1011	34	30	1	4	30	1	5
1011	35	36	4	4	40	1	5
1011	36	-77	88	1	-77	88	5
1011	37	48	1	5	50	1	4
1011	38	-77	88	5	-77	88	4
1011	39	76	1	5	75	1	4
1011	40	220	6	5	200	6	4
1011	41	250	6	5	250	6	4
1011	42	300	7	5	320	7	3
1011	43	260	6	5	280	6	4
1011	44	-77	88	5	-77	88	4
1011	45	-77	88	5	-77	88	4
1011	46	50	1	5	60	1	4
1011	47	40	1	5	50	1	4
1011	48	90	1	5	95	1	4
1011	49	-77	88	4	-77	88	5
1011	50	20	2	5	25	1	4
1011	51	8	1	5	10	1	4
1011	52	30	2	5	75	1	4
1011	53	10	1	4	10	1	5
1011	54	80	1	4	90	1	5
1011	55	-77	88	5	-77	88	4
1011	56	1.5	1	5	1.5	1	4
1011	57	60	1	5	65	1	4
1011	58	7	1	5	7	1	4
1011	59	20	1	4	20	1	5
1011	60	15	2	5	15	1	4
1011	61	30	1	5	30	1	4
1011	62	12	1	5	12	1	4
1011	63	30	1	5	40	1	4
1011	64	6	1	5	6	1	4
1011	65	40	1	4	40	1	5
1011	66	12	1	5	14	1	4
1011	67	-77	88	5	-77	88	4
1011	68	60	1	5	60	1	4
1011	69	30	1	4	30	1	5
1011	70	-77	88	5	-77	88	4
1011	71	130	1	5	130	1	3
1021	0	-88	88	9	-88	88	10
1021	1	20	1	9	18	1	10
1021	2	180	1	13	200	1	14
1021	3	150	1	13	170	1	14
1021	4	180	1	13	200	1	14
1021	5	250	1	13	300	1	14
1021	6	230	1	13	200	1	14
1021	7	14	9	19	11	10	20
1021	8	.25	9	19	.200000002980232	10	20
1021	9	1.10000002384186	9	19	1	10	20
1021	10	.800000011920929	9	19	.400000005960464	10	20
1021	11	13	1	9	15	1	10
1021	12	88	1	9	85	1	10
1021	13	13.5	1	9	13.5	1	10
1021	14	-88	88	9	-88	88	10
1021	15	-88	88	9	-88	88	10
1021	16	21	1	11	19	1	12
1021	17	13	1	11	15	1	12
1021	18	11	1	11	12	1	12
1021	19	8	1	11	10	1	12
1021	20	6	1	11	6	1	12
1021	21	8	1	11	11	1	12
1021	22	8	1	11	10	1	12
1021	23	28	1	11	43	1	12
1021	24	40	1	11	45	1	12
1021	25	18	1	11	15	1	12
1021	26	30	1	11	20	1	12
1021	27	24	1	11	36	1	12
1021	28	-88	88	11	-88	88	12
1021	29	-88	88	11	-88	88	12
1021	30	24	1	9	24	1	10
1021	31	28	1	9	28	1	10
1021	32	-88	88	9	-88	88	10
1021	33	3.5	1	9	3.5	1	10
1021	34	35	1	11	28	1	12
1021	35	30	1	11	30	1	12
1021	36	-88	88	11	-88	88	12
1021	37	20	1	11	28	1	12
1021	38	25	1	11	30	1	12
1021	39	40	1	11	30	1	12
1021	40	120	6	21	100	6	22
1021	41	-88	88	21	-88	88	22
1021	42	-88	88	21	-88	88	22
1021	43	-88	88	21	-88	88	22
1021	44	-88	88	21	-88	88	22
1021	45	200	1	23	150	1	24
1021	46	28	1	15	28	1	16
1021	47	15	1	15	15	1	16
1021	48	110	1	9	120	1	10
1021	49	-88	88	9	-88	88	10
1021	50	18.3999996185303	1	9	18.3999996185303	1	10
1021	51	6	1	9	6	1	10
1021	52	65	1	9	60	1	10
1021	53	40	5	17	35	3	18
1021	54	45	1	9	50	1	10
1021	55	-88	88	9	-88	88	10
1021	56	1.29999995231628	1	9	1.29999995231628	1	10
1021	57	-88	88	11	-88	88	12
1021	58	8	5	17	7	3	18
1021	59	10	5	17	10	3	18
1021	60	25	5	17	20	3	18
1021	61	60	5	17	50	3	18
1021	62	10	5	17	10	3	18
1021	63	55	5	17	50	3	18
1021	64	35	5	17	32	3	18
1021	65	40	5	17	36	3	18
1021	66	7.5	5	17	6	3	18
1021	67	10	5	17	10	3	18
1021	68	-88	88	9	-88	88	10
1021	69	30	1	11	32	1	12
1021	70	-88	88	11	-88	88	12
1021	71	-88	88	9	-88	88	10
1022	0	-88	88	7	-88	88	8
1022	1	23	1	7	20	1	8
1022	2	150	1	13	180	1	14
1022	3	80	1	13	100	1	14
1022	4	160	1	13	200	1	14
1022	5	220	1	13	200	1	14
1022	6	150	1	13	180	1	14
1022	7	5	9	15	-88	88	15
1022	8	.200000002980232	9	15	-88	88	15
1022	9	.600000023841858	9	15	-88	88	15
1022	10	1.10000002384186	9	15	-88	88	15
1022	11	15	1	7	15	1	8
1022	12	80	1	7	83	1	8
1022	13	13	1	7	13	1	8
1022	14	-88	88	7	-88	88	8
1022	15	-88	88	7	-88	88	8
1022	16	19	1	9	20	1	10
1022	17	15	1	9	14.5	1	10
1022	18	12	1	9	12	1	10
1022	19	6.5	1	9	7	1	10
1022	20	6	1	9	7	1	10
1022	21	9	1	9	11	1	10
1022	22	10	1	9	9	1	10
1022	23	40	1	9	40	1	10
1022	24	45	1	9	40	1	10
1022	25	18	1	9	17	1	10
1022	26	35	1	9	35	1	10
1022	27	40	1	9	42	1	10
1022	28	30	1	9	-88	88	10
1022	29	-88	88	9	-88	88	10
1022	30	20	1	7	24	1	8
1022	31	24	1	7	28	1	8
1022	32	200	1	7	180	1	8
1022	33	3	1	7	3.5	1	8
1022	34	30	1	9	32	1	10
1022	35	-88	88	9	-88	88	10
1022	36	-88	88	9	-88	88	10
1022	37	20	1	9	26	1	10
1022	38	28	1	9	26	1	10
1022	39	35	1	9	35	1	10
1022	40	140	6	18	120	6	19
1022	41	-88	88	18	-88	88	19
1022	42	120	6	18	120	6	19
1022	43	200	6	18	-88	88	19
1022	44	-88	88	18	-88	88	19
1022	45	80	1	20	240	1	21
1022	46	28	1	16	28	1	17
1022	47	15	1	16	15	1	17
1022	48	100	1	7	110	1	8
1022	49	-88	88	7	-88	88	8
1022	50	18.5	1	7	18.3999996185303	1	8
1022	51	7	1	7	6	1	8
1022	52	60	1	7	55	1	8
1022	53	45	1	11	40	1	12
1022	54	50	1	11	70	1	7
1022	55	-88	88	7	-88	88	8
1022	56	1.29999995231628	1	7	1.29999995231628	1	8
1022	57	30	1	7	-88	88	8
1022	58	7	1	11	7	1	12
1022	59	25	1	11	16	1	12
1022	60	22	1	11	20	1	12
1022	61	50	1	11	55	1	12
1022	62	8	1	11	8	1	12
1022	63	55	1	11	52	1	12
1022	64	35	1	11	30	1	12
1022	65	48	1	11	35	1	12
1022	66	8	1	11	7.5	1	12
1022	67	10	1	11	10	1	12
1022	68	40	1	7	-88	88	8
1022	69	32	1	9	32	1	10
1022	70	-88	88	9	-88	88	10
1022	71	225	1	7	200	1	8
1031	0	152.240005493164	3	9	-88	88	9
1031	1	12.5	1	11	11	3	9
1031	2	270	1	17	300	1	20
1031	3	180	1	17	220	1	20
1031	4	110	1	17	90	1	20
1031	5	270	1	17	320	1	20
1031	6	130	1	17	145	1	20
1031	7	2.5	9	14	2.25	10	19
1031	8	.25	9	14	.25	10	19
1031	9	.119999997317791	9	14	.100000001490116	10	19
1031	10	.330000013113022	9	14	.330000013113022	10	19
1031	11	15	1	9	18	1	11
1031	12	100	1	9	90	1	11
1031	13	12.6000003814697	1	9	12.6000003814697	1	11
1031	14	-88	1	9	-88	1	11
1031	15	-88	1	9	-88	1	11
1031	16	24	1	7	22.5	2	8
1031	17	22	1	7	19	2	8
1031	18	12	1	7	11	2	8
1031	19	15	1	7	13	2	8
1031	20	8.5	1	7	7.59999990463257	2	8
1031	21	14	1	7	11	2	8
1031	22	14	1	7	-88	2	8
1031	23	35	1	7	-88	2	8
1031	24	57	1	7	45	2	8
1031	25	30	1	7	22	2	8
1031	26	26	1	7	24	2	8
1031	27	26	1	7	23	2	8
1031	28	18	1	7	-88	2	8
1031	29	-88	1	7	-88	2	8
1031	30	24	1	11	20	1	15
1031	31	32	1	11	30	1	15
1031	32	200	1	15	230	1	15
1031	33	4	1	11	3.5	1	15
