childid	id	age	sex	relate	still	yrschool	disabled	support
ET011024	4	21	1	5	2	11	2	2
ET011024	5	18	1	5	1	9	2	2
ET011024	6	14	1	5	1	7	2	2
ET011024	7	12	1	5	1	6	2	2
ET011025	1	45	1	1	2	13	2	1
ET011025	2	38	1	4	2	5	2	2
ET011025	3	30	2	4	2	2	2	2
ET011025	4	20	2	5	2	12	2	1
ET011025	5	18	2	5	1	8	2	2
ET011025	6	17	2	5	1	7	2	2
ET011025	7	14	2	5	1	7	2	2
ET011025	8	10	2	5	1	4	2	2
ET011025	15	3	1	5	 	 	2	 
ET011025	16	1	2	5	 	 	 	 
ET011026	1	50	1	3	2	12	2	2
ET011026	2	45	2	3	2	0	2	1
ET011026	3	20	1	13	1	12	2	2
ET011026	4	24	1	13	2	9	2	2
ET011026	5	18	2	13	1	12	2	2
ET011026	6	16	2	13	1	6	2	2
ET011026	7	12	2	13	1	5	2	2
ET011027	1	27	2	1	2	3	2	1
ET011027	2	25	2	4	2	4	2	2
ET011027	3	23	2	4	2	5	2	2
ET011027	4	22	1	4	2	5	2	2
ET011027	5	21	2	4	2	5	2	2
ET011027	6	18	2	4	2	2	2	2
ET011027	15	4	1	13	 	 	2	 
ET011028	1	45	1	1	2	3	2	2
ET011028	2	37	2	1	2	0	2	1
ET011028	3	25	2	5	2	5	2	2
ET011028	4	19	1	5	2	5	2	2
ET011028	5	17	2	5	2	0	2	2
ET011028	6	13	2	5	2	0	2	2
ET011028	7	11	1	5	1	3	2	2
ET011028	15	4	2	5	 	 	1	 
ET011029	1	43	2	1	2	3	2	1
ET011029	2	26	1	5	2	3	1	2
ET011029	3	23	2	5	2	5	2	2
ET011029	4	19	1	5	2	4	2	2
ET011029	5	15	2	5	1	6	2	2
ET011029	15	3	1	5	 	 	2	 
ET011030	1	44	2	4	2	3	2	1
ET011030	2	20	2	5	2	0	2	2
ET011030	3	18	2	5	2	0	2	2
ET011031	1	50	1	1	2	7	2	1
ET011031	2	35	2	1	2	5	2	2
ET011031	3	23	1	5	2	12	2	2
ET011031	4	21	1	5	1	7	2	2
ET011031	5	18	1	5	1	8	2	2
ET011031	6	16	2	5	1	6	2	2
ET011031	7	14	1	5	1	3	2	2
ET011031	8	11	1	5	1	1	2	2
ET011031	15	4	2	5	 	 	2	 
ET011032	1	36	1	1	2	4	2	1
ET011032	2	26	2	1	2	0	2	2
ET011032	3	20	1	4	1	5	2	2
ET011032	4	37	1	4	2	4	2	2
ET011032	5	5	2	5	 	 	2	 
ET011032	15	3	1	5	 	 	2	 
ET011032	16	0	2	5	 	 	2	 
ET011033	1	56	1	1	2	7	2	1
ET011033	2	37	2	1	2	0	2	2
ET011033	3	20	2	5	1	8	2	2
ET011033	4	17	1	5	1	7	2	2
ET011033	5	14	2	5	1	5	2	2
ET011033	6	11	1	5	1	4	2	2
ET011034	1	75	2	4	2	0	2	2
ET011034	2	45	1	1	2	0	2	1
ET011034	3	38	2	1	2	0	2	2
ET011034	4	19	2	5	1	1	2	2
ET011034	5	17	1	5	1	4	2	2
ET011034	6	6	1	5	1	0	2	2
ET011034	15	4	2	5	 	 	2	 
ET011035	1	30	2	1	2	0	2	1
ET011036	1	45	1	1	2	7	2	1
ET011036	2	40	2	1	2	0	2	2
ET011036	3	26	1	5	2	10	2	2
ET011036	4	24	2	5	2	9	2	2
ET011036	5	19	2	5	2	9	2	2
ET011036	6	17	2	5	1	9	2	2
ET011036	7	15	2	5	1	8	2	2
