childid	id	age	sex	relate	still	yrschool	disabled	support
ET031028	4	32	1	4	2	12	2	2
ET031028	5	30	2	4	2	12	2	2
ET031028	6	28	1	4	2	12	2	1
ET031028	7	26	1	4	2	12	2	2
ET031028	8	7	1	5	1	2	2	2
ET031028	9	15	2	7	2	0	2	2
ET031029	1	45	1	3	2	0	2	2
ET031029	2	40	2	3	2	 	2	2
ET031029	3	29	1	4	2	5	2	2
ET031029	4	28	1	4	2	0	2	2
ET031029	5	21	2	1	2	0	2	1
ET031029	6	20	1	4	2	0	2	2
ET031029	7	20	1	4	2	3	1	2
ET031029	8	17	2	4	1	1	2	2
ET031029	9	14	1	4	1	6	2	2
ET031030	1	70	2	3	2	0	2	2
ET031030	2	47	1	1	2	8	2	1
ET031030	3	35	2	1	2	0	2	2
ET031030	4	16	1	5	2	7	2	2
ET031030	5	12	1	5	1	3	2	2
ET031030	6	12	1	6	2	0	2	2
ET031030	7	10	1	5	1	3	2	2
ET031030	8	5	2	5	2	0	2	2
ET031031	1	45	1	1	2	6	2	1
ET031031	2	30	2	1	2	7	2	1
ET031031	3	16	1	5	1	9	2	2
ET031031	4	14	1	5	1	8	2	2
ET031031	5	12	2	5	1	6	2	2
ET031031	6	11	2	5	1	4	2	2
ET031032	1	38	1	1	1	4	2	1
ET031032	2	30	2	1	2	12	2	2
ET031032	15	0	2	5	 	 	2	 
ET031033	1	56	2	4	2	2	2	1
ET031033	2	60	1	13	2	0	2	2
ET031033	4	7	1	6	1	0	2	2
ET031033	5	7	2	6	1	0	2	2
ET031034	1	70	1	3	2	0	2	2
ET031034	2	50	2	3	2	2	2	2
ET031034	3	28	2	1	2	10	2	1
ET031034	4	23	1	4	2	10	2	2
ET031034	5	21	1	4	2	10	2	2
ET031034	6	17	2	4	2	10	2	2
ET031034	7	13	2	4	1	6	2	2
ET031034	8	10	2	4	1	2	2	2
ET031035	1	41	2	1	2	12	2	1
ET031036	1	40	1	1	2	12	2	1
ET031036	2	25	2	1	2	5	2	2
ET031036	3	6	1	5	1	0	2	2
ET031037	1	55	2	3	2	3	1	2
ET031037	2	32	2	1	2	10	2	1
ET031037	3	27	1	4	2	12	2	2
ET031037	4	11	2	4	1	4	2	2
ET031037	5	17	2	6	2	3	2	2
ET031037	6	60	1	3	2	0	2	2
ET031038	1	53	2	3	2	0	2	1
ET031038	2	33	2	1	2	10	2	2
ET031038	3	25	1	4	2	10	2	2
ET031039	1	44	1	1	2	 	2	1
ET031039	2	35	2	1	2	3	2	1
ET031039	3	21	1	5	1	7	2	2
ET031039	4	17	2	5	1	5	1	2
ET031039	5	11	2	5	1	5	2	2
ET031040	1	50	2	3	2	0	1	1
ET031040	2	30	1	4	2	12	2	1
ET031040	3	29	1	4	2	9	2	1
ET031040	4	20	2	4	2	8	2	2
ET031040	5	18	1	4	1	9	2	2
ET031040	6	13	2	4	1	5	2	2
ET031040	15	2	1	13	 	 	2	 
ET031041	1	48	1	1	2	10	2	1
ET031041	2	50	2	1	2	2	2	1
ET031041	3	31	2	 	2	6	2	2
ET031041	4	14	1	5	1	8	2	2
ET031041	5	13	2	5	1	8	2	2
ET031041	15	1	2	13	 	 	2	 
ET031042	1	35	1	1	2	9	2	1
ET031042	2	27	2	1	2	4	2	2
ET031042	3	20	1	5	2	6	2	2
ET031042	4	18	2	5	2	10	2	2
ET031042	5	16	1	5	1	10	2	2
ET031042	6	15	2	5	2	8	2	2
ET031042	7	13	1	5	1	7	2	2
ET031042	8	11	2	5	1	5	2	2
ET031042	9	18	2	4	2	0	2	2
ET031042	10	16	1	4	2	3	2	2
ET031042	11	20	1	4	1	5	2	2
ET031042	12	27	2	4	2	0	2	2
ET031042	13	17	2	13	1	0	2	2
ET031042	15	4	1	5	 	 	2	 
ET031042	16	3	1	5	 	 	2	 
ET031043	1	50	1	1	2	6	2	1
ET031043	2	49	2	1	2	8	2	1
ET031043	3	27	1	5	2	12	2	2
ET031043	4	25	2	5	1	10	2	2
ET031043	5	22	1	5	2	10	1	2
ET031043	6	20	2	5	2	8	2	2
ET031043	7	15	2	5	2	0	1	2
ET031043	8	13	2	5	1	7	2	2
ET031043	9	10	1	5	1	4	1	2
ET031044	1	40	2	1	2	0	2	1
ET031044	2	24	1	5	2	9	1	2
ET031044	3	7	2	5	1	0	2	2
ET031045	1	60	2	3	2	0	1	1
ET031045	2	35	2	4	2	11	2	1
ET031046	1	50	1	1	2	0	2	1
ET031046	2	40	2	2	2	0	2	1
ET031047	1	59	1	1	2	5	2	2
ET031047	2	38	2	1	2	0	2	1
ET031047	3	22	1	5	2	12	1	1
ET031047	4	18	2	5	2	9	1	1
ET031048	1	23	2	1	2	12	2	1
ET031048	2	20	1	4	1	9	2	1
ET031049	1	28	2	1	2	8	2	1
ET031049	2	17	2	5	1	8	2	2
ET031050	1	36	2	1	2	8	2	2
ET031050	2	35	1	1	2	9	2	2
ET031050	3	14	1	5	1	7	2	2
ET031050	4	10	2	5	1	4	2	2
ET031050	5	5	1	5	 	 	2	 
ET041001	1	52	1	1	2	3	1	1
ET041001	2	49	2	1	2	0	2	1
ET041001	3	25	2	5	2	6	1	2
ET041001	4	24	1	4	1	7	2	1
ET041001	5	20	1	5	1	11	2	1
ET041001	6	15	1	5	1	5	2	2
ET041001	7	11	2	5	1	4	2	2
ET041001	8	6	2	5	1	0	2	2
ET041002	1	35	1	1	2	0	2	1
ET041002	2	22	2	2	2	0	2	1
ET041002	3	6	2	5	2	0	2	2
ET041002	15	3	1	5	 	 	2	 
ET041003	1	52	1	1	2	0	2	1
ET041003	2	38	2	1	1	5	2	1
ET041003	15	4	2	5	 	 	2	 
ET041003	16	1	1	5	 	 	2	 
ET041004	1	15	2	5	1	5	2	1
ET041005	1	50	1	1	2	0	1	1
ET041005	2	40	2	1	2	3	2	1
ET041005	3	10	2	5	1	2	2	2
ET041005	4	7	1	5	1	1	2	2
ET041006	1	55	1	2	2	3	1	1
ET041006	2	42	2	1	2	0	2	1
ET041006	3	20	1	5	1	6	2	2
ET041006	4	19	1	6	1	8	2	2
ET041007	1	50	2	3	2	0	2	1
ET041007	2	18	1	6	1	8	2	1
ET041007	3	15	2	4	1	6	2	2
ET041007	4	11	1	4	1	4	2	2
ET041008	1	40	2	1	2	0	2	1
ET041008	2	12	1	5	1	4	2	2
ET041008	15	3	1	5	 	 	2	 
ET041009	1	30	2	1	1	8	2	1
ET041009	2	62	2	3	2	0	2	2
ET041009	3	20	1	5	2	8	2	2
ET041009	4	18	2	4	1	9	2	2
ET041009	5	16	2	5	1	9	2	2
ET041009	6	13	2	5	1	6	2	2
ET041009	7	5	2	5	2	0	2	2
ET041010	1	22	2	5	2	0	2	1
ET041011	1	52	1	1	2	12	2	1
ET041011	2	45	2	1	2	12	2	1
ET041011	3	19	2	5	2	10	2	1
ET041011	4	17	2	5	1	7	2	1
ET041011	5	15	2	5	1	7	2	1
ET041011	6	13	2	13	1	3	2	2
ET041012	1	48	1	1	2	6	2	1
ET041012	2	39	2	1	2	0	2	1
ET041012	3	14	2	5	1	7	2	1
ET041012	15	4	1	5	 	 	2	 
ET041012	16	2	2	5	 	 	2	 
ET041013	1	45	2	3	2	0	1	2
ET041013	2	24	1	4	1	3	2	1
ET041013	3	19	2	1	1	7	2	1
ET041014	1	45	1	1	2	6	1	1
ET041014	2	27	2	1	2	3	2	1
ET041014	3	18	1	4	1	9	2	1
ET041014	4	14	2	5	1	8	2	1
ET041014	5	10	2	5	1	5	2	1
ET041014	6	8	2	5	1	4	2	2
ET041015	1	76	1	3	2	0	2	1
ET041015	2	58	2	3	2	4	2	1
ET041015	3	19	1	4	1	11	2	2
ET041015	4	17	2	4	1	10	2	2
ET041015	5	21	2	4	2	6	2	1
ET041016	1	29	1	1	2	10	2	1
ET041016	2	27	2	1	2	8	2	1
ET041016	15	2	1	5	 	 	2	 
ET041017	1	47	1	1	1	15	2	1
ET041017	2	21	2	1	2	12	2	1
ET041017	3	22	2	5	1	15	2	2
ET041017	4	20	1	5	1	14	2	2
ET041017	5	16	2	5	1	10	2	2
ET041017	6	13	2	5	1	8	2	2
ET041017	7	10	2	5	1	6	2	2
ET041018	1	38	1	1	2	12	2	1
ET041018	2	24	2	1	1	5	2	1
ET041018	3	14	2	4	1	8	2	2
ET041018	4	10	2	5	1	4	2	1
ET041018	5	9	2	5	1	1	2	2
ET041018	15	4	1	5	 	 	2	 
ET041019	1	40	2	1	2	 	2	1
ET041020	1	47	1	1	2	12	2	1
ET041020	2	38	2	1	2	6	2	1
ET041020	3	15	2	5	1	10	2	1
ET041020	4	6	2	5	1	1	2	2
ET041021	1	55	1	1	2	0	2	1
ET041021	2	80	2	13	2	0	1	2
ET041021	3	38	2	1	2	0	2	1
ET041021	4	19	1	5	1	7	2	2
ET041021	5	16	2	5	1	7	2	2
ET041021	6	9	2	5	1	1	2	2
ET041022	1	30	2	1	2	0	2	1
ET041022	2	15	2	5	1	7	2	2
ET041022	3	12	1	5	1	3	2	2
ET041022	4	10	2	5	1	5	1	2
ET041023	1	29	2	1	2	0	2	1
ET041023	15	3	1	5	 	 	2	 
ET041024	1	22	2	1	2	3	2	1
ET041024	15	2	1	5	 	 	2	 
ET041025	1	58	1	1	2	0	2	1
ET041025	2	39	2	1	2	0	2	1
ET041025	3	22	2	5	2	10	2	1
ET041025	4	17	2	5	1	10	2	1
ET041025	5	14	1	5	1	7	2	2
ET041025	6	11	1	5	1	6	2	2
ET041025	7	6	2	5	2	0	2	2
ET041026	1	42	1	1	2	4	2	1
ET041026	2	35	2	1	2	0	2	1
ET041026	3	14	2	5	1	7	2	1
ET041026	4	10	1	5	1	5	2	2
ET041026	5	17	1	7	2	0	2	2
ET041026	15	4	1	5	 	 	2	 
ET041026	16	2	2	5	 	 	2	 
ET041027	1	29	1	2	2	7	2	1
ET041027	2	30	2	1	2	7	2	1
ET041027	15	4	2	5	 	 	2	 
ET041028	1	45	2	1	2	0	2	1
ET041028	2	18	2	5	1	3	2	1
ET041029	1	30	1	2	2	0	2	1
ET041029	2	32	2	13	2	0	1	1
ET041030	1	60	1	3	2	0	1	1
ET041030	2	50	2	3	2	0	2	1
ET041030	3	25	2	4	1	5	2	1
ET041030	4	18	1	4	1	3	2	1
ET041031	1	27	2	1	2	12	2	1
ET041032	1	35	1	1	2	0	2	1
ET041032	2	25	2	1	2	0	2	1
ET041032	3	14	1	5	1	7	2	1
ET041032	4	10	2	5	1	3	2	2
ET041032	5	7	1	5	1	1	2	2
ET041033	1	40	1	2	1	10	2	1
ET041033	2	35	2	1	2	0	2	1
ET041034	1	50	1	1	2	0	2	1
ET041034	2	45	2	1	2	0	2	1
ET041034	3	20	1	5	1	8	2	2
ET041034	4	17	1	5	1	7	2	2
ET041034	5	11	1	5	1	5	2	2
ET041035	1	30	1	1	2	0	2	1
ET041035	2	20	2	1	2	3	2	1
ET041035	15	2	1	5	 	 	1	 
ET041036	1	26	2	1	2	2	2	1
ET041036	15	3	2	5	 	 	2	 
ET041037	1	42	1	1	2	3	2	1
ET041037	2	35	2	1	2	3	2	1
ET041037	3	5	2	5	2	0	2	2
ET041037	4	15	2	5	1	9	2	2
ET041037	5	11	2	5	1	3	2	2
ET041037	15	0	1	5	 	 	2	 
ET041038	1	48	1	1	2	13	2	1
ET041038	2	28	2	1	2	3	2	1
ET041038	3	18	1	4	1	10	2	2
ET041038	4	15	1	4	1	5	2	2
ET041038	15	3	1	5	 	 	2	 
ET041039	1	27	2	1	2	5	2	1
ET041039	2	10	1	5	1	3	2	2
ET041040	1	30	2	1	1	9	2	1
ET041040	2	30	1	2	1	6	2	1
ET041040	3	11	2	5	1	6	2	2
ET041041	1	35	1	1	2	 	2	1
ET041041	2	30	2	1	2	1	2	2
ET041041	3	10	1	5	1	5	2	2
ET041042	1	60	1	1	2	3	2	1
ET041042	2	35	2	1	2	 	2	1
ET041042	3	15	2	5	1	7	2	2
ET041042	4	14	2	5	1	7	2	2
ET041042	5	11	1	5	1	5	2	2
ET041042	15	4	2	5	 	 	2	 
ET041043	1	37	2	1	2	12	2	1
ET041043	2	27	2	6	2	4	2	2
ET041043	3	25	2	7	2	0	2	2
ET041043	4	20	2	7	2	0	2	2
ET041043	5	13	2	5	1	8	2	2
ET041044	1	77	2	6	2	0	2	2
ET041044	2	41	2	1	2	 	2	1
ET041044	3	20	1	5	1	9	2	2
ET041044	4	14	2	5	1	6	2	2
ET041044	5	10	2	5	1	2	2	2
ET041045	1	40	1	1	2	2	2	1
ET041045	2	30	2	1	2	4	2	1
ET041045	15	4	1	5	 	 	2	 
ET041046	1	21	1	5	1	10	2	1
ET041046	2	18	2	5	1	6	2	1
ET041046	3	15	2	5	1	4	2	1
ET041046	4	11	1	5	1	5	2	1
ET041046	5	6	2	5	2	0	2	2
ET041047	1	45	1	1	2	3	1	1
ET041047	2	38	2	1	2	0	1	1
ET041047	3	19	1	5	 	 	1	2
ET041047	4	15	1	5	1	1	1	2
ET041047	5	11	1	5	1	4	1	2
ET041047	15	4	1	5	 	 	1	 
ET041048	1	29	2	1	2	14	2	1
ET041048	2	13	2	5	1	7	2	2
ET041049	1	55	2	3	2	0	2	1
ET041049	2	30	2	4	2	7	2	1
ET041049	3	17	2	6	2	0	2	2
ET041049	4	7	1	6	1	1	2	2
ET041050	1	47	1	1	2	0	2	1
ET041050	2	35	2	1	2	0	2	1
ET041050	3	14	1	5	1	2	2	2
ET041050	4	12	2	5	1	2	2	2
ET041050	5	6	1	5	2	0	2	2
ET051001	1	38	1	1	2	0	2	1
ET051001	2	33	2	1	2	0	2	1
ET051001	3	16	2	5	1	6	2	2
ET051001	4	13	2	5	1	4	2	2
ET051001	5	11	1	5	1	2	2	2
ET051002	1	50	1	1	 	0	2	2
ET051002	2	38	2	1	 	0	2	2
ET051002	3	19	1	5	1	5	2	2
ET051002	4	16	2	5	1	4	2	1
ET051002	5	13	2	5	1	3	2	2
ET051002	6	10	1	5	2	0	2	2
ET051002	7	6	1	5	2	0	2	2
ET051002	15	4	1	5	 	 	2	 
ET051002	16	4	2	5	 	 	2	 
ET051003	1	45	2	1	 	0	2	1
ET051003	2	25	1	5	 	0	2	2
ET051003	3	20	1	5	1	9	2	2
ET051003	4	7	1	5	1	2	2	2
ET051003	15	4	1	 	 	 	2	 
ET051004	1	40	2	1	2	0	2	1
ET051004	2	11	2	5	2	2	2	2
ET051005	1	35	1	1	2	0	2	1
ET051005	2	30	2	1	2	0	2	1
ET051005	3	11	1	5	1	2	2	2
ET051005	4	6	2	5	2	0	2	2
ET051005	15	2	2	5	 	 	2	 
ET051006	1	48	1	1	2	3	2	1
ET051006	2	41	2	1	2	0	2	1
ET051006	3	14	1	5	1	6	2	2
ET051006	4	12	2	5	1	2	2	2
ET051006	5	6	1	5	2	0	2	2
ET051006	15	1	1	5	 	 	2	 
ET051007	1	45	1	1	2	0	2	1
ET051007	2	40	2	1	2	0	2	1
ET051007	3	20	1	5	1	7	2	2
ET051007	4	17	2	5	1	4	2	2
ET051007	5	15	1	5	2	0	2	2
ET051007	6	13	1	5	1	5	2	2
ET051007	7	11	2	5	1	2	2	2
ET051008	1	30	2	1	2	0	2	1
ET051008	2	10	1	5	1	3	2	2
ET051008	3	5	2	5	2	0	2	2
ET051009	1	28	2	4	2	0	2	1
ET051009	2	12	1	6	1	3	2	2
ET051010	1	48	1	2	2	0	2	1
ET051010	2	35	2	1	2	0	2	1
ET051010	3	12	2	5	2	2	2	2
ET051010	4	10	1	5	2	0	2	2
ET051010	15	3	2	5	 	 	2	 
ET051011	1	35	2	1	2	0	2	1
ET051011	2	5	1	5	2	0	2	2
ET051011	15	2	2	5	 	 	2	 
ET051012	1	43	1	1	2	6	2	1
ET051012	2	38	2	1	2	 	2	1
ET051012	3	11	2	5	1	4	2	2
ET051012	4	22	1	7	2	 	2	2
ET051012	5	20	2	7	2	0	2	2
ET051012	6	16	1	7	2	0	2	2
ET051012	7	19	2	4	2	12	2	2
ET051012	8	10	1	13	1	0	2	2
ET051012	15	4	2	5	 	 	2	 
ET051013	1	38	2	1	2	2	2	1
ET051013	2	14	1	5	2	0	2	1
ET051013	3	18	2	5	1	2	2	1
ET051013	4	9	1	5	2	1	2	1
ET051013	15	4	1	5	 	 	1	 
ET051013	16	2	1	5	 	 	1	 
ET051014	1	30	2	1	2	0	2	1
ET051014	2	10	2	5	1	2	2	2
ET051014	15	0	2	5	 	 	2	 
ET051015	1	35	2	1	 	0	2	1
ET051016	1	40	1	1	2	0	2	1
ET051016	2	30	2	1	2	0	2	1
ET051016	3	15	2	5	2	0	2	2
ET051016	4	12	2	5	1	5	2	2
ET051016	5	10	2	5	1	3	2	2
ET051016	15	1	2	5	 	 	2	 
ET051017	1	28	2	1	2	0	2	1
ET051017	15	2	1	5	 	 	2	 
ET051018	1	50	1	1	2	0	2	1
ET051018	2	45	2	1	2	0	2	1
ET051018	3	20	1	5	1	8	2	2
ET051018	4	15	1	5	1	5	2	2
ET051018	5	13	1	5	1	5	2	2
ET051018	6	10	1	5	1	3	2	2
ET051019	1	36	1	1	2	0	2	1
ET051019	2	28	2	1	2	0	2	1
ET051019	3	8	1	5	1	2	2	2
ET051019	4	7	1	5	1	1	2	2
ET051019	15	4	1	5	 	 	2	 
ET051020	1	36	2	1	2	0	2	1
ET051020	2	14	1	5	2	2	2	2
ET051020	15	1	1	5	 	 	2	 
ET051021	1	55	1	1	2	0	2	1
ET051021	2	40	2	1	2	0	1	2
ET051022	1	27	2	1	2	0	2	1
ET051022	15	4	2	5	 	 	2	 
ET051022	16	0	2	5	 	 	2	 
ET051023	1	36	1	1	2	4	1	1
ET051023	2	35	2	1	2	0	1	1
ET051023	15	4	2	5	 	 	2	 
ET051023	16	2	1	5	 	 	2	 
ET051024	1	44	2	1	2	0	2	1
ET051024	2	12	2	5	1	4	2	2
ET051025	1	40	1	1	2	0	2	1
ET051025	2	38	2	1	2	0	2	1
ET051025	3	18	2	5	1	7	2	2
ET051025	4	14	1	5	1	7	2	2
ET051025	5	11	2	5	1	4	2	2
ET051025	15	4	2	5	 	 	2	 
ET051026	1	61	2	3	2	0	2	1
ET051026	2	36	2	4	2	0	2	1
ET051027	1	40	1	2	2	 	2	1
ET051027	2	25	2	1	2	0	2	1
ET051027	3	5	1	5	2	0	2	2
ET051028	1	25	2	2	2	0	2	1
ET051028	2	6	1	5	2	0	2	2
ET051029	1	47	2	1	2	0	2	1
ET051029	2	27	2	5	1	3	2	2
ET051029	3	13	2	5	1	4	2	2
ET051030	1	46	2	1	2	0	2	1
ET051030	2	18	1	5	1	5	2	2
ET051030	15	2	2	5	 	 	2	 
ET051031	1	30	2	1	2	0	2	1
ET051031	2	9	2	5	1	1	2	2
ET051031	15	1	2	5	 	 	2	 
ET051032	1	45	1	1	2	0	2	1
ET051032	2	36	2	1	2	0	2	1
ET051032	3	10	2	5	1	1	2	2
ET051032	15	4	2	5	 	 	2	 
ET051032	16	2	1	5	 	 	2	 
ET051033	1	35	1	1	2	2	2	1
ET051033	2	24	2	2	2	4	2	1
ET051033	3	12	2	12	1	4	2	2
ET051033	4	6	1	5	2	0	2	2
ET051034	1	30	2	1	2	0	2	1
ET051034	2	15	2	5	2	3	2	2
ET051035	1	50	1	1	2	0	2	1
ET051035	2	40	2	1	2	0	2	1
ET051035	3	20	1	5	2	2	2	1
ET051035	4	16	1	5	1	3	2	2
ET051035	5	10	1	5	1	2	2	2
ET051035	15	2	1	5	 	 	2	 
ET051036	1	55	1	1	2	0	2	1
ET051036	2	42	2	1	2	0	2	1
ET051036	3	23	1	5	2	0	2	2
ET051036	4	13	2	5	1	3	2	2
ET051036	5	10	1	5	1	2	2	2
ET051036	15	2	2	5	 	 	2	 
ET051037	1	50	1	1	2	0	2	1
ET051037	2	38	2	1	2	0	2	1
ET051037	3	85	2	3	2	0	2	2
ET051037	4	17	1	5	2	0	2	2
ET051037	5	12	2	5	1	2	2	2
ET051037	15	4	2	5	 	 	2	 
ET051037	16	1	2	5	 	 	2	 
ET051038	1	44	1	13	2	 	2	1
ET051038	2	45	2	3	2	0	2	1
ET051038	3	21	1	7	2	0	2	2
ET051039	1	30	1	2	 	0	2	1
ET051039	2	26	2	1	 	0	2	2
ET051039	15	3	2	5	 	 	2	 
ET051040	1	35	1	1	2	0	2	1
ET051040	2	33	2	1	2	0	2	1
ET051040	3	15	2	5	1	4	2	2
ET051040	4	6	1	5	2	0	2	2
ET051041	1	40	2	1	2	0	2	1
ET051042	1	40	1	1	 	0	2	2
ET051042	2	35	2	1	 	0	2	2
ET051042	3	11	1	5	2	0	2	2
ET051042	4	6	2	5	2	0	2	2
ET051042	15	3	1	5	 	 	2	 
ET051043	1	30	2	1	2	0	2	1
ET051043	15	2	2	5	 	 	2	 
ET051044	1	70	2	3	2	0	1	2
ET051044	2	52	1	1	2	3	2	1
ET051044	3	41	2	1	2	0	2	1
ET051044	4	12	2	5	1	4	2	2
ET051044	5	10	2	5	2	1	2	2
ET051044	6	25	1	5	1	5	2	2
ET051044	15	3	1	5	 	 	2	 
ET051044	16	0	2	5	 	 	2	 
ET051045	1	35	1	1	2	2	2	1
ET051045	2	10	1	5	2	0	2	1
ET051046	1	28	2	1	2	0	2	1
ET051047	1	37	2	1	2	0	2	1
ET051047	2	5	2	5	2	0	2	2
ET051047	15	0	1	5	 	 	2	 
ET051048	1	30	2	1	2	0	2	1
ET051048	2	6	2	5	2	0	2	2
ET051048	15	4	2	5	 	 	2	 
ET051049	1	40	1	1	2	0	2	1
ET051049	2	35	2	1	2	0	2	1
ET051049	3	11	2	5	1	5	2	2
ET051049	4	9	2	5	1	4	2	2
ET051049	15	3	1	5	 	 	2	 
ET051050	1	31	2	1	2	0	2	1
ET051050	15	4	2	5	 	 	2	 
ET061002	1	34	1	1	2	0	2	2
ET061002	2	25	2	1	2	0	2	2
ET061002	15	0	1	5	 	 	2	 
ET061003	1	38	1	1	2	0	1	1
ET061003	2	36	2	1	2	0	2	2
ET061003	3	14	2	5	1	1	1	2
ET061003	15	2	1	5	 	 	2	 
ET061004	1	37	2	1	2	 	2	2
ET061004	2	13	2	5	2	0	2	2
ET061004	15	2	1	5	 	 	2	 
ET061005	1	40	1	1	2	0	2	2
ET061005	2	34	2	1	2	0	2	2
ET061005	3	10	2	5	1	4	2	2
ET061005	4	5	1	5	2	0	2	2
ET061005	15	3	2	5	 	 	2	 
ET061005	16	0	2	5	 	 	2	 
ET061007	1	55	2	3	2	0	2	2
ET061007	2	18	1	4	1	6	2	2
ET061007	3	16	1	4	2	0	2	2
ET061008	1	35	1	1	2	0	2	1
ET061008	2	25	2	1	2	5	2	1
ET061008	15	4	1	5	 	 	2	 
ET061008	16	2	2	5	 	 	2	 
ET061009	1	38	1	1	2	0	2	2
ET061009	2	18	2	1	2	0	2	2
ET061009	15	0	1	5	 	 	2	 
ET061010	1	45	1	1	2	 	1	1
ET061010	2	35	2	1	2	0	2	1
ET061010	3	22	2	5	2	0	2	2
ET061010	4	14	2	5	1	4	2	2
ET061010	5	11	1	5	2	0	2	2
ET061010	6	6	1	5	1	0	2	2
ET061010	7	17	2	5	1	0	2	2
ET061011	1	35	2	1	2	0	2	2
ET061011	2	18	2	5	2	0	2	2
ET061011	3	12	1	5	1	3	2	2
ET061011	4	5	2	5	2	0	2	2
ET061012	1	44	1	1	2	0	2	1
ET061012	2	30	2	1	2	0	2	1
ET061012	3	17	1	5	2	0	2	2
ET061012	4	15	1	5	1	5	2	2
ET061012	5	12	1	5	2	0	2	2
ET061012	6	10	2	5	2	0	2	2
ET061012	7	6	1	5	2	0	2	2
ET061014	1	33	1	1	2	 	2	2
ET061014	2	29	2	1	2	0	2	2
ET061014	3	10	1	5	1	2	2	2
ET061014	15	4	1	5	 	 	2	 
ET061014	16	2	2	5	 	 	1	 
ET061015	1	56	1	1	2	0	2	2
ET061015	2	40	2	1	2	0	2	2
ET061015	3	20	1	5	1	0	2	2
ET061015	4	18	1	5	1	2	2	2
ET061015	5	14	1	5	1	4	2	2
ET061015	6	12	1	5	1	1	2	2
ET061015	7	10	2	5	1	1	2	2
ET061015	8	6	1	5	2	0	2	2
ET061015	15	2	1	5	 	 	2	 
ET061016	1	52	1	1	2	0	2	2
ET061016	2	40	2	1	2	0	2	2
ET061016	3	21	2	5	1	1	2	2
ET061016	4	18	1	5	1	5	2	2
ET061016	5	15	1	5	1	3	2	2
ET061016	6	13	1	5	1	3	2	2
ET061016	7	13	1	5	1	1	2	2
ET061016	15	3	1	5	 	 	2	 
ET061016	16	2	1	6	 	 	2	 
ET061018	1	23	1	4	2	0	2	2
ET061018	2	20	2	4	2	0	2	2
ET061019	1	42	1	1	2	 	2	2
ET061019	2	30	2	1	2	0	2	2
ET061019	3	14	2	5	1	5	2	2
ET061019	4	10	1	5	1	4	2	2
ET061019	5	6	1	5	2	0	2	2
ET061019	6	6	1	5	2	0	2	2
ET061020	1	48	1	1	2	2	2	1
ET061020	2	35	2	1	2	0	2	1
ET061020	3	12	2	5	1	5	2	2
ET061020	4	10	1	5	2	0	2	2
ET061020	5	5	1	5	 	 	2	 
ET061020	15	2	1	5	 	 	2	 
ET061021	1	34	2	1	2	0	2	1
ET061021	2	10	2	5	1	3	2	2
ET061021	3	5	2	5	2	0	2	2
ET061022	1	45	1	1	2	0	2	1
ET061022	2	35	2	13	2	0	2	2
ET061022	3	18	1	5	1	6	2	1
ET061022	4	16	1	5	1	2	2	1
ET061022	5	15	1	13	1	5	2	2
ET061022	6	14	2	5	2	0	2	2
ET061022	7	8	2	13	2	0	2	2
ET061022	15	3	1	5	 	 	2	 
ET061023	1	48	1	1	2	0	2	2
ET061023	2	35	2	1	2	0	2	1
ET061023	3	16	1	5	2	0	2	2
ET061023	4	13	2	5	1	7	2	2
ET061023	5	12	1	5	1	2	2	2
ET061023	6	10	2	5	1	2	2	2
ET061023	7	5	2	5	2	0	2	2
ET061024	1	38	1	1	2	0	2	2
ET061024	2	30	2	1	2	0	2	2
ET061024	3	11	1	5	2	0	2	2
ET061025	1	50	2	1	2	0	2	2
ET061025	2	22	2	5	1	2	2	2
ET061025	3	19	1	5	2	0	2	2
ET061025	4	17	1	5	2	0	2	2
ET061026	1	38	1	1	2	0	2	2
ET061026	2	30	2	1	2	0	2	2
ET061026	3	15	1	5	1	5	2	2
ET061026	4	13	2	5	2	0	2	2
ET061026	5	6	2	5	2	0	2	2
ET061026	15	2	2	5	 	 	2	 
ET061027	1	38	1	1	2	 	2	1
ET061027	2	35	2	1	2	0	2	1
ET061027	3	13	2	5	1	4	2	2
ET061027	4	10	1	5	1	1	2	2
ET061027	5	5	1	5	2	0	2	1
ET061028	1	38	1	1	2	0	2	2
ET061028	2	32	2	1	2	0	2	2
ET061028	3	16	1	5	1	0	2	2
ET061028	4	13	2	5	1	3	2	2
ET061028	5	6	2	5	2	0	2	2
ET061028	15	3	2	5	 	 	2	 
ET061029	1	58	1	1	2	0	2	1
ET061029	2	42	2	1	2	0	2	1
ET061029	3	28	2	5	2	0	1	2
ET061029	4	22	1	5	1	7	2	2
ET061029	5	19	2	5	1	4	2	2
ET061029	6	16	1	5	2	0	1	2
ET061029	7	13	1	5	2	0	2	2
ET061029	8	6	2	5	2	0	2	2
ET061029	9	11	1	6	1	2	2	2
ET061030	1	67	1	13	2	0	2	2
ET061030	2	55	2	3	2	0	2	2
ET061030	3	15	1	6	1	5	2	2
ET061031	1	42	1	1	2	6	2	1
ET061031	2	27	2	1	2	0	2	1
ET061031	3	6	1	5	2	0	2	2
ET061031	15	2	1	5	 	 	2	 
ET061031	16	0	2	5	 	 	2	 
ET061033	1	58	1	1	2	0	2	1
ET061033	2	45	2	1	2	0	2	1
ET061033	3	22	1	5	1	7	2	1
ET061033	4	15	2	5	1	5	2	2
ET061033	5	13	1	5	1	3	2	2
