CHILDID	LINECODE	PAYMT	PLACE	MONTHS	DAYS	actcode
ET011046	22	2	5	12	1	0
ET021002	22	2	1	6	1	0
ET031038	22	2	5	12	3	0
ET051014	22	2	99	12	3	97
ET051017	22	2	1	12	4	97
ET051017	23	2	1	12	4	97
ET051018	22	2	1	12	4	97
ET051019	22	2	1	6	2	1
ET051020	22	2	1	12	3	97
ET051022	22	2	1	12	2	97
ET051024	22	2	1	12	3	97
ET051033	22	2	1	12	2	97
ET051036	22	2	1	8	2	97
ET051039	22	2	1	12	2	97
ET051039	23	2	1	12	1	97
ET051042	22	2	1	12	3	97
ET051045	22	2	1	2	4	97
ET051045	23	1	2	2	1	1
ET051046	22	2	2	12	4	97
ET051047	22	2	1	12	2	97
ET051048	22	2	1	12	4	97
ET051048	23	2	1	12	4	97
ET061002	22	2	6	12	1	1
ET061003	22	2	1	12	2	1
ET061004	22	2	1	12	1	1
ET061005	22	2	1	12	1	1
ET061007	22	2	4	12	1	1
ET061008	22	2	1	12	2	1
ET061011	22	2	1	12	1	1
ET061015	22	2	1	8	1	1
ET061015	23	2	1	3	2	1
ET061016	22	2	6	12	1	1
ET061023	22	2	1	12	2	1
ET061026	22	2	1	12	1	1
ET061027	22	2	6	12	2	1
ET061028	22	2	1	12	2	1
ET061030	22	2	1	12	1	1
ET061031	22	2	4	3	3	1
ET061031	23	2	6	12	3	1
ET061034	22	2	1	4	2	1
ET061037	22	1	1	12	1	1
ET061038	22	1	1	12	1	1
ET061039	22	2	4	5	2	1
ET061040	22	2	1	4	2	1
ET061043	22	2	1	12	1	1
ET061044	22	2	1	12	1	1
ET061049	22	2	1	12	2	1
ET061058	22	2	6	12	3	97
ET061059	22	2	1	12	3	1
ET071002	22	2	2	12	1	1
ET071003	22	2	2	12	1	1
ET071004	22	2	1	12	1	1
ET071005	22	2	1	6	3	1
ET071006	22	2	1	12	2	1
ET071012	22	2	1	12	4	1
ET071014	22	2	1	12	3	95
ET071014	23	2	1	10	3	95
ET071014	24	2	1	6	4	95
ET071014	25	2	1	6	3	1
ET071015	22	2	1	8	2	95
ET071015	23	2	1	7	3	95
ET071015	24	2	1	10	2	93
ET071015	25	2	1	6	3	1
ET071016	22	2	1	9	2	95
ET071016	23	2	1	12	2	95
ET071017	22	2	1	12	2	1
ET071018	22	2	1	12	2	95
ET071024	22	2	1	1	4	95
