CHILDID	PLOT	LAREA	LOWN	LUSE
ET061033	3	7500	4	1
ET061033	4	5000	4	2
ET061033	5	2500	3	1
ET061034	1	2500	4	1
ET061034	2	2000	4	1
ET061034	3	2500	3	1
ET061034	4	2500	4	1
ET061034	5	1250	4	1
ET061034	6	2500	3	1
ET061034	7	750	4	1
ET061036	1	5000	4	1
ET061036	2	5000	4	1
ET061036	3	2500	4	1
ET061036	4	5000	4	1
ET061036	5	5000	4	1
ET061036	6	2500	3	1
ET061036	7	2500	3	1
ET061037	1	2500	4	1
ET061037	2	2500	4	1
ET061038	1	3750	4	1
ET061038	2	2500	4	1
ET061038	3	1250	4	1
ET061038	4	1250	4	1
ET061038	5	2500	4	1
ET061038	6	2000	4	1
ET061038	7	750	4	2
ET061038	8	1250	3	1
ET061039	1	2500	4	1
ET061039	2	1250	4	1
ET061039	3	1250	4	1
ET061039	4	2500	3	1
ET061040	1	5000	4	1
ET061040	2	5000	4	1
ET061040	3	2500	4	1
ET061040	4	2500	4	2
ET061040	5	750	4	1
ET061043	1	7500	4	1
ET061043	2	2500	4	2
ET061043	3	5000	3	1
ET061043	4	5000	3	1
ET061044	1	2500	4	1
ET061044	2	2500	4	1
ET061044	3	2500	4	1
ET061044	4	2500	3	1
ET061044	5	5000	3	1
ET061044	6	5000	3	1
ET061046	1	2500	4	6
ET061046	2	2500	4	6
ET061046	3	5000	4	6
ET061047	1	5000	4	1
ET061047	2	5000	4	1
ET061047	3	5000	4	1
ET061047	4	2500	3	1
ET061047	5	2500	3	1
ET061047	6	2500	3	1
ET061049	1	2500	4	1
ET061049	2	2500	4	1
ET061049	3	2500	4	1
ET061049	4	1250	4	1
ET061050	1	2500	4	1
ET061050	2	2500	3	1
ET061051	1	5000	4	1
ET061051	2	5000	4	1
ET061051	3	5000	4	1
ET061051	4	2500	4	1
ET061051	5	2500	4	1
ET061052	1	7500	4	1
ET061052	2	2500	4	1
ET061052	3	2500	4	2
ET061052	4	2500	3	1
ET061053	1	5000	4	1
ET061053	2	2500	4	1
ET061053	3	2500	4	1
ET061053	4	2500	4	1
ET061053	5	2500	4	1
ET061053	6	2500	4	1
ET061053	7	2500	3	1
ET061053	8	2500	3	1
ET061056	1	2500	3	1
ET061057	1	3750	1	6
ET061057	2	3750	1	6
ET061057	3	5000	3	1
ET061057	4	6250	1	6
ET061058	1	5000	4	1
ET061058	2	5000	4	1
ET061058	3	1250	4	1
ET061059	1	2500	4	1
ET061059	2	2500	4	1
ET061059	3	2500	4	1
ET061059	4	2500	4	1
ET071001	1	5000	4	1
ET071001	2	2500	4	1
ET071001	3	2500	4	1
ET071002	1	5000	4	1
ET071002	2	2500	4	1
ET071002	3	2500	4	1
ET071003	1	6250	4	1
ET071003	2	5000	4	1
ET071003	3	2500	4	1
ET071004	1	7500	4	1
ET071004	2	2500	4	1
ET071005	1	7500	4	1
ET071005	2	2500	4	1
ET071006	1	7500	4	1
ET071006	2	5000	4	1
ET071007	1	5000	4	1
ET071007	2	2500	4	1
ET071007	3	2500	4	1
ET071008	1	5000	4	1
ET071008	2	2500	4	1
ET071008	3	2500	4	1
ET071009	1	3000	4	1
ET071009	2	2500	4	1
ET071009	3	2500	4	1
ET071010	1	2500	4	1
ET071010	2	1250	4	1
ET071010	3	1250	4	1
ET071011	1	7500	3	1
ET071011	2	2500	3	1
ET071011	3	2500	3	1
ET071012	1	5000	4	1
ET071012	2	2500	4	1
ET071012	3	2500	4	1
ET071013	1	5000	4	1
ET071013	2	2500	4	1
ET071013	3	1250	4	1
ET071014	1	3750	4	1
ET071015	1	5000	4	1
ET071015	2	5000	4	1
ET071015	3	2500	4	1
ET071016	1	6250	4	1
ET071016	2	6250	4	1
ET071016	3	6250	4	1
ET071017	1	5000	4	1
ET071017	2	3750	4	1
ET071017	3	1250	4	1
ET071018	1	7500	4	1
ET071018	2	2500	4	1
ET071019	1	5000	4	1
ET071020	1	7500	4	1
ET071020	2	5000	4	1
ET071020	3	2500	4	1
ET071021	1	7500	4	1
ET071021	2	5000	4	1
ET071021	3	1250	4	1
ET071022	1	6250	4	1
ET071022	2	5000	4	1
ET071022	3	2500	4	1
ET071023	1	10000	4	1
ET071023	2	2500	4	1
ET071023	3	1250	4	1
ET071023	4	1250	3	1
ET071024	1	7500	4	1
ET071024	2	3750	4	1
ET071024	3	2500	4	1
ET071025	1	5000	4	1
ET071025	2	2500	4	1
ET071025	3	1750	4	1
ET071025	4	1250	4	1
ET071026	1	3750	4	8
ET071027	1	7500	2	1
ET071027	2	7500	4	1
ET071027	4	5000	4	1
ET071027	5	5000	2	1
ET071028	1	7500	4	1
ET071028	2	11250	4	1
ET071028	3	5000	3	1
ET071029	1	12500	4	1
ET071029	2	2500	4	1
ET071029	3	1250	4	1
ET071030	1	10000	4	1
ET071030	2	7500	4	1
ET071030	3	3750	4	1
ET071030	4	3750	3	1
ET071031	1	5000	4	1
ET071031	2	2500	4	1
ET071032	1	5000	1	1
ET071032	2	3750	1	1
ET071032	3	1750	1	1
ET071033	1	7500	4	1
ET071033	2	2500	4	1
ET071034	1	7500	1	6
ET071034	2	2500	4	6
ET071035	1	1250	4	1
ET071035	2	1250	4	1
ET071035	3	1250	4	1
ET071036	1	5000	4	1
ET071036	2	5000	3	1
